,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
0,0.22986414120758922,1.5643043592678108,0.15792193355625042,0.19827975735524406,0.30882510085638465,0.010528143114950211,8.776711185541466e-05,8.776711185541466e-05,8.776711185541466e-05,8.776711185541466e-05,0.0745742540745842,0.020178926711678723,8.776711185541466e-05,1.9696372853918882,0.09299847793968573,0.23249617319554094,8.776711185541466e-05,0.011405487053406424,8.776711185541466e-05,0.10615863785247943
1,3.350747070192967e-10,3.350966201821568e-10,3.3506467518792026e-10,3.350711585549357e-10,3.350813432258636e-10,3.3457188430230007e-10,3.2740264329073013e-10,3.2740264329073013e-10,3.2740264329073013e-10,3.2740264329073013e-10,3.3502189380570155e-10,3.3480457547459853e-10,3.2740264329073013e-10,3.3509730777338077e-10,3.3503731634397353e-10,3.350749958794644e-10,3.2740264329073013e-10,3.346104427805662e-10,3.2740264329073013e-10,3.350459673854339e-10
2,1.3462793304957469e-10,1.346293596622448e-10,1.3462725179148164e-10,1.3462769275225223e-10,1.3462835950366983e-10,1.3459354414410052e-10,1.3244973883735874e-10,1.3244973883735874e-10,1.3244973883735874e-10,1.3244973883735874e-10,1.3462446436632468e-10,1.3460984144543435e-10,1.3244973883735874e-10,1.346294073219999e-10,1.3462548075776952e-10,1.3462795812734828e-10,1.3244973883735874e-10,1.345962920262779e-10,1.3244973883735874e-10,1.3462610640796221e-10
3,6.449281092216696e-11,6.449296768896847e-11,6.449273164830979e-11,6.449278166928918e-11,6.449285826752477e-11,6.44889958513401e-11,6.411067273605103e-11,6.411067273605103e-11,6.411067273605103e-11,6.411067273605103e-11,6.44924286422028e-11,6.449081073011608e-11,6.411067273605103e-11,6.449297322628072e-11,6.449253639796736e-11,6.449281368381138e-11,6.411067273605103e-11,6.448930270166766e-11,6.411067273605103e-11,6.449265091109071e-11
4,6.253401219712392e-11,6.253415542973066e-11,6.253394380158247e-11,6.253398890723856e-11,6.253405570437858e-11,6.25305340763757e-11,6.218154933943462e-11,6.218154933943462e-11,6.218154933943462e-11,6.218154933943462e-11,6.253366373066269e-11,6.253218879266747e-11,6.218154933943462e-11,6.253416012986334e-11,6.253376589543492e-11,6.253401409222551e-11,6.218154933943462e-11,6.253081386231833e-11,6.218154933943462e-11,6.253387075241265e-11
5,6.196153893924147e-11,6.196167883484197e-11,6.196147361927893e-11,6.196152022626182e-11,6.19615809291034e-11,6.195815480839665e-11,6.161745885543008e-11,6.161745885543008e-11,6.161745885543008e-11,6.161745885543008e-11,6.196119989351687e-11,6.195976482945474e-11,6.161745885543008e-11,6.196168288339476e-11,6.196130305662495e-11,6.19615401731503e-11,6.161745885543008e-11,6.195842704010468e-11,6.161745885543008e-11,6.196137104331129e-11
6,6.15268214740526e-11,6.152695654223035e-11,6.152673519230535e-11,6.152680612995708e-11,6.152686156564814e-11,6.152350836551317e-11,6.11890944803555e-11,6.11890944803555e-11,6.11890944803555e-11,6.11890944803555e-11,6.152649527050677e-11,6.152543538149438e-11,6.11890944803555e-11,6.152696238716073e-11,6.152660461630852e-11,6.152682387177209e-11,6.11890944803555e-11,6.152377489355692e-11,6.11890944803555e-11,6.15266440568517e-11
7,8.356139839933965e-11,8.356173815073762e-11,8.356120670100238e-11,8.356137755618113e-11,8.356150216233463e-11,8.355311737566345e-11,8.282495261284565e-11,8.282495261284565e-11,8.282495261284565e-11,8.282495261284565e-11,8.35606610334682e-11,8.355872533709086e-11,8.282495261284565e-11,8.356175125643214e-11,8.356088027099684e-11,8.356140587564246e-11,8.351071231711044e-11,8.355378252948468e-11,8.282495261284565e-11,8.35610558719221e-11
8,2.1339309958947893e-10,2.133987103392015e-10,2.133891697319501e-10,2.1339220354443594e-10,2.1339486084827616e-10,2.1325838828104818e-10,2.0845740589684974e-10,2.0845740589684974e-10,2.0845740589684974e-10,2.0845740589684974e-10,2.133804961853132e-10,2.133490636320676e-10,2.0845740589684974e-10,2.1339898552183602e-10,2.133846714855666e-10,2.1339324901511288e-10,2.132309180797776e-10,2.1326902345913967e-10,2.0845740589684974e-10,2.1338802770124433e-10
9,3.597978559750586e-10,3.5982468787247255e-10,3.597817766574937e-10,3.5979374560338037e-10,3.5980657171262415e-10,3.591812316028083e-10,3.5194102601541326e-10,3.5194102601541326e-10,3.5194102601541326e-10,3.5194102601541326e-10,3.597380717631265e-10,3.595412488122842e-10,3.5194102601541326e-10,3.5982593937601516e-10,3.597559175997328e-10,3.5979856757581857e-10,3.5966605643781916e-10,3.592281832742658e-10,3.5194102601541326e-10,3.597825882248513e-10
