,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
0,281.24544755738276,395.67381451347524,0.0058847195221821014,141.60105836385856,100.68754737068636,11.004425107335829,0.0058847195221821014,0.0058847195221821014,1.4417562308302136,28.261364479860468,102.33526877709961,2.6334118908255553,0.0058847195221821014,344.4767565284917,19.36072652557453,8.473995804629743,0.0058847195221821014,21.699902450750507,171.68668582917218,1686.5752656486384
1,210.89892373120568,301.4422647935599,0.0044264652586210465,106.51181345973329,71.23288760947844,8.31068799073656,0.0044264652586210465,0.0044264652586210465,1.0623515942756387,41.30998437889842,72.12924676690335,2.069372376074091,0.0044264652586210465,210.43414490883717,14.529871280524283,6.374109564201235,0.0044264652586210465,15.581156712072024,132.76075076111488,1332.609413030212
2,127.04081272026873,180.31706690327644,0.0026651457573530287,63.91684672104225,44.86105795623458,5.003810267045889,0.0026651457573530287,0.0026651457573530287,0.6462977313164685,16.777089549358948,43.261970787159825,1.2992583253557146,0.0026651457573530287,122.35681988752057,8.681710755917903,3.8111577534442582,0.0026651457573530287,8.248624647626814,82.51289792474091,820.1384947029093
3,44.6105044433132,62.90913307313306,0.0009350361059893537,22.57641227868844,15.70390740238913,1.7485148474529109,0.0009350361059893537,0.0009350361059893537,0.22207073716180445,0.5142690737455288,15.08444692884514,0.42076560603952784,0.0009350361059893537,45.71150777553664,3.0108116614680065,1.3370995895513362,0.0009350361059893537,2.840167832906754,29.329700233664155,295.85899733936543
4,50.90511538124278,71.50855185323132,0.0010657421659692253,25.689685047491345,17.877804052292745,1.9955998870871883,0.0010657421659692253,0.0010657421659692253,0.2451204144166924,0.5115556461809426,17.13444975568278,0.4929051799575777,0.0010657421659692253,50.05252263961129,3.4316857862733863,1.5240095268718012,0.0010657421659692253,3.5409242312949503,34.231598577711885,336.01745688744893
5,6.587240373280248e-10,6.587271590174311e-10,6.553761688577409e-10,6.587134001808092e-10,6.587043901436462e-10,6.584660808777958e-10,6.553761688577409e-10,6.553761688577409e-10,6.567485118846661e-10,6.577884725461174e-10,6.587028515651431e-10,6.577178197644776e-10,6.553761688577409e-10,6.587241749077599e-10,6.585775509487907e-10,6.583841003474754e-10,6.553761688577409e-10,6.585924212681687e-10,6.587191805817194e-10,6.587331681997466e-10
6,3.743053358956254e-10,3.743058925021922e-10,3.6633340607998447e-10,3.7430322040067565e-10,3.7430173512722804e-10,3.7425746023323905e-10,3.6633340607998447e-10,3.6633340607998447e-10,3.739222332795934e-10,3.742868603875333e-10,3.743014053312112e-10,3.740956855461318e-10,3.6633340607998447e-10,3.7430532825100745e-10,3.7427817543657963e-10,3.7424196983601106e-10,3.6633340607998447e-10,3.742805937840105e-10,3.743044450232654e-10,3.743070051812236e-10
7,4.1934186590800345e-10,4.193426140808519e-10,4.114369292067662e-10,4.1933879550340147e-10,4.193367544249168e-10,4.192746976346764e-10,4.114369292067662e-10,4.114369292067662e-10,4.188192969651982e-10,4.193157659884194e-10,4.193362604512285e-10,4.1904887343670947e-10,4.114369292067662e-10,4.193417739617763e-10,4.193037385295993e-10,4.1925300028302967e-10,4.114369292067662e-10,4.1930734221124487e-10,4.1934059617915815e-10,4.1934419560484614e-10
8,7.064473286870936e-10,7.064507452869122e-10,7.046383757471514e-10,7.064324453167345e-10,7.064186907707333e-10,7.061303246420959e-10,7.046383757471514e-10,7.046383757471514e-10,7.041163727484238e-10,7.063236336051558e-10,7.064203419718935e-10,7.050952916424129e-10,7.046383757471514e-10,7.064467788488594e-10,7.062665592762065e-10,7.060293132306919e-10,7.061037118560771e-10,7.062828015957627e-10,7.064412476709099e-10,7.06458358069957e-10
9,2.643618036963814e-09,2.643788381543363e-09,3.0447172570372343e-09,2.6429613441318014e-09,2.6421996258602357e-09,2.6301863814982966e-09,3.0447172570372343e-09,3.0447172570372343e-09,2.5906582014427817e-09,2.637853766813722e-09,2.6422649286006877e-09,2.6049657788955073e-09,3.0447172570372343e-09,2.6435909927690707e-09,2.6353907025383863e-09,2.626740823174462e-09,2.6422630480034475e-09,2.635896833782835e-09,2.643303901958534e-09,2.644176774735486e-09
10,20.064546968204173,27.087035331150634,0.0004123030630170327,10.277591587875227,6.364870932400044,0.7730612495713128,0.0004123030630170327,0.0004123030630170327,0.09482884928413544,2.163540744904155,6.508144950079482,0.1845039538906224,0.0004123030630170327,20.02537853171628,1.3276038503814023,0.5895880470703879,16.64349326548585,1.4183097033015017,13.175025139650497,130.85762331582862
11,81.89083749445851,111.04134893908854,0.0016837848191408244,42.19983786826116,26.334382614136878,3.148676182797569,0.0016837848191408244,0.0016837848191408244,0.3872703333109009,7.804339093665802,26.645882664231124,0.7997974266803893,0.0016837848191408244,81.26362793413362,5.421784656458423,2.407811198789518,101.02704327457232,5.876406351190578,54.769285835577456,543.8538307044913
