,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Solar,Waste,Wind Offshore,Wind Onshore
0,3.552134901096758e-09,3.551522731876678e-09,3.5515606748001824e-09,3.549631661494844e-09,3.635074783000118e-09,3.550895305368572e-09,3.552276327549672e-09,3.5524308309887957e-09
1,3.8358847074299414e-09,3.835094488156414e-09,3.8351790429543395e-09,3.833373733620141e-09,3.936801319940719e-09,3.834455913405327e-09,3.836074150772734e-09,3.836240747689842e-09
2,1.0117730910842857e-09,1.0117184325515554e-09,1.0117259164871536e-09,1.0115560802503906e-09,1.0147886436099462e-09,1.011676521234094e-09,1.0118042019821016e-09,1.0118361151249893e-09
3,1.453010001346046e-09,1.4529435851056172e-09,1.4529435851056172e-09,1.4525148249465272e-09,1.4621394211834353e-09,1.452877941216771e-09,1.45306456035398e-09,1.4531175500009977e-09
4,1.450397504045574e-09,1.4503291945020734e-09,1.4503353420468254e-09,1.4499096324431427e-09,1.4594623800948037e-09,1.4502683522892522e-09,1.4504632919076062e-09,1.4505019345262004e-09
5,9.972671955424715e-10,9.972158784391766e-10,9.97233321223766e-10,9.970742104946682e-10,1.000146831524894e-09,9.971930895057847e-10,9.973219271323461e-10,9.973436762683315e-10
6,1.6581947747760354e-09,1.6581204355273223e-09,1.658133075845317e-09,1.6575549727055555e-09,1.670931236791844e-09,1.658059007593382e-09,1.6582780748083087e-09,1.6583163323500732e-09
7,9.066838336562888e-10,9.066386308287055e-10,9.066566099251623e-10,9.06516682956913e-10,9.086371387647517e-10,9.066101783609338e-10,9.067287828019984e-10,9.067458459663848e-10
8,1.2068811948663408e-09,1.206821933090678e-09,1.2068276902090983e-09,1.2065346585705104e-09,1.20620048282259e-09,1.20678270409855e-09,1.2069524266254974e-09,1.2069805459012755e-09
9,1.3161413021367096e-09,1.3160776189214926e-09,1.3160748220780857e-09,1.315711091665222e-09,1.3151693386452892e-09,1.3160172767384161e-09,1.3162144323834258e-09,1.3162444236691025e-09
10,1.501972933745042e-09,1.5018871111720845e-09,1.5018957815332084e-09,1.5013461355734771e-09,1.5014055135900777e-09,1.5018129423888067e-09,1.5020323216368176e-09,1.502075613696e-09
11,7.30473347558665e-10,7.304405908328168e-10,7.304482847903203e-10,7.303335460696755e-10,7.30348649448331e-10,7.303974972352893e-10,7.304938087502416e-10,7.305081510503875e-10
12,9.103690867713552e-10,9.103226925889661e-10,9.103287497820992e-10,9.101760085498937e-10,9.102156130715328e-10,9.102728961955239e-10,9.104001165443878e-10,9.104213680000919e-10
13,2.0445299310775364e-09,2.04437868575169e-09,2.044371507499965e-09,2.0432956173890674e-09,2.043741713600365e-09,2.0441696215541673e-09,2.0445911060313426e-09,2.0446720997445906e-09
14,1.3339195043223145e-09,1.3338341777268127e-09,1.3338330589699642e-09,1.3334501828403208e-09,1.3335710126223174e-09,1.3337686033965637e-09,1.3339632009346417e-09,1.3340076315873456e-09
15,1.2627914954327057e-09,1.262720091533662e-09,1.2627273257665746e-09,1.2624244669070924e-09,1.262137273667405e-09,1.262657983489717e-09,1.2628359485802414e-09,1.2628740215540841e-09
16,1.226216581313067e-09,1.2261629445159037e-09,1.2261934289141406e-09,1.2258881540281442e-09,1.2255497804503523e-09,1.2260883897937672e-09,1.2262562536120838e-09,1.2262884262820417e-09
17,1.163983112748052e-09,1.163934741395164e-09,1.1639919625387673e-09,1.163692348820165e-09,1.168846965335958e-09,1.1638645427562184e-09,1.1640196790413784e-09,1.1640413355978844e-09
18,1.3048812958706219e-09,1.3048191580586477e-09,1.304885123396743e-09,1.3044658701204199e-09,1.3117031132495591e-09,1.3047437897767054e-09,1.3049116766649197e-09,1.3049355990114382e-09
19,1.0582461928649172e-09,1.0581993822168437e-09,1.0582348994068551e-09,1.0580087301091664e-09,1.061783120699066e-09,1.058131518811538e-09,1.0582668852336326e-09,1.0582847568235858e-09
20,2.1755519624084448e-09,2.1754329043344747e-09,2.1754519046587885e-09,2.174303248426992e-09,2.1996573091985675e-09,2.175165544352744e-09,2.1755882555021964e-09,2.1756445968737552e-09
21,2.3730357653252312e-09,2.3728850944440004e-09,2.3728721050790574e-09,2.3715152724991967e-09,2.402778294254968e-09,2.3725596993509703e-09,2.3730890140111817e-09,2.373141690570781e-09
22,1.248954818807641e-09,1.2489068586288192e-09,1.2488953013662011e-09,1.2486280087199997e-09,1.2549892010869412e-09,1.2488297655913152e-09,1.2489845533540546e-09,1.2490134189924294e-09
23,1.6186343951179639e-09,1.618577186568106e-09,1.6185881287887926e-09,1.6179974348079926e-09,1.6305865971010847e-09,1.6184657890887412e-09,1.6186717075016272e-09,1.6187179301634046e-09
24,1.970814128646049e-09,1.9707021579351106e-09,1.9707970574438303e-09,1.969615813770579e-09,1.989912902760967e-09,1.9705657606840067e-09,1.9708661858104365e-09,1.9709155635250005e-09
25,3.5157587732186503e-09,3.5151699174935745e-09,3.5157384005321873e-09,3.5133381897439117e-09,3.596567785165297e-09,3.5146629075044725e-09,3.51592315939444e-09,3.5160219207655605e-09
26,4.410341017591168e-09,4.40933153574946e-09,4.4102865950141025e-09,4.408327867050358e-09,4.552926213707935e-09,4.408696354087389e-09,4.4105577782417024e-09,4.410788825417005e-09
27,2.8151180186641562e-09,2.8147931579583826e-09,2.8151069119634057e-09,2.812953501229442e-09,2.8606815679283674e-09,2.814478707104661e-09,2.815148192110027e-09,2.8152390586039655e-09
