,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
0,1.8918361062604523e-09,1.9092455444472296e-09,1.892150560090504e-09,1.8920062115826677e-09,1.891770772701451e-09,1.8920170214253627e-09,1.892027682471067e-09,1.892203935007976e-09,1.8911970301931132e-09,1.8914452060219822e-09,1.890279183627717e-09,1.8918043091635136e-09,1.8922320927326782e-09
1,3.1674669016480873e-09,3.2294453380807286e-09,3.1682171814721754e-09,3.1679892652964916e-09,3.167185183701697e-09,3.168009540689908e-09,3.167958467284233e-09,3.1683388486853473e-09,3.1656703562152598e-09,3.166146047125724e-09,3.166312704076388e-09,3.167356055229002e-09,3.1683913863952956e-09
2,3.785412658494302e-09,3.883458231209127e-09,3.7865576959191e-09,3.786269021208403e-09,3.784981098600933e-09,3.786280720908446e-09,3.7862225306018526e-09,3.7866815347897265e-09,3.783323153745233e-09,3.7837373429567564e-09,3.7850007213677386e-09,3.78522352570395e-09,3.786723515941546e-09
3,4.654281883115777e-09,4.817030892318779e-09,4.656155536742321e-09,4.655725261490023e-09,4.653670285772919e-09,4.6557116354934726e-09,4.6554708404625345e-09,4.656306400388372e-09,4.65235212633335e-09,4.652418781482191e-09,4.6556422330520765e-09,4.654019525314805e-09,4.656290552077293e-09
4,5.429210668465421e-09,5.659929911459782e-09,5.431854900787463e-09,5.431226702092087e-09,5.4284978238351735e-09,5.431199173843055e-09,5.430718104643218e-09,5.43205896138404e-09,5.427928754006175e-09,5.427590788218939e-09,5.433105252108369e-09,5.428894358524623e-09,5.4320347013098584e-09
5,5.13536288934388e-09,5.339360785112524e-09,5.137690812855125e-09,5.137151019883748e-09,5.1346870717799894e-09,5.137117995673524e-09,5.1366279596068835e-09,5.1378731440338055e-09,5.13381039134792e-09,5.133617706776373e-09,5.1381890433301095e-09,5.135064723918366e-09,5.137845398048009e-09
6,4.222387415510256e-09,4.3512027139758985e-09,4.223865912314999e-09,4.223540642742614e-09,4.221826281551737e-09,4.2235311493356786e-09,4.223320767774344e-09,4.22400477851623e-09,4.2203006956135925e-09,4.2205083640577755e-09,4.222750299192413e-09,4.222158991751895e-09,4.223982432334083e-09
7,4.404833189857143e-09,4.5475573720055445e-09,4.406481387132945e-09,4.406122776970676e-09,4.404257369528615e-09,4.40608545744465e-09,4.4059356997087076e-09,4.406596026763321e-09,4.402765338910599e-09,4.40289979264262e-09,4.405553151964682e-09,4.404579817039994e-09,4.406559721459879e-09
8,8.934789240849268e-09,9.57774622793685e-09,8.94016917888955e-09,8.93788221058135e-09,8.934911622953182e-09,8.937917757427364e-09,8.936240471124985e-09,8.940899560693497e-09,8.938579329452088e-09,8.937248869410025e-09,8.940959331022948e-09,8.934698540087057e-09,8.940780424610274e-09
9,3.651745632769091e-09,3.741223636122559e-09,3.652790321513218e-09,3.6525605714753104e-09,3.6514006361802276e-09,3.652548471467387e-09,3.652408395769487e-09,3.6529084796969035e-09,3.6497186647784056e-09,3.6501355100076527e-09,3.6523399026463156e-09,3.6515957609714535e-09,3.6528786734484047e-09
10,3.535903422861775e-09,3.6182812722853053e-09,3.536845388259105e-09,3.536643176979404e-09,3.5355942358246587e-09,3.536640336505009e-09,3.536561094802597e-09,3.5369919826525514e-09,3.533909912520523e-09,3.534364192101326e-09,3.5367546929865474e-09,3.535761990548022e-09,3.5369787580440994e-09
11,3.781227029103571e-09,3.879036328009462e-09,3.782350911519494e-09,3.782132314810505e-09,3.780882320937443e-09,3.7821274001016585e-09,3.782113590636792e-09,3.782512378121362e-09,3.779160605810357e-09,3.779554330099491e-09,3.782344996615281e-09,3.781070409900861e-09,3.782511327520418e-09
12,4.332034319550316e-09,4.46914553408091e-09,4.333565584258738e-09,4.333258879307658e-09,4.3315102638006505e-09,4.333264596650138e-09,4.3333000660272434e-09,4.333754797502893e-09,4.32996320234704e-09,4.330163029706212e-09,4.333597519727864e-09,4.331821499854092e-09,4.333780736490913e-09
13,6.185250506859247e-09,6.489711537218826e-09,6.188525134551145e-09,6.187679486328059e-09,6.184553820440472e-09,6.187722054570541e-09,6.187930266097604e-09,6.188891683028421e-09,6.184904488670269e-09,6.184207653134692e-09,6.188597470962366e-09,6.1849191340577434e-09,6.188949565376146e-09
14,9.791493064578723e-08,2.2607230793246095e-07,9.716168196736733e-08,9.738794826408446e-08,9.815489655422863e-08,9.737628741434604e-08,9.738010672026383e-08,9.705011915447424e-08,1.0007850335428916e-07,9.920793238253227e-08,9.714201608411105e-08,9.800928266548197e-08,9.702641106766774e-08
15,9.017293040134504e-09,9.672597838420638e-09,9.022675338412287e-09,9.020497786250432e-09,9.017436080999657e-09,9.0205909607167e-09,9.019814478061217e-09,9.023715748015425e-09,9.021702785157724e-09,9.01977010291307e-09,9.022672793238926e-09,9.017249995434334e-09,9.023996047840931e-09
16,2.4414065864360006e-08,3.158354934303821e-08,2.439762799866164e-08,2.440007076365523e-08,2.442002565518495e-08,2.439995821257275e-08,2.4402295892107905e-08,2.440059148707238e-08,2.4513443192107676e-08,2.4472589144969823e-08,2.4397677669690477e-08,2.441549607393377e-08,2.440252868505647e-08
17,7.3518517878984545e-09,7.78470549606684e-09,7.356454188620482e-09,7.354951257810084e-09,7.351399519860174e-09,7.355126511235155e-09,7.355281205292254e-09,7.357008499221625e-09,7.353539246047827e-09,7.352254836258377e-09,7.354526177034468e-09,7.3516819414989645e-09,7.357184802316407e-09
18,2.540851584504032e-09,2.576216867232349e-09,2.5413373864242152e-09,2.5411594182189646e-09,2.5407215901418186e-09,2.541176985404012e-09,2.541306411617771e-09,2.5414579608577917e-09,2.539579618251075e-09,2.540015334642099e-09,2.5406619718174362e-09,2.5408094901439013e-09,2.5415138421926577e-09
19,2.0089167354533448e-09,2.028980564580118e-09,2.0092634454589096e-09,2.0091127350567063e-09,2.0088505722457002e-09,2.009133992581902e-09,2.0092445836303573e-09,2.0093442222624103e-09,2.0081573459038084e-09,2.0084377673411817e-09,2.008679709647876e-09,2.0089021823650373e-09,2.0093817297627948e-09
20,2.0438153793661408e-09,2.0647101677155734e-09,2.0441538991317774e-09,2.0440048257934997e-09,2.043747881282778e-09,2.0440323957956365e-09,2.0441134815435687e-09,2.0442349173865544e-09,2.043035437831213e-09,2.043326491333108e-09,2.043546065108052e-09,2.043793279272381e-09,2.044270290738775e-09
21,2.1037177239017688e-09,2.126086019910806e-09,2.10406274658089e-09,2.1039057689383604e-09,2.1036299864395994e-09,2.103935561914293e-09,2.10404305108065e-09,2.1041498113474456e-09,2.102876585065346e-09,2.103184397919396e-09,2.103290426556679e-09,2.103685647437618e-09,2.104186009878141e-09
22,2.6966647725832276e-09,2.7376902264808125e-09,2.697197565381536e-09,2.6969924389572606e-09,2.6964868646220157e-09,2.697024551964337e-09,2.6971682737033394e-09,2.697321128339839e-09,2.6952460718922963e-09,2.6957040797127997e-09,2.6954214267254717e-09,2.696596031422174e-09,2.6973805475493937e-09
23,4.549083591704818e-09,4.703260687236522e-09,4.550924038995224e-09,4.5504734011870105e-09,4.548596356471007e-09,4.55055284327202e-09,4.550744502593699e-09,4.551119414519525e-09,4.5471007486777245e-09,4.547173161053372e-09,4.547106908970013e-09,4.548894684407243e-09,4.551225167771956e-09
24,2.7860328829594985e-09,2.830606731226448e-09,2.786652109019121e-09,2.7864183904220264e-09,2.785853849796318e-09,2.7864261364364336e-09,2.7863689651870727e-09,2.7867369510292427e-09,2.784566510355468e-09,2.7849578325690996e-09,2.7840991037420233e-09,2.7859545221694525e-09,2.7867919580688254e-09
25,1.101955611453731e-08,1.2030538288767563e-08,1.1025343562705541e-08,1.1021549890845815e-08,1.1020193279178473e-08,1.1021732963778994e-08,1.1020234217891381e-08,1.102628388932561e-08,1.102677783714198e-08,1.1024508019477599e-08,1.106685691160343e-08,1.1019755969621339e-08,1.1026716668547844e-08
26,1.8730014761213945e-08,2.2479738671072205e-08,1.872618375758715e-08,1.8722963402571387e-08,1.8732973941209982e-08,1.8722948074753462e-08,1.8725462921615693e-08,1.8728604014472075e-08,1.8771190423944587e-08,1.8753598546471837e-08,1.889902316286128e-08,1.873094369786522e-08,1.8729814834749854e-08
27,1.0147492521491897e-08,1.0989461680054085e-08,1.0153449553722808e-08,1.0150194091698454e-08,1.0148049525562687e-08,1.0150299677487823e-08,1.0148092053877227e-08,1.015423095933102e-08,1.0153333138497082e-08,1.0151472455891186e-08,1.0184581792442577e-08,1.0147596371618152e-08,1.0154502452665862e-08
28,1.8357290075276897e-09,1.851955754291326e-09,1.83605426251814e-09,1.8359096854896192e-09,1.835682184732635e-09,1.8359127931598477e-09,1.8357920288520074e-09,1.8361014024157164e-09,1.83514665692855e-09,1.8353467538837107e-09,1.834226684612804e-09,1.835711104641118e-09,1.8361219102526802e-09
29,1.8409312764496412e-09,1.857261245395808e-09,1.8412584373060932e-09,1.841108476229226e-09,1.8408786140988708e-09,1.8411118830255911e-09,1.8410285023114344e-09,1.8413026519508156e-09,1.8403400912906678e-09,1.8405345974977624e-09,1.8394388974981377e-09,1.840909675595529e-09,1.8413259498584928e-09
30,4.363967703622829e-09,4.503485617096202e-09,4.365673975374088e-09,4.3652241327640814e-09,4.3634589117271346e-09,4.365253691111239e-09,4.365018388340051e-09,4.365802261171741e-09,4.361866185673579e-09,4.3620284209480235e-09,4.3631496412589406e-09,4.363751085331282e-09,4.365902551221218e-09
31,5.085186750586777e-09,5.284663050665824e-09,5.087620137051615e-09,5.087024151678913e-09,5.084778805869655e-09,5.087019750346979e-09,5.08700701823068e-09,5.087742017991985e-09,5.0834854621047195e-09,5.083425119852796e-09,5.0853809595827984e-09,5.084947306340247e-09,5.087845879254381e-09
32,3.368817220574288e-09,3.441460437976218e-09,3.3697008428391648e-09,3.369453051996561e-09,3.3688977163950844e-09,3.369442616055884e-09,3.369483180693595e-09,3.3697668628396818e-09,3.3669007823063894e-09,3.367530605219761e-09,3.3666961516321047e-09,3.368712728170944e-09,3.3698239034562136e-09
33,2.177605163132588e-09,2.201870300790613e-09,2.177977952065149e-09,2.17782683543752e-09,2.1776395572586933e-09,2.177820182416953e-09,2.1778794472546456e-09,2.1780250291151076e-09,2.17671002529838e-09,2.177098673272779e-09,2.177692850024852e-09,2.1775856795308036e-09,2.1780577873086356e-09
34,1.806831565103639e-09,1.8224423851645621e-09,1.807121251367077e-09,1.8070339862944479e-09,1.8068573671937242e-09,1.8070017867549307e-09,1.8070654050648354e-09,1.8071652360384368e-09,1.8063311514270721e-09,1.806552279944846e-09,1.8070186859753035e-09,1.8068181050208531e-09,1.8071900521880311e-09
35,1.781355869211731e-09,1.7964520295524668e-09,1.781648844329583e-09,1.781561945460604e-09,1.7813816723854856e-09,1.7815265224053006e-09,1.781575961357741e-09,1.7816866109902972e-09,1.7809182388971806e-09,1.7810883905739407e-09,1.7815882499930642e-09,1.7813403362232255e-09,1.7817100026776987e-09
36,1.7080763573304198e-09,1.7217399319342872e-09,1.708352448358275e-09,1.7082738622308579e-09,1.7081010557950514e-09,1.7082440714571233e-09,1.7082813718557701e-09,1.7083937240763566e-09,1.7076789306416846e-09,1.7078469270199874e-09,1.7083243693406187e-09,1.7080701974090903e-09,1.7084161555679899e-09
37,1.520769778130081e-09,1.5310657233584225e-09,1.5210117105128978e-09,1.5209372706095241e-09,1.5207897702205384e-09,1.5209237361634659e-09,1.5209340531206105e-09,1.5210465115164741e-09,1.5204762731239814e-09,1.5205973993794507e-09,1.520996283630173e-09,1.5207690165350344e-09,1.5210661681014576e-09
38,1.6017694366543095e-09,1.6134703145405782e-09,1.6020330153290156e-09,1.6019470146726618e-09,1.6017904968762247e-09,1.6019305417803032e-09,1.6019375354796178e-09,1.6020690149652248e-09,1.6014258899207602e-09,1.6015715014917267e-09,1.602008376073471e-09,1.6017722196944609e-09,1.6020890097618036e-09
39,2.5918189151948623e-09,2.6289272136153117e-09,2.5922983086187754e-09,2.5921195108887055e-09,2.591879522511319e-09,2.5921245578018502e-09,2.592124265172463e-09,2.5923839686523505e-09,2.5906591423988053e-09,2.591127195364087e-09,2.5922427321920966e-09,2.5918240670471836e-09,2.5924281834925522e-09
40,2.428636405119604e-09,2.460226317472688e-09,2.429070620538887e-09,2.4289020737456828e-09,2.428685373948162e-09,2.428907156152881e-09,2.4289311263231297e-09,2.4291437459474884e-09,2.4276433327325236e-09,2.4280311565896213e-09,2.428961312431738e-09,2.4286385343965475e-09,2.4291839306783874e-09
41,2.0758983839144644e-09,2.0975519946587338e-09,2.0762539291666545e-09,2.076118922233071e-09,2.0759334426958423e-09,2.0761190382153503e-09,2.0761653879680306e-09,2.0763080895399724e-09,2.075242003276156e-09,2.0755089587627987e-09,2.076044350736088e-09,2.0759011779820583e-09,2.0763413502621355e-09
42,1.6821947891328939e-09,1.6953643843085194e-09,1.682480044573154e-09,1.6823922138298782e-09,1.6822172434389907e-09,1.682379790504223e-09,1.6824744100961766e-09,1.682515948589425e-09,1.6818100735527764e-09,1.6819880620696952e-09,1.6821225363305244e-09,1.6822002842774265e-09,1.6825403483766787e-09
43,1.762824307791091e-09,1.777554229196059e-09,1.7631336181416063e-09,1.7630430288583673e-09,1.7628510384909352e-09,1.7630241109738628e-09,1.7631358273990948e-09,1.7631724935550812e-09,1.7623863288611788e-09,1.7625986067566595e-09,1.7623945912011487e-09,1.7628383996724104e-09,1.7631970157013047e-09
44,1.7559706704273632e-09,1.770559553694555e-09,1.7562714480042405e-09,1.7561778506755739e-09,1.7559931475777914e-09,1.7561655605927062e-09,1.7562761766960917e-09,1.7563126497444282e-09,1.7555408042760243e-09,1.7557394645614028e-09,1.7555241923502054e-09,1.7559810831860534e-09,1.7563370273015073e-09
45,1.5867128795569995e-09,1.598147953825016e-09,1.5869842622201712e-09,1.5868985599926755e-09,1.586736386179597e-09,1.5868895953573173e-09,1.5869884585990322e-09,1.5870175587179487e-09,1.5863441355308176e-09,1.586538191347879e-09,1.5863725505551463e-09,1.58672230549311e-09,1.5870384568080466e-09
46,1.6075696343891559e-09,1.619373335303565e-09,1.607839705793494e-09,1.6077352815864651e-09,1.607590945559661e-09,1.6077455244939381e-09,1.6078014415631521e-09,1.607874226939762e-09,1.6071348312155124e-09,1.6073841245221092e-09,1.607208444303755e-09,1.6075755747928014e-09,1.6078950455994247e-09
47,1.7755140824932909e-09,1.7904940329028974e-09,1.7758142288180386e-09,1.775681219638318e-09,1.775537175476747e-09,1.7756987276829049e-09,1.7757231115314088e-09,1.775853682777127e-09,1.7749527300527397e-09,1.7752473452505601e-09,1.7750264263735118e-09,1.7755178850741485e-09,1.7758800391499955e-09
48,0.30187582329598434,0.00010343787260603336,4.104270139342126,1.1403048037711758,0.2636244394855308,1.271600094183946,1.3119191203737328,7.324623128666662,0.05375873930526097,0.08477337475233954,0.05892784520934036,0.3132478563213115,12.80904451176165
49,1.881692067407523e-09,1.8988750148051044e-09,1.8820024121004933e-09,1.8818605528916887e-09,1.881658249622656e-09,1.881879717331106e-09,1.881872062957544e-09,1.8820529706516057e-09,1.8810555813160893e-09,1.8813316430012574e-09,1.8810008565522183e-09,1.8817010787201788e-09,1.882081279796037e-09
50,2.8415623289978398e-09,2.8883904842459676e-09,2.8421278134081685e-09,2.8419145703080467e-09,2.8414487843458645e-09,2.8419518746263037e-09,2.8419079433355046e-09,2.842232189464258e-09,2.8399832193831634e-09,2.8404892880497744e-09,2.83979605966045e-09,2.8415807651601074e-09,2.8422829524518294e-09
51,3.6168157843861018e-09,3.7040305126363413e-09,3.617798029060716e-09,3.6174892197392945e-09,3.61662489464653e-09,3.6175803886202595e-09,3.6174854381972166e-09,3.617935638253046e-09,3.614713640455198e-09,3.615174183987407e-09,3.6146368854193912e-09,3.6168697063060694e-09,3.6179924357256037e-09
52,4.702917592902644e-09,4.869558264802753e-09,4.70481291578023e-09,4.704323993377021e-09,4.7025663520221546e-09,4.704432980746636e-09,4.704312098617383e-09,4.704966798721107e-09,4.700903568698598e-09,4.700955085702144e-09,4.701181528030623e-09,4.702995792097521e-09,4.705019957369855e-09
53,6.8945798600524836e-09,7.274677107225878e-09,6.8988541800233675e-09,6.8974117791097664e-09,6.894167125197411e-09,6.897736802093252e-09,6.897454358760571e-09,6.899165057556588e-09,6.8951157952591404e-09,6.8941474739143245e-09,6.895885236970739e-09,6.8946679351091665e-09,6.899268104114332e-09
54,4.643729133614916e-09,4.805407561916062e-09,4.645502749019014e-09,4.6449976382841576e-09,4.643451930703592e-09,4.6451120966294215e-09,4.6451575355786745e-09,4.64563400258931e-09,4.641609842765824e-09,4.641679863572771e-09,4.641867708508494e-09,4.64369727295342e-09,4.64571864365812e-09
55,0.16052656099043403,5.047849923859241e-05,2.0460837215112426,0.5676297747100072,0.14241071961809215,0.5998357150013822,0.73973026815316,3.565801529353529,0.031199582981195344,0.042773592468808595,0.020632009376149688,0.15247507593526774,5.931428487881279
56,8.46909073523341e-09,9.044772179707734e-09,8.474313491859146e-09,8.47244296145659e-09,8.469051509666204e-09,8.472487928950646e-09,8.473399737404958e-09,8.474682711411279e-09,8.471244574825114e-09,8.470034722657548e-09,8.472072423866974e-09,8.469018501317608e-09,8.474876825307493e-09
57,3.219515948135216e-09,3.284031397938287e-09,3.2202353570581765e-09,3.2200436268926963e-09,3.219551832790205e-09,3.220020447692665e-09,3.220204682980093e-09,3.2203105407031787e-09,3.217773188051313e-09,3.218360541956123e-09,3.219384758391896e-09,3.21950745807109e-09,3.2203585101272766e-09
58,2.752637981353892e-09,2.7957857174291788e-09,2.7531719821740263e-09,2.753004149016408e-09,2.7526763297922987e-09,2.752979956693573e-09,2.7531569162454205e-09,2.753230796397568e-09,2.751262866162733e-09,2.7518116840441806e-09,2.752904567678987e-09,2.752637981353892e-09,2.753270791291067e-09
59,1.9730400511530625e-09,1.9922225860724874e-09,1.9733700703194157e-09,1.9732506588875066e-09,1.9730500624824954e-09,1.9732242463996253e-09,1.9733561429880982e-09,1.97340396842667e-09,1.9724640038789676e-09,1.9726557994594937e-09,1.973242755338967e-09,1.973031091652739e-09,1.9734286890176834e-09
60,1.7227907135798037e-09,1.7367196802886244e-09,1.7230781647698434e-09,1.7229793915533295e-09,1.722799742832149e-09,1.7229566106662899e-09,1.7230539192102661e-09,1.7231047272492404e-09,1.7223907105731608e-09,1.7225400088375486e-09,1.7229963870169789e-09,1.722785034242527e-09,1.7231265234150137e-09
61,1.8206567010435032e-09,1.8365347988587463e-09,1.8209655518007987e-09,1.820850389489713e-09,1.8206679096681104e-09,1.820831407808141e-09,1.820916899346855e-09,1.820991418179768e-09,1.820186611647516e-09,1.8203789584675584e-09,1.820875538934045e-09,1.8206454496163542e-09,1.821018153187061e-09
