,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Waste,Wind Onshore
0,2.636805479936048e-10,2.6370196543567685e-10,2.63718480092904e-10,2.6242541183839766e-10,2.6346616857648174e-10,2.6242541183839766e-10,2.637285518173849e-10,2.6367036518746813e-10,2.6355470839766086e-10,2.635786273308827e-10,2.6367269483297165e-10
1,2.246256663354158e-10,2.2464397272908418e-10,2.2465436020410747e-10,2.2360756502025086e-10,2.244687340265145e-10,2.2360756502025086e-10,2.2466191903098934e-10,2.246184242018159e-10,2.2452191278007152e-10,2.2455433312209527e-10,2.2463096083692068e-10
2,1.7788321750110751e-10,1.779006302752521e-10,1.7790679015638824e-10,1.7718402473717312e-10,1.7778578115225275e-10,1.7718402473717312e-10,1.779113673434997e-10,1.778813776423859e-10,1.777970006299636e-10,1.778405440837791e-10,1.7789151742628154e-10
3,1.650410175897277e-10,1.6505722977376705e-10,1.6506252632233654e-10,1.6443148621484224e-10,1.6495836383088533e-10,1.6443148621484224e-10,1.6506739889096083e-10,1.6504146264281432e-10,1.6496805183792098e-10,1.6500540592930344e-10,1.650517352732607e-10
4,1.6838558676692123e-10,1.6840296174587068e-10,1.6840835365917647e-10,1.6775334943594368e-10,1.682998670649975e-10,1.6775334943594368e-10,1.6841348656511584e-10,1.6838729125681864e-10,1.683099600246339e-10,1.6834895427271028e-10,1.683968465361396e-10
5,1.6497425068607809e-10,1.6499024674941878e-10,1.6499688337199278e-10,1.6436421147779888e-10,1.6489090170740844e-10,1.6436421147779888e-10,1.6500034060863682e-10,1.6497742738309823e-10,1.6490457353838833e-10,1.649389514161933e-10,1.6498080621268312e-10
6,1.6703376280346853e-10,1.6704620669725665e-10,1.670528530089636e-10,1.6640718203553236e-10,1.6694545747867053e-10,1.6640718203553236e-10,1.6705618760370246e-10,1.6703400818178098e-10,1.6698218144904276e-10,1.6699678545608484e-10,1.6703355419364656e-10
7,1.69880251428065e-10,1.6989080470745257e-10,1.698977015081127e-10,1.692314152064819e-10,1.6978644477392334e-10,1.692314152064819e-10,1.6990138561113538e-10,1.6987797267126532e-10,1.6982903250651695e-10,1.6983782692987796e-10,1.698744387679611e-10
8,1.7863158784960077e-10,1.7864403408135368e-10,1.7865130536997547e-10,1.7792135928107582e-10,1.7852778762554815e-10,1.7792135928107582e-10,1.786552896463596e-10,1.7862849061574883e-10,1.7857735733899165e-10,1.7858431248633223e-10,1.7861176023984913e-10
9,2.5949723180887034e-10,2.59519458118117e-10,2.5953438560743783e-10,2.5826750041418795e-10,2.59290012063539e-10,2.5826750041418795e-10,2.595426067769002e-10,2.5949165266730366e-10,2.593944377787634e-10,2.594073087282233e-10,2.594257759688563e-10
10,3.1318420020224446e-10,3.1321201898209087e-10,3.1323370579085376e-10,3.1168578779878497e-10,3.128908818751067e-10,3.1168578779878497e-10,3.132469671106406e-10,3.131764205569892e-10,3.130389620791279e-10,3.1303688421620177e-10,3.1314549019620297e-10
11,3.5995590853983e-10,3.5998853797535574e-10,3.6001801378284727e-10,3.582661910998231e-10,3.5957559356717515e-10,3.582661910998231e-10,3.6003429561904486e-10,3.5994435389435024e-10,3.597596284386054e-10,3.5977486718070654e-10,3.5989304207501357e-10
12,4.168677193559644e-10,4.169102296576758e-10,4.169486240972774e-10,4.149908659616728e-10,4.1637412965039074e-10,4.149908659616728e-10,4.169686538403759e-10,4.168557503795473e-10,4.166054945685386e-10,4.166283820448809e-10,4.1671080278556933e-10
13,4.183433836146897e-10,4.183870348944699e-10,4.1842459006554606e-10,4.164635995503222e-10,4.1784779027835376e-10,4.164635995503222e-10,4.184445344181104e-10,4.183302535169931e-10,4.180802034903179e-10,4.181091302490541e-10,4.180483031936183e-10
14,5.16798623235403e-10,5.168631641827283e-10,5.169156994226765e-10,5.147162449058811e-10,5.160837478652686e-10,5.147162449058811e-10,5.169456544808682e-10,5.167803176385504e-10,5.163949096509545e-10,5.164333178476508e-10,5.155194301687722e-10
15,4.763891609907901e-10,4.764465960706966e-10,4.764933978480877e-10,4.743679144827398e-10,4.757678097833298e-10,4.743679144827398e-10,4.76520286934066e-10,4.763696125883083e-10,4.760467207982248e-10,4.760681154954704e-10,4.753805649404318e-10
16,1.2841434226720424e-09,1.2845848485766526e-09,1.2848498676210536e-09,1.295563753214445e-09,1.2802249266251054e-09,1.295563753214445e-09,1.285015172888078e-09,1.284013556240805e-09,1.2821290514543143e-09,1.282301456255936e-09,1.2790829966425792e-09
17,1.5512791045736294,3.6651465495629107,9.087965554106365,0.00133157341922686,0.06657850540858759,0.00133157341922686,25.695972928973728,1.195084117779561,0.1864198093755785,0.21305121025759438,0.01775427047183756
18,1.0372998894856968,2.3284537542922745,5.8430183422116775,0.0008753638943385716,0.043767932501899545,0.0008753638943385716,16.918492426549623,0.8315906296679269,0.11379661668661765,0.1313037877344141,0.0459563288821418
19,0.36216613437864176,0.8234514035139792,2.023555558281303,0.0003049996261520103,0.015249114178006694,0.0003049996261520103,5.902164093986529,0.2866830903403818,0.039647673636475124,0.04650976851965864,0.03126066879500129
20,1.4246090198691453e-09,1.425077625602247e-09,1.4254225946540924e-09,1.442024015624608e-09,1.4200002588691047e-09,1.442024015624608e-09,1.4256119107130339e-09,1.4244514226173646e-09,1.4220086579495081e-09,1.4224710515308035e-09,1.422312316072521e-09
21,1.2422609612378857e-09,1.2426780011821998e-09,1.2429077190653124e-09,1.2520871787450829e-09,1.238561334621831e-09,1.2520871787450829e-09,1.2430546591258536e-09,1.2421339594691428e-09,1.2402082060525038e-09,1.2406047943490089e-09,1.2406047943490089e-09
22,1.5168038633697541e-09,1.5173682298021192e-09,1.5177275804535236e-09,1.5385707811814775e-09,1.511752866088195e-09,1.5385707811814775e-09,1.5179572490685776e-09,1.5166320954842753e-09,1.513787468082554e-09,1.5144409669196753e-09,1.5146772332987845e-09
23,9.704421258653811e-10,9.706742179371415e-10,9.7084162198353e-10,9.72225311684847e-10,9.681151488227171e-10,9.72225311684847e-10,9.70934924898205e-10,9.703577307338672e-10,9.691054328003533e-10,9.693957110565079e-10,9.694415392751778e-10
24,1.534686655016075e-09,1.5352282595385763e-09,1.5355933309670587e-09,1.5573444379502583e-09,1.5295577792200988e-09,1.5573444379502583e-09,1.5358655995169578e-09,1.5344254068259645e-09,1.5313301758960595e-09,1.5319732213863426e-09,1.5320897586980405e-09
25,3.1651755009332817e-09,3.1671344817497944e-09,3.1683575922542283e-09,3.3229941123919688e-09,3.157807742018837e-09,3.3229941123919688e-09,3.1694056003035856e-09,3.1641920798782834e-09,3.156943265465034e-09,3.157218691619954e-09,3.157021774360614e-09
26,2.073068112619067e-09,2.074298831821665e-09,2.0749616461772185e-09,2.128071713345989e-09,2.0664346701912725e-09,2.128071713345989e-09,2.0754086518977037e-09,2.0729519264212135e-09,2.0665585859482076e-09,2.068802515279697e-09,2.0666813307985933e-09
