,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
0,4.907071084501384e-15,4.9070710839806096e-15,4.9070710839806096e-15,4.9070710843985165e-15,4.9070710839806096e-15,4.9070710839806096e-15,4.9070710839806096e-15,4.9070710839806096e-15,4.9070710839806096e-15,4.9070710839806096e-15,4.907071084445533e-15,4.9070710839806096e-15,4.9070710839806096e-15,4.9070710839806096e-15,4.907071084411037e-15,4.9070710839806096e-15,4.9070710839806096e-15,4.907071084418169e-15,4.9070710839806096e-15,4.907071084427988e-15
1,5.558884471640387e-15,5.5588844713123215e-15,5.5588844713123215e-15,5.55888447152852e-15,5.5588844713123215e-15,5.5588844713123215e-15,5.5588844713123215e-15,5.5588844713123215e-15,5.5588844713123215e-15,5.5588844713123215e-15,5.558884471561059e-15,5.5588844713123215e-15,5.5588844713123215e-15,5.5588844713123215e-15,5.55888447144976e-15,5.5588844713123215e-15,5.5588844713123215e-15,5.558884471438716e-15,5.5588844713123215e-15,5.558884471540536e-15
2,2.05806903126061e-12,2.0580534275771334e-12,2.0580534275771334e-12,2.0580690279265228e-12,2.0580534275771334e-12,2.0580534275771334e-12,2.0580534275771334e-12,2.0580534275771334e-12,2.0580534275771334e-12,2.0580534275771334e-12,2.058069046893354e-12,2.0580534275771334e-12,2.0580534275771334e-12,2.0580534275771334e-12,2.058068990825327e-12,2.0580534275771334e-12,2.0580534275771334e-12,2.0580689795974227e-12,2.0580534275771334e-12,2.0580690565041008e-12
3,2.206858743768211e-12,2.206839506614956e-12,2.206839506614956e-12,2.2068587396574464e-12,2.206839506614956e-12,2.206839506614956e-12,2.206839506614956e-12,2.206839506614956e-12,2.206839506614956e-12,2.206839506614956e-12,2.2068587562094403e-12,2.206839506614956e-12,2.206839506614956e-12,2.206839506614956e-12,2.2068586897386603e-12,2.206839506614956e-12,2.206839506614956e-12,2.2068586800702696e-12,2.206839506614956e-12,2.2068587746008965e-12
4,2.127606464636867e-12,2.1275892251661633e-12,2.1275892251661633e-12,2.1276064603015034e-12,2.1275892251661633e-12,2.1275892251661633e-12,2.1275892251661633e-12,2.1275892251661633e-12,2.1275892251661633e-12,2.1275892251661633e-12,2.1276064751335627e-12,2.1275892251661633e-12,2.1275892251661633e-12,2.1275892251661633e-12,2.1276064155698312e-12,2.1275892251661633e-12,2.1275892251661633e-12,2.1276064069060837e-12,2.1275892251661633e-12,2.127606491150946e-12
5,1.605130650281584e-12,1.6051232459842148e-12,1.6051232459842148e-12,1.6051306484200075e-12,1.6051232459842148e-12,1.6051232459842148e-12,1.6051232459842148e-12,1.6051232459842148e-12,1.6051232459842148e-12,1.6051232459842148e-12,1.6051306574861526e-12,1.6051232459842148e-12,1.6051232459842148e-12,1.6051232459842148e-12,1.60513062921204e-12,1.6051232459842148e-12,1.6051232459842148e-12,1.6051306254917758e-12,1.6051232459842148e-12,1.6051306617957086e-12
6,2.552119761044715e-13,2.5521194632904716e-13,2.5521194632904716e-13,2.5521197609690653e-13,2.5521194632904716e-13,2.5521194632904716e-13,2.5521194632904716e-13,2.5521194632904716e-13,2.5521194632904716e-13,2.5521194632904716e-13,2.552119761334406e-13,2.5521194632904716e-13,2.5521194632904716e-13,2.5521194632904716e-13,2.5521197601964996e-13,2.5521194632904716e-13,2.5521194632904716e-13,2.552119760046888e-13,2.5521194632904716e-13,2.5521197615157315e-13
7,1.600183180818598e-12,1.6001758447691224e-12,1.6001758447691224e-12,1.6001831789741727e-12,1.6001758447691224e-12,1.6001758447691224e-12,1.6001758447691224e-12,1.6001758447691224e-12,1.6001758447691224e-12,1.6001758447691224e-12,1.6001831879567143e-12,1.6001758447691224e-12,1.6001758447691224e-12,1.6001758447691224e-12,1.6001831599433317e-12,1.6001758447691224e-12,1.6001824596755574e-12,1.6001831562573697e-12,1.6001758447691224e-12,1.6001831925570502e-12
8,1.6096204618015866e-12,1.6096129954839082e-12,1.6096129954839082e-12,1.6096204598449845e-12,1.6096129954839082e-12,1.6096129954839082e-12,1.6096129954839082e-12,1.6096129954839082e-12,1.6096129954839082e-12,1.6096129954839082e-12,1.6096204693490086e-12,1.6096129954839082e-12,1.6096129954839082e-12,1.6096129954839082e-12,1.6096204370853588e-12,1.6096129954839082e-12,1.6096197281045712e-12,1.6096204370853588e-12,1.6096129954839082e-12,1.6096204742887083e-12
9,1.5926681501915618e-12,1.5926609172354413e-12,1.5926609172354413e-12,1.592668148296126e-12,1.5926609172354413e-12,1.5926609172354413e-12,1.5926609172354413e-12,1.5926609172354413e-12,1.5926609172354413e-12,1.5926609172354413e-12,1.5926681575030468e-12,1.5926609172354413e-12,1.5926609172354413e-12,1.5926609172354413e-12,1.5926681298822648e-12,1.5926609172354413e-12,1.5926678019051325e-12,1.5926681262479692e-12,1.5926609172354413e-12,1.5926681624219506e-12
