,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
0,5.739265985622561e-08,5.739265985622561e-08,5.739265985622561e-08,2.0808828603039888e-08,5.739265985622561e-08,5.739265985622561e-08,5.739265985622561e-08,5.739265985622561e-08,5.739265985622561e-08,5.739265985622561e-08,2.0760965192533648e-08,2.1049036532638342e-08,5.739265985622561e-08,5.739265985622561e-08,2.1488220574753006e-08,5.739265985622561e-08,5.739265985622561e-08,5.739265985622561e-08,5.739265985622561e-08,2.0748085603606543e-08
1,4.52463940600608e-05,4.52463940600608e-05,4.52463940600608e-05,0.15667633220661645,4.52463940600608e-05,4.52463940600608e-05,4.52463940600608e-05,4.52463940600608e-05,4.52463940600608e-05,4.52463940600608e-05,0.4393258028976596,5.506246511100204,4.52463940600608e-05,4.52463940600608e-05,0.02257586568288776,4.52463940600608e-05,4.52463940600608e-05,4.52463940600608e-05,4.52463940600608e-05,0.33005875504908355
2,2.6257198343761504e-09,2.6257198343761504e-09,2.6257198343761504e-09,2.3320807441878906e-09,2.6257198343761504e-09,2.6257198343761504e-09,2.6257198343761504e-09,2.6257198343761504e-09,2.6257198343761504e-09,2.6257198343761504e-09,2.3357523030665246e-09,2.337798320324123e-09,2.6257198343761504e-09,2.6257198343761504e-09,2.3102330491919582e-09,2.6257198343761504e-09,2.6257198343761504e-09,2.6257198343761504e-09,2.6257198343761504e-09,2.334959723606566e-09
3,1.8725180269555843e-09,1.8725180269555843e-09,1.8725180269555843e-09,1.7480471682705614e-09,1.8725180269555843e-09,1.8725180269555843e-09,1.8725180269555843e-09,1.8725180269555843e-09,1.8725180269555843e-09,1.8725180269555843e-09,1.7496829922640421e-09,1.7505486017007548e-09,1.8725180269555843e-09,1.8725180269555843e-09,1.7367302394863807e-09,1.8725180269555843e-09,1.8725180269555843e-09,1.8725180269555843e-09,1.8725180269555843e-09,1.7492834805502846e-09
4,2.2887889336508806e-09,2.2887889336508806e-09,2.2887889336508806e-09,2.077367041466194e-09,2.2887889336508806e-09,2.2887889336508806e-09,2.2887889336508806e-09,2.2887889336508806e-09,2.2887889336508806e-09,2.2887889336508806e-09,2.080038701754801e-09,2.081469102848631e-09,2.2887889336508806e-09,2.2887889336508806e-09,2.0604454301181354e-09,2.2887889336508806e-09,2.2887889336508806e-09,2.2887889336508806e-09,2.2887889336508806e-09,2.079354427474879e-09
5,1.8428187425379074e-09,1.8428187425379074e-09,1.8428187425379074e-09,1.7238656034773015e-09,1.8428187425379074e-09,1.8428187425379074e-09,1.8428187425379074e-09,1.8428187425379074e-09,1.8428187425379074e-09,1.8428187425379074e-09,1.7254363603732815e-09,1.7262639726392507e-09,1.8428187425379074e-09,1.8428187425379074e-09,1.7127045733113934e-09,1.8428187425379074e-09,1.8428187425379074e-09,1.8428187425379074e-09,1.8428187425379074e-09,1.7249706473241587e-09
6,2.412747839883432e-09,2.412747839883432e-09,2.412747839883432e-09,2.1721087406662977e-09,2.412747839883432e-09,2.412747839883432e-09,2.412747839883432e-09,2.412747839883432e-09,2.412747839883432e-09,2.412747839883432e-09,2.1751309657606023e-09,2.176763583851447e-09,2.412747839883432e-09,2.412747839883432e-09,2.153122155797925e-09,2.412747839883432e-09,2.412747839883432e-09,2.412747839883432e-09,2.412747839883432e-09,2.1741838232366937e-09
7,2.5957336540035716e-09,2.5957336540035716e-09,2.5957336540035716e-09,2.3098094756228246e-09,2.5957336540035716e-09,2.5957336540035716e-09,2.5957336540035716e-09,2.5957336540035716e-09,2.5957336540035716e-09,2.5957336540035716e-09,2.3133862906352944e-09,2.3153763119254732e-09,2.5957336540035716e-09,2.5957336540035716e-09,2.2880452162565226e-09,2.5957336540035716e-09,2.5957336540035716e-09,2.5957336540035716e-09,2.5957336540035716e-09,2.31223722014571e-09
8,1.922140919522107e-09,1.922140919522107e-09,1.922140919522107e-09,1.7882936451956897e-09,1.922140919522107e-09,1.922140919522107e-09,1.922140919522107e-09,1.922140919522107e-09,1.922140919522107e-09,1.922140919522107e-09,1.7900337453369792e-09,1.7909669786684864e-09,1.922140919522107e-09,1.922140919522107e-09,1.7761074173438201e-09,1.922140919522107e-09,1.922140919522107e-09,1.922140919522107e-09,1.922140919522107e-09,1.7894100255406659e-09
9,1.864934278850978e-09,1.864934278850978e-09,1.864934278850978e-09,1.741906349991585e-09,1.864934278850978e-09,1.864934278850978e-09,1.864934278850978e-09,1.864934278850978e-09,1.864934278850978e-09,1.864934278850978e-09,1.7435388633359332e-09,1.744386518796837e-09,1.864934278850978e-09,1.864934278850978e-09,1.7304607638009064e-09,1.864934278850978e-09,1.864934278850978e-09,1.864934278850978e-09,1.864934278850978e-09,1.742753319991566e-09
10,8.386109179633246e-08,8.386109179633246e-08,8.386109179633246e-08,2.6215071173623536e-08,8.386109179633246e-08,8.386109179633246e-08,8.386109179633246e-08,8.386109179633246e-08,8.386109179633246e-08,8.386109179633246e-08,2.600351030646533e-08,2.6272269466675034e-08,8.386109179633246e-08,8.386109179633246e-08,2.7344200335984586e-08,8.386109179633246e-08,8.386109179633246e-08,8.386109179633246e-08,8.386109179633246e-08,2.6110570737364114e-08
11,1.3805710232913353e-08,1.3805710232913353e-08,1.3805710232913353e-08,7.922409442412493e-09,1.3805710232913353e-08,1.3805710232913353e-08,1.3805710232913353e-08,1.3805710232913353e-08,1.3805710232913353e-08,1.3805710232913353e-08,7.983122550219492e-09,8.037823160217872e-09,1.3805710232913353e-08,1.3805710232913353e-08,7.885357241102441e-09,1.3805710232913353e-08,1.3805710232913353e-08,1.3805710232913353e-08,1.3805710232913353e-08,7.940876816541195e-09
12,7.739984982943105e-08,7.739984982943105e-08,7.739984982943105e-08,2.5005067910213912e-08,7.739984982943105e-08,7.739984982943105e-08,7.739984982943105e-08,7.739984982943105e-08,7.739984982943105e-08,7.739984982943105e-08,2.4836744346001415e-08,2.5155085001606193e-08,7.739984982943105e-08,7.739984982943105e-08,2.602494128660635e-08,7.739984982943105e-08,7.739984982943105e-08,7.739984982943105e-08,7.739984982943105e-08,2.494324597848386e-08
13,0.0002008958249319317,0.0002008958249319317,0.0002008958249319317,0.7031008150592646,0.0002008958249319317,0.0002008958249319317,0.0002008958249319317,0.0002008958249319317,0.0002008958249319317,0.0002008958249319317,2.0189037571533657,25.801790827277237,0.0002008958249319317,0.0002008958249319317,0.09843411947290946,0.0002008958249319317,0.0002008958249319317,0.0002008958249319317,0.0002008958249319317,0.8356855389998977
14,0.00015976361463662731,0.00015976361463662731,0.00015976361463662731,0.5575268844397202,0.00015976361463662731,0.00015976361463662731,0.00015976361463662731,0.00015976361463662731,0.00015976361463662731,0.00015976361463662731,1.603888214349055,20.936811594124194,0.00015976361463662731,0.00015976361463662731,0.07827742034075395,0.00015976361463662731,0.00015976361463662731,0.00015976361463662731,0.00015976361463662731,0.6741442540389576
15,0.00014821724611900446,0.00014821724611900446,0.00014821724611900446,0.5157424917687352,0.00014821724611900446,0.00014821724611900446,0.00014821724611900446,0.00014821724611900446,0.00014821724611900446,0.00014821724611900446,1.4894287317471824,20.88757057960767,0.00014821724611900446,0.00014821724611900446,0.07261892137206476,0.00014821724611900446,0.00014821724611900446,0.00014821724611900446,0.00014821724611900446,0.5957714977997125
16,0.00014269796318937256,0.00014269796318937256,0.00014269796318937256,0.49653235780012017,0.00014269796318937256,0.00014269796318937256,0.00014269796318937256,0.00014269796318937256,0.00014269796318937256,0.00014269796318937256,1.4325243719790766,21.280976975854436,0.00014269796318937256,0.00014269796318937256,0.06991404648031534,0.00014269796318937256,0.00014269796318937256,0.00014269796318937256,0.00014269796318937256,0.5521782245005922
