,Biomass,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Solar,Wind Onshore
0,9.109369355883891e-10,9.109468346122604e-10,9.109019766012252e-10,9.109518333788778e-10,9.108972789271489e-10,9.106446279892069e-10,9.10618378986076e-10,9.181190723808151e-10,9.110810417538216e-10
1,1.1585873032547834e-09,1.1586871987935043e-09,1.1586261700254543e-09,1.1586820335678448e-09,1.1586320893689317e-09,1.1584029013657998e-09,1.1585438981277007e-09,1.1753020580370482e-09,1.1588727156720176e-09
2,6.094862296830993e-10,6.095300507307294e-10,6.09504382338876e-10,6.095218912959523e-10,6.09496745174195e-10,6.093847150071396e-10,6.09456571129733e-10,6.102864036506236e-10,6.095877169494782e-10
3,2.7563046785938317e-10,2.756413205868683e-10,2.7563504127567497e-10,2.756482146893465e-10,2.756281084012167e-10,2.7561852278381033e-10,2.7562463448232224e-10,2.749937140084981e-10,2.756567449710091e-10
4,2.3129751212849876e-10,2.3130602491133107e-10,2.3130116659572812e-10,2.3130133495328215e-10,2.3129495843645525e-10,2.3127557142701432e-10,2.312929236744433e-10,2.3074046326253863e-10,2.3131823490156414e-10
5,1.9130633783064984e-10,1.913129509068519e-10,1.913093226905407e-10,1.9128439993279834e-10,1.9130411124448936e-10,1.9128962330890715e-10,1.913028230641298e-10,1.9085360281682453e-10,1.913222335133925e-10
6,1.231643067611346e-10,1.2316731240109512e-10,1.2316566994384761e-10,1.2293613082730398e-10,1.2316275126758022e-10,1.231553239012141e-10,1.2316252469175765e-10,1.2293613082730398e-10,1.23171772223519e-10
7,1.0067914742760286e-10,1.0068116037260424e-10,1.0068003106355258e-10,1.0052158400789912e-10,1.006781269537296e-10,1.0067316761056667e-10,1.0067794530045366e-10,1.0052158400789912e-10,1.0068436768170829e-10
8,8.5455588674997e-11,8.545711175305321e-11,8.545629003150415e-11,8.533984660355716e-11,8.545485308703882e-11,8.545128066150431e-11,8.545478716073598e-11,8.533984660355716e-11,8.54595067813547e-11
9,9.052424710609076e-11,9.052589308005663e-11,9.052499099780974e-11,9.039540649270058e-11,9.052406690392211e-11,9.051970630894858e-11,9.052334983098068e-11,9.051618961669975e-11,9.052848667041987e-11
10,1.0144454113572154e-10,1.0144653878765141e-10,1.0144543000546354e-10,1.0128483743593267e-10,1.0144431793611729e-10,1.014423429654003e-10,1.0144342763539637e-10,1.0144310571487553e-10,1.0144979691970134e-10
11,9.862671838313804e-11,9.862865002791195e-11,9.862758814169328e-11,9.847509153228095e-11,9.862677395837127e-11,9.862400893788137e-11,9.86256399419125e-11,9.86269845039643e-11,9.863167871530418e-11
12,1.3186693484270072e-10,1.3187021474499387e-10,1.3186840636848544e-10,1.3160902207154915e-10,1.3186696733285354e-10,1.318620549751321e-10,1.318645066221107e-10,1.3186812246812123e-10,1.3187564885696742e-10
13,1.563680814498685e-10,1.5637263285097577e-10,1.5637009019149349e-10,1.56026086677576e-10,1.5636903795469896e-10,1.5635436352712415e-10,1.5636498525800977e-10,1.5636962326387986e-10,1.5638029823478047e-10
14,1.4860177185538556e-10,1.4860590122302262e-10,1.4860366483092943e-10,1.482864656544479e-10,1.4860107264635674e-10,1.4858805687424436e-10,1.4859878466599806e-10,1.4860205305636166e-10,1.4861283541631822e-10
15,1.4882725370052828e-10,1.4883112739233138e-10,1.4882887023144899e-10,1.4851109894093768e-10,1.4882678529191797e-10,1.4881440318357662e-10,1.488243755293544e-10,1.488264074928342e-10,1.488379465375256e-10
16,1.533816729669965e-10,1.5338589262680852e-10,1.533835084536618e-10,1.5305003465549174e-10,1.5338120910998401e-10,1.533683655185793e-10,1.5337855747263974e-10,1.5337758463039982e-10,1.533933821340478e-10
17,1.7348531528458601e-10,1.73490740892572e-10,1.734877315374346e-10,1.7347160580405496e-10,1.7348492126034987e-10,1.7346978859087148e-10,1.734811197664492e-10,1.7346675684930137e-10,1.7349987905339927e-10
18,2.1055370875414672e-10,2.1056148222102494e-10,2.105571484961214e-10,2.1054484342277373e-10,2.1055428241215493e-10,2.1054202830683896e-10,2.1054874315220337e-10,2.1034975617936397e-10,2.105748936905882e-10
