,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other
0,0.4185221699346623,245.42140013824604,0.16740886829273877,0.008370443920560069,103.45868027686745,0.008370443920560069,5.4407882027668295
1,0.3514201950176618,207.40819872618835,0.14056807838670599,0.007028404522908861,87.57391244117659,0.007028404522908861,4.63874656650543
2,0.2078882899009752,122.94513401572952,0.08315531660201621,0.004157766861311716,46.52539904145139,0.004157766861311716,2.70254775587462
3,2.2356547371569333e-09,2.239877269688277e-09,2.23937279334348e-09,2.3388668800921624e-09,2.2395581914660987e-09,2.3388668800921624e-09,2.2376778689115977e-09
4,4.951761240444463e-10,4.956957179714527e-10,4.948846972574629e-10,4.953573888037268e-10,4.956710905173976e-10,4.953573888037268e-10,4.954929379806393e-10
5,4.666298621666663e-10,4.670965005419562e-10,4.663707085036671e-10,4.6661332614002e-10,4.67071441502691e-10,4.6661332614002e-10,4.669110107071573e-10
6,4.509946037398429e-10,4.5143414433047435e-10,4.507530155427775e-10,4.5088633366620827e-10,4.5140758947192584e-10,4.5088633366620827e-10,4.5125849438441546e-10
7,5.07341273134661e-10,5.078863096742359e-10,5.070361056687088e-10,5.076192132268882e-10,5.078507964544606e-10,5.076192132268882e-10,5.076722762320269e-10
8,5.503479293149765e-10,5.509818248241714e-10,5.499949770984671e-10,5.51030241632451e-10,5.509469460565913e-10,5.51030241632451e-10,5.507407504249954e-10
9,8.171795656946504e-10,8.184970015014551e-10,8.166630247268299e-10,8.229131258247745e-10,8.184493727557953e-10,8.229131258247745e-10,8.180922486345249e-10
10,9.821778184167244e-10,9.840023143721372e-10,9.817373241848378e-10,9.933480431496503e-10,9.839499530708936e-10,9.828432157830437e-10,9.83505871234439e-10
11,1.6021848754386992e-09,1.605697532924729e-09,1.6029705394969148e-09,1.6476025814097229e-09,1.6055758934106e-09,1.6036682158262522e-09,1.6046390031725479e-09
12,2.4898467456009934e-09,2.493882933150108e-09,2.4954740840245028e-09,2.623162828414652e-09,2.49366218286957e-09,2.623162828414652e-09,2.491295838954505e-09
