,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
0,0.0020746884065345104,0.0020746884065345104,0.0020746884065345104,0.0020746884065345104,0.0020746884065345104,0.0020746884065345104,0.0020746884065345104,0.0020746884065345104,0.0020746884065345104,0.0020746884065345104,0.0020746884065345104,103.69289578066628,0.0020746884065345104,177.21983108368408,23.506212669446214,0.0020746884065345104,0.0020746884065345104,0.0020746884065345104,0.0020746884065345104,45.933587687099234
1,0.00028416773291864666,0.00028416773291864666,0.00028416773291864666,0.00028416773291864666,0.00028416773291864666,0.00028416773291864666,0.00028416773291864666,0.00028416773291864666,0.00028416773291864666,0.00028416773291864666,0.00028416773291864666,12.52300507886997,0.00028416773291864666,24.273090393690374,3.2252350304716693,0.00028416773291864666,0.00028416773291864666,0.00028416773291864666,0.00028416773291864666,6.248715266261913
2,3.608190383853826e-10,3.608190383853826e-10,3.608190383853826e-10,3.608190383853826e-10,3.608190383853826e-10,3.608190383853826e-10,3.608190383853826e-10,3.608190383853826e-10,3.608190383853826e-10,3.608190383853826e-10,3.608190383853826e-10,3.687598222974717e-10,3.608190383853826e-10,3.6876086316326313e-10,3.6875405852123835e-10,3.608190383853826e-10,3.608190383853826e-10,3.608190383853826e-10,3.608190383853826e-10,3.687579306047881e-10
3,3.2348752937090603e-10,3.2348752937090603e-10,3.2348752937090603e-10,3.2348752937090603e-10,3.2348752937090603e-10,3.2348752937090603e-10,3.2348752937090603e-10,3.2348752937090603e-10,3.2348752937090603e-10,3.2348752937090603e-10,3.2348752937090603e-10,3.311524192734129e-10,3.2348752937090603e-10,3.311531849961735e-10,3.311477902935804e-10,3.2348752937090603e-10,3.2348752937090603e-10,3.2348752937090603e-10,3.2348752937090603e-10,3.311510221863331e-10
4,3.611362985640818e-10,3.611362985640818e-10,3.611362985640818e-10,3.611362985640818e-10,3.611362985640818e-10,3.611362985640818e-10,3.611362985640818e-10,3.611362985640818e-10,3.611362985640818e-10,3.611362985640818e-10,3.611362985640818e-10,3.6907918446989605e-10,3.611362985640818e-10,3.690802526866932e-10,3.690727639268114e-10,3.611362985640818e-10,3.611362985640818e-10,3.611362985640818e-10,3.611362985640818e-10,3.6907712827644425e-10
5,3.480187848709297e-10,3.480187848709297e-10,3.480187848709297e-10,3.480187848709297e-10,3.480187848709297e-10,3.480187848709297e-10,3.480187848709297e-10,3.480187848709297e-10,3.480187848709297e-10,3.480187848709297e-10,3.480187848709297e-10,3.558956120421175e-10,3.480187848709297e-10,3.5589651113204624e-10,3.5588979794241846e-10,3.480187848709297e-10,3.480187848709297e-10,3.480187848709297e-10,3.480187848709297e-10,3.5589376028764203e-10
6,4.0011000457929397e-10,4.0011000457929397e-10,4.0011000457929397e-10,4.0011000457929397e-10,4.0011000457929397e-10,4.0011000457929397e-10,4.0011000457929397e-10,4.0011000457929397e-10,4.0011000457929397e-10,4.0011000457929397e-10,4.0011000457929397e-10,4.0804228715810503e-10,4.0011000457929397e-10,4.0804348308608634e-10,4.080334619364083e-10,4.0011000457929397e-10,4.0011000457929397e-10,4.0011000457929397e-10,4.0011000457929397e-10,4.080394768374469e-10
7,3.378515573378449e-10,3.378515573378449e-10,3.378515573378449e-10,3.378515573378449e-10,3.378515573378449e-10,3.378515573378449e-10,3.378515573378449e-10,3.378515573378449e-10,3.378515573378449e-10,3.378515573378449e-10,3.378515573378449e-10,3.4565491007079766e-10,3.378515573378449e-10,3.4565550795488804e-10,3.456494297661251e-10,3.378515573378449e-10,3.378515573378449e-10,3.378515573378449e-10,3.378515573378449e-10,3.456531724405842e-10
8,3.165815373599509e-10,3.165815373599509e-10,3.165815373599509e-10,3.165815373599509e-10,3.165815373599509e-10,3.165815373599509e-10,3.165815373599509e-10,3.165815373599509e-10,3.165815373599509e-10,3.165815373599509e-10,3.165815373599509e-10,3.2416243244973686e-10,3.165815373599509e-10,3.2416283684852384e-10,3.2415785251450166e-10,3.165815373599509e-10,3.165815373599509e-10,3.165815373599509e-10,3.165815373599509e-10,3.2416098585770646e-10
9,2.8846447416322185e-10,2.8846447416322185e-10,2.8846447416322185e-10,2.8846447416322185e-10,2.8846447416322185e-10,2.8846447416322185e-10,2.8846447416322185e-10,2.8846447416322185e-10,2.8846447416322185e-10,2.8846447416322185e-10,2.8846447416322185e-10,2.9559808514916563e-10,2.8846447416322185e-10,2.955983282500782e-10,2.955946687488572e-10,2.8846447416322185e-10,2.8846447416322185e-10,2.8846447416322185e-10,2.8846447416322185e-10,2.955969906505996e-10
