,demand
0,773.6352293608978
1,1084.562909930917
2,1142.4596761827859
3,1143.3824812655703
4,990.6140277478752
5,1095.6792415279388
6,1255.4824154735757
7,1286.9738163367547
8,1094.3075302055872
9,1035.2474866322393
10,999.5745815527607
11,944.6008845296359
12,916.8763314281977
13,897.8962420560403
14,842.2748592409243
15,983.0377443297566
16,553.2304534444853
17,2.2930937047579077e-09
18,5.440653470500254e-09
19,0.8821203559700286
20,157.61728371470477
21,7.472379307928287e-10
22,1.0948789350642758e-09
23,862.5886441782063
24,1332.1355724713708
25,1432.4653556684302
26,1337.5431769108643
27,1267.715022678001
28,1304.4238804206263
29,1101.370893632548
30,633.4403435685535
31,203.0439209292858
32,36.1904899614996
33,9.645515388139911e-10
34,6.271735638670075e-10
35,7.159506283922834e-10
36,7.921705767669032e-10
37,8.708106686149503e-10
38,6.797987345844815e-10
39,9.601731847869729e-10
40,1.4603674498791258e-09
41,1.3611083498469405e-09
42,9.712396362062673e-10
43,1.0881908515660398e-09
44,1.6947030913777002e-09
45,5.412393826680207e-09
46,599.0107772899042
47,1011.3828456436111
48,916.7612575133172
49,917.9841524881878
50,906.3598380528681
51,1107.0788286852298
52,1138.0589066212874
53,1145.3789646004366
54,902.475354117539
55,757.7876925032133
56,683.3663076051628
57,517.9193562344082
58,536.0685731103376
59,360.31748540063853
60,213.33733834507322
61,109.40674701521579
62,1.359477341808968e-09
63,113.55100750990695
64,385.28603252342845
65,247.36223520842694
66,245.27124100728903
67,385.0871691777671
68,754.7535179103744
69,759.2784748222304
70,954.9361494870157
71,887.0924672035802
72,854.9325645339984
73,748.277270581829
74,1090.7949696284657
75,1191.264264112036
76,1212.7696246052299
77,841.4049329350655
78,99.44755621355652
79,5.97340212987301e-10
80,5.720854401291562e-10
81,4.895211817235578e-10
82,5.215261866629757e-10
83,8.395515869931496e-10
84,1.8431882041475952e-09
85,9.516952987432956e-10
86,1.0323937963873668e-09
87,2.534835314950242e-09
88,2.023622252426109e-09
89,1.77276711624889e-09
90,1.0400450391801335e-09
91,8.963312744964533e-10
92,1.0942516903864231e-09
93,9.209507637755669e-10
94,163.75383048399422
95,784.3973337361318
96,829.2093999104669
97,802.8748096099293
98,782.3838944044586
99,1188.5559193607055
100,1317.844456282077
101,1150.9585085450485
102,651.9081742522162
103,4.328473510961633e-09
104,8.631778883515777e-10
105,8.440260855935685e-10
106,8.255178074862099e-10
107,5.839769756173689e-10
108,5.776351278403961e-10
109,5.22047050614102e-10
110,5.765977349184303e-10
111,5.794255863968425e-10
112,7.527287198986632e-10
113,6.246726681874034e-10
114,5.275434042989634e-10
115,4.163320369382335e-10
116,4.07824380495578e-10
117,6.572460209940767e-10
118,1.2427940100496626e-09
119,42.58887278560619
120,10.479668944484475
121,205.67454808179224
122,386.56240854998487
123,735.4184329661197
124,692.9659690810768
125,726.6651779268377
126,556.8775356910526
127,67.04281220021859
128,4.876675405923606e-10
129,3.8698506350233363e-10
130,3.999917289662563e-10
131,4.116216349785167e-10
132,3.6483061170667533e-10
133,4.0750815761911823e-10
134,3.961405407351958e-10
135,4.775712978103785e-10
136,7.280392928733469e-10
137,5.849387291401472e-10
138,6.671141736641214e-10
139,5.327711555245188e-10
140,6.859849816840198e-10
141,8.025943363809307e-10
142,377.3716466506724
143,680.539282547954
144,907.0237427070664
145,1278.8474134397554
146,1326.1659509345861
147,1371.9639540539908
148,1406.8511449294517
149,1431.0420681575663
150,1403.6485224041292
151,1349.6362705030258
152,1166.1656936517884
153,1085.7466760610005
154,921.8972485723509
155,762.8047682029959
156,719.3176734133621
157,723.5517724710257
158,700.3576703357655
159,793.351308921911
160,235.8035716477581
161,1.9926235688320355e-09
162,9.715858246537913e-10
163,6.374150456995626e-10
164,6.333174210808882e-10
165,7.967036338620945e-10
166,1.0237423197799849e-09
167,441.8907606622951
168,1185.070093484169
169,1158.9128873301215
170,1087.9745576803018
171,1092.7699055788298
172,1168.083830650948
173,868.2513982171123
174,1.340090125441956e-09
175,8.162407071774407e-10
176,7.834224167841251e-10
177,6.667752113000082e-10
178,6.703869391847595e-10
179,6.146881717723631e-10
