,demand
0,6.815527309967807e-10
1,1.3954903060903218e-09
2,182.40424219557676
3,252.41194873874522
4,744.9378766601645
5,742.9712116766906
6,736.2897997516947
7,402.47666309506315
8,371.72301946138447
9,122.97592175554887
10,10.229130662206783
11,1.045780651628446e-09
12,4.2188655102874697e-10
13,4.770872784592553e-10
14,87.44698478692544
15,1.4014381513022936e-09
16,1.7703182694877714e-09
17,4.075321063888057e-09
18,6.486011921445006e-10
19,5.167936141457007e-09
20,1.421551077990635e-09
21,1.4634049530829853e-09
22,1.8471197043725595e-09
23,2.467098241914631e-09
24,54.45840717151991
25,585.439167869456
26,757.6667582187274
27,822.9367657495196
28,912.6247412294098
29,630.3871651304815
30,1.4907630610891747e-09
31,2.5287933089885657e-09
32,1.0957891170386097e-09
33,6.063666993581575e-10
34,7.70675967407767e-10
35,6.781746859645489e-10
36,1.0288889180700763e-09
37,2.193203852824211e-09
38,2.4795811212030116e-09
39,2.018291513126361e-09
40,6.1613624897503085e-09
41,1.5936545049678234e-09
42,3.781142582788061e-09
43,1.0283635171076423e-08
44,2.812055336183446e-09
45,1.4850376463721407e-09
46,1.3176195924866524e-09
47,6.825573694149744e-09
48,90.39092952260955
49,859.677760171104
50,413.06417705426725
51,960.6081946810832
52,952.3734592749166
53,692.4649352575741
54,435.95366636487483
55,1.9036961016593764e-09
56,1.2255500879924388e-09
57,9.34925116420583e-10
58,1.6393686761296676e-09
59,1.6355350121434378e-09
60,7.97522226451748
61,1.988024862837211e-09
62,5.420500466960404
63,237.22086331811653
64,122.47364241544241
65,1.7646755445974861e-09
66,1.7075585980630203e-09
67,1.5706386429938094e-09
68,1.527312815508973e-09
69,1.6377584674914002e-09
70,1.5606918444309289e-09
71,1.8018834589651707e-09
72,438.3745733992653
73,892.1307260335897
74,973.1669472272446
75,994.8023808428319
76,1000.7072602998584
77,970.9548238043433
78,1.0658221930291312e-09
79,1.2262101840909359e-09
80,3.332875889606647e-09
81,9.343915232992867e-10
82,1.836894893896598e-09
83,1.182638109549453e-09
84,2.081166061647194e-09
85,6.756432271505502e-10
86,5.400267448048786e-10
87,4.785822727134239e-10
88,5.20083263130971e-10
