,demand
0,6.886023693624e-11
1,6.640285430643273e-11
2,8.639983433855538e-11
3,9.630430312585752e-11
4,4.2996034970225814e-11
5,6.065089466044789e-11
6,8.909767169178204e-11
7,7.865184981220136e-11
8,8.844871148618143e-11
9,9.759658549044484e-11
10,7.6743743388552e-11
11,6.358035532050822e-11
12,7.280431339391085e-11
13,5.06349526194411e-11
14,4.3475818321366535e-11
15,5.414568259127464e-11
16,7.159971594191606e-11
17,7.339296350737985e-11
18,3.989025028141029e-11
19,6.88042679529017e-11
20,5.565803067888585e-11
21,1.0544575272401595e-10
22,1.2316237493854374e-10
23,1.1667441091691727e-10
24,1.0195529096366442e-10
25,1.1383470610870262e-10
26,1.0781393580730751e-10
27,9.64756122525267e-11
28,1.0473478470905806e-10
29,8.399595255166656e-11
30,8.067064409215932e-11
31,8.854676443760469e-11
32,1.010483551741548e-10
33,9.701197576450852e-11
34,8.529204564704066e-11
35,7.314274864859974e-11
36,6.729292067928988e-11
37,6.31184507184985e-11
38,5.5324285196035014e-11
39,7.78809259513752e-11
40,9.936553449885707e-11
41,1.011091165236774e-10
42,7.325055652422692e-11
43,8.110271889123426e-11
44,9.684921823301252e-11
45,1.2525307881793143e-10
46,1.6100815098248323e-10
47,1.550522683091632e-10
48,1.6570014970507413e-10
49,1.5031718087712764e-10
50,1.6867856976096416e-10
51,1.9278678918570323e-10
52,1.5045460385734115e-10
53,1.5057816831483212e-10
54,9.464187015477403e-11
55,1.3358913755232836e-10
56,9.63080924511531e-11
57,9.192540926152679e-11
58,9.861474674086372e-11
59,1.04181381086787e-10
60,1.302376649139573e-10
61,1.0553269385940133e-10
62,9.1337033837556e-11
63,8.572791144753802e-11
64,9.877042382920731e-11
65,8.625822066406266e-11
66,6.329197921794119e-11
67,4.992304936381137e-11
68,5.249650344175832e-11
69,6.583344342349189e-11
70,7.746037427200804e-11
71,1.1499414547263507e-10
72,2.3498109839475706e-10
73,1.0783693458657845e-10
74,1.222184219501544e-10
75,1.227519127756747e-10
76,1.1067518593862834e-10
77,1.3246477543331572e-10
78,8.66187974508441e-11
79,7.33219077753469e-11
80,8.98564692491321e-11
81,7.998951910346048e-11
82,8.536028472057873e-11
83,9.000426136405211e-11
84,8.721282041881943e-11
85,8.5385913337339e-11
86,8.87921742203274e-11
87,8.982347193221466e-11
88,9.299409552919815e-11
89,7.715615694872844e-11
90,6.408158819808299e-11
91,6.224518389998102e-11
92,7.141664927994022e-11
93,8.7368650512181e-11
94,1.1764864811567976e-10
95,1.238542149174999e-10
96,8.83032719237e-11
97,1.474881228322393e-10
98,1.1053353857916208e-10
99,1.4157692147465724e-10
100,1.1643452819053982e-10
101,1.590180772904432e-10
102,7.772435850856813e-11
103,1.060309304392448e-10
104,8.868024727557252e-11
105,7.010946757944929e-11
106,6.990548084965692e-11
107,6.331916663556452e-11
108,6.478886701523143e-11
109,6.942302115277892e-11
110,6.536847625183506e-11
111,6.869052834483846e-11
