,demand
0,5.337682083520091e-09
1,0.00997136877848136
2,1.0177761017031366
3,1.0139950993345805
4,5.554957657493492e-09
5,9.455130992096752e-09
6,17.697706663250262
7,3.1661282189987265e-08
8,5.352392032091173e-09
9,3.771583028675091e-09
10,3.844637330309123e-09
11,2.970121663840402e-09
12,3.293237857492409e-09
13,3.3780192584721187e-09
14,2.7272389038711493e-09
15,3.0325280287263844e-09
16,2.6061448458610357e-09
17,1.7806068179605114e-09
18,1.6652145820780626e-09
19,1.61950086091926e-09
20,1.7013323270390485e-09
21,1.4934406247726601e-09
22,1.5024917631699226e-09
23,4.0830411152316235e-09
24,2.4425061552797648e-08
25,1.4857604913846184e-08
26,1.764472292738324e-08
27,1.2705585299991592e-08
28,1.4070308988513799e-08
29,8.431797487327162e-09
30,3.572422498249889e-09
31,2.8367381836018658e-09
32,4.112043097453815e-09
33,4.332166389741437e-09
34,4.539311777491948e-09
35,4.773714428650981e-09
36,7.16735685692767e-09
37,6.117407048869713e-09
38,6.342848279727632e-09
39,5.88064337178575e-09
40,4.236568146736664e-09
41,3.793759084850632e-09
42,3.6299740801923927e-09
43,4.288719760406606e-09
44,3.4597308244687994e-09
45,3.8208953180053525e-09
46,8.470708951451645e-09
47,2.7947665284461016e-08
48,1.003411142550148
49,6.947165040662754e-08
50,2.0065362671516036
51,3.906878582101009e-08
52,2.8413391419403656e-07
53,4.1804185574426065e-08
54,2.839686263461081e-08
55,1.2072707603734513e-08
56,2.3554575837467267e-08
57,1.43360357085089e-08
58,1.482380313722237e-08
59,7.887028011841275e-09
60,5.20344721399724e-09
61,4.56773898055587e-09
62,3.3994231617814818e-09
63,4.3063285738795466e-09
64,7.854606367990347e-09
65,6.034000005119182e-09
66,1.0789410317199978e-08
67,1.8991326770248088e-07
68,4.060259542483824e-08
69,8.52332364777195e-08
70,2.3594809460863522e-08
71,0.017146752629036015
72,22.935665421954795
73,12.809643756342934
74,4.751938932751785
75,14.38187350871878
76,9.166935500142451e-08
77,3.269981879476527e-08
78,1.9952955935650216
79,9.553281909584815e-09
80,1.2520391250692025e-08
81,8.142868075206275e-09
82,5.442479656007583e-09
83,6.9879779873753866e-09
84,1.9327177732303068e-08
85,2.110995302689013e-08
86,1.635684523953733e-08
87,2.54936030965942e-08
88,1.1945799137781177e-08
89,1.540470651431751e-08
90,1.5737617325307787e-08
91,1.1983698529120584e-08
92,3.925436934122371e-09
93,3.016398164560138e-09
94,2.9446496592208264e-09
95,1.0161373391769616e-08
96,9.002095833726269e-09
97,8.761672001380019e-09
98,6.136560436860514e-09
99,3.845140714485635
100,1.0101999617212971
101,1.958916241953494e-08
102,4.406667873777861e-09
103,3.0968280635913386e-09
104,3.153985689552762e-09
105,2.5895483388309205e-09
106,2.2344429962920315e-09
107,2.3330307036492197e-09
108,2.505150240627176e-09
109,2.4776968854890254e-09
110,2.790761725323291e-09
111,2.7043534086732525e-09
112,3.0800565255058544e-09
113,2.9690926365166406e-09
114,2.518711684901674e-09
115,2.332309874656541e-09
116,2.589097199058573e-09
117,1.861088357106585e-09
118,1.536159519324247e-09
119,1.7862992115472574e-09
120,2.728172533026953e-09
121,4.192828394930473e-09
122,7.137133390878202e-09
123,1.1780025290413387e-08
124,1.2232709937894083e-08
125,1.559345152446228e-08
126,9.934205949493015e-09
127,1.273782916636805e-08
128,7.425040640109311e-09
129,5.301058282782589e-09
130,4.890578369692706e-09
131,4.1218576657979624e-09
132,3.548280305594525e-09
133,3.722677973951278e-09
134,3.849997102061872e-09
135,4.625492263539248e-09
136,4.941083864888896e-09
137,3.939195787572272e-09
138,3.2433056642573416e-09
139,3.737630525885664e-09
140,4.179261895450553e-09
141,4.501000631599807e-09
142,4.468721974623087e-09
143,4.92177933024845e-09
144,1.1228768930299548e-08
145,1.2121691368585393e-08
146,1.4205050138762297e-08
147,9.561206509638954e-09
148,1.0292803593399815e-08
149,2.1686549461045333e-08
150,2.2417692828846545e-08
151,1.1948395781514485e-08
152,1.0422846473093534e-08
153,2.9038105163089373e-08
154,1.5736295718465086e-08
155,1.1341600837377157e-08
156,1.3924663001626365e-08
157,1.529729882959462e-08
158,1.93953167073382e-08
159,1.218202451635747e-08
160,2.2215344459325845e-08
161,1.243262658396067e-08
162,6.686097091165566e-09
163,7.24820028252384e-09
164,6.3138787044008446e-09
165,6.628297325862638e-09
166,7.492427979864554e-09
167,1.1737702938797294e-08
168,2.881637310482418e-08
169,1.8014612996698985e-08
170,1.3967339415524553e-08
171,1.4118011439300173e-08
172,1.2512760234518479e-08
173,1.5575309782446647e-08
174,9.446964583892216e-09
175,8.604023566760868e-09
176,8.107949517445369e-09
177,1.0014423187966337e-08
178,1.3225280788640889e-08
179,1.0233793850657356e-08
180,9.584314998173657e-09
181,1.074370951572179e-08
182,1.084296781484903e-08
183,1.7152490203214134e-08
184,6.4223388710694905e-09
185,5.422598143036931e-09
186,5.458585339129651e-09
187,3.648867212401554e-09
188,3.062404998287102e-09
189,3.3895949798735964e-09
190,3.4408595892626223e-09
191,6.801824493355957e-08
192,1.6595136775272108e-07
193,3.980081357674109e-08
194,1.6319130154389725e-08
195,1.4013748732720433e-08
196,1.4052232957700072e-08
197,2.0468172214485375e-08
198,2.836890083969346e-09
199,4.887601505169039e-09
200,5.08460504781567e-09
201,4.653179682309877e-09
202,4.307335862223892e-09
203,4.516393783957016e-09
204,3.272103986002292e-09
205,3.472028477013624e-09
206,3.0711528341190866e-09
207,3.3366653718490763e-09
208,3.6994654475897273e-09
209,3.3593716673560036e-09
210,2.5031758031411033e-09
211,2.3778240265588107e-09
212,2.2804860122338514e-09
213,2.0878402267894855e-09
214,1.8117451835438685e-09
215,2.2148325926948784e-09
216,4.331934008366393e-09
217,4.128084536448732e-09
218,4.1545260532986955e-09
219,4.707198564360262e-09
220,1.6133991011060567e-08
221,5.397821454888025e-09
222,1.8543796074185162e-09
223,2.718401035848036e-09
224,2.2925550026626744e-09
225,2.7475513756164213e-09
226,2.971724403854367e-09
227,2.8335416535623404e-09
228,2.985238900492935e-09
229,2.8370142919976732e-09
230,2.971108303669294e-09
231,2.801359675715847e-09
232,2.4798075633536204e-09
233,2.684063647708429e-09
234,2.447857891553269e-09
235,2.610303259552561e-09
236,3.059975912179516e-09
237,3.172799599558554e-09
238,2.7325379208719956e-09
239,3.0224937543637482e-09
240,4.287688116501641e-09
241,5.474224547984615e-09
242,5.471487317993602e-09
243,8.093771159419663e-09
244,8.123832327190166e-09
245,3.647415226479229e-09
246,3.3722547698007878e-09
247,2.9743548072113553e-09
248,3.577115722169514e-09
249,3.3572303475329484e-09
250,3.251488371948764e-09
251,3.891182888872113e-09
252,3.834821396553231e-09
253,4.213644074390228e-09
254,4.529855154369675e-09
255,3.772189596553201e-09
256,2.949756741246501e-09
257,3.452731159442436e-09
258,3.411919571925406e-09
259,4.041187303325529e-09
260,3.8991765169747776e-09
261,3.1635304598202364e-09
262,3.1966241508147106e-09
263,3.325013357988942e-09
264,4.471576622870544e-09
265,4.688926276087877e-09
266,3.931110202891972e-09
267,4.239422100184931e-09
268,5.127080955434479e-09
269,3.73363785763714e-09
270,2.0957888662388168e-09
271,3.1504881543070213e-09
272,2.467729815769731e-09
273,2.6666198588885044e-09
274,2.792812058306413e-09
275,2.4985160637688863e-09
276,2.5993770642060553e-09
277,2.827983100381873e-09
278,2.924048933701609e-09
279,2.813996001130554e-09
280,2.911039347554557e-09
281,2.393491942057927e-09
282,2.2725266661320373e-09
283,1.967202793306033e-09
284,2.098489100725964e-09
285,1.651244374947531e-09
286,1.4386608520408323e-09
287,1.4160251676295877e-09
288,1.832679015835525e-09
289,2.0135280151153633e-09
290,1.9584883501847485e-09
291,2.264958690908712e-09
292,2.577952540113935e-09
293,2.43270499530434e-09
294,2.115187531243675e-09
295,2.490287485950852e-09
296,2.092040277243528e-09
297,2.05335683610402e-09
298,2.0056216843406323e-09
299,1.959164846620345e-09
300,2.0520949163793404e-09
301,2.1036010344543493e-09
302,2.3854361420102348e-09
303,2.4252896590058403e-09
304,2.549798149000419e-09
305,2.232228063654145e-09
306,1.9070970348662712e-09
307,1.7961218384808813e-09
308,1.780216744954662e-09
309,1.8149523120105646e-09
310,1.8207790183470356e-09
311,3.0374582157274495e-09
312,4.97858725453462e-09
313,5.755994386067374e-09
314,1.0428190253207966e-08
315,1.3032874323510921e-08
316,1.0831717680810957e-08
317,1.2965200022265063e-08
318,1.8918972260587837e-08
319,1.1998409714200341e-08
320,1.4460798924025233e-08
321,1.0937929424827001e-08
322,2.1468916496138516e-08
323,1.0062115845324582e-08
324,7.977032251625076e-09
325,8.625815758325262e-09
326,8.178671865748465e-09
327,1.0379658704465862e-08
328,1.3568874001418754e-08
329,9.233502421824957e-09
330,7.144365767103591e-09
331,7.061771299636109e-09
332,6.8928945630881144e-09
333,5.43106272383191e-09
334,5.069287497178184e-09
335,6.9741695771581895e-09
336,7.588817718687128e-09
337,1.8932421263529174e-08
338,2.4287301728186884e-08
339,3.8169394536764384e-08
340,1.3397208238014985e-08
341,7.077788134805913e-09
342,1.0059207297023466e-08
343,1.0821071057752712e-08
344,8.579978540147062e-09
345,8.974933239946588e-09
346,9.881438272442524e-09
347,9.080919465631856e-09
348,8.968711071162689e-09
349,7.011785842279171e-09
350,1.0221288727816357e-08
351,7.754348669101384e-09
352,1.5433696882502637e-08
353,7.598571223615043e-09
354,6.278752391957197e-09
355,1.187587120622317e-08
356,1.2835663857451709e-08
357,2.7832829518814453e-08
358,2.3690987717538818e-08
359,3.2389128283327704e-08
360,7.7892352814747055
361,5.582594744035904
362,8.503602849235492
363,8.995881199750077
364,2.991468150881978e-08
365,1.3262628626337525e-08
366,1.5929908107019564e-08
367,5.615660816235411e-09
368,9.854884595039071e-09
369,8.503367971695592e-09
370,9.122385499245541e-09
371,8.499184318202751e-09
372,8.695339768604325e-09
373,1.1640358970496951e-08
374,1.44713101258647e-08
375,1.671068015202002e-08
376,1.3510809494718662e-08
377,7.550195384321312e-09
378,6.221149524732816e-10
379,5.254796568465388e-09
380,3.109857777285515e-09
381,2.351569846243033e-09
382,1.8326020439838049e-09
383,1.6938650926506377e-09
384,3.3658437581117707e-09
385,6.294693285378042e-09
386,6.9986342286738e-09
387,6.582078011831294e-09
388,6.000593750305551e-09
389,3.2693418081804762e-09
390,2.3568056300054954e-09
391,2.796850040663627e-09
392,2.9935759273455214e-09
393,2.836969948492295e-09
394,3.2578349231765987e-09
395,3.1601976556758627e-09
396,3.0091502147858722e-09
397,3.176993639272392e-09
398,2.979829822217912e-09
399,2.90220051108846e-09
400,2.525203619100717e-09
401,2.681519843435128e-09
402,2.320707766499464e-09
403,2.4672870103305614e-09
404,1.967535601541508e-09
405,1.880564560390505e-09
406,2.0643538488954233e-09
407,4.126094664944392e-09
408,9.891146138349252e-09
409,1.2812115787192481e-08
410,3.736275573551574e-08
411,1.5491275161504508e-08
412,1.0864284334220376e-08
413,1.5448447412485564e-08
414,1.7671423092280903e-08
415,1.0548161596005778e-08
416,9.189962610391535e-09
417,8.70233666659236e-09
418,1.4571128547612908e-08
419,1.1826388308258299e-08
420,1.7064578779140747e-08
421,1.1938227669273885e-08
422,1.1395646137591375e-08
423,1.2044686069900983e-08
424,8.070388039771615e-09
425,6.81588953180427e-09
426,6.497990941625027e-09
427,6.620706513600925e-09
428,5.498084841355875e-09
429,7.185049989333808e-09
430,5.006353375508425e-09
431,6.021550113030209e-09
432,1.5943286440947675e-08
433,2.660269822181668e-08
434,4.6364244463795315e-08
435,2.3730162526558184e-08
436,2.2940285020667174e-08
437,9.947636525289223e-09
438,1.0757041131663779e-08
439,8.419478356311785e-09
440,6.7746252508818506e-09
441,7.385040182146179e-09
442,9.141033984659393e-09
443,1.882469028526525e-08
444,9.259971945618628e-09
445,1.1704127333769926e-08
446,8.302931534194688e-09
447,1.1928144782216337e-08
448,1.1874978162452044e-08
449,1.3385954880030496e-08
450,9.798989087970334e-09
451,8.165303203144714e-09
452,1.2546834501273893e-08
453,7.795364108410491e-09
454,6.793193166340739e-09
455,5.493593780162153e-09
456,8.771799357136308e-09
457,1.2087588684968767e-08
458,3.2602512475227326e-08
459,1.6261438807586904e-08
460,2.246947329381803e-08
461,3.1507872323615005e-08
462,2.5591929736275146e-08
463,1.3757054252598638e-08
464,8.781360475240904e-09
465,2.1103043000109013e-08
466,2.0137945745530333e-08
467,1.3922990024608281e-08
468,1.497163348317928e-08
469,1.329518936948571e-08
470,1.3623184819969048e-08
471,1.189644219391663e-08
472,1.8558888725186336e-08
473,1.4959945370499856e-08
474,9.771892315012481e-09
475,8.28664918074998e-09
476,7.385806911682944e-09
477,4.86327500041362e-09
478,3.780181382863865e-09
479,3.4758185038557643e-09
480,4.9417345642045865e-09
481,6.692442800580721e-09
482,6.576887747267892e-09
483,7.176528957893824e-09
484,8.960419590260706e-09
485,1.1087159346251498e-08
486,1.5831801885628968e-08
487,9.468111361193233e-09
488,5.534909145891112e-09
489,6.452495084908283e-09
490,5.739701196161579e-09
491,5.047186253397214e-09
492,4.325703668403165e-09
493,4.1435534856442e-09
494,4.450042382260325e-09
495,4.069270476431563e-09
496,4.562722776172623e-09
497,3.6343166961617112e-09
498,3.5805728489855203e-09
499,2.922150782681326e-09
500,2.5864220892519424e-09
501,2.1900079077193513e-09
502,2.3758548566295103e-09
503,8.900767660666134e-09
504,8.065535149130754e-08
505,1.4733646279318735e-07
506,1.1798427209517907e-07
507,8.640509233640813
508,16.538573024259648
509,2.8203691547653606e-07
510,1.1252381407736176e-08
511,9.807644880984824e-09
512,1.2936465995620218e-08
513,5.617299441321768e-07
514,5.290984240715083
515,3.0250956667447872
516,2.5523590126773867
517,7.172215225776313
518,4.117108014997987
519,3.921206382116423
520,2.8486715055062205e-08
521,6.754258133348849e-08
522,5.156925750653696e-08
523,7.649510615484457e-08
524,1.5355601347699671e-06
525,4.4237918473239156e-08
526,4.313828325634067e-08
527,6.407241525570584e-08
528,8.477248123152389
529,20.074057813882213
530,24.769754147896972
531,31.082516997678958
532,22.793119466323525
533,32.71258418478279
534,21.596214606964367
535,1.7509928712230638e-08
536,6.429920004221011e-08
537,3.97620439569674
538,1.7122095448060348
539,5.365154889074189
540,19.050542477878366
541,22.050998017309077
542,15.07326067850264
543,5.038169502761032
544,13.087602016839512
545,16.935174026771865
546,5.33803841800326e-08
547,8.80730676463646
548,5.670690600804565
549,2.3010587543241768e-07
550,28.11391018295321
551,36.97827992356344
552,24.43218457528471
553,31.06790499910475
554,54.75083089485248
555,39.13949923417033
556,35.850155591652005
557,47.807021274870806
558,6.173129694752016
559,6.8862683026951395
560,5.389924788985438
561,14.201334689956228
562,1.161577155815909e-06
563,5.978459809430879e-10
564,6.212170759206404e-10
565,25.65317211822038
566,34.994300812273416
567,36.973333474183605
568,44.0694916278865
569,4.149995945453885e-08
570,6.245647885482453e-10
571,3.124178580277897
572,6.253373791266975
573,23.352453147575854
574,13.482919071964984
575,22.601465281778307
576,23.31110812950404
577,18.139230609248372
578,34.77161016464898
579,31.680926046950322
580,10.563452609078881
581,8.277674058671279e-10
582,4.134233480964201e-09
583,3.4392366269074785e-09
584,4.247161995648736e-09
585,3.887325263898139e-09
586,4.5857396664184725e-09
587,5.5841620140670245e-09
588,5.793343501629903e-09
589,6.861127323681731e-09
590,6.26358382283207e-09
591,6.481469524192319e-09
592,6.319737582626807e-09
593,5.813107389987136e-09
