,demand
0,1.0958749549620491e-10
1,8.104718500334534e-11
2,9.768307438135283e-11
3,6.844391018698838e-11
4,5.7405508627818896e-11
5,4.7160401377590205e-11
6,5.7053197529915246e-11
7,6.814591663619708e-11
8,5.912740099085689e-11
9,5.5275557703765966e-11
10,9.584887358383483e-11
11,1.1162493003034896e-10
12,8.371490182560811e-11
13,1.0520658742956851e-10
14,1.2154346537579664e-10
15,1.8191622581378252e-10
16,1.458873487944095e-09
17,58.78617019923751
18,31.978423915069822
19,34.09679177034767
20,75.5285191658269
21,88.55788903195213
22,25.837946032516598
23,1.8061577501635175e-10
24,1.384728121444477e-10
25,1.1022965754249073e-10
26,1.0680553599683166e-10
27,1.176519649644648e-10
28,9.139272371312748e-11
29,3.910647451243989e-10
30,69.12835042614813
31,106.08541740895198
32,116.65657496866872
33,209.11425902044775
34,236.15045737743614
35,213.6003026823225
36,223.00270777429716
37,197.96389766445586
38,267.00381108595343
39,221.13443075678316
40,210.0214457752935
41,158.075486036507
42,243.4337618333096
43,309.54705566810355
44,249.76250825094453
45,215.41559512074113
46,96.38990978787746
47,79.13688753988231
48,3.2351665339537874
49,5.369481747728228e-10
50,2.3877595426951075e-10
51,2.0575617086067235e-10
52,1.9470149020465522e-10
53,2.121046023213049e-10
54,84.05120657100035
55,78.32247432868772
56,69.56420741241456
57,70.16618004502196
58,97.72185543657214
59,68.53737444999187
60,94.43652780138756
61,81.90525659260135
62,107.07010834077234
63,135.8816256546141
64,151.96820921246933
65,108.99140566010082
66,70.4455515812206
67,71.85128483571127
68,83.33663725173184
69,86.11752534527439
70,2.1007449053005012e-10
71,1.6095823314957125e-10
72,1.1319825759096663e-10
73,2.839559381049983e-10
74,1.636023181596097e-10
75,1.8120290075611737e-10
76,1.322450533576898e-10
77,1.1018933805621445e-10
78,14.137211972733734
79,3.474217062292649e-10
80,109.80792467571861
81,98.335425006476
82,60.24624376621633
83,111.02772931953477
84,50.02811394372787
85,100.02149584860534
86,179.01045039529643
87,170.0201863370626
88,27.113644300793887
89,99.81896165642011
90,100.66754058246799
91,106.7208706002452
92,112.70651899344249
93,95.83245851305047
94,1.4864786224334935e-09
95,3.227342511827197e-10
96,1.8989011108079163e-10
97,3.6136435201971224e-10
98,1.0951332598277638e-09
99,5.220069962153385
100,1.3749497376794885e-10
101,1.2033870610745354e-10
102,4.073706778814104e-09
103,4.583275826345086e-10
104,91.25700559037553
105,92.45394676696418
106,115.95081418764411
107,102.38404636929073
108,133.1982471202848
109,153.57474784621698
110,132.91591167113447
111,139.9367709313774
112,130.05948340023244
113,121.86743571386486
114,75.88267677200554
115,97.03098363149051
116,21.979979049930783
117,8.140874234292155e-10
118,3.248683667386894e-10
119,1.2968810261048297e-10
120,1.2756043580585186e-10
121,1.3369817631650582e-10
122,1.1603677742429096e-10
123,1.1294666663645756e-10
124,1.063584162645686e-10
125,8.529876446543937e-11
126,1.3600179347880883e-10
127,7.763633015181219e-11
128,7.102411097703714e-11
129,1.3581039593926273e-10
130,3.3410040976188642e-09
131,67.66049202052923
132,95.2393810787399
133,88.10752054036233
134,72.4247515889621
135,12.012273975912603
136,86.59402209947623
137,109.49805330350038
138,131.70605715464336
139,149.89377250295857
140,139.0411685960928
141,107.82003208425633
142,5.447180203210834e-10
143,41.62442769605203
144,81.95686790020862
145,42.36843376476354
146,51.96042726095035
147,43.81628607899165
148,1.5345056710252757e-09
149,8.755401570012717
150,7.449075139953044
151,3.1631000527145394
152,4.5190811922712446e-10
153,7.280907329091829e-10
154,2.875101961780216e-09
155,6.956280302631094
156,28.193599377216316
157,6.936481217470499
158,14.909461013098486
159,49.67387827198701
160,101.11536129588036
161,85.1485000390451
162,120.50067990170339
163,72.59325365099055
164,78.8060976020534
165,90.39334097286219
166,7.510907622312281e-10
167,4.4751398357977484e-10
168,9.533075557190779e-11
169,2.0060669826212742e-10
170,1.9051865574715604e-10
171,1.7889978045373268e-10
172,1.607728952968584e-10
173,3.6511509815924165e-10
174,119.94384164770283
175,156.13102382770265
176,140.17360990622032
177,136.86113654373366
178,117.50719753503394
179,111.12535158654437
180,135.94939908888065
181,161.54671590622434
182,143.05573242531528
183,151.60223988194954
184,157.5125704990628
185,159.64884531893375
186,157.64653464337005
187,156.1005961005307
188,134.46868969196314
189,139.3454607084135
190,195.93336350088873
191,53.34226169240352
192,70.29010830956366
193,1.1469805359859589e-09
194,48.190278902779845
195,1.9872420563113046e-10
196,9.176394763890943e-11
197,1.965451611742491e-10
198,9.540699294623931e-11
199,2.3200211869593276e-10
200,7.786955404353549e-10
201,2.2376676104873843
202,94.38190128752792
203,114.45300682233183
204,147.51319621751784
205,186.0958466736188
206,77.51268347595516
207,6.682976738114158e-10
208,7.835607316919374e-10
209,1.4323020542755315e-09
210,5.590191811629465e-10
211,46.06502925538643
212,100.67853141343016
213,64.83421934808091
214,1.6775790790233308e-10
215,1.1779456406343657e-10
216,1.3649402633827468e-10
217,2.1638110766045634e-10
218,1.9098093313719222e-09
219,1.2909134523132084e-09
220,1.2056186471464934e-10
221,6.664420612772646e-11
222,5.668865472536998e-11
223,8.089148648469595e-11
224,1.234303719594991e-10
225,1.0702833159703492e-10
226,1.230802355534449e-10
