,demand
0,4.03869840927271e-10
1,4.3371048791388364e-10
2,4.5833143876139775e-10
3,4.524626578090415e-10
4,4.482374500212595e-10
5,4.500756198955557e-10
6,2.71030444512581e-10
7,2.727435951134259e-10
8,2.705966251442686e-10
9,2.619516682274044e-10
10,2.631328422748612e-10
11,2.654450423558778e-10
12,2.6403003299893514e-10
13,2.62835385348044e-10
14,2.7507018726634487e-10
15,2.830169469201367e-10
16,2.793739423334697e-10
17,2.824107972448743e-10
18,2.850374575866676e-10
19,2.9031598327549705e-10
20,2.799229505642899e-10
21,2.8141065736237767e-10
22,2.883916650486725e-10
23,2.812727916189784e-10
24,2.0203176190071273e-10
25,1.8817329495830418e-10
26,1.8382148012515374e-10
27,1.871785994506486e-10
28,1.8261902966486546e-10
29,1.9794189334593377e-10
30,2.2547682247325952e-10
31,2.1928411226352867e-10
32,2.1052841616330273e-10
33,2.1424490872455225e-10
34,2.140579924967743e-10
35,2.1218240232885166e-10
36,2.1403156047924514e-10
37,2.1632216964021333e-10
38,2.255796150903399e-10
39,2.2498163620454695e-10
40,2.2348676153453156e-10
41,2.2263991917221557e-10
42,2.2313798235249506e-10
43,2.232308797894282e-10
44,2.0557547060598974e-10
45,2.0711800881625308e-10
46,2.079065928808896e-10
47,1.9239015140028985e-10
48,1.8067856614497633e-10
49,1.73373996710506e-10
50,1.6986654897502715e-10
51,1.6834658045491254e-10
52,1.7338455897267758e-10
53,1.8945457151260552e-10
54,2.037642083028217e-10
55,2.1388326964859463e-10
56,2.1680070285300273e-10
57,2.0992324748536312e-10
58,2.0867365488963995e-10
59,2.071000796597593e-10
60,2.0504654127172146e-10
61,2.0631819560637084e-10
62,2.0814547714634298e-10
63,2.1570811123489952e-10
64,2.1956683010015342e-10
65,2.1463160043043874e-10
66,2.120032701331469e-10
67,2.0801295731837986e-10
68,2.0166801127766422e-10
69,1.9845599361587455e-10
70,1.9149049768456728e-10
71,1.8593498762854029e-10
72,1.7261089799811762e-10
73,1.7586802376343274e-10
74,1.7291442880867986e-10
75,1.7792864733238575e-10
76,1.8294591765939557e-10
77,1.984211373371428e-10
78,2.061711738132875e-10
79,2.075880879619501e-10
80,2.2605722108103859e-10
81,2.3049773395287136e-10
82,2.2388570219771985e-10
83,2.2111859050986987e-10
84,2.2058459350903008e-10
85,2.2215048149574e-10
86,2.2926530118097106e-10
87,2.2970794650541192e-10
88,2.2719178711693604e-10
89,2.2544979925470822e-10
90,2.285269312634274e-10
91,2.2101387529479708e-10
92,2.1518101634276844e-10
93,2.109527411904564e-10
94,1.9863639922744054e-10
95,1.9357291295801806e-10
96,1.8430226975636166e-10
97,1.8825646594972763e-10
98,1.89159953767081e-10
99,1.8764813837460794e-10
100,1.8273670232322207e-10
101,1.9747838203185776e-10
102,2.1082308744146483e-10
103,2.1845574626367602e-10
104,2.320962613357682e-10
105,2.2739073280356317e-10
106,2.2486071960904848e-10
107,2.2255460810606544e-10
108,2.2318636163395225e-10
109,2.2407201518797702e-10
110,2.2727912761743582e-10
111,2.2663662594231559e-10
112,2.2473719035062479e-10
113,2.2418440529939308e-10
114,2.216242830762377e-10
115,2.165508234134654e-10
116,2.0967386620299225e-10
117,2.0357432123281175e-10
118,1.9543208636896892e-10
119,1.8426851873660905e-10
120,1.797993579290038e-10
121,1.771765034602178e-10
