,demand
0,647.8437577291953
1,737.8462642784639
2,869.236506204465
3,887.7264924244341
4,855.5168579997727
5,878.6075464359548
6,888.3153762431705
7,889.1501030701199
8,874.1419704620569
9,639.2899232804153
10,557.1463453366617
11,504.76822143547025
12,442.51830416120094
13,431.8638328679301
14,348.53728874404754
15,379.40802816846247
16,149.58462240316072
17,3.333268227146397e-09
18,5.096930449483556e-09
19,1.4670855838444168e-08
20,134.87394267107567
21,149.44788414230115
22,116.11781127573761
23,170.738825111585
24,100.68822833289644
25,47.181582112866046
26,69.1884533106482
27,71.24199493694982
28,94.13121031566551
29,150.83218492822076
30,21.496573327565535
31,4.723402463452053e-09
32,1.1423814262334512e-09
33,7.103949177940781e-10
34,6.501198230837792e-10
35,7.137752963042552e-10
36,4.786332629429284e-10
37,4.796529422788035e-10
38,5.257439273129772e-10
39,4.129925745519157e-10
40,4.5222732904599367e-10
41,3.9548662161146993e-10
42,5.127633968574354e-10
43,5.460720780688581e-10
44,8.742175568633392e-10
45,5.160331125810463e-09
46,164.34572464724297
47,198.92538394786612
48,289.19608597745787
49,206.37689133633262
50,207.03938914015876
51,331.0091967184931
52,287.57992822450854
53,408.888643350279
54,210.7379118222737
55,204.18412845343073
56,258.63559654248076
57,196.0921997887832
58,126.4511953155483
59,20.061247893187037
60,29.387206104027246
61,46.40619995968215
62,88.03519161326042
63,170.8961664212882
64,229.7128040938707
65,221.97615726485736
66,366.94697903545324
67,310.3229888284666
68,344.16808905488074
69,413.5368463028246
70,490.5416900318492
71,505.5795743719411
72,567.9666896495618
73,656.5632057920957
74,737.3341239409484
75,808.8099912032174
76,750.4302896824248
77,702.7029089455618
78,496.8957018164268
79,238.82317701191045
80,225.12872674827247
81,218.62393168752052
82,160.54906838798564
83,119.8153174325444
84,37.12372966387039
85,0.9180795495829999
86,3.897158091467464e-09
87,7.212140876817574e-09
88,1.802299652176321e-09
89,4.00217363324698e-09
90,33.08698970945492
91,89.60879441826411
92,169.26532199398457
93,182.2017746349515
94,321.90998350829983
95,461.9108467366819
96,615.0905271105844
97,691.5972215705926
98,738.493465134619
99,779.9696565961968
100,782.7387610465598
101,672.7078083873165
102,411.3363894559165
103,117.65354865733346
104,132.9123494439475
105,72.81577686716854
106,6.1073738333788286e-09
107,2.369589821855527e-09
108,1.0513303297578689e-09
109,1.0451176712811228e-09
110,7.068973411929113e-10
111,6.944767193954014e-10
112,5.429824430104021e-10
113,4.359023657960623e-10
114,3.65704946309957e-10
115,3.8051528793382045e-10
116,4.2197493034995756e-10
117,9.187220885529376e-10
118,7.825942897089142e-09
119,55.55531728255832
120,12.14249618332474
121,8.301634702922864e-09
122,44.124552708693614
123,98.68932085131586
