,demand
0,2.3074134795688662e-10
1,2.667524815975968e-10
2,4.0171024864990344e-10
3,1.0834605348901408e-09
4,3.248984571947015e-10
5,3.556620279597997e-10
6,4.916312612485714e-10
7,5.716504987594486e-10
8,7.887997136756715e-10
9,4.083329962070937e-10
10,6.188457862775841e-10
11,4.049740452194413e-10
12,3.693821653972641e-10
13,5.001895061658344e-10
14,3.931621921097278e-10
15,3.8667268096976816e-10
16,3.251389403553413e-10
17,1.9285926077475401e-10
18,1.316831562312453e-10
19,1.55674764079045e-10
20,1.2234125976292077e-10
21,9.301995045368658e-11
22,8.346654702064666e-11
23,7.959321869326515e-11
24,8.134665241706383e-11
25,1.4287938196822618e-10
26,2.2338564163730518e-10
27,3.190599162594426e-09
28,82.91779661625631
29,45.772533025291544
30,57.81253039657693
31,3.323621848485763e-10
32,2.0289214601205533e-10
33,1.478285865516226e-10
34,1.4060676198752107e-10
35,1.5531528712170279e-10
36,1.634671992770003e-10
37,1.6480040455193212e-10
38,2.054858204912252e-10
39,3.542689195357064e-10
40,4.045795438361207e-10
41,3.8737842016144575e-10
42,1.465963353595814e-10
43,1.0156460394407122e-10
44,1.0028337141515539e-10
45,2.0383508780875372e-10
46,1.781605789617405e-10
47,1.4264345225623903e-10
48,1.9914727423924782e-10
49,2.3072509720330088e-10
50,5.568337826667078e-10
51,1.031092723585276e-09
52,8.231166852550847e-10
53,5.431149557040536e-10
54,7.134809906104485e-10
55,8.376410498792527e-10
56,4.079757983971746e-10
57,2.815252775024969e-10
58,2.2383263615591945e-10
59,2.8033794626607203e-10
60,1.8348885374434781e-10
61,2.6748278550807283e-10
62,2.272758429524464e-10
63,2.2969549341696246e-10
64,2.1620906560475536e-10
65,1.9848394965746817e-10
66,1.6669979029022454e-10
67,1.4687562116131417e-10
68,1.5202569213631384e-10
69,1.5656924395373963e-10
70,1.3703720461958546e-10
71,1.0016458610356011e-10
72,9.561213105400183e-11
73,1.5319257527617985e-10
74,3.565454597824474e-10
75,4.039510243443183e-10
76,8.049030510336475e-10
77,6.57488549338138e-10
78,5.3090471124952e-10
79,1.8491696732273648e-09
80,21.63883165087131
81,2.4660918804609678e-08
82,4.296063286401948e-09
83,1.2220844145111564e-09
84,9.738540226552122e-10
85,1.5503312939766945e-09
86,6.354305387685941e-10
87,6.639705439944122e-10
88,5.350488516605628e-10
89,1.510060644259069e-10
90,1.6420126467595371e-10
91,1.6088638092768084e-10
92,1.6010966644868632e-10
93,1.5260281663557378e-10
94,1.5498400562000844e-10
95,3.715319883023514e-10
96,7.363853265333391e-08
97,140.25161886681983
98,98.41532101573166
99,105.41770709765265
100,101.56886002237086
101,123.65181331959367
102,107.57875367834421
103,47.41789581596744
104,32.32527956217568
105,1.4639843736728734e-09
106,5.238889333541379e-10
107,3.471434120235218e-10
108,2.7288768338697733e-10
109,5.338701997574789e-10
110,4.95026082152903e-10
111,2.472572501539269e-10
112,2.203271656937604e-10
113,2.006926691521206e-10
114,2.0282260221866087e-10
115,1.8740567710875195e-10
116,2.234698900515081e-10
117,2.23559971500959e-10
118,3.2074772980755496e-10
119,2.8937520188316497e-10
120,2.527166537413194e-10
121,1.2140946606401823e-10
122,1.1376080630286178e-10
123,3.303077192197243e-10
