,demand
0,144.19518217807803
1,105.44969521294537
2,1.522701837588575e-10
3,1.4125954915854426e-10
4,1.5009305847470038e-10
5,3.786165296658167e-10
6,4.94349723821536e-10
7,4.0720408177490416e-10
8,7.189894163647932e-10
9,4.962751114030993e-09
10,218.67970955194295
11,235.42849024124155
12,237.67355241966342
13,236.81606949760564
14,225.745204991265
15,249.8043959029347
16,9.460274116839044e-09
17,2.143654981426321e-09
18,3.0813063215424827e-09
19,2.296623847543008e-09
20,1.6858557969922403e-09
21,9.418204270732419e-10
22,5.63799451634783e-10
23,8.75100511529964e-10
24,20.894917119086855
25,10.88094363057506
26,2.101748047684649
27,4.418835275222429
28,25.863111110540423
29,199.4430784420904
30,7.663299834501973e-10
31,2.3440132519293196e-10
32,2.38077392590915e-10
33,1.7781319452622671e-10
34,1.858584891248023e-10
35,1.930161094777356e-10
36,1.7940184345398844e-10
37,1.9964719208537766e-10
38,1.777353409468943e-10
39,2.0919460570160851e-10
40,2.555839265329078e-10
41,2.7499799450531936e-10
42,1.7030103854048624e-10
43,1.6998944049792792e-10
44,2.0543603908602395e-10
45,2.09741519083296e-10
46,1.2745348803502133e-10
47,1.1897964822294848e-10
48,1.4642084859124479e-10
49,2.380373056553438e-10
50,2.958602223375394e-10
51,2.9744183801563206e-10
52,2.3934020305496224e-10
53,2.1787723997270716e-10
54,2.8873327563365313e-10
55,2.935731670550421e-10
56,2.4975352415665936e-10
57,2.529337319437255e-10
58,2.4190444036461055e-10
59,2.9998376724509635e-10
60,2.8917611463345724e-10
61,3.335295025066259e-10
62,3.603549121749968e-10
63,3.04159066758684e-10
64,2.6294505869992325e-10
65,3.199678142962465e-10
66,3.4940675955729457e-10
67,3.2066482234327526e-10
68,2.5737432255324426e-10
69,2.4781295156738577e-10
70,2.687177538913051e-10
71,2.661222624016567e-10
72,3.412580808893437e-10
73,4.6401999758853134e-10
74,5.961921447908074e-10
75,5.797192853026172e-10
76,2.865951815163977e-10
77,3.128724732264668e-10
78,2.8069504526591585e-10
79,2.5390532692116953e-10
80,1.7534608166612645e-10
81,1.6167447776837623e-10
82,1.9430652535460639e-10
83,677.7006829997116
84,584.7586186117131
85,602.7399866155038
86,613.7192109299826
87,726.7130374030776
88,2.673720966232946e-10
89,2.3710064609039467e-10
90,2.037197042504439e-10
91,2.0097970858983926e-10
92,1.8543564696399113e-10
93,2.8590526110826245e-10
94,4.964482119255519e-10
95,7.111815378758683e-10
96,1.0086924382694991e-09
97,6.278767966411776e-10
98,7.422312861328405e-10
99,6.566097802689947e-10
100,4.799779762882408e-10
101,2.7389054148998503e-10
102,2.835678264474441e-10
103,2.1212299454285356e-10
104,1.7322738689904866e-10
105,1.7637607519461797e-10
106,1.7553997203254248e-10
107,1.670614073515933e-10
108,1.5559503884144183e-10
109,1.5528719678737787e-10
110,1.637831898742923e-10
111,1.6919127405196996e-10
112,1.6968377594047235e-10
113,1.8112357435265672e-10
114,1.7335722082847032e-10
115,1.9316712315087763e-10
116,1.826619158309015e-10
117,2.1645344019476901e-10
118,1.554785658515121e-10
119,1.654156557446921e-10
120,1.7128661906390335e-10
121,2.1840826320416866e-10
122,2.3039230634022336e-10
123,2.4245909571730126e-10
124,3.0284424314877263e-10
125,3.248102881297102e-10
126,3.0218636578005986e-10
127,2.6087489070551953e-10
128,2.7991856999109296e-10
129,2.0434234115108244e-10
130,1.6935446155763698e-10
131,1.8531087122649347e-10
132,1.7812164876335972e-10
133,1.8061942149186857e-10
134,1.9168335676889168e-10
135,2.4229177868618745e-10
136,2.1906740992106545e-10
137,2.0905501067887354e-10
138,1.8486936184668697e-10
139,1.5722007436747207e-10
140,1.557681846884765e-10
141,1.595828757999101e-10
142,1.1411486733488612e-10
143,1.3467040125325146e-10
144,1.5561974372189514e-10
145,1.8491237922843766e-10
146,4.309450349492024e-10
147,4.1531897001797705e-10
148,1.8634611812029427e-10
149,1.88854405662609e-10
150,2.1334287767322864e-10
151,6.312299478375775e-10
152,2.1625855125857928e-10
153,2.497857682172078e-10
154,3.1493045265133225e-10
155,3.3445643299418363e-10
156,3.2364316339001336e-10
157,3.5919693260398373e-10
158,3.527371134600679e-10
159,2.9193382113085464e-10
160,2.85583876755052e-10
161,3.069203561680903e-10
162,2.652394896179811e-10
163,3.143663790680233e-10
164,2.8802329814102616e-10
165,2.7096624009712067e-10
166,2.2935599452581785e-10
167,2.5471864203586216e-10
168,5.423795323602951e-10
169,4.733698525105601e-10
170,5.937634104039507e-10
171,2.810149640336005e-10
172,2.776731682749936e-10
173,2.0920423874201166e-10
174,1.786343487607218e-10
175,1.7010835223615606e-10
176,2.0701439625354044e-10
177,1.9967916792044612e-10
178,1.8067017680417068e-10
179,1.8410084157127872e-10
180,1.833865731454025e-10
181,1.6660707403654594e-10
182,1.7209834303597909e-10
183,1.7656459955196866e-10
184,2.0136760305446921e-10
185,1.9666786879582513e-10
186,1.6666235379392566e-10
187,1.58615623385112e-10
188,1.8657181870427156e-10
189,1.6428410604733924e-10
190,3.77243836696045e-10
191,4.023146883881249e-10
192,3.679758858389861e-10
193,1.049615933817421e-09
194,8.63542019919519e-10
195,7.343891587520375e-10
196,3.5294562128958144e-10
197,7.186153069371571e-10
198,1.3027295412035777e-09
199,5.758216281609767e-10
200,4.967155404521343e-10
201,5.890316225045356e-10
202,4.910667052596844e-10
203,4.838161159938805e-10
204,4.2297828670895125e-10
205,3.988714885236221e-10
206,4.906283367585758e-10
207,4.416046859349001e-10
208,4.2677194394235823e-10
209,4.4416036604642165e-10
210,5.123595221266355e-10
211,3.0836729967640943e-10
212,2.6576664010756236e-10
213,2.043720912255388e-10
214,2.2866177419656553e-10
215,2.2220253017010847e-10
216,2.961647379747206e-10
217,3.358300344961309e-10
218,3.144146900004098e-10
219,3.019169513450978e-10
220,2.7740882226006184e-10
221,4.3515588647780795e-10
222,5.681984930387322e-10
223,5.019845310518177e-10
224,3.5308045796799605e-10
225,4.501931180813222e-10
226,4.679703752602762e-10
227,4.87052705168317e-10
228,4.655011746836932e-10
229,4.576819871580481e-10
230,4.488272639662055e-10
231,5.754938629046686e-10
232,8.173395528795115e-10
233,9.212150972729786e-10
234,6.442539865875143e-10
235,2.6648209446630743e-10
236,2.2353069822918226e-10
237,2.1032830835022772e-10
238,1.6875860294499874e-10
239,1.6143108424898825e-10
240,5.155353100002375e-10
241,4.634782504168469e-10
242,5.665471529622547e-10
243,6.030655361840099e-10
244,5.689843810552516e-10
245,7.321227180858435e-10
246,3.202609444335604e-09
247,6.301462791272876e-10
248,5.524160010691347e-10
249,5.159471338348084e-10
250,3.4212934821668725e-10
251,3.236988329355391e-10
252,3.3306354495114574e-10
253,5.579341822948054e-10
254,4.1564952553791034e-10
255,6.196703755081527e-10
256,6.023527222425278e-10
257,3.800743320402298e-10
258,3.5662617934947247e-10
259,2.2644797062491782e-10
260,2.526573617162042e-10
261,2.49177183488194e-10
262,1.7652427432792614e-10
263,2.421411057713261e-10
264,5.663782806869876e-10
265,4.382408606518349e-10
266,4.6099321081496533e-10
267,5.552331962588206e-10
268,5.90044835512375e-10
269,1.7094431840749596e-09
270,7.530253857364698e-10
271,4.921889403921551e-10
272,5.49418647603601e-10
273,5.050591305057932e-10
274,5.160844363368473e-10
275,5.134537927762938e-10
276,4.029654133487757e-10
277,4.5785129702751616e-10
278,5.181291794285673e-10
279,5.395275922944103e-10
280,5.744891108841834e-10
281,6.01500310354803e-10
282,6.030809472054984e-10
283,4.178078473070746e-10
284,3.389165305458376e-10
285,3.0368507328508263e-10
286,2.338328252488729e-10
287,2.601756687777403e-10
288,2.4184975085813316e-10
289,2.8053310612937754e-10
290,3.0594166855372565e-10
291,3.4703676719894844e-10
292,5.017407422898952e-10
293,5.335014313210122e-10
294,138.6157310670736
295,5.613490918508706e-10
296,3.411867622927982e-10
297,3.3499084777804994e-10
298,3.533695326505193e-10
299,3.38357518256119e-10
300,3.7152960984039837e-10
301,3.6671305761503093e-10
302,3.8386057876401314e-10
303,4.531788375760271e-10
304,5.700227217059506e-10
305,4.0986622113842434e-10
306,3.8156390143909913e-10
307,3.9966341145065883e-10
308,3.753851486968303e-10
309,3.7345273644499444e-10
310,2.2965740849096598e-10
311,2.3418947615694695e-10
312,5.747671387930307e-10
313,5.854359862251171e-10
314,8.023384831521258e-10
315,1.0609225567181654e-09
316,6.579371866680747e-10
317,6.940035466980114e-10
318,6.366534119098078e-10
319,7.450413634021442e-10
320,6.119036229146928e-10
321,3.71004960051778e-10
322,3.5923276777543913e-10
323,3.085914541350158e-10
324,3.330690238770414e-10
325,3.3377318775902143e-10
326,3.318953526303312e-10
327,2.735174761211531e-10
328,3.114434092319899e-10
329,3.112347348489716e-10
330,2.929303767044601e-10
331,3.2278084184897554e-10
332,2.8679992462697655e-10
333,2.2335303066654288e-10
334,1.7373892840859627e-10
335,2.0360821810185832e-10
336,5.983655865113818e-10
337,4.752458230070203e-10
338,4.2324102684263104e-10
339,3.573520209202946e-10
340,3.1854344240057413e-10
341,3.8373070403155267e-10
342,3.9312894385374896e-10
343,3.7676216395669434e-10
344,3.627381853853051e-10
345,3.785797921473388e-10
346,3.1189992967003437e-10
347,3.72910961156589e-10
348,3.578672031333021e-10
349,3.991605469034964e-10
350,4.183466434959062e-10
351,4.409090513362073e-10
352,3.589884801952811e-10
353,3.9360117859511836e-10
354,4.2953082072590827e-10
355,2.8544308894435387e-10
356,2.819556870114111e-10
357,3.6100446405959287e-10
358,3.4645451904374556e-10
359,3.1440070309066677e-10
360,3.543604702452477e-10
361,3.74459070472956e-10
362,4.795001430244044e-10
363,4.5514350493558863e-10
364,3.994210381378621e-10
365,7.020629389391915e-10
366,4.4693238016678534e-10
367,7.351229967927023e-10
368,4.687498457131117e-10
369,5.289846890845058e-10
370,4.1914323321056214e-10
371,3.809661711796471e-10
372,3.7372494159831344e-10
373,3.580655539738251e-10
374,3.72489647059146e-10
375,4.063807392424109e-10
376,4.1693635773079535e-10
377,4.2299170236194034e-10
378,3.586381007963625e-10
379,2.645060361677627e-10
380,2.4165542643824515e-10
381,2.197309197850844e-10
382,1.579258529039831e-10
383,1.592443574724956e-10
384,3.066754394545699e-10
385,3.4668658376704155e-10
386,3.5713219446295624e-10
387,3.6867906775268387e-10
388,2.7720151676255155e-10
389,3.0434471744815044e-10
390,3.6890603995355615e-10
391,3.4497254671096536e-10
392,4.792960485259209e-10
393,2.779452141209158e-10
394,2.915543248187904e-10
395,2.8751489773998756e-10
396,2.5685158969393826e-10
397,2.616313527223987e-10
398,2.9776758502138406e-10
399,3.047872328322288e-10
400,3.215771493731439e-10
401,2.77375504767456e-10
402,2.4034682086688797e-10
403,1.6114236233062666e-10
404,1.514645338765098e-10
405,1.3268764585322433e-10
406,9.850037148815067e-11
407,1.6626049453787667e-10
408,1.5597520269735309e-10
409,1.8705270802564227e-10
410,1.7856651194568452e-10
411,2.1640203992594643e-10
412,1.9963796048008752e-10
413,3.1188983609615125e-10
414,3.1797543900347745e-10
415,3.8312432406997597e-10
416,3.231106500156781e-10
417,3.203266265521304e-10
418,3.3460657160132465e-10
419,2.7904727217854726e-10
420,2.7715794722846133e-10
421,2.768161083080094e-10
422,3.289515634255643e-10
423,4.314125349450087e-10
424,4.0175977176486726e-10
425,4.0594474513931075e-10
426,5.597817830782459e-10
427,3.0883538679141157e-10
428,2.768636022967163e-10
429,1.7920843878350965e-10
430,1.3381011100940328e-10
431,1.7888101772817998e-10
432,5.393153426645966e-10
433,5.387934593716613e-10
434,6.199853751363742e-10
435,4.188258107370738e-10
436,3.205085029088744e-10
437,3.20243115099149e-10
438,3.820771297218314e-10
439,7.391603654207827e-10
440,7.145206978813249e-10
441,7.400070251196964e-10
442,6.762154829194973e-10
443,6.406884302635203e-10
444,4.241348742194316e-10
445,3.4869303814320024e-10
446,4.575919671151052e-10
