,demand
0,3.838906549698279e-10
1,4.0196707962950025e-10
2,4.2391871442115853e-10
3,4.570184907891773e-10
4,4.6527057549957425e-10
5,4.75604947292677e-10
6,4.807595947166251e-10
7,4.369975279415387e-10
8,4.1013492064807875e-10
9,3.8584026033095817e-10
10,4.0778073848898173e-10
11,4.260858250081089e-10
12,4.2666739138427134e-10
13,4.2373734416260256e-10
14,3.513472910145103e-10
15,3.7654268412320457e-10
16,3.651038953291854e-10
17,3.696627844437941e-10
18,3.578084424397896e-10
19,3.6173087897427075e-10
20,3.621433281755199e-10
21,3.552767009975697e-10
22,3.5589760878838046e-10
23,3.867951994345613e-10
24,4.0270037587860186e-10
25,4.878030727428425e-10
26,4.909049675520723e-10
27,4.741909037238495e-10
28,4.903033850376619e-10
29,4.214297929412164e-10
30,3.6407208254998765e-10
31,3.424423873595764e-10
32,3.5319559017493503e-10
33,3.588711211660964e-10
34,3.56153392335334e-10
35,3.579421867695606e-10
36,3.6189604890166787e-10
37,3.535244580290036e-10
38,3.494840029181153e-10
39,3.547535473128642e-10
40,3.54738262890342e-10
41,3.562368974533256e-10
42,3.698658042076473e-10
43,3.79424224662457e-10
44,3.6654488319391876e-10
45,3.6023540731978387e-10
46,3.6052743869649525e-10
47,3.6387883924834055e-10
48,3.8178725780715906e-10
49,4.0618853653239056e-10
50,4.1340296878296217e-10
51,4.2185829024982267e-10
52,3.789649056808366e-10
53,3.748020921021691e-10
54,3.5364961455980793e-10
55,3.5517746190193955e-10
56,3.608187383048476e-10
57,3.6597940198128164e-10
58,3.7336524082057663e-10
59,3.664090672694838e-10
60,3.6670804068667946e-10
61,3.6353328448927795e-10
62,3.705186155882065e-10
63,3.7186636000219223e-10
64,3.713862564155565e-10
65,3.7535985702571787e-10
66,3.9501685347045774e-10
67,3.8636113033988455e-10
68,3.7999808508085895e-10
69,3.839039054243174e-10
70,4.0347611673957334e-10
71,4.3317640380296663e-10
72,4.6172899269341057e-10
73,4.733354910406973e-10
74,4.665467344012232e-10
75,4.4819135381374423e-10
76,4.1227077675869776e-10
77,3.551677391536377e-10
78,3.6769788836788413e-10
79,3.467763658505846e-10
80,3.618643224328685e-10
81,3.653670738287212e-10
82,3.605456996689795e-10
83,3.554780474292336e-10
84,3.4203124903723693e-10
85,3.6194152048679956e-10
86,3.623476386243181e-10
87,3.2723520894895574e-10
88,3.650224221567302e-10
89,3.708405484639836e-10
90,3.781193080259326e-10
91,3.850122872845267e-10
92,3.741349406662815e-10
93,3.645732897264988e-10
94,3.9559479376621817e-10
95,4.2230389544369736e-10
96,4.399327225823498e-10
97,4.728946852841213e-10
98,4.744207301787234e-10
99,4.5341219293855667e-10
100,4.0902122103138127e-10
101,4.2965823073631163e-10
102,3.8619718177134444e-10
103,3.863015302803342e-10
104,3.881241587569275e-10
105,3.8483673248901686e-10
106,3.7263588897572227e-10
107,3.4965547921475945e-10
108,3.7453923119199943e-10
109,3.6363620271117155e-10
110,3.6022136125372465e-10
111,3.6873345787160445e-10
112,3.5148643295176466e-10
113,3.5099695416499954e-10
114,3.9025175408565444e-10
115,4.0427483466709994e-10
116,4.1571815697036204e-10
117,4.0763741351053e-10
118,4.214887096272317e-10
119,4.284867307356098e-10
120,4.163479608141274e-10
121,4.2463940958741756e-10
122,4.1887855873789723e-10
123,4.294519828488416e-10
124,4.41431011290058e-10
125,4.22366914728227e-10
126,3.8406752364210313e-10
127,3.4536968913881966e-10
128,3.468791618216816e-10
129,3.508145204357441e-10
130,3.5202469160082816e-10
131,3.530566716126983e-10
132,3.577589966261227e-10
133,3.518113424064072e-10
134,3.6039363911342277e-10
135,3.5159214430535767e-10
136,3.5613252962735616e-10
137,3.5806877011836963e-10
138,3.6889619483356293e-10
139,3.844532804281127e-10
140,3.8031908354753924e-10
141,3.6733235481834334e-10
142,3.697321146267872e-10
143,3.5198833049305687e-10
144,3.3013750152085685e-10
145,3.66251443458071e-10
146,4.0691777861504955e-10
147,4.6009137887847767e-10
148,4.77784387798189e-10
149,4.750714203605976e-10
150,4.6530991645859244e-10
151,4.295068014788392e-10
152,4.0036545519098406e-10
153,3.4541971106014257e-10
154,3.490861789459883e-10
155,3.5298300174387197e-10
156,3.47585833864372e-10
157,3.4956645630164034e-10
158,3.6519395694362194e-10
159,3.731553218994191e-10
160,3.6281948020718884e-10
161,3.533068127832282e-10
162,3.57222165250932e-10
163,3.630856427514323e-10
164,3.602525589031462e-10
165,3.4709020871644295e-10
166,3.634120850867987e-10
167,3.753462946960902e-10
168,3.83894682610863e-10
169,4.165160982906413e-10
170,4.2243750352240685e-10
171,4.4038463274958044e-10
172,4.330920305289224e-10
173,3.731413998180718e-10
174,3.664077243464236e-10
175,3.9030266762266874e-10
176,4.056679669925278e-10
177,4.0921087076783415e-10
178,3.9076503415467456e-10
179,4.1577907775835835e-10
180,4.2103720324989705e-10
181,4.220295974247344e-10
182,4.2180080943158756e-10
183,4.1631960195161803e-10
184,3.991203773477614e-10
185,4.042496303668756e-10
