,demand
0,10.284024575324747
1,2.863692422147067e-08
2,90.84684447297798
3,118.3964589327877
4,99.83170651624158
5,120.77946681448962
6,97.90167904559407
7,93.7110178369528
8,123.37636574092707
9,128.48682773761212
10,8.60247272009131
11,28.90271314690509
12,9.243573757746331
13,6.415673753208723e-09
14,8.0705541725874e-09
15,8.70905333207602e-09
16,9.033161878092084e-09
17,1.254705384999962e-08
18,8.778000286552041e-09
19,1.6330522950729026e-08
20,5.093846658895511e-09
21,4.700728804303711e-09
22,11.17427509159777
23,50.05442207029315
24,116.79633554580953
25,110.69087596264076
26,90.67493739354383
27,54.07365388103586
28,25.475574648387916
29,31.665579259152437
30,4.085583731221968e-09
31,5.600204694079228e-09
32,84.19245769120047
33,53.994502910620014
34,31.273142422913182
35,37.73720068429363
36,5.597018880228111
37,35.109422669223505
38,52.99113414851139
39,60.008486911414295
40,10.524840636977135
41,25.25113756265787
42,10.324234606300035
43,4.580122486897922e-09
44,7.743808507469044e-09
45,1.4449813476070458e-08
46,1.2474413078941897
47,8.12572174491039e-09
48,21.415188945463346
49,36.665433135133306
50,68.48241176616821
51,84.55754055313693
52,63.63268895023403
53,51.109685875461366
54,15.784911060896684
55,1.2582674349020412e-08
56,9.366472287565724e-09
57,7.661278913288507e-09
58,6.2844752297895246e-09
59,3.853972681665772e-09
60,3.5898991060627644e-09
61,3.2306310424160772e-09
62,2.317832638379914e-09
63,2.539703060518085e-09
64,4.449152596509028e-09
65,2.8753437752481402e-09
66,2.5761063378402723e-09
67,2.277712357135967e-09
68,3.4088283572714552e-09
69,3.4277449757586027e-09
70,4.3755438351691876e-09
71,4.4070478797981465e-09
72,6.072058155702961e-09
73,5.388203395197069e-09
74,4.177987322143814e-09
75,4.543122901008159e-09
76,1.7202094000986047e-08
77,4.720911436758686e-08
78,5.508008093253842e-09
79,3.186943121062269e-09
80,7.822841840609058e-09
81,16.840441276045656
82,19.527615607818372
83,7.649578093873747e-09
84,4.016893465548562e-09
85,11.657460618233891
86,7.128510693666074
87,4.035500919638811e-08
88,9.583863275162909e-09
89,5.529182869912453e-09
90,4.6484358810860335e-09
91,5.998495642267795e-09
92,4.683148909028755e-09
93,1.764104924623638e-08
94,1.6658633860476284
95,9.770044307908297e-09
96,3.2195762011664697
97,8.732310221036474
98,24.104209106739095
99,26.460256863309294
100,6.465227574999856
101,1.3633328670755384e-08
102,37.437327337012285
103,4.418090891967783e-09
104,36.034578992465306
105,37.84325850071968
106,2.414548365170433e-08
107,8.58011596910842
108,47.62851115479275
109,35.02666024244412
110,1.2064541411581778e-08
111,6.739785893646739e-09
112,4.7779914017484534e-08
113,2.337648680428743e-08
114,4.5206472832017415e-09
115,8.460432049120966e-09
116,1.1804886589542186e-08
117,5.31295450488113e-09
118,3.565427684469689e-09
119,1.2531659575522071e-08
120,2.8781550584280357e-09
121,41.37734021464305
122,13.609068458399054
123,4.2008529404311856e-09
124,3.2702085185035778e-09
125,2.728183230175368e-08
126,54.04597099170758
127,19.99105394735297
128,8.81556555098596e-09
129,7.749326054083905
130,1.0625841182033532e-08
131,5.927760500319639e-09
132,5.07327010158058e-09
133,6.03591189297077e-09
134,4.4969791649855345e-09
135,1.2851993669429133e-08
136,1.6350650482625013e-08
137,20.678671374810158
138,9.813506562593717e-09
139,1.697017399258861e-07
140,9.72210496148914e-09
141,2.3083040921368064e-08
142,46.743155851189904
143,54.718281062005765
144,9.845154423767255e-08
145,6.952545096707027
146,23.61104591477013
147,33.67963338273428
148,34.424966107255436
149,32.0939496120973
150,31.849749765575986
151,1067.848974617667
152,49.10499823322152
153,15.240641807266474
154,4.5112262508799415e-09
155,9.856637903716485e-09
156,7.504640917473112e-09
157,7.301417560363008e-09
158,19.784343497893207
159,8.336652640446467e-09
160,3.962942317479789e-09
161,4.527454989233409e-08
162,9.143217500929605e-09
163,1.8365162118998333e-08
164,7.989537082635312e-09
165,3.5396208376875023e-09
166,6.459343382476978e-09
167,4.1440860619400494e-08
168,10.950982658329737
169,21.956761764882675
170,21.95986191948623
171,21.960953244522994
172,33.42037350296719
173,27.674885623147077
174,89.70580006283
175,5.711395794651397e-08
176,2.7854373477649352e-08
177,5.507577363988512e-08
178,1.43297633295246e-08
179,1.0771835346994401e-08
180,1.0969341277160367e-08
181,1.668723296619978e-08
182,13.285915576280482
183,3.182715635369861e-08
184,1.7268068023785613e-08
185,29.582923081801667
186,1.4557166479993649e-08
187,1.3825756103062121e-08
188,8.11786025160165e-09
189,5.4575314709843995e-09
190,5.67701273258958e-09
191,4.807908299536636e-08
192,6.267804321674755e-09
193,5.68248647897773e-09
194,7.343440238805239e-09
195,1.401389277220075e-08
196,5.498320608048143e-09
197,4.911439904084985e-09
198,7.72808199139672e-09
199,7.674133680349727e-09
200,5.296138962616424e-09
201,5.09280050431205e-08
202,1.1617536286503153e-08
203,2.440416146553218e-09
204,5.9727845665323294e-09
205,6.842884609353894e-09
206,4.519737579873345e-09
207,5.158689962752799e-09
208,3.261945069630395e-09
209,7.940033211499883e-09
210,2.074828347630541e-08
211,0.5605245008989143
212,1.1732841493760409e-08
213,33.83161060489324
214,4.071690397897524e-09
215,4.073691445623019e-09
216,24.60422738027799
217,38.25185394587688
218,37.83675222734292
219,23.67300279538628
220,29.579205597236363
221,84.82054495512975
222,114.15157714567715
223,54.635712010279796
224,27.36809798310315
225,30.13963348918508
226,6.508643260132053
227,5.161742107017053
228,4.9930035244415214e-08
229,12.707343334147785
230,54.92248477594133
231,5.820962624152616e-09
232,2.9441919715269657e-09
233,3.927721223303072e-09
234,67.12321600594716
235,79.7469349010336
236,15.542040863376057
237,4.097994332163056
238,51.59890071346299
239,5.00776107981129
240,77.59221438987278
241,123.17516944256947
242,122.3011889991912
243,92.37287286275365
244,100.66733020568755
245,33.47008805062323
246,136.65793196100324
247,33.62890169997229
248,3.8250900424574415e-08
249,14.081968886167944
250,8.646794579173926
251,2.6365490740773076e-08
252,3.388629921269004e-08
253,1.745775168459108e-08
254,3.422668996305885e-08
255,5.576287548904344e-07
256,3.4472349566845474e-08
257,1.4259430831220927e-08
258,2.919385665361469e-08
259,5.001484609792626e-09
260,5.670513123253477e-09
261,5.283144360909411e-09
262,2.6855577548329836e-09
263,9.44293724782675e-09
264,81.32204144875166
265,66.05635489340932
266,67.46257918881133
267,78.1412630824587
268,58.075655346266025
269,79.75143520144489
270,72.54220581797856
271,45.36962239976046
272,1.1553067372761388e-08
273,37.47362556766584
274,8.033751298060688e-08
275,13.646032430681643
276,5.945093058929059e-09
277,6.4316058295586815e-09
278,3.6742479967150706e-09
279,4.8043630075254786e-09
280,7.924471731446831e-08
281,16.891518952202482
282,2.682880682505466e-08
283,1.4538440129612269e-08
284,1.0155284936665813e-08
285,1.0534080153338566e-08
286,9.024108699385347e-09
287,7.911043478154942e-08
288,90.74645324228179
289,124.7120692906482
290,70.0717860403242
291,64.2623407917263
292,43.50703112510537
293,35.89944375974896
294,56.323606159587044
295,33.538142826999454
296,28.09380433995632
297,1.5806489358119127e-08
298,7.4187244141820116e-09
299,2.659509717583106e-08
300,30.327407803135543
301,2.075407267156041e-08
302,17.998246233060435
303,7.64276733079748e-09
304,11.58093244731383
305,25.571096089047415
306,2.213754618007852e-08
307,1.1138640307859732e-08
308,4.002614140651795e-09
309,5.680151582409108e-09
310,7.438706404211835e-09
311,1.945150962615767e-08
312,5.5562722633486654e-08
313,1.154191168265504e-08
314,1.6861556018533015e-08
315,3.3357869525561525e-08
316,7.13310158558708e-09
317,6.367301279598403e-09
318,1.076795254316654e-08
319,9.184700448019267e-09
320,7.0809260729798345e-09
321,7.697271236745096e-09
322,1.166812955020072e-08
323,1.6896666386914038e-08
324,4.028660555208498e-09
325,5.8546576239105806e-09
326,16.042212888470576
327,3.228583562657261
328,19.84862770331231
329,3.5723704353950314e-09
330,4.819202973166731e-09
331,2.7132106442524867e-08
332,4.128504397462823e-09
333,6.048726069280415e-09
334,5.371190405911453e-09
335,8.013198286999734e-09
336,5.932745853477749e-09
337,7.127600974564333e-09
338,8.923789459224878e-09
339,1.1425790931628052e-08
340,7.593955621557863e-09
341,7.349313279716265e-09
342,7.890852631517186e-09
343,6.563973257505004e-09
344,5.041977574615302e-09
345,5.1646157539932866e-09
346,4.679604965579595e-09
347,4.328828465875225e-09
348,3.25781512122304e-09
349,3.648090676977454e-09
350,4.134796949392556e-09
351,3.857130548228855e-09
352,5.1630372825661875e-09
353,4.8718900863891585e-09
354,6.0813129869541546e-09
355,5.298970768238657e-09
356,4.034538297934496e-09
357,4.1716240497196215e-09
358,4.6378303498909904e-09
359,1.2774991132408615e-08
360,3.28874593263679e-08
361,1.4611062422920587
