,demand
0,1.1247002092151408e-09
1,2.5269541347186285e-09
2,458.1963234999124
3,509.9522037833731
4,442.30076820156074
5,452.9176166856276
6,2.305822421517448e-09
7,488.4826411973848
8,531.9232923271298
9,604.6526170336476
10,6.53298436045586e-07
11,4.6526421627709986e-08
12,2.1016936528165027e-08
13,8.438977650806664e-09
14,8.085649805751441e-09
15,2.3833787198971476e-08
16,2.7215069347511673e-09
17,2.4476952087042647e-09
18,2.4881217720887817e-09
19,4.005882047722235e-09
20,3.0076588688837533e-09
21,2.3643995918510026e-09
22,3.1066909770231395e-09
23,127.17435139241775
24,470.2012316234401
25,380.7027418832968
26,40.304631047457576
27,111.89143465578816
28,5.209651191416863e-10
29,6.535293871470109e-10
30,771.292239604773
31,2.76693001565745e-08
32,15.788234717578883
33,1.0355186042619239e-08
34,3.761997830853645e-09
35,2.723225978542647e-09
36,2.0333935961380067e-09
37,2.4463583549208976e-09
38,3.00350162809981e-09
39,5.128791502864752e-09
40,6.7336073090771176e-09
41,3.1087233688122463e-09
42,2.0709241913494442e-09
43,3.700756567483884e-09
44,3.342790469554006e-09
45,3.1607516201399698e-09
46,75.67977266640996
47,274.8514179128151
48,5.683547301595548e-09
49,4.885429817300107e-08
50,33.0441718924521
51,64.35016087079711
52,38.00682582214206
53,3.1287259822065077e-09
54,132.11915029335037
55,134.64987368179652
56,5.080636280414566e-09
57,3.158183111440058e-09
58,1.7046770722625536e-09
59,1.377954629282448e-09
60,1.3491708303480797e-09
61,1.2007677614933345e-09
62,7.573765466830577e-10
63,9.153824863111367e-10
64,1.2670181332247762e-09
65,1.1945006399623078e-09
66,1.016006701674146e-09
67,8.551064154402022e-10
68,1.3526862605649103e-09
69,1.1764774552719315e-09
70,1.5312718754931444e-09
71,1.4841564935320702e-09
72,1.1448771444941082e-09
73,8.615401465883336e-10
74,1.0963049148354933e-09
75,2.6925683890401723e-09
76,217.41872709504852
77,5.440466724091009e-09
78,1.7550690079297044e-09
79,7.242344629526871e-10
80,1.3662185048038454e-09
81,3.199213835463929e-09
82,2.4438501636751844e-09
83,1.2726771677408384e-09
84,1.2551408600854994e-09
85,1.2251761248616446e-09
86,1.7813583014583869e-09
87,1.5818471033722083e-09
88,1.936981853007532e-09
89,2.0707595953003852e-09
90,2.3579839860038015e-09
91,1.474880481904481e-09
92,1.5497634703224038e-09
93,1.8571795585927173e-09
94,9.218420403273114e-10
95,5.3430640200142015e-09
96,3.545180951716893e-09
97,2.200372553620383e-09
98,2.1968559851036966e-09
99,3.8845356046827875e-09
100,7.436820140078866e-09
101,7.456058362544696e-09
102,1.8285248575158963e-08
103,7.318493056123544e-09
104,1.3285009403857946e-08
105,5.610922192403115e-09
106,2.443577237456597e-09
107,2.7205350113359998e-09
108,2.4856663399289456e-09
109,2.6938169091527174e-09
110,2.408755406771658e-09
111,1.5979579711157566e-09
112,1.780770796534321e-09
113,1.8286999362464155e-09
114,1.9907801273794273e-09
115,2.039983417997437e-09
116,3.2420932369122203e-09
117,2.2420020775250844e-09
118,2.320246969666575e-09
119,3.222453984904718e-09
120,5.481919469131838e-09
121,1.1712781852135295e-08
122,2.185000220206263e-08
123,4.726253847943958e-09
124,6.254566668720487e-09
125,77.9368159187079
126,31.959117784379035
127,134.02836994489502
128,2.0652135519701226e-08
129,7.512361022440597e-09
130,4.564080726960481e-08
131,8.912885924776041e-09
132,9.458994216784435e-09
133,4.542898887234336e-09
134,4.5375145452250046e-09
135,8.144691384885182e-09
136,1.0460311326686114e-08
137,2.1952669742491952e-07
138,4.891862657859498
139,2.0495444663475397e-08
140,2.016011049031069e-08
141,1.1230805998217963e-08
142,44.70662650823157
143,195.0029250653132
144,4.1913161356455725e-09
145,4.327414303791701e-09
146,3.2866924681949066e-09
147,4.320379516863022e-09
148,4.288223757421424e-09
149,7.724222092050003e-09
150,1.152967288877158e-08
151,9760.813052613692
152,66.47518391716807
153,5.3030119890815075e-08
154,2.6834123868599396e-08
155,4.3082936277151154e-09
156,2.9796425361907973e-09
157,8.091342634846138e-09
158,3.1612523249499454e-08
159,2.6663161791416288e-09
160,1.6846884706978165e-09
161,1.2112699259085087e-09
162,1.245067078752179e-09
163,2.0340942959462464e-09
164,3.460566554621164e-09
165,9.589102825080897e-09
166,6.377601216947182e-09
167,44.81290566027714
168,1.9709872702244624e-08
169,2.597279520636035e-07
170,5.622843912798335e-09
171,5.782965476419926e-09
172,121.47573309662558
173,223.22722212929324
174,3.3666245216600745e-08
175,5.079426302133458e-09
176,77.44920673219127
177,267.0880465235631
178,231.80050719714842
179,163.22933643955753
180,349.5805272483748
181,217.77866096471445
182,141.45053390742285
183,9.328553301830148e-08
184,2.2020693090912186e-08
185,7.547832900073166e-09
186,5.661703629677003e-09
187,1.003164584266844e-08
188,63.56080949017232
189,2.1084383551767855e-08
190,7.424628060578237e-09
191,158.94807313062336
192,4.481404774117733e-09
193,6.1369326888325926e-09
194,7.726402651654768e-09
195,4.574050643682569e-09
196,3.757213213978807e-09
197,3.8782827002683796e-09
