,demand
0,7.716303511309973e-10
1,743.8764412239049
2,780.836737147921
3,905.8347676484573
4,931.8286131314204
5,906.835215804535
6,904.844396328236
7,728.8792601006705
8,756.8769962565327
9,697.8953684477875
10,608.9145153127747
11,597.918766235527
12,691.907353030659
13,716.9016029668055
14,623.9170522284606
15,579.9249773944057
16,478.93601025374244
17,724.8910845929672
18,768.889417198644
19,902.8733273116765
20,894.8686802972296
21,925.8286463918856
22,798.8669132638422
23,698.8902440765745
24,4.153712661405515e-10
25,2.5371202761299404e-10
26,3.0762873010761313e-10
27,2.0786722108144358e-10
28,1.7255950908096104e-10
29,1.716587199767194e-10
30,2.87950820514291e-10
31,4.3722322972742246e-10
32,4.919170216081562e-10
33,4.167733621557403e-10
34,5.003016974880954e-10
35,5.295568251729128e-10
36,4.587184774797212e-09
37,7.035019740680649e-10
38,6.417081702156011e-10
39,2.837754935583027e-10
40,4.0510040741401146e-10
41,3.2470163413739276e-10
42,3.1932668729210423e-10
43,4.517595444757313e-10
44,5.128363841152054e-10
45,7.296748342487932e-10
46,1.553525533450444e-09
47,9.355258275719167e-09
48,42.370530859998766
49,2.083061363234089e-09
50,38.64406006419361
51,46.797513702367645
52,9.97158343739806
53,5.083911482726038e-10
54,2.7000947009678954e-10
55,2.556669841082839e-10
56,3.6695473968780475e-10
57,4.782656287302542e-10
58,3.938372251435488e-10
59,3.005925641060281e-10
60,3.344206232888563e-10
61,3.1292712521734686e-10
62,2.1588464591843662e-10
63,2.7147844200478415e-10
64,7.019272792061276e-10
65,4.223320709679449e-10
66,3.5550888728144275e-10
67,3.025006051316539e-10
68,2.978857024344655e-10
69,3.8952935579816117e-10
70,4.428104238533198e-10
71,3.7248963752030967e-10
72,41.014576813838985
73,1.7915856318932346e-09
74,0.47231957642420885
75,0.46959368899287646
76,5.580669507882454
77,1.5204887891072093e-08
78,5.429071631235141e-10
79,2.8365723926804436e-10
80,2.5156206365773103e-10
81,2.682986584956534e-10
82,2.587065591327907e-10
83,3.3439121381819946e-10
84,5.031283674840401e-10
85,5.736582075124912e-10
86,5.462392862330934e-10
87,8.453143949947181e-10
88,6.055003469428978e-10
89,5.349799860676908e-10
90,3.4312290876660266e-10
91,4.868606824201769e-10
92,5.622403566936349e-10
93,3.1019029032139357e-10
94,6.631898915850391e-10
95,3.6487869225169134e-10
96,5.593414534284361e-10
97,8.208601450374445e-10
98,3.439777281407181e-10
99,5.953004599515406e-10
100,3.2374322908339273
101,2.7937573591633493e-09
102,5.690595273759398e-10
103,4.1072060207520776e-10
104,3.1680279468942917e-10
105,3.2030296182877326e-10
106,2.3506715900214334e-10
107,2.29346699943839e-10
108,2.664728954096529e-10
109,2.087237160579007e-10
110,2.467037038073522e-10
111,2.2344841576139428e-10
112,2.4121677798719913e-10
113,2.4780602376492233e-10
114,1.6595196210050013e-10
115,1.428408205454576e-10
116,1.6737187052403388e-10
117,2.0673009273117e-10
118,1.8570648646552616e-10
119,2.1252706507726895e-10
120,1.8365582017450787e-10
121,1.3813004360335032e-10
122,1.1509801058186994e-10
123,1.2122016736061417e-10
124,1.3092549867897446e-10
125,1.36910562349009e-10
126,1.1697968804813904e-10
127,1.222207788236045e-10
128,1.5612854388546086e-10
129,1.435478540619004e-10
130,1.6187581531045488e-10
131,1.8391917226477517e-10
132,1.7528687422146697e-10
133,1.5729622194339372e-10
134,1.3221227811083914e-10
135,1.2240155114545602e-10
136,1.5616141007114361e-10
137,1.1522646398849087e-10
138,2.0488138720574833e-10
139,1.3254468961901286e-10
140,1.178509791653183e-10
141,1.462553870348922e-10
142,1.188327517870883e-10
143,1.0979121902594349e-10
144,2.107677755397426e-10
145,1.3749864374772802e-10
146,1.19590120406137e-10
147,1.0592365872082655e-10
148,1.2359733316188172e-10
149,1.4838744479181418e-10
150,1.201415136037611e-10
151,1.7436337178615604e-10
152,7.459948924441664e-10
153,19.595052866168384
154,1.141247603805502e-09
155,9.040792721765549e-10
156,3.943177373644448e-10
157,3.1823359802227087e-10
158,2.363607158707509e-10
159,2.644555508377743e-10
160,1.3275561368881057e-09
161,4.302857076007737e-10
162,3.186808245132874e-10
163,3.064602180618593e-10
164,4.0262190164473304e-10
165,3.529964006257301e-10
166,2.824477163778257e-10
167,2.2843070301044631e-10
168,3.424905816953621e-10
169,1.985683846000681e-10
170,1.4677033292833375e-10
171,1.5781943817996346e-10
172,2.1159206230671015e-10
173,5.124982543974815e-10
174,1.9099609064389126e-10
175,1.7839864903966462e-10
176,1.3401828615052275e-10
177,1.2457614600517963e-10
178,1.3411551253097116e-10
179,1.4451713738918535e-10
180,1.846826990752442e-10
181,1.937413121871541e-10
182,1.7225178740340935e-10
183,1.8591950741183004e-10
184,2.7267143949120974e-10
185,3.388891988072306e-10
186,2.680521628883642e-10
187,2.476777655727109e-10
188,2.8523704352776793e-10
189,2.4358433304246827e-10
190,2.2433613280052626e-10
191,2.7034456361888185e-10
192,2.927432067648195e-10
193,1.9504137312473255e-10
194,1.7311909006944336e-10
195,1.543135816143782e-10
196,1.822802433717882e-10
197,2.767876307554196e-10
198,2.45961759437706e-10
199,2.969695255731877e-10
200,1.4553263547560958e-10
201,1.4285623388143627e-10
202,1.5254379545279083e-10
203,1.6572624848822874e-10
204,1.9461317650294767e-10
205,2.9025940269232793e-10
206,1.6135301652100498e-10
207,1.541472011433471e-10
208,1.385110380334285e-10
209,1.3752170084746379e-10
210,1.1207054842084932e-10
211,1.0307334280553765e-10
212,1.2438586195801177e-10
213,1.3219943207005905e-10
214,1.6663032912506666e-10
215,1.4931302050758024e-10
216,1.2359336170699396e-10
217,1.0583788691456899e-10
218,9.751949579821318e-11
219,1.0231263948655514e-10
220,1.1350258060789378e-10
221,1.8775696357156104e-10
222,1.231962167663215e-10
223,1.4107862474657416e-10
224,1.3257093350368013e-10
225,1.290674594269692e-10
226,1.8211612745605123e-10
227,1.7444115225070388e-10
228,1.7757264107621534e-10
229,1.456932726680076e-10
230,1.3166809194248105e-10
231,1.168794226661876e-10
232,1.3630123827924096e-10
233,1.5216271111342698e-10
234,1.244714467275875e-10
235,1.0886176619032405e-10
236,1.1969996796094518e-10
237,1.3049877190695128e-10
238,1.3642383421861226e-10
239,1.2107726495319737e-10
240,1.0902282248082049e-10
241,9.926498719638766e-11
242,8.833978846825214e-11
243,8.865963755128884e-11
244,9.919083112324998e-11
245,1.1516904102824546e-10
246,1.5414576941515395e-10
247,1.546941250536471e-10
248,1.2777148624818366e-10
249,1.2066756814468506e-10
250,1.6780472194790138e-10
251,1.6148570708490307e-10
252,2.01215727793941e-10
253,2.0767444730795573e-10
254,1.5955812300093021e-10
