,demand
0,2.502360408791996e-10
1,2.329913296953593e-10
2,3.514995001316964e-10
3,5.827061090189367e-10
4,2.6765457232140502e-08
5,37.47729990886183
6,5.880197127983737e-09
7,1.6298569708340974e-09
8,5.895764778661259e-10
9,3.026041694648358e-10
10,2.49964340015127e-10
11,2.511748508003425e-10
12,2.801685517140744e-10
13,3.3480715170667e-10
14,3.426165214165795e-10
15,3.2801743340548976e-10
16,2.9555401038902816e-10
17,2.981333768246584e-10
18,3.8760118883561085e-10
19,3.60737241982612e-10
20,4.0859898728617206e-10
21,3.97486049662902e-10
22,4.0647103483179065e-10
23,4.186025327645593e-10
24,9.684679541516909e-10
25,7.354566909357313e-10
26,1.0485307339234505e-09
27,1.115101473299469e-09
28,3.078475923076907e-09
29,1.642891977050204e-07
30,6.719155269161996e-10
31,2.336918030478305e-10
32,2.958828974766327e-10
33,2.9373085847217144e-10
34,3.023720326174708e-10
35,3.59826266149481e-10
36,3.6346873929248715e-10
37,3.759413642460311e-10
38,3.704150582544305e-10
39,3.5267452588431354e-10
40,3.305363124325073e-10
41,3.4740143812999037e-10
42,4.716889670077265e-10
43,4.996780300357319e-10
44,4.3252144198184314e-10
45,3.674311441027091e-10
46,3.405701686115334e-10
47,3.140992698917374e-10
48,3.7209028147090343e-10
49,3.9230627871866604e-10
50,3.714046878327543e-10
51,7.465141166462412e-10
52,1.194182497462344e-09
53,2.721633625893263e-09
54,5.810086343158741e-10
55,2.331781659631869e-10
56,2.3134711657956973e-10
57,2.730365872771756e-10
58,3.057211645046439e-10
59,3.2483610617546957e-10
60,3.3457189950974266e-10
61,3.413734721365401e-10
62,3.401871417527365e-10
63,3.3805267590632413e-10
64,3.3760849028901456e-10
65,4.356226882087449e-10
66,4.693804703044125e-10
67,4.800001916867468e-10
68,4.729236288395089e-10
69,4.81230240425557e-10
70,4.666125104697419e-10
71,4.1934341258387774e-10
72,5.118194007341983e-10
73,9.187501511074571e-10
74,8.529580397606953e-10
75,7.393176597524995e-10
76,9.994130422780793e-10
77,9.77876025718348e-10
78,5.069645113468449e-10
79,2.3176766375790286e-10
80,2.692102929175539e-10
81,3.3170030715758773e-10
82,3.296539218904186e-10
83,3.807922134410155e-10
84,3.9136977759333116e-10
85,4.051893510598443e-10
86,3.9619223586825156e-10
87,3.709602703216164e-10
88,3.408995989545746e-10
89,3.457480120662467e-10
90,4.99399940853649e-10
91,5.138316522865892e-10
92,5.072670626603293e-10
93,4.785284551261763e-10
94,4.243308787391068e-10
95,3.529437413727554e-10
96,3.433323595471162e-10
97,4.487968574465642e-10
98,5.899752457027283e-10
99,6.2560263363859e-10
100,7.629084431670279e-10
101,8.412549340637576e-10
102,5.410119525800079e-10
103,2.462202059951388e-10
104,3.0567409292336926e-10
105,4.105850820279515e-10
106,4.946348186731754e-10
107,5.847325897485297e-10
108,6.141071797308233e-10
109,6.251301257487328e-10
110,5.971722095172343e-10
111,5.593821968273803e-10
112,5.20989668406596e-10
113,4.794012534777487e-10
114,6.465405474968484e-10
115,7.48080616351337e-10
116,7.94615974315251e-10
117,8.908595259413934e-10
118,7.726663902997382e-10
119,5.914147123268982e-10
120,4.201315035003363e-10
121,3.3322580115621073e-10
122,4.1020399172896535e-10
123,6.292904877076066e-10
124,2.700289978997829e-09
125,40.48608832644831
126,1.3200127034292115e-09
127,5.445774597339262e-10
128,2.5069467858969185e-10
129,2.374221006424435e-10
130,2.7037338878924227e-10
131,2.8673793243040974e-10
132,3.012466325387377e-10
133,2.9690398511691696e-10
134,3.0239190379494357e-10
135,2.780887330925869e-10
136,2.5181790007963745e-10
137,2.547793324619554e-10
138,3.038906767309721e-10
139,3.4033745076806046e-10
140,3.3618755395973624e-10
141,3.2195736985797543e-10
142,3.017674336386304e-10
143,2.7189252276868997e-10
144,2.652973566188049e-10
145,2.382214918926077e-10
146,4.0818530204768784e-10
147,5.864843935233387e-10
148,3.179302381463325e-10
149,7.1127258084554e-10
150,6.306297799482596e-10
151,4.844647149991797e-10
152,3.960379982540893e-10
153,2.091014789501279e-10
154,2.427047416417519e-10
155,3.06486179005763e-10
156,3.4138810310142314e-10
157,3.672076438870241e-10
158,3.556359487529894e-10
159,3.2438019584853264e-10
160,2.9628585623220697e-10
161,2.9342857011240674e-10
162,3.924158470874959e-10
163,4.399181468618063e-10
164,4.214733996407766e-10
165,4.02422198234961e-10
166,3.570981351457265e-10
167,2.841441588561386e-10
168,2.422604443754966e-10
169,3.3699748982969526e-10
170,4.59799880845321e-10
171,4.956052425561804e-10
172,5.23158681407294e-10
173,5.634048130657262e-10
174,3.551436491752422e-10
175,2.0068109058006937e-10
176,2.496057010242527e-10
177,3.0488433581000613e-10
178,3.501314073967813e-10
179,3.680791819457177e-10
180,3.6662320201856545e-10
181,3.8368086200685366e-10
182,3.906968944925125e-10
183,3.891353838480453e-10
184,2.442595448239717e-10
185,4.4475511757296047e-10
186,4.726976992218202e-10
187,4.566672107971912e-10
188,4.770186246617613e-10
189,4.6391019207174676e-10
190,4.2697279342117274e-10
191,3.515415166454054e-10
192,4.794910418720219e-10
193,6.405274354170362e-10
194,1.1623620051645157e-09
195,1.4749497890189264e-09
196,2.0318933995838772e-09
197,1.8044455073282219e-09
198,7.211106922783509e-10
199,2.3502484715265695e-10
200,3.1584196767563003e-10
201,3.934030248554122e-10
202,2.540505943058369e-10
203,4.448167232546364e-10
204,5.173678036033484e-10
205,5.622493278517126e-10
206,6.076615568184602e-10
207,6.92408981378234e-10
208,6.514192696159993e-10
209,6.519803904705842e-10
210,6.693147991615585e-10
211,6.7558174826128e-10
212,7.415884874766316e-10
213,8.170148594013954e-10
214,6.959946695569072e-10
215,5.325041949597115e-10
