,demand
0,25291.738291086287
1,24334.58232653716
2,22810.931007992192
3,21857.995132860124
4,21606.99426825253
5,21396.99957322072
6,21572.013476080836
7,21782.023711822683
8,21328.033661752364
9,21962.029636798565
10,23149.029726537075
11,23710.039559967187
12,24179.028806601254
13,24766.589594057416
14,25042.80759784654
15,23980.67326184463
16,23356.60012286709
17,23718.318251587927
18,25937.815294070748
19,27149.821940729853
20,28011.00121504106
21,28198.56446250393
22,27719.67825218113
23,25570.799990639254
24,24403.607653107658
25,23143.292401446855
26,22274.154122879838
27,22101.60008861829
28,22379.92541468308
29,22884.238090309434
30,24114.190593973686
31,27226.998206473723
32,30048.6350303923
33,32408.996043441537
34,33994.99483813524
35,34277.99483999224
36,34070.9948282936
37,34203.9939367188
38,33371.223533631724
39,32485.023807777692
40,32300.585496633554
41,32295.187373914247
42,34102.42329965127
43,34556.438939521184
44,34709.679314211484
45,34470.01954998097
46,32352.81496377136
47,30060.591644475193
48,28087.970064059853
49,27276.003237883448
50,26421.002195135483
51,25845.00750312155
52,25234.011288094094
53,25758.004995641386
54,27279.999611834828
55,28900.007619917476
56,31017.950486392554
57,33169.997005869074
58,34256.99651253933
59,34532.43121392536
60,34307.94224536009
61,34390.95730965639
62,33291.37086615842
63,32475.77623412666
64,31934.561911288223
65,32093.561120571936
66,33892.98382028424
67,34426.9795177728
68,34569.356168343606
69,34256.511110591
70,32347.15622664207
71,30397.898092994852
72,29173.545417911897
73,28259.286560366378
74,27703.325714973922
75,27423.570675847892
76,27168.104952577047
77,27085.988590280514
78,28089.00432441248
79,29815.013845620608
80,31481.99705114262
81,33208.727547524315
82,34024.92929700663
83,34214.14168601996
84,34209.29657090255
85,34565.38799451226
86,34080.855689085736
87,33368.92568009235
88,32356.363244609278
89,32045.23243058613
90,33537.90624504322
91,34078.11898915888
92,34253.77391763027
93,33934.904947303105
94,32151.995172665786
95,29980.9187674492
96,29014.001146105107
97,28532.99467497186
98,27753.99807751303
99,27192.005538225654
100,26971.010656998413
101,27074.007975092343
102,27670.00454611631
103,29384.007623825724
104,31273.991445376163
105,32702.993201080324
106,33599.99418462103
107,33759.85838015245
108,33480.96097121128
109,33311.99582561332
110,32027.526539595714
111,30915.99435473642
112,30383.993810951986
113,30340.994637836444
114,31363.994620085195
115,31361.994866645808
116,31578.994152181833
117,31356.99352370796
118,29830.993683621906
119,27952.03731073637
120,26700.99214008739
121,24827.062616403033
122,23360.00162167581
123,22526.007621866043
124,22388.008917406423
125,22384.01237083078
126,22669.008880725523
127,23021.013068502874
128,23712.998563471352
129,24948.785847817107
130,27265.994744660595
131,28390.994718688406
132,28355.99556598333
133,27976.995263338824
134,27492.994998486793
135,25966.00107295086
136,25455.999244946037
137,25686.995663832946
138,27991.99419471394
139,29307.621535498936
140,29955.01780293217
141,30321.09128983294
142,29745.000956808046
143,28001.005201895925
144,26327.00074378945
145,24901.00387903586
146,23974.006502309516
147,23559.00736870155
148,23305.015482123952
149,23288.017216073058
150,23581.01824548313
151,23909.01334987388
152,24133.01772609943
153,25322.5785938162
154,27245.453315953102
155,28304.998423468678
156,29020.996384462047
157,29958.99563650107
158,30319.996125888054
159,29046.99729986061
160,28460.99687628782
161,28738.99539826023
162,31305.99422461914
163,32722.993659550066
164,33842.99400194125
165,33718.996451654246
166,32289.996274180114
167,29610.99540812786
168,26763.99593691171
169,24889.569639821846
170,23732.35835888444
171,23383.926515786174
172,23298.499725717505
173,24254.01578318828
174,27214.997047738394
175,32419.996684015656
176,35749.9974953627
177,37429.99658840365
178,38523.995071602054
179,38466.99536350763
180,38112.99553932156
181,37975.995464408574
