,demand
0,3103.5000000006116
1,3010.500000000707
2,2829.0000000010646
3,2634.0000000028713
4,2501.0000000008613
5,2420.5000000009427
6,2364.000000001303
7,2386.5000000015148
8,2427.5000000020905
9,2414.5000000010823
10,2546.00000000164
11,2875.000000001073
12,3163.000000000979
13,3356.0000000013256
14,3457.5000000010423
15,3375.000000001025
16,3291.5000000008617
17,3394.000000000511
18,3786.0000000003492
19,3816.0000000004125
20,3633.5000000003242
21,3467.0000000002465
22,3331.0000000002215
23,3130.000000000211
24,3036.5000000002156
25,2857.500000000379
26,2613.500000000592
27,2450.5000000084447
28,2459.417113621189
29,2375.7721272946596
30,2406.3117026261316
31,2570.000000000881
32,2973.500000000538
33,3291.000000000392
34,3525.500000000373
35,3686.5000000004115
36,3834.5000000004334
37,3901.500000000437
38,3946.500000000545
39,3973.500000000939
40,4015.5000000010727
41,4243.500000001027
42,4515.500000000388
43,4419.000000000269
44,4208.500000000266
45,4026.5000000005402
46,3772.0000000004725
47,3489.500000000378
48,3337.000000000528
49,3096.0000000006116
50,2868.0000000014757
51,2694.5000000027326
52,2607.000000002181
53,2595.5000000014393
54,2611.500000001891
55,2799.00000000222
56,3198.0000000010814
57,3483.5000000007462
58,3769.5000000005934
59,3928.000000000743
60,4047.0000000004866
61,4135.500000000709
62,4159.000000000602
63,4112.500000000609
64,4103.000000000573
65,4269.500000000527
66,4572.000000000442
67,4544.500000000389
68,4348.000000000403
69,4086.500000000415
70,3848.5000000003633
71,3550.5000000002656
72,3378.5000000002533
73,3143.500000000406
74,2893.0000000009454
75,2780.500000001071
76,2709.000000002133
77,2666.0000000017426
78,2664.000000001407
79,2862.0000000049017
80,3230.637723398469
81,3525.000000064015
82,3760.500000011361
83,3881.5000000032405
84,3984.0000000025834
85,4047.000000004112
86,4027.0000000016844
87,3973.0000000017603
88,3988.5000000014184
89,4156.5000000004
90,4570.500000000436
91,4597.000000000427
92,4419.500000000425
93,4151.500000000405
94,3936.0000000004106
95,3618.0000000009854
96,3460.5000002015436
97,3349.250964742581
98,3070.414371279112
99,2918.416691701325
100,2826.5679440365097
101,2806.150979244669
102,2799.0777164802207
103,2942.9159355591746
104,3282.8247370678964
105,3571.000000003885
106,3796.000000001389
107,3935.500000000921
108,3986.0000000007235
109,4056.000000001415
110,4040.5000000013124
111,3964.5000000006557
112,3949.0000000005844
113,4076.000000000532
114,4535.5000000005375
115,4575.500000000497
116,4405.000000000593
117,4141.500000000593
118,3916.000000000851
119,3607.5000000007676
120,3497.50000000067
121,3280.000000000322
122,2988.5000000003015
123,2800.5000000008754
124,2653.000000003606
125,2595.5000000022924
126,2540.5000000015316
127,2615.0000000020227
128,2815.5000000007467
129,2995.0000000008918
130,3287.5000000013265
131,3543.5000000011496
132,3664.0000000009095
133,3720.500000000849
134,3687.000000000687
135,3636.500000000743
136,3633.000000000498
137,3744.000000000454
138,4204.500000000407
139,4276.500000000391
140,4076.000000000385
141,3867.5000000003583
142,3668.0000000003383
143,3449.000000000389
144,3368.0000000003697
145,3201.5000000003197
146,2982.00000000042
147,2805.5000000007813
148,2688.0000000013465
149,2607.5000000029063
150,2571.0000000017444
151,2591.500000001273
152,2676.5000000004807
153,2746.000000000635
154,2927.500000001362
155,3236.500000001139
156,3474.0000000013924
157,3638.000000001199
158,3677.0000000015107
159,3550.0000000010946
160,3500.5000000017185
161,3631.0000000025934
162,4131.000000003179
163,4240.0000000008185
164,4073.0000000016585
165,3903.5000000034534
166,3703.0000000011214
167,3408.0000000025952
168,3255.50000000074
169,3086.5000000030213
170,2900.9341991166693
171,2746.2770649047
172,2669.1247020027677
173,2642.44520391816
174,2701.0931274425607
175,2934.500000002211
176,3529.0000000012856
177,3945.5000000017635
178,3992.500000001292
179,4092.0000000006194
180,4132.0000000006585
181,4174.500000001081
182,4194.500000001751
183,4163.0000000008
184,4248.500000001262
185,4470.00000000093
186,4826.000000000732
187,4774.000000000675
188,4515.500000000552
189,4306.50000000092
190,4061.000000000611
191,3685.0000000006503
192,3482.000000000417
193,3254.0000000004334
194,3019.5000000007944
195,2860.5000000021655
196,2784.0000000014593
197,2757.5000000030723
198,2769.0000000023783
199,3007.5000000020127
200,3562.0000000011264
201,3964.5000000011614
202,4066.5000000008554
203,4190.500000001615
204,4237.000000002592
205,4269.500000003605
206,4216.000000002521
207,4208.500000000958
208,4243.500000000355
209,4414.50000000041
210,4730.00000000044
211,4715.500000000317
212,4491.000000000267
213,4264.500000000281
214,4003.5000000002956
215,3615.0000000002656
216,3407.0000000002874
217,3203.0000000005575
218,2990.5000000020523
219,2843.000000008428
220,2772.000000002016
221,2763.0000000014697
222,2765.0000000017135
223,3009.4215576516253
224,3579.500000000934
225,3959.500000000372
226,4033.0000000003424
227,4117.500000000403
228,4122.000000000347
229,4140.000000000438
230,4143.000000000506
231,4114.000000000426
232,4169.000000000336
233,4383.500000000293
234,4754.000000000286
235,4738.000000000335
236,4546.000000000441
237,4308.000000000553
238,4034.5000000005816
239,3672.500000001239
240,3462.500000000887
241,3248.5000000023865
242,3047.500000001309
243,2915.000000002762
244,2829.000000002994
245,2798.000000002704
246,2817.0000000016016
247,3039.5000000009336
248,3597.0000000003065
249,3994.500000000227
250,4020.500000000043
251,4105.500000000229
252,4129.000000000264
253,4148.000000000299
254,4122.000000000316
255,4080.000000000351
256,4121.000000000318
257,4281.500000000306
258,4694.000000000298
259,4728.000000000306
260,4530.500000000446
261,4296.00000000046
262,4037.5000000009127
263,3655.500000000725
264,3460.0000000005252
265,3214.000000000596
266,3016.000000009091
267,2953.489150704301
268,2860.652685348398
269,2780.5000001083563
270,2780.00000000487
271,3017.500000001194
272,3607.500000000752
273,3993.0000000008745
274,4037.5000000006607
275,4103.000000001136
276,4132.500000000858
277,4150.000000000848
278,4111.000000000767
279,4077.500000000628
280,4127.500000000533
281,4293.500000000531
282,4587.50000000041
283,4558.000000000371
284,4389.000000000484
285,4137.5000000006885
286,3895.0000000008813
287,3608.500000000657
288,3485.5000000004025
289,3271.0000000004943
290,2993.5000000007794
291,2788.500000000778
292,2663.500000000599
293,2619.00000000062
294,2632.500000000639
295,2734.0000000005243
296,2907.5000000003192
297,3102.0000000003283
298,3362.0000000002965
299,3579.5000000003033
300,3714.0000000005903
301,3812.5000000012324
302,3804.500000000936
303,3723.5000000010987
304,3668.000000001558
305,3736.50000000093
306,4146.500000000975
307,4226.500000000808
308,4018.500000000686
309,3769.500000000497
310,3522.5000000003365
311,3288.5000000003224
312,3229.000000000475
313,3078.5000000003993
314,2854.5000000008413
315,2671.0000000003606
316,2570.000000000706
317,2524.0000000003733
318,2496.000000000514
319,2541.0000000006157
320,2630.000000000337
321,2699.0000000002287
322,2931.500000000287
323,3234.500000000282
324,3432.500000000278
325,3570.0000000003333
326,3651.0000000004125
327,3599.5000000005402
328,3636.000000000522
329,3773.50000000054
330,4081.5000000004966
331,4166.500000000512
332,4016.0000000006953
333,3844.000000000909
334,3628.500000000715
335,3312.000000000803
336,3150.000000000652
337,2968.0000000007276
338,2798.147476170407
339,2719.6513610817715
340,2648.173101588555
341,2680.940405603514
342,2757.9879418337678
343,2854.5000000034297
344,3435.0000000010223
345,3771.0000000008636
346,3842.5000000015752
347,3897.500000000852
348,3944.0000000006485
349,3999.500000000648
350,3994.500000000528
351,3959.5000000005566
352,4005.5000000008345
353,4155.000000000853
354,4550.000000001274
355,4615.0000000004065
356,4414.000000000394
357,4167.500000000478
358,3937.000000000863
359,3587.5000000012346
360,3410.0000000011437
361,3182.5000000022133
362,3092.8868393562807
363,3011.7600762313527
364,2921.8689008903607
365,2871.137477847461
366,2884.160216780181
367,3021.000000003101
368,3603.500000000819
369,3968.000000001274
370,4042.5000000024634
371,4133.000000001135
372,4178.000000000528
373,4238.500000000582
374,4250.000000000625
375,4222.0000000025475
376,4272.500000000885
377,4432.000000001014
378,4802.500000000684
379,4808.000000000566
380,4592.500000000331
381,4345.500000000394
382,4130.500000000419
383,3760.500000000635
384,3560.0000000004447
385,3314.5000000004416
386,3087.5000000010996
387,2964.5000000014256
388,2878.50000000371
389,2836.500000003739
390,2888.500000002823
391,3109.5000000011532
392,3671.000000000804
393,4036.5000000005025
394,4114.500000001234
395,4195.500000000631
396,4200.000000000657
397,4250.000000000605
398,4192.000000000352
399,4149.000000000291
400,4172.500000000191
401,4369.500000000326
402,4763.500000000401
403,4767.000000000739
404,4539.500000000645
405,4274.00000000084
406,4015.000000000808
407,3613.5000000005775
408,3407.5000000006366
409,3184.0000000020045
410,3036.574757875068
411,2960.7200970918047
412,2900.8789340766284
413,2823.2802786890425
414,2760.000000002518
415,3023.000000001002
416,3557.500000000414
417,3928.000000000389
418,3982.500000000458
419,4062.0000000009563
420,4048.0000000006658
421,4099.000000000683
422,4059.500000000645
423,4024.0000000005975
424,4031.0000000007394
425,4177.000000000518
426,4578.500000000592
427,4696.5000000003465
428,4509.000000000401
