,demand
0,23071.00000000016
1,22305.00000000081
2,20971.000000000135
3,19875.000000000742
4,19074.000000001783
5,19346.000000001026
6,20168.000000000815
7,20810.00000000067
8,21102.000000000706
9,22429.000000000695
10,24334.000000000633
11,26221.000000000517
12,26951.0000000006
13,25704.000000000582
14,24619.000000001775
15,24462.000000002037
16,25641.000000003078
17,28437.00000000083
18,29306.000000001528
19,30026.000000001222
20,29421.0000000006
21,28143.000000000142
22,26158.000000000662
23,23894.00000000108
24,22324.05715462455
25,20898.315045523206
26,20511.843286234245
27,20524.661719023094
28,20923.957251256707
29,22380.216320225423
30,25364.822753350967
31,29381.229380813827
32,33469.91561970865
33,36427.91757085091
34,36814.12375201251
35,36669.5188458238
36,35771.00000009186
37,34421.00000009644
38,34686.000000044005
39,34955.646488539714
40,36393.91701691198
41,39985.900716999575
42,39963.896218410344
43,39276.8996591415
44,37102.90340126446
45,34768.858131257104
46,31177.004585978084
47,28048.130458043575
48,24875.6441261612
49,23409.669182555677
50,22618.752184757053
51,22282.657581239382
52,22083.341384961546
53,23312.176586534762
54,27068.803907968537
55,31636.06867735104
56,35857.26891779403
57,38190.121795705854
58,38243.51044853858
59,37698.000000079985
60,35842.20089848789
61,35463.00000000531
62,36567.00000000686
63,37512.00000029219
64,38800.28898813699
65,41464.975354086826
66,41292.946054231084
67,40353.581297640456
68,38071.21859449873
69,34899.00000038854
70,31690.989657484974
71,28341.795856369674
72,25326.884463845858
73,24342.94960609555
74,23605.89945804482
75,23328.48303730444
76,23656.162059649705
77,23596.68302904095
78,27157.04366060166
79,31718.835276152477
80,35856.85946116162
81,37830.86299307499
82,37884.00000005819
83,36922.00000006255
84,35708.00000013311
85,34851.00000003081
86,34863.000000024454
87,36040.000000042
88,37805.910627050194
89,40803.89552576211
90,40570.89090147512
91,39983.896906038404
92,37495.88810143162
93,34741.064542493375
94,31432.74851632711
95,28342.53474493665
96,25297.00337897168
97,23649.434352523152
98,23751.83585044205
99,23778.635877641605
100,23750.298379200085
101,24475.631517634312
102,28207.379827862012
103,32181.27813546123
104,36153.260426795714
105,38294.50067078239
106,38687.510855638335
107,37561.0000000188
108,36337.00000002064
109,35495.00000001829
110,36226.00000001238
111,36492.00000001221
112,37672.000000013366
113,40232.02955740483
114,40585.681994741564
115,39804.676057314005
116,37031.00000001291
117,34077.00000001423
118,30771.822185516277
119,27871.800032267893
120,25364.741729480626
121,24042.192969990403
122,22743.639728002443
123,22363.076607796924
124,22330.357364403088
125,22813.460923661256
126,23052.42578209071
127,24533.57421782697
128,26088.17279486556
129,27895.154784461225
130,29037.208168066172
131,29502.000000030057
132,29438.456839806877
133,27674.767862639426
134,26889.00000002495
135,27158.000000026506
136,28766.00000043516
137,32281.761421445466
138,32472.76049652806
139,33090.000000087246
140,31895.000000011765
141,29827.00000000943
142,27601.17580612263
143,25300.540530267055
144,22832.4509604352
145,21592.97383201226
146,21251.193530764744
147,21371.5268102054
148,21395.544826238107
149,22022.71478791166
150,22812.48743267155
151,22983.282200879392
152,23941.72050299098
153,26079.969751724173
154,27353.64402042414
155,27996.29853441979
156,28056.549336176657
157,26886.93998573589
158,26339.000000019496
159,26480.00000003366
160,27822.60530003826
161,30980.76081191296
162,32205.768887845887
163,32628.000000438085
164,31629.000000023916
165,29771.00000002352
166,27139.74475593373
167,24758.036860787914
168,23875.22059805111
169,22418.311010119174
170,22616.072739638832
171,22526.10069004092
172,23028.499846911476
173,25109.05722904575
174,29638.72748076814
175,35803.77593743602
176,40410.85469124108
177,42548.85385607561
178,42563.85288953666
179,42276.3694619629
180,40032.66742934441
181,39914.58610460972
182,41140.00000005284
183,41702.56531834576
184,41898.81443025619
185,43265.82756149966
186,42315.819371584024
187,41086.81990285355
188,38678.76388433401
189,36039.2051661021
190,32251.801916784723
191,29116.88598118683
192,26626.014650901787
193,25231.288558376487
194,24658.81136122157
195,24823.372405454946
196,25121.53212642525
197,26461.108985606046
198,30784.38737731945
199,37178.677554505346
200,41357.88288624878
201,42711.87910802491
202,42516.88856237108
203,42416.57077797241
204,40287.00382609852
205,39774.745622275
206,40733.5342046141
207,41427.69331430668
208,42527.76902064467
209,44073.86791661958
210,43092.86516618464
211,41769.865409720325
212,39294.347799916126
213,36552.19336342911
214,32555.66089887547
215,29279.187074081143
216,27862.44921586555
217,26677.43879124561
218,26312.86663367635
219,26335.644013625973
220,26583.612950653303
221,27129.024966201432
222,31195.476109553358
223,37826.89592044737
224,41839.88663772051
225,43145.87364660074
226,42973.888529785385
227,42783.897935567096
228,40771.9079900753
229,40278.91904493811
230,41176.92424557352
231,41862.926849029776
232,42609.89037776455
233,44589.88277187528
234,43860.87568240241
235,42812.87494693922
236,40291.90681285473
237,37215.82936256723
238,33137.85560689975
239,29702.94486013704
240,26901.57879609702
241,25525.30546934961
242,24823.569697794366
243,24831.1234825082
244,25271.752139565866
245,26830.681734428144
246,31647.572249359797
247,38299.8997336067
248,42260.87461831184
249,43438.86462652474
250,43432.87933469155
251,43159.88657235752
252,40921.883066815964
253,40408.8969918006
254,41756.894047141046
255,42516.879978699566
256,43446.00313981163
257,45080.858434789705
258,44192.85187938148
259,43080.86116262357
260,40650.86674244449
261,37533.72614180385
262,33483.47229985842
263,30102.111805402663
264,27963.534222350238
265,26518.890075845095
266,25914.618483161546
267,26405.29765173813
268,26545.965889075112
269,27871.270557035426
270,32522.63410598947
271,39095.000000025815
272,43557.00000001724
273,45127.000000015534
274,45271.00000001357
275,45244.000000016444
276,42413.00000002
277,41367.00000001285
278,42163.00000001256
279,42482.00000001196
280,43290.00000002258
281,45431.000000109205
282,44995.000000047454
283,43898.000000020016
284,40884.00000001699
285,37538.00000001413
286,33796.00000001709
287,30605.92916434797
288,27982.263622845494
289,26197.98904895864
290,25550.80327169927
291,25513.838651132573
292,25425.70019762468
293,25885.204617386575
294,28184.782671188004
295,32047.883531861014
296,34587.000000058506
297,36903.0000000102
298,36805.00000000683
299,35251.00000000632
300,33383.000000006155
301,31831.000000005257
302,31532.000000005613
303,31690.00000000597
304,32618.000000010525
305,36707.000000251566
306,38048.73667839688
307,38065.00000006879
308,35913.00000001704
309,33125.00000002105
310,30661.520115038777
311,28429.82735134743
312,26092.88939729012
313,23955.023673301726
314,23130.672891641716
315,23000.672178990633
316,23097.273888743846
317,23318.77427041584
318,23781.120769766017
319,25241.309427684675
320,27134.16946437349
321,29641.85027750826
322,31048.000000006985
323,31268.00000000486
324,31095.00000000497
325,29515.000000004544
326,28672.000000009073
327,28932.00000000428
328,29591.000000006203
329,33076.00000000738
330,34640.00000001155
331,35148.00000000674
332,34213.00000000562
333,32201.00000000523
334,29611.000000006916
335,26903.758170016143
336,24923.442150961142
337,23471.880198919996
338,23500.0961659878
339,23319.19570968557
340,23641.9324003518
341,25159.450804589265
342,31206.000000007727
343,38523.00000001567
344,43357.000000011605
345,45047.00000001234
346,44921.00000001753
347,44396.00000002257
348,41534.00000002474
349,41555.000000021966
350,42770.00000002109
351,43745.00000011028
352,44751.00000002679
353,46587.000000189764
354,45912.000000022155
355,44402.0000000296
356,41872.000000019434
357,38660.00000003881
358,34376.000000093074
359,31228.180416954365
360,28216.696780539805
361,26919.426793260627
362,26656.801639288926
363,27039.527000811373
364,27595.033107362615
365,28697.981907430305
366,33410.633861759154
367,40266.00000001496
368,44876.00000001349
369,46447.00000000774
370,46861.0000000091
371,46016.00000001398
372,43159.000000055436
373,42978.00000004718
374,44246.00000005644
375,44933.000000141124
376,45284.000000023945
377,47342.00000002006
378,46794.000000028056
379,45342.00000001591
380,42958.00000001172
381,39664.000000010674
382,35229.00000001536
383,31579.711082605958
384,28711.2558926902
385,27776.106201322295
386,26480.73138115239
387,26488.785627174533
388,26865.58198737965
389,28363.578114978125
390,33810.46779655161
391,40483.00000002892
392,45007.000000035114
393,46528.00000001878
394,46474.00000003038
395,46261.00000015179
396,43120.83117502399
397,42615.000000032036
398,43646.00000022794
399,43753.120209358465
400,44449.27022522301
401,46952.529454888696
402,46939.45109992479
403,45733.00000004292
404,42796.00000001106
405,39336.00000000632
406,35109.00000000754
407,31807.000000015712
408,28727.000000108615
409,26817.079128521505
410,26385.387578798913
411,26732.22445452194
412,27094.98153925448
413,28593.714206480545
414,34244.066900656995
415,40907.671526430444
416,44672.00000013211
417,45565.00000003701
418,45319.000000018605
419,44111.000000013315
420,41211.00000004259
421,40684.0000000173
422,41879.000000013664
423,42659.00000001526
424,44020.00000005488
425,46770.34449126215
426,46860.00101349813
427,45789.59597614002
428,43059.000000023996
429,39657.00000000661
430,35410.0000000169
431,32085.9305476278
432,28680.0000000164
433,27061.979318718408
434,26804.414508803522
435,26676.797250247924
436,27473.228714945184
437,28372.1790948041
438,33876.92368469253
439,40611.07047022118
440,44647.000007210714
441,45883.00000002512
442,45502.00000001416
443,44904.00000001072
444,42014.00000001331
445,41199.000000013104
446,42089.00000000949
447,42582.000000013955
448,43568.000000016
449,45701.00000001752
450,45782.00000005672
451,44605.00000006557
452,41708.00000002482
453,38262.000000013664
454,34431.00000011551
455,31357.628076239394
456,28433.360280929006
457,26714.474269104525
458,25998.07283048553
459,25616.89182557899
460,25610.71627205049
461,26557.43685664974
462,28623.758636071947
463,32794.68474509665
464,35569.10570941808
465,37284.81724997544
466,36650.000000020904
467,35473.00000001711
468,33500.67936067777
469,31976.303136870552
470,31942.63770788066
471,32224.11000577238
472,32985.16968167577
473,36660.53458402528
474,38560.791876940995
475,38432.79319241337
476,36132.793519774656
477,33124.46887616032
478,30671.065462197195
479,28379.572253141854
480,25664.336788600707
481,24302.89833762347
482,23541.905865697958
483,23424.070215854077
484,23704.116589358724
485,24351.644347301823
486,24883.64350679203
487,25851.29676315445
488,27194.17006937242
489,28403.259950488762
490,29908.00000001757
491,29962.332039168956
492,29625.52612941026
493,28230.770091628794
494,28608.973068583815
495,28186.20531509931
496,29092.436668587863
497,31885.39306476605
498,33640.77144125869
499,34483.77115455087
500,33565.704405254444
501,31638.00000000905
502,29065.000000006843
503,26227.000000025222
504,24263.162330161438
505,23775.38070418919
506,23370.936640632794
507,23407.70098536477
508,24132.98602452334
509,25430.977275214
510,31315.513410420448
511,38568.000000022475
512,43285.00000001606
513,44394.00000001011
514,43613.0000000104
515,43465.000000009866
516,41068.00000000805
517,40840.00000000739
518,42071.00000000894
519,42867.00000001754
520,43954.00000003332
521,46054.00000005573
522,46265.00000006671
523,44933.0000001794
524,41833.000000033106
525,38899.00000001049
526,34603.00000001288
527,30941.00000001237
528,28266.000000009848
529,26537.63138231809
530,25779.189808818934
531,25835.979488896748
532,26420.103487203505
533,27959.390272233628
534,33563.74561632651
535,40466.89578838695
536,44877.00000001161
537,46251.00000000996
538,45505.00000000924
539,44603.00000000698
540,41871.00000000594
541,41426.00000000597
542,42864.00000000613
543,43461.00000000663
544,44429.00000001194
545,46255.00000002948
546,46796.000000028354
547,45788.00000005192
548,42925.00000000965
549,39481.000000007894
550,35235.00000001173
551,31490.000000045784
552,28271.000000014294
553,27421.140044001924
554,26987.60826881575
555,26496.109391541737
556,27070.871409019164
557,28360.223272014366
558,34158.712031022325
559,40655.00000000824
560,45059.00000000937
561,45759.00000000779
562,44993.00000001149
563,44258.00000000797
564,41434.000000008025
565,41122.000000009066
566,42359.00000001324
567,43050.000000024
568,43982.44146899377
569,45918.000000053136
570,46628.00000002805
571,45745.00000002214
572,42958.00000003417
573,39722.00000001698
574,35537.00000002029
575,31889.000000406097
576,28798.000000006246
577,27357.886663265574
578,26878.85028418
579,26751.124342540224
580,27139.014968532996
581,28055.00000004516
582,33914.00000001245
583,40622.89975458576
584,44702.00000001311
585,45975.00000000706
586,45524.00000000781
587,44867.000000006905
588,42181.00000000559
589,41951.000000005835
590,42892.00000000643
591,44136.00000000785
592,44865.00000001743
593,46686.00000008549
594,46798.000000020584
595,45759.00000001215
596,43394.000000006956
597,40080.00000000761
598,35774.00000000696
599,32204.000000005428
600,28409.00000000687
601,27181.736314171947
602,26534.23065316999
603,26321.249131357672
604,26596.817867302525
605,28332.010472584097
606,33899.83480760615
607,40403.0000007067
608,44532.88333985545
609,45762.000000123946
610,45957.9971847771
611,45077.36661502182
612,42281.63900668009
613,41837.25584534044
614,42902.00000000777
615,43458.00000001097
616,44335.00000003352
617,45817.00000011529
618,46071.000000123786
619,45097.00000002643
620,42367.00000000944
621,38978.00000000877
622,35008.00000001065
623,31475.000000019245
624,28430.21645652249
625,26612.000000010652
626,25769.547192753067
627,25253.98588535126
628,25243.691657806274
629,26091.313761899783
630,28726.100284194927
631,32519.00000001405
632,35339.00000002659
633,36936.000000108004
634,36613.00000001515
635,35376.000000007116
636,33680.000000007305
637,31951.000000006137
638,31174.000000005093
639,31526.0000000064
640,32455.000000007014
641,35932.000000015534
642,38156.00000003816
643,38033.0000000227
644,35740.00000000867
645,32955.00000000689
646,30591.000000013853
647,28103.000000014337
648,25703.078590782105
649,24053.676870652853
650,23046.61290431685
651,22406.834645326628
652,22150.83427114193
653,22716.621116202263
654,24112.99756002079
655,25045.01719299692
656,26947.40430701285
657,28734.000000009502
658,29184.00000000752
659,29217.000000006086
660,28763.000000005886
661,27154.00000000838
662,26514.864119666883
663,27179.067615185406
664,28026.681839742843
665,31287.000000094562
666,34238.00000006407
667,34972.00000001675
668,34033.00000000658
669,32124.00000001167
670,29556.392079996316
671,26554.000000008487
672,24602.1245793034
673,23286.255157925047
674,23011.718466580103
675,22909.272475328737
676,23580.741224663714
677,25128.92464350089
678,31413.51872805201
679,38286.00000000668
680,42643.000000009604
681,44144.00000000763
682,43657.00000000708
683,42863.00000000626
684,40265.00000000668
685,40046.00000001049
686,41395.00000001136
687,42414.00000001188
688,43340.00000001348
689,45246.00000002349
690,45731.000000030275
691,44685.000000015054
692,42162.00000000773
693,38941.00000000701
694,34782.00000000787
695,31329.000000006006
696,28418.000000008677
697,26893.807826930937
698,25904.11082305207
699,25822.768236442193
700,26268.18757542525
701,27858.74840599901
702,33760.00000000857
703,40353.000000007334
704,44600.00000001295
705,45872.00000000802
706,45376.000000011794
707,45194.00000000858
708,42312.00000001898
709,41757.000000021566
710,43177.00000000747
711,44066.00000000656
712,44811.00000001053
713,46277.000000017055
714,47058.00000003997
715,45846.00000002199
716,43155.000000011394
717,39551.00000000664
718,35315.000000005784
719,31463.000000005024
720,28410.000000004253
721,26890.072311148986
722,26275.042494956728
723,25985.218081163293
724,26425.119972395627
725,28241.589859594827
726,33715.000000008775
727,40448.000000006
728,44836.00000000684
729,46141.0000000065
730,45911.000000005646
731,45314.000000005544
732,42741.00000000513
733,42246.00000000429
734,43236.0000000046
735,44114.00000000524
736,44824.00000000707
737,46504.00000000816
738,46997.00000001412
739,45846.00000000965
740,43211.0000000084
741,39708.00000001006
742,35370.00000000711
743,31570.000000008775
744,28288.0000000056
745,26666.000000005002
746,25761.000000005286
747,25374.000000004413
748,25753.00000000503
749,27696.00000000726
750,33587.000000009444
751,40221.000000008804
752,44425.00000001029
753,46341.0000000124
754,46002.00000001355
755,45624.00000000863
756,43148.00000000804
757,43111.000000007734
758,44192.00000000742
759,44832.000000006316
760,45481.00000000907
761,46683.00000000575
762,46601.0000000087
763,45558.00000001099
764,42856.00000000895
765,39610.00000000861
766,35128.00000000993
767,31541.00000001931
768,28487.99345594857
769,27543.380679599843
770,26696.031930000656
771,26608.35853812815
772,27124.370739383776
773,28467.892385301635
774,33503.00000000621
775,39989.000000005384
776,44614.00000000564
777,46089.00000000548
778,46085.00000000596
779,45693.00000000683
780,42878.00000000558
781,41880.000000005035
782,42679.00000000558
783,43401.000000005515
784,44211.000000005275
785,45462.00000000843
786,45934.000000020686
787,44916.00000001052
788,41773.00000000509
789,38221.00000000873
790,34234.0000000079
791,30864.000000006527
792,28335.38805361056
793,26311.000000010703
794,25238.94201651993
795,25252.450774277746
796,25182.001082614228
797,25907.609092194667
798,28407.185456517313
799,31851.000000039945
800,34958.00000000446
801,37193.00000000406
802,37450.00000000503
803,36755.00000000476
804,34495.00000000549
805,32532.000000004104
806,31671.000000003547
807,31886.00000000435
808,32733.000000004537
809,35437.00000000617
810,37987.000000008025
811,38138.000000006745
812,35837.00000000569
813,32867.000000005
814,30246.00000000503
815,27687.000000006577
816,26044.036610382074
817,24249.056771537744
818,23522.83118073945
819,23300.85125749285
820,23419.871804311293
821,24111.8121692363
822,25192.739985140204
823,25353.570024597866
824,26818.76818201881
825,29200.000000003907
826,30208.000000003107
827,30521.0000000029
828,29883.000000003238
829,28248.000000002925
830,27578.00000000301
831,27629.00000000317
832,28443.00000000344
833,31226.000000005257
834,34480.00000000755
835,35252.00000000439
836,34347.00000000417
837,32254.00000000375
838,29496.00000000431
839,26638.00000000327
840,24359.829034611474
841,23632.72712334306
842,23193.680215269505
843,23088.461987389932
844,23770.54347215855
845,25861.53812515504
846,31443.000000008797
847,38227.00000000669
848,43101.000000005806
849,44868.00000000642
850,44540.00000000757
851,44159.00000000823
852,41436.000000009735
853,41604.00000001047
854,42513.00000000849
855,43607.00000001001
856,44229.0000000059
857,45324.0000000083
858,45874.00000002885
859,44684.00000002989
860,42214.00000000743
861,38945.00000000991
862,34567.0000000076
863,31055.000000003976
864,28348.000000000167
865,26701.697878497613
866,26549.312945645877
867,26376.706693208238
868,26178.15771584371
869,27736.643835785766
870,32774.000000001215
871,39670.00000000118
872,44380.00000000111
873,46264.000000001026
874,46259.000000000975
875,46310.00000000089
876,43939.00000000091
877,43754.00000000087
878,45185.00000000094
879,45178.000000001295
880,45596.00000000112
881,46458.000000001215
882,46964.00000000125
883,45605.00000000683
884,43001.000000001084
885,39413.000000000146
