,demand
0,10823.00000000037
1,10689.750000000386
2,10353.750000000407
3,10032.25000000044
4,9766.250000000447
5,9768.250000000457
6,10069.750000000462
7,10408.75000000042
8,10693.250000000395
9,11050.250000000371
10,11539.000000000391
11,11890.00000000041
12,12210.50000000041
13,12392.500000000407
14,12500.500000000338
15,12611.750000000362
16,13131.500000000351
17,14098.000000000355
18,14021.250000000344
19,13745.500000000347
20,13284.000000000347
21,12653.000000000342
22,11940.750000000342
23,11158.500000000371
24,10606.000000000387
25,10243.25000000047
26,9989.750000000471
27,9884.750000000457
28,9994.000000000471
29,10533.500000000406
30,11886.00000000035
31,13487.25000000033
32,14972.75000000034
33,15804.500000000346
34,16054.000000000342
35,16092.250000000344
36,16077.000000000347
37,16179.25000000034
38,16267.750000000337
39,16298.000000000342
40,16772.750000000342
41,17634.250000000342
42,16820.250000000357
43,16149.250000000366
44,15354.000000000353
45,14405.000000000346
46,13417.250000000347
47,12517.75000000035
48,11718.250000000367
49,11192.500000000391
50,10925.750000000398
51,10867.500000000406
52,10926.500000000364
53,11368.00000000036
54,12723.00000000034
55,14432.250000000342
56,15881.250000000347
57,16529.000000000353
58,16964.25000000036
59,17218.500000000353
60,17129.750000000353
61,17143.00000000035
62,17012.750000000357
63,16929.500000000357
64,17216.250000000357
65,17911.75000000036
66,17037.00000000038
67,16354.500000000371
68,15553.250000000366
69,14600.25000000037
70,13585.000000000387
71,12719.750000000417
72,11899.500000000444
73,11354.000000000455
74,10971.00000000045
75,10871.750000000431
76,10914.250000000397
77,11374.000000000342
78,12762.750000000353
79,14512.500000000333
80,16009.750000000347
81,16640.500000000353
82,16874.750000000346
83,16932.000000000342
84,16781.250000000327
85,16858.25000000035
86,16861.50000000035
87,16808.500000000313
88,16996.50000000035
89,17690.000000000357
90,16919.750000000364
91,16272.250000000371
92,15476.50000000036
93,14570.500000000351
94,13495.50000000038
95,12671.500000000406
96,11852.750000000424
97,11295.000000000455
98,10957.750000000457
99,10823.500000000437
100,10846.500000000393
101,11331.000000000413
102,12683.250000000371
103,14226.750000000371
104,15751.500000000373
105,16428.00000000037
106,16658.000000000357
107,16685.000000000335
108,16548.00000000036
109,16557.75000000035
110,16488.000000000346
111,16442.750000000353
112,16677.75000000034
113,17403.50000000034
114,16728.750000000375
115,15967.25000000039
116,15150.2500000004
117,14176.750000000391
118,13244.250000000406
119,12473.000000000413
120,11766.7500000004
121,11135.500000000407
122,10743.000000000402
123,10519.500000000413
124,10464.500000000424
125,10619.250000000406
126,11195.75000000037
127,12176.500000000333
128,13250.250000000333
129,14092.250000000337
130,14638.250000000338
131,14752.25000000034
132,14664.750000000344
133,14486.500000000338
