,demand
0,16999.283540345717
1,16762.000000098426
2,16599.84598903057
3,16227.395690889904
4,16251.830849349402
5,16325.77857941926
6,16663.899712583407
7,16959.70721473671
8,17297.37507327127
9,17548.485411756123
10,17813.60008053302
11,18131.898981035294
12,18285.23881541547
13,18408.000000022206
14,18453.000000027918
15,18638.000000030097
16,18820.00000003124
17,18723.00000004335
18,18550.00000003036
19,18317.00000005634
20,18121.000000017633
21,17774.000000016273
22,17208.172098002367
23,16740.051903892454
24,16311.794116552035
25,16009.688034133393
26,15904.672251589453
27,15963.071886758222
28,16134.474535178584
29,16524.664852245525
30,17890.000000014144
31,19451.000000019383
32,20062.170498630545
33,20099.977259123887
34,20416.2533745665
35,20454.712820906654
36,20484.571396157076
37,20498.08418052446
38,20199.96223210765
39,20479.996352842612
40,20719.51847859713
41,20669.244132111384
42,20339.31040507785
43,20119.00000001585
44,19746.00000002678
45,19355.000000049906
46,18504.24691685914
47,17875.000000028107
48,17288.413601161068
49,16983.665235773256
50,16945.482235006726
51,16987.557335675185
52,17096.632292423616
53,17543.106553881444
54,18860.777712983607
55,20429.000000043477
56,20925.000000032385
57,20865.0000000265
58,20939.00000002174
59,20870.00000001334
60,20777.000000012427
61,20744.000000011183
62,20982.000000008025
63,21167.000000008793
64,21342.000000015396
65,21219.000000009954
66,20855.00000000892
67,20614.000000007887
68,20192.0000000118
69,19765.000000011867
70,19062.000000015145
71,18237.000000015258
72,17576.000000021017
73,17055.000000018652
74,16928.000000014465
75,16906.000000015727
76,17002.000000059325
77,17471.000000163458
78,18901.000000019063
79,20513.000000011034
80,20985.000000027067
81,20904.830413547654
82,20650.512197385506
83,20507.00000002643
84,20554.0000000139
85,20602.616867970493
86,20682.092744750855
87,20870.000000139793
88,21002.00000003315
89,20730.00000001914
90,20503.00000001609
91,20131.00000002076
92,19733.00000001621
93,19362.000000060903
94,18784.657311893494
95,17759.000000033764
96,17172.218141609526
97,16950.73220279569
98,16798.10379720575
99,16880.45991800291
100,17005.464886131056
101,17307.000000047068
102,18954.43592726042
103,20476.000000015294
104,21174.028899782676
105,21144.835153673062
106,21171.00000008344
107,20872.571856868526
108,20751.62028820943
109,20787.017652241168
110,20781.000000041713
111,20999.000000023323
112,21247.00000016613
113,21112.000000080832
114,20951.00000001565
115,20688.00000002928
116,20304.000000040814
117,19739.00000001839
118,19235.000000012344
119,18651.000000043306
120,18150.000000009964
121,17842.376126446106
122,17565.608806448472
123,17440.000000014545
124,17481.00000001132
125,17517.00000009413
126,17996.040008174106
127,18416.981957853208
128,19174.000000030494
129,19730.737922158387
130,20133.00000003676
131,20233.00000002051
132,20121.000000017564
133,20068.000000020886
134,19984.000000015567
135,20217.000000044412
136,20972.000000056476
137,21216.66385551769
138,21064.000000033946
139,20772.00000060646
140,20259.000000033644
141,19754.00000007961
142,19504.735853993294
143,19091.716487175065
144,18618.00000035023
145,18370.952539630987
146,18292.611034884125
147,18176.67899899822
148,18245.42443019129
149,18472.09357167516
150,18656.84955935784
151,19945.848921625202
152,19554.104707484243
153,19903.23988491208
154,20367.000000015614
155,20414.00000003409
156,20343.000000025968
157,20401.00000002527
158,20317.781156122957
159,20540.000000028842
160,20920.00000001372
161,20826.000000156564
162,20721.000000031618
163,20485.000000063377
164,20083.000000027638
165,19598.000000012253
166,19092.000000022355
167,18091.00000014315
168,17814.950977363405
169,17607.956757546664
170,17460.95985787226
171,17528.960949168675
172,17622.4203632847
173,18360.674070674315
174,20011.70438973212
175,21132.000000199147
176,21829.00000009619
177,21475.000000191427
178,21264.00000004955
179,21001.000000037253
180,20878.000000037933
181,20726.000000057644
182,20895.279393092405
183,21053.000000110194
184,21435.0000000597
185,21457.57688926584
186,21166.00000005029
187,20898.00000004779
188,20588.000000028085
189,20101.00000001889
190,19435.00000001965
191,18537.00000016643
192,17975.000000021697
193,17652.000000019674
194,17478.000000025408
195,17556.00000004836
196,17789.000000019034
197,18482.000000017004
198,19846.00000002674
199,21325.000000026557
200,21793.00000001833
201,21674.000000177268
202,21629.000000040167
203,21489.00000000845
204,21254.000000020675
205,21214.000000023687
206,21218.000000015647
207,21517.00000001786
208,21868.000000011296
209,21789.000000027474
210,21618.00000007165
211,21354.544936885773
212,21051.000000040556
213,20822.823591275683
214,19887.000000014097
215,19219.000000014104
216,18483.60131244915
217,18196.249340344915
218,18019.83447312873
219,18011.670636402538
220,18197.57638214472
221,18714.817772028102
222,20283.147264720683
223,21776.628784015098
224,22156.361379992548
225,22076.13309672311
226,21935.502105366995
227,21579.1554587023
228,21387.00000017326
229,21258.701028157895
230,21323.914835720538
231,21488.000000020147
232,21774.000000010194
233,21702.0000000136
234,21486.11744668913
235,21270.73510424475
236,20787.530736493798
237,20282.0876321715
238,19602.590840719626
239,18729.002181017026
240,18123.58829937934
241,17669.17176047365
242,17380.298052390306
243,17456.369728648224
244,17557.663788809536
245,17947.467295836435
246,19289.654425152465
247,20712.62429635926
248,21336.000000132357
249,21288.07556847378
250,21163.63562082407
251,21101.000000090968
252,20902.00000011701
253,20851.000000060285
254,21002.0000001182
255,21058.00000206438
256,21320.000000119137
257,21179.000000049276
258,20967.000000100805
259,20771.00000001731
260,20491.000000019627
261,20068.000000018288
262,19313.0000000093
263,18629.000000032654
264,17979.317742824685
265,17628.052387287535
266,17507.45865425474
267,17522.137081550114
268,17482.071052796935
269,18073.747279241903
270,19454.537410300993
271,21213.362661875406
272,21628.000000039945
273,21559.466859579286
274,21435.000000281958
275,21393.636341515412
276,21081.000000020576
277,20902.000000022257
278,20871.000000012722
279,20895.00000001663
280,21070.00000027822
281,21094.8848693344
282,20975.000000092692
283,20659.000000050237
284,20033.000000035117
285,19459.00000003642
286,18958.00000003121
287,18451.000000277974
288,18000.7409799982
289,17645.707145591896
290,17292.066722807285
291,17207.25689053022
292,17076.501325596964
293,17316.89372484833
294,17734.31481568234
295,18401.5318708225
296,19048.08535216139
297,19754.000000054606
298,20228.00000002567
299,20333.000000091797
300,20326.315449388338
301,20127.00000007164
302,20012.9878830453
303,20075.000000026444
304,20488.574604583053
305,20695.566822610243
306,20552.00000007648
307,20143.00000003852
308,19568.000000013857
309,19057.00000001966
310,18623.00000002574
311,18101.00000006711
312,17620.000000193217
313,17372.00000003989
314,17205.000000058088
315,17210.000000115033
316,17176.00000002468
317,17238.000000022035
318,17444.00000003723
319,17825.00000003177
320,18310.000000024505
321,18925.000000026634
322,19415.00000004037
323,19699.00000005838
324,19746.000000013948
325,19767.00000002026
326,19971.0257852755
327,20161.209323554358
328,20439.833157935045
329,20412.000000012365
330,20247.000000016684
331,20024.00000009369
332,19904.000000014294
333,19544.000000020933
334,19057.00000001859
335,18518.00000002772
336,18147.000000020536
337,17794.000000024665
338,17850.000000030865
339,17848.000000039487
340,18087.000000026273
341,18629.00000002543
342,19987.000000027303
343,21694.00000002272
344,22190.00000001745
345,22065.000000017877
346,21927.0000000162
347,21868.000000014985
348,21492.000000011278
349,21370.00000001263
350,21324.000000014315
351,21605.00000001335
352,21773.00000001787
353,21674.000000016866
354,21296.00000002105
355,20996.000000018343
356,20577.000000013966
357,20058.000000014443
358,19329.000000016054
359,18593.000000044143
360,18101.000000113425
361,17571.454802794455
362,17556.823741518307
363,17412.000000190797
364,17410.00000008694
365,17918.00000003514
366,19275.000000031687
367,20997.0000000191
368,21234.00000003819
369,21111.677217993092
370,21002.000000489308
371,20989.96675369399
372,20670.00000010486
373,20760.32685301396
374,20599.000000019958
375,20611.00000005296
376,20991.77763847988
377,20783.42799696601
378,20837.964529417823
379,20426.0000000274
380,20119.000000030024
381,19606.000000031076
382,18966.000000014727
383,18092.000000015458
384,17420.00000001585
385,16965.00000001564
386,16924.00000001952
387,16905.000000029402
388,17076.00000020699
389,17581.000000048083
390,18973.0000000249
391,20894.000000045176
392,21175.21010886684
393,20964.446840776654
394,20905.000000033313
395,21025.8499092887
396,20953.67159630265
397,20382.00000001105
398,20510.000000059532
399,20683.000000022603
400,21154.000000013966
401,21242.000000019325
402,21010.0000000279
403,20676.00000003246
404,20327.000000011394
405,19879.000000020915
406,19232.00000001765
407,18509.000000029122
408,17828.000000017204
409,17571.00000001256
410,17432.000000015152
411,17424.00000001871
412,17555.00000005259
413,18142.00000007532
414,19662.000000009786
415,21439.000005253325
416,21899.000000072447
417,21687.02581736149
418,21590.000000081556
419,21472.000000088014
420,21358.476021612216
421,21327.861427871656
422,21307.00000056479
423,21433.00000003675
424,21783.000000081418
425,21781.330221446333
426,21441.000000124724
427,21270.000000051066
428,21035.00000004813
429,20320.000000033793
430,19602.00000005641
431,18763.000000020664
432,18228.670475383973
433,17775.1052559315
434,17645.98333234807
435,17551.000000176504
436,17709.445199142287
437,18473.71706240518
438,19898.037481168994
439,21493.0000000202
440,22114.0000000331
441,21952.000000633267
442,21797.275861702576
443,21538.842537443823
444,21484.00000002311
