,demand
0,31540.00000000029
1,31486.00000000027
2,30717.00000000041
3,28379.000000000688
4,26064.238175622177
5,24644.90099539181
6,24367.500000013242
7,25720.500000002146
8,26726.000000000706
9,28499.000000000357
10,32503.500000000295
11,36118.0000000003
12,38747.50000000033
13,40149.00000000039
14,40160.5000000004
15,39707.500000000386
16,39940.50000000034
17,42719.50000000035
18,44335.500000000444
19,43079.000000000415
20,40769.50000000047
21,38685.000000000466
22,35763.50000000047
23,32253.500000000484
24,28475.00000000113
25,28096.00000000088
26,28133.00000000131
27,27537.000000001437
28,26939.000000005173
29,26598.83983700508
30,28927.50000000078
31,34328.50000000027
32,38439.00000000034
33,42624.50000000034
34,45486.00000000035
35,46913.000000000415
36,47713.50000000042
37,48286.00000000044
38,48268.00000000043
39,47544.50000000041
40,47658.50000000038
41,49724.0000000004
42,50708.000000000546
43,49684.500000000575
44,47531.0000000005
45,44763.00000000042
46,41044.50000000039
47,37058.50000000037
48,32543.500000000437
49,31163.500000000462
50,30774.50000000044
51,29219.000000000924
52,28510.000000001528
53,27970.000000003547
54,29513.00000000068
55,35440.50000000027
56,40893.50000000027
57,43981.00000000031
58,46189.50000000036
59,46924.00000000038
60,47198.500000000386
61,47556.50000000039
62,47164.50000000039
63,46938.00000000039
64,47032.50000000039
65,48336.5000000005
66,50484.50000000054
67,49567.00000000055
68,47996.500000000546
69,45090.00000000056
70,41100.500000000546
71,36998.500000000495
72,32597.500000000604
73,31342.50000000112
74,31116.50000000107
75,30573.500000000928
76,30220.500000001295
77,30246.000000001208
78,31908.500000000597
79,37460.00000000027
80,42817.00000000031
81,45443.500000000386
82,46981.50000000038
83,47360.00000000044
84,47674.00000000045
85,47773.000000000466
86,47639.00000000046
87,47008.00000000043
88,47387.50000000039
89,49975.0000000004
90,51202.500000000575
91,50258.00000000059
92,48283.00000000059
93,45647.00000000056
94,42329.500000000495
95,38436.500000000415
96,34417.00000000041
97,33325.50000000054
98,32758.500000000724
99,31642.500000000786
100,30738.500000000957
101,30205.500000001048
102,31621.500000000648
103,37319.500000000284
104,42742.50000000036
105,45574.00000000047
106,47352.00000000057
107,47841.00000000068
108,48030.50000000071
109,48030.00000000072
110,47273.0000000007
111,46848.50000000065
112,46743.000000000604
113,49185.50000000055
114,50748.50000000074
115,49708.00000000086
116,48044.00000000092
117,45198.000000001026
118,41975.50000000089
119,38833.500000000684
120,36100.50000000049
121,35262.00000000039
122,34073.50000000049
123,32205.000000000768
124,30315.000000004224
125,29299.984729653224
126,29677.50000000173
127,32193.500000000648
128,35896.00000000029
129,39067.50000000028
130,42428.50000000031
131,44334.50000000033
132,44800.00000000035
133,44781.00000000034
134,44308.00000000035
135,43599.50000000032
136,43913.50000000029
137,46898.00000000029
138,49022.00000000035
139,48147.00000000039
140,46115.000000000386
141,43588.00000000037
142,40822.50000000035
143,38144.50000000031
144,35001.500000000306
145,34303.00000000028
146,32401.000000000484
147,30861.500000000717
148,29981.000000000382
149,29107.0000000009
150,28956.500000000786
151,30209.00000000059
152,32161.00000000047
153,35697.00000000025
154,39684.000000000284
155,42245.00000000036
156,43426.50000000039
157,44240.50000000042
158,43470.500000000415
159,43883.00000000038
160,44524.00000000034
161,48187.00000000034
162,50562.50000000045
163,49358.50000000051
164,47168.00000000049
165,44523.500000000466
166,41373.000000000415
167,37966.50000000033
168,34249.000000000284
169,32831.00000000039
170,32283.50000000055
171,31356.500000000597
172,30784.500000000633
173,30421.000000000666
174,32197.00000000041
175,39447.50000000023
176,46355.00000000029
177,49061.00000000035
178,50468.5000000004
179,51359.00000000042
180,52214.50000000042
181,52452.000000000444
182,52205.50000000045
183,51463.50000000045
184,51438.500000000284
185,52812.50000000051
186,52886.500000000546
187,52507.000000000524
188,51927.50000000055
189,49491.50000000054
190,45367.500000000495
191,40947.00000000041
192,35742.00000000057
193,34402.00000000077
194,33793.500000001455
195,32951.50000000194
196,32413.500000002765
197,31927.500000002357
198,33595.000000000844
199,40510.50000000027
200,46530.000000000364
201,49496.50000000046
202,50649.00000000029
203,51102.00000000052
204,51474.0000000006
205,51442.50000000065
206,51217.500000000706
207,50219.00000000081
208,50678.50000000076
209,51455.00000000075
210,52065.50000000077
211,51581.50000000078
212,50632.500000000866
213,47949.50000000097
214,43754.50000000083
215,39392.500000000626
216,34720.50000000092
217,33877.5000000009
218,33470.000000001266
219,32586.500000001546
220,31751.000000002936
221,31331.000000002285
222,32899.50000000088
223,39396.50000000029
224,45769.50000000038
225,47595.0000000006
226,48611.000000000684
227,48819.50000000088
228,48752.50000000095
229,48722.500000000975
230,47767.500000000895
231,47493.50000000081
232,47694.00000000079
233,49568.00000000069
234,50857.00000000097
235,50811.00000000087
236,50126.50000000099
237,47444.50000000111
238,43595.50000000106
239,39467.50000000065
240,34571.00000000151
241,33738.00000000149
242,33417.00000000147
243,32429.0000000014
244,31519.00000000338
245,31100.000000002376
246,32895.500000000735
247,39056.500000000306
248,45464.00000000044
249,47495.50000000072
250,48963.00000000069
251,49273.00000000085
252,49400.500000000895
253,49289.50000000091
254,48908.00000000092
255,48421.00000000095
256,48415.00000000083
257,50174.00000000076
258,50788.50000000102
259,50560.000000001004
260,50100.00000000101
261,47740.00000000107
262,43897.00000000102
263,39556.00000000074
264,36010.50000000052
265,35066.50000000047
266,33835.50000000123
267,32712.50000000277
268,31988.500000002896
269,31484.000000001673
270,33006.50000000073
271,39473.00000000029
272,45969.000000000335
273,48025.50000000046
274,49015.00000000048
275,49335.00000000054
276,49177.500000000575
277,49188.50000000059
278,49321.50000000055
279,48587.50000000052
280,48395.50000000046
281,50282.00000000047
282,51356.50000000069
283,49992.00000000072
284,48534.00000000065
285,46293.50000000054
286,42893.00000000046
287,39025.50000000039
288,35621.500000000335
289,34642.5000000003
290,32747.000000000528
291,30951.00000000113
292,29829.50000000125
293,29119.000000001
294,29614.000000000673
295,32049.500000000444
296,36070.00000000029
297,38981.50000000035
298,42181.50000000041
299,43920.50000000044
300,44512.50000000042
301,44414.500000000415
302,44389.50000000043
303,43847.00000000043
304,43909.00000000042
305,46051.00000000044
306,48106.0000000005
307,47246.00000000055
308,44900.50000000064
309,42312.00000000065
310,39643.00000000059
311,37054.0000000005
312,34637.000000000415
313,33391.00000000052
314,32039.00000000106
315,30333.00000000546
316,29162.000000000662
317,28441.84732892697
318,28342.000000007367
319,30262.50000000089
320,33117.000000000364
321,35973.000000000386
322,39496.00000000044
323,41998.000000000524
324,43412.000000000546
325,44207.00000000054
326,44324.000000000575
327,44232.5000000005
328,45093.50000000043
329,48122.500000000255
330,49875.500000000466
331,48747.500000000495
332,46108.00000000052
333,43799.00000000044
334,40039.50000000041
335,35927.500000000364
336,31938.500000000313
337,29978.500000000437
338,29237.500000000924
339,28598.500000000924
340,27925.500000001157
341,27627.500000000782
342,29889.500000000397
343,37614.5000000002
344,43930.50000000025
345,46254.0000000003
346,47392.00000000033
347,48457.500000000364
348,49233.50000000037
349,49125.50000000039
350,48167.50000000039
351,47542.00000000037
352,47358.00000000035
353,49058.50000000035
354,51460.500000000466
355,50789.00000000053
356,49555.00000000046
357,46977.500000000444
358,43027.50000000023
359,38746.000000000306
360,34295.000000000284
361,33179.50000000027
362,31822.500000000568
363,30682.0000000006
364,29811.000000000702
365,29391.00000000065
366,31299.000000000397
367,38499.50000000021
368,45635.50000000024
369,47767.000000000306
370,48727.50000000034
371,48796.50000000039
372,49099.500000000386
373,48710.00000000043
374,49012.00000000021
375,49000.50000000021
376,49280.50000000035
377,51181.00000000036
378,52452.500000000524
379,51797.00000000055
380,50833.00000000052
381,48393.00000000047
382,44603.500000000415
383,40329.00000000032
384,35883.50000000029
385,34477.00000000028
386,33298.50000000051
387,32078.00000000023
388,31202.000000000993
389,30669.500000000986
