,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
0,590.0000000009883,1.0010953391872042e-09,1.0010953391872042e-09,249.0000000009879,259.00000000098794,35.00000000098442,1.0010953391872042e-09,1.0010953391872042e-09,1.0010953391872042e-09,1.0010953391872042e-09,1.0010953391872042e-09,1.0010953391872042e-09,1.0010953391872042e-09,1.0010953391872042e-09,1.0010953391872042e-09,1.0010953391872042e-09,1.0010953391872042e-09,140.0000000009874,891.0000000009884,1590.0000000009884
1,587.0000000010191,1.034177473776912e-09,1.034177473776912e-09,236.00000000101863,254.0000000010187,34.00000000101478,1.034177473776912e-09,1.034177473776912e-09,1.034177473776912e-09,1.034177473776912e-09,1.034177473776912e-09,1.034177473776912e-09,1.034177473776912e-09,1.034177473776912e-09,1.034177473776912e-09,1.034177473776912e-09,1.034177473776912e-09,141.00000000101812,917.0000000010192,1552.0000000010193
2,502.0000000003253,3.1775544738519414e-10,3.1775544738519414e-10,256.0000000003253,280.0000000003253,42.00000000032521,3.1775544738519414e-10,3.1775544738519414e-10,3.1775544738519414e-10,3.1775544738519414e-10,3.1775544738519414e-10,3.1775544738519414e-10,3.1775544738519414e-10,3.1775544738519414e-10,3.1775544738519414e-10,3.1775544738519414e-10,3.1775544738519414e-10,144.00000000032531,815.0000000003254,1465.0000000003254
3,488.00000000048004,4.72785938355508e-10,4.72785938355508e-10,259.00000000048,259.00000000048,38.00000000047958,4.72785938355508e-10,4.72785938355508e-10,4.72785938355508e-10,4.72785938355508e-10,4.72785938355508e-10,4.72785938355508e-10,4.72785938355508e-10,4.72785938355508e-10,4.72785938355508e-10,4.72785938355508e-10,4.72785938355508e-10,141.00000000047996,854.0000000004801,1495.00000000048
4,482.00000000047845,4.711828067896359e-10,4.711828067896359e-10,251.00000000047842,266.00000000047845,39.000000000478025,4.711828067896359e-10,4.711828067896359e-10,4.711828067896359e-10,4.711828067896359e-10,4.711828067896359e-10,4.711828067896359e-10,4.711828067896359e-10,4.711828067896359e-10,4.711828067896359e-10,4.711828067896359e-10,4.711828067896359e-10,143.00000000047837,937.0000000004785,1406.0000000004784
5,390.0000000003186,3.1110836416370203e-10,3.1110836416370203e-10,204.00000000031858,254.00000000031858,41.00000000031848,3.1110836416370203e-10,3.1110836416370203e-10,3.1110836416370203e-10,3.1110836416370203e-10,3.1110836416370203e-10,3.1110836416370203e-10,3.1110836416370203e-10,3.1110836416370203e-10,3.1110836416370203e-10,3.1110836416370203e-10,3.1110836416370203e-10,143.00000000031858,917.0000000003187,1423.0000000003186
6,385.00000000038125,3.733300917949213e-10,3.733300917949213e-10,211.00000000038122,230.00000000038122,38.00000000038101,3.733300917949213e-10,3.733300917949213e-10,3.733300917949213e-10,3.733300917949213e-10,3.733300917949213e-10,3.733300917949213e-10,3.733300917949213e-10,3.733300917949213e-10,3.733300917949213e-10,3.733300917949213e-10,3.733300917949213e-10,142.0000000003812,960.0000000003813,1501.0000000003813
7,417.0000000002909,2.8387222861115753e-10,2.8387222861115753e-10,222.0000000002909,283.00000000029087,42.00000000029081,2.8387222861115753e-10,2.8387222861115753e-10,2.8387222861115753e-10,2.8387222861115753e-10,2.8387222861115753e-10,2.8387222861115753e-10,2.8387222861115753e-10,2.8387222861115753e-10,2.8387222861115753e-10,2.8387222861115753e-10,2.8387222861115753e-10,143.00000000029087,966.0000000002909,1471.0000000002908
8,432.00000000039813,3.902283279524153e-10,3.902283279524153e-10,227.00000000039813,242.00000000039813,35.000000000397876,3.902283279524153e-10,3.902283279524153e-10,3.902283279524153e-10,3.902283279524153e-10,3.902283279524153e-10,3.902283279524153e-10,3.902283279524153e-10,3.902283279524153e-10,3.902283279524153e-10,3.902283279524153e-10,1.000000000392208,138.0000000003981,1020.0000000003981,1538.0000000003981
9,470.000000000434,4.2626649190022153e-10,4.2626649190022153e-10,243.000000000434,236.000000000434,34.00000000043364,4.2626649190022153e-10,4.2626649190022153e-10,4.2626649190022153e-10,4.2626649190022153e-10,4.2626649190022153e-10,4.2626649190022153e-10,4.2626649190022153e-10,4.2626649190022153e-10,4.2626649190022153e-10,4.2626649190022153e-10,11.000000000432856,127.00000000043394,1088.000000000434,1637.000000000434
10,582.000000000499,4.920316571938985e-10,4.920316571938985e-10,252.00000000049891,273.0000000004989,32.00000000049835,4.920316571938985e-10,4.920316571938985e-10,4.920316571938985e-10,4.920316571938985e-10,4.920316571938985e-10,4.920316571938985e-10,4.920316571938985e-10,4.920316571938985e-10,4.920316571938985e-10,4.920316571938985e-10,36.000000000498424,135.00000000049886,1140.000000000499,2003.000000000499
11,576.0000000002427,2.368527204097842e-10,2.368527204097842e-10,281.0000000002427,326.0000000002427,40.00000000024264,2.368527204097842e-10,2.368527204097842e-10,2.368527204097842e-10,2.368527204097842e-10,2.368527204097842e-10,2.368527204097842e-10,2.368527204097842e-10,2.368527204097842e-10,2.368527204097842e-10,2.368527204097842e-10,54.00000000024266,128.0000000002427,1122.0000000002426,2027.0000000002426
12,571.0000000003024,2.9514781471659556e-10,2.9514781471659556e-10,277.00000000030235,302.00000000030235,39.000000000302265,2.9514781471659556e-10,2.9514781471659556e-10,2.9514781471659556e-10,2.9514781471659556e-10,2.9514781471659556e-10,2.9514781471659556e-10,2.9514781471659556e-10,2.9514781471659556e-10,2.9514781471659556e-10,2.9514781471659556e-10,59.00000000030231,130.00000000030235,1137.0000000003024,2106.0000000003024
