,demand
0,6928.385229360898
1,7018.812909930917
2,6871.209676182786
3,6610.63248126557
4,6318.114027747875
5,6518.179241527939
6,6712.482415473576
7,7179.223816336755
8,7239.807530205588
9,7543.747486632239
10,7831.574581552761
11,8059.600884529636
12,8060.626331428198
13,7945.89624205604
14,7833.774859240924
15,7919.537744329757
16,7752.230453444486
17,7543.500000002293
18,7608.000000005441
19,7324.13212035597
20,7110.367283714705
21,6523.750000000748
22,6558.750000001095
23,7063.338644178206
24,7274.38557247137
25,7038.21535566843
26,6816.0431769108645
27,6698.215022678001
28,6906.923880420626
29,7310.370893632547
30,7639.9403435685535
31,8118.043920929285
32,8436.9404899615
33,8682.250000000964
34,8770.250000000628
35,8876.750000000717
36,8821.000000000793
37,8681.000000000871
38,8610.00000000068
39,8656.00000000096
40,8891.25000000146
41,9273.50000000136
42,9145.000000000971
43,8650.750000001088
44,8092.000000001694
45,7507.500000005412
46,8148.010777289905
47,8014.632845643611
48,7570.511257513317
49,7274.984152488188
50,7106.859838052868
51,7219.078828685229
52,7344.058906621287
53,7925.378964600437
54,8403.97535411754
55,9197.787692503214
56,9507.866307605163
57,9509.419356234408
58,9704.068573110337
59,9611.81748540064
60,9418.837338345073
61,9332.906747015215
62,9156.500000001359
63,9107.551007509906
64,9605.786032523429
65,9722.362235208428
66,9519.771241007289
67,9098.337169177767
68,9001.003517910374
69,8410.528474822231
70,8508.186149487015
71,7951.34246720358
72,7612.432564533999
73,7197.777270581829
74,7330.294969628466
75,7243.0142641120365
76,7399.26962460523
77,7570.1549329350655
78,7579.197556213557
79,8296.500000000597
80,8694.000000000573
81,8945.00000000049
82,9096.750000000522
83,9241.25000000084
84,9179.500000001843
85,9112.250000000951
86,9009.250000001033
87,9052.000000002536
88,9317.750000002023
89,9469.750000001774
90,9337.50000000104
91,8764.500000000897
92,8156.750000001094
93,7617.750000000921
94,7686.7538304839945
95,7861.897333736132
96,7499.459399910467
97,7120.12480960993
98,6926.383894404458
99,7216.305919360706
100,7395.594456282077
101,7724.708508545049
102,8035.908174252216
103,8248.50000000433
104,8647.250000000864
105,8799.250000000844
106,8820.500000000826
107,8787.250000000584
108,8639.000000000578
109,8512.500000000522
110,8504.000000000577
111,8486.25000000058
112,8789.250000000753
113,9095.250000000624
114,8913.000000000528
115,8335.500000000417
116,7783.000000000407
117,7205.500000000658
118,7055.000000001242
119,6717.588872785606
120,6324.229668944485
121,6231.174548081793
122,6243.312408549985
123,6415.168432966119
124,6335.715969081077
125,6612.415177926838
126,6606.877535691053
127,6639.042812200219
128,6909.5000000004875
129,7208.5000000003865
130,7327.5000000004
131,7418.250000000412
132,7207.750000000365
133,6997.500000000407
134,6858.2500000003965
135,6974.5000000004775
136,7255.250000000728
137,7710.750000000585
138,7760.750000000667
139,7358.000000000533
140,7056.250000000686
141,6654.250000000802
142,7043.371646650672
143,6983.289282547954
144,6865.023742707066
145,6978.847413439756
146,6872.415950934586
147,6759.713954053991
148,6800.101144929452
149,7045.042068157566
150,7193.648522404129
151,7667.136270503026
152,7826.915693651788
153,8218.246676061
154,8353.897248572352
155,8380.054768202996
156,8193.317673413361
157,7954.301772471026
158,7744.607670335766
159,7849.101308921911
160,7563.803571647758
161,7711.250000001993
162,7762.750000000971
163,7417.000000000638
164,7085.250000000633
165,6697.250000000797
166,6780.500000001024
167,6837.390760662295
168,7302.820093484169
169,7073.9128873301215
170,6930.974557680302
171,6818.26990557883
172,7116.083830650948
173,7608.251398217112
174,7943.00000000134
175,9051.000000000817
176,9416.500000000784
177,9492.250000000668
178,9524.500000000671
179,9572.750000000615
180,9388.500000000531
181,9327.500000000571
182,9270.000000000642
183,9260.500000000784
184,9437.50000000095
185,9632.750000001208
186,9489.500000000931
187,8876.000000000782
188,8322.500000000797
189,8140.512647677349
190,8085.218905244869
191,8359.394910532803
192,7922.776298482004
193,7527.670752770499
194,7550.622956403291
195,7353.403782736422
196,7480.197144586761
197,8114.121527721436
198,8017.250000000975
199,9111.500000001526
200,9442.000000000951
201,9452.000000001044
202,9477.750000002477
203,9557.000000001084
204,9341.000000000893
205,9250.50000000062
206,9184.250000000862
207,9237.75000000144
208,9369.750000003041
209,9638.50000000236
210,9465.750000001091
211,8900.000000000575
212,8351.23346945478
213,7833.5523057271585
214,7682.6495731872055
215,7164.107703690207
216,7159.798592520257
217,6907.636579745739
218,6830.479482221133
219,6650.699669240632
