,demand
0,8545.75000000205
1,8248.500000001897
2,8156.00000000194
3,7944.750000001709
4,8439.500000001659
5,8452.250000001464
6,8476.750000001717
7,7806.500000002284
8,7841.250000002141
9,7815.0000000021755
10,7982.750000001718
11,8326.250000001439
12,8599.25000000127
13,8860.750000001435
14,8861.972833196878
15,8925.500000003025
16,8994.000000003569
17,9303.500000008293
18,9312.250000001808
19,9147.500000009011
20,8917.500000003574
21,8728.750000003181
22,8993.250000003769
23,9118.25000000511
24,8678.50000000712
25,8859.250000003185
26,8636.000000003593
27,8605.750000002636
28,8752.500000004491
29,8896.000000002618
30,8910.250000001979
31,9683.000000002488
32,10299.250000001804
33,10645.000000001823
34,10828.25000000232
35,11091.75000000204
36,11154.750000003096
37,10995.75000000656
38,10916.00000000724
39,11045.500000005963
40,10964.500000017411
41,11300.250000004677
42,11305.000000011378
43,10908.750000030743
44,10434.250000006012
45,9956.25000000382
46,10013.250000003596
47,9872.250000008482
48,9431.000000003485
49,9759.250000002667
50,9282.750000001355
51,9044.372782423305
52,9415.50000000816
53,9533.500000002097
54,9643.420468828697
55,10186.250000002821
56,10753.50000000366
57,10999.000000002792
58,11181.750000004937
59,11369.000000004926
60,11241.974742576063
61,11322.500000005972
62,11327.250000005977
63,11548.75000000489
64,11470.500000004584
65,11763.000000005262
66,11772.250000005142
67,11295.25000000473
68,10710.500000004597
69,10233.50000000465
70,10298.75000000466
71,10252.250000005002
72,10376.750000004544
73,10357.250000004848
74,10124.750000004482
75,9947.750000004382
76,9988.250000003629
77,10204.000000004491
78,10050.750000002088
79,10779.750000002772
80,11648.250000002732
81,12013.250000002752
82,12110.250000005528
83,12108.750000003545
84,11893.750000006241
85,11834.500000002032
86,11547.750000001623
87,11548.750000001439
88,11462.750000001564
89,11942.250000001799
90,11971.750000003189
91,11492.0000000044
92,10865.250000004598
93,10492.000000005928
94,10603.750000004362
95,10506.500000004251
96,10498.25000000225
97,10422.00000000177
98,10108.500000001472
99,9831.25000000327
100,10005.980458761282
101,10339.729002837483
102,10106.750000002754
103,10820.75000000376
104,11628.000000002627
105,11858.250000002146
106,12077.250000001708
107,11915.500000006026
108,11988.250000001648
109,11667.75000000566
110,11624.000000001784
111,11333.250000044125
112,11458.000000004457
113,11972.500000003138
114,11906.750000002334
115,11484.00000000168
116,11163.750000001612
117,10401.7500000031
118,10731.750000001659
119,10769.250000001706
120,10205.250000005655
121,9975.000000004715
122,10250.250000008973
123,9984.750000022957
124,9747.908511412115
125,9310.685958858357
126,9586.959562955864
127,9630.000000005255
128,10116.500000003336
129,10605.000000003307
130,11031.500000003478
131,11197.250000002163
132,11226.00000000184
133,11040.250000003365
134,10723.000000005202
135,10637.750000022086
136,10647.000000954124
137,11166.000000016964
138,11174.000000003069
139,10729.500000002012
140,10224.500000002981
141,9822.50000000659
142,9860.750000004633
143,9941.2500000041
144,9634.250000003294
145,9185.250000003345
146,8871.250000003627
147,8934.500000010072
148,9095.500000010452
149,8907.50000001091
150,8907.750000009832
151,8963.250000002981
152,9218.500000002545
153,9499.250000001965
154,9939.750000002356
155,10375.000000002647
156,10590.500000002705
157,10404.750000002507
158,10264.250000002277
159,10120.750000002303
160,10096.250000002225
161,10802.500000002312
162,11019.250000002821
163,10871.250000002392
164,10419.750000002612
165,9989.500000002636
166,9990.750000001926
167,10006.250000001932
168,9531.250000003636
169,9807.500000014219
170,9588.000000015985
171,9787.500000009835
172,9906.000000015414
173,9961.50000001235
174,10889.000000001883
175,11689.000000001713
176,12385.25000000152
177,12592.25000000184
178,12642.750000001979
179,12692.250000002028
180,12538.750000001837
181,12661.500000001924
182,12484.25000000191
183,12370.500000001839
184,12182.250000001794
185,12786.250000002907
186,12580.00000000291
187,12220.000000002836
188,11890.750000002503
189,11567.500000001328
190,11340.250000001937
191,11669.50000000235
192,11362.50000000184
193,11008.500000002015
194,10632.25000000299
195,10680.750000006392
196,10729.750000007049
197,11044.500000003365
198,11341.500000002627
199,12279.250000003538
200,12587.750000007045
201,12564.50000000729
202,12573.750000005253
203,12596.000000008471
204,12357.250000007769
205,12352.500000004235
206,12267.250000006334
207,12206.750000011796
208,12261.750000010914
209,12908.250000006354
210,12888.000000003025
211,12297.250000004307
212,11698.000000003698
213,11133.500000002297
214,11122.500000001684
215,10985.00000000226
216,10541.750000003427
217,10987.250000002887
218,10647.250000029615
219,10254.945622141022
220,10330.663847257225
221,10715.750000002725
222,10979.750000002514
223,11919.500000002457
224,12227.500000002705
225,12388.750000002423
226,12316.250000002945
227,12344.500000003587
228,12283.00000000259
229,12326.75000000361
230,12365.75000000458
231,12446.750000003898
232,12368.500000010374
233,12935.500000005672
234,12884.000000003281
235,12385.25000000277
236,11844.500000002112
237,11294.000000001628
238,11262.500000001612
239,11169.750000001528
240,10568.750000002123
241,10904.75000000404
242,10791.000000004133
243,10564.250000009799
244,10724.86413973429
245,10978.819590992447
246,11387.50000000378
247,12276.000000004387
248,12796.000000002807
249,12752.50000000639
250,12710.00000000584
251,12764.000000004964
252,12511.750000005191
253,12501.500000008897
254,12435.750000007818
255,12390.250000006765
256,12401.750000005637
257,12972.500000003825
258,13040.75000000326
259,12537.250000002688
260,11972.750000003038
261,11351.250000002216
262,11441.250000001872
263,11278.250000001639
264,10763.250000002523
265,10868.250000002434
266,10662.000000002648
267,10626.000000002372
268,10630.750000002561
269,11029.750000001557
270,11293.25000000141
271,12254.250000001526
272,12679.50000000194
273,12688.250000002716
274,12675.00000000345
275,12674.7500000041
276,12439.000000003389
277,12351.000000003594
278,12092.00000000355
279,12009.250000003563
280,12109.000000002781
281,12644.500000002352
282,12572.7500000026
283,12039.500000002641
284,11552.000000002252
285,11012.750000002236
286,11087.25000000209
287,10981.75000000293
288,10461.500000002141
289,9980.750000002248
290,9741.000000001954
291,9721.250000002145
292,10073.750000002825
293,10055.00000000246
294,9836.000000002554
295,9856.000000002054
296,10461.500000002326
297,10972.750000002019
298,11217.25000000185
299,11354.250000001777
300,11357.250000002412
301,11228.00000000244
302,10997.250000002598
303,10813.750000002372
304,10858.000000002012
305,11589.250000002898
306,11669.00000000355
307,11247.000000002072
308,10667.250000001952
309,10134.500000002892
310,10261.250000002114
311,10507.500000001406
312,10030.000000001566
313,9598.750000002015
314,9691.500000001866
315,9803.750000001903
316,9725.750000002583
317,9733.000000002978
318,9877.500000002336
319,9242.75000000267
320,9576.500000001979
321,9963.750000001552
322,10377.000000001572
323,10542.750000001612
324,10606.000000001744
325,10250.500000001854
326,9936.500000001924
327,9997.750000001724
328,10046.250000001652
329,10814.000000001999
330,11259.250000002448
331,11094.000000002374
332,10806.000000001977
333,10325.750000002576
334,10304.500000002723
335,10327.750000002176
336,9857.000000005963
337,9406.000000006059
338,9487.750000038805
339,9589.75000018601
340,9873.929618107428
341,9966.000000010417
342,11052.500000002728
343,11652.750000004473
344,12109.75000006489
345,12236.000000010212
346,12163.66986475015
347,12383.232830176357
348,12161.117526216924
349,12157.000000139817
350,12120.500000012245
351,12131.250000014386
352,12204.672114543431
353,12745.59271468489
354,12803.769790507173
355,12220.110288003996
356,11585.980123365038
357,11113.892817845866
358,11161.68446485505
359,10894.836919725602
360,10585.75000000457
361,10478.000000002468
362,10351.5000000021
363,10235.750000004344
364,10386.250000005664
365,10725.750000005637
366,11144.250000007702
367,11858.250000002065
368,12127.750000001828
369,12154.000000002676
370,12076.750000003089
371,12216.250000002674
372,11829.500000003201
373,11731.500000003805
374,11840.000000002861
375,12054.250000003265
376,11873.500000003072
377,12602.000000003913
378,12809.000000002292
379,12239.500000001892
380,11619.750000001728
381,10995.750000002019
382,11092.250000002176
383,10890.75000000209
384,10342.750000003103
385,10522.750000162923
386,10424.000000021475
387,10372.579333821952
388,10504.517184038623
389,10827.830212529105
390,11158.750000003105
391,11995.000000002003
392,12500.25000000267
393,12648.00000000252
394,12624.000000002574
395,12737.500000003443
396,12444.000000003403
397,12385.000000003343
398,12142.25000000357
399,12222.500000003032
400,12261.750000003145
401,12843.500000002601
402,12989.000000002083
403,12383.250000001859
404,11715.750000002012
405,11068.250000003118
406,11275.250000002288
407,11116.500000002314
408,10698.000000004951
409,10768.750000008324
410,10386.750000027843
411,10476.39527241086
412,10651.750000021113
413,10951.50000001078
414,10995.500000005239
415,12024.000000001834
416,12466.000000001695
417,12417.750000004175
418,12149.287901587388
419,12552.000000002477
420,12101.250000002452
421,12008.250000002598
422,11858.000000002334
423,11782.750000002337
424,12069.500000001673
425,12695.000000002434
426,12716.500000003272
427,12092.500000001499
428,11435.500000002332
429,11141.750000002468
430,11314.250000002034
431,10943.250000002126
432,10623.000000003403
433,10404.500000006597
434,10387.00000000497
435,10341.000000006365
436,10512.500000006059
437,10937.750000004029
438,11239.7500000025
439,12124.500000001974
440,12414.00000000269
441,12366.000000002594
442,12240.000000002869
443,12160.750000002361
444,11817.750000002932
445,11744.000000003029
446,11580.75000000389
447,11556.000000005106
448,11595.750000007132
449,12109.500000003241
