,demand
0,7629.000000000055
1,7355.000000000053
2,7282.000000000069
3,7457.000000000076
4,7429.000000000035
5,7226.000000000048
6,7241.000000000071
7,7145.000000000063
8,7021.00000000007
9,7091.000000000077
10,7237.000000000061
11,7326.000000000051
12,7326.000000000058
13,7737.00000000004
14,7623.000000000035
15,7417.000000000043
16,7397.000000000057
17,7668.000000000058
18,7892.000000000032
19,7033.000000000055
20,7237.000000000045
21,6776.000000000084
22,7375.000000000098
23,7648.000000000093
24,7605.000000000081
25,7478.000000000091
26,7472.0000000000855
27,7436.000000000076
28,7263.000000000084
29,7140.000000000066
30,7158.000000000065
31,6746.00000000007
32,6601.00000000008
33,6745.000000000077
34,6991.000000000068
35,7116.000000000058
36,7214.000000000054
37,7309.00000000005
38,7303.000000000044
39,6956.000000000062
40,6870.000000000079
41,7058.00000000008
42,7479.000000000058
43,7582.000000000065
44,7395.000000000077
45,7083.0000000001
46,7090.000000000128
47,7261.000000000124
48,7259.000000000132
49,7183.00000000012
50,7056.000000000135
51,6970.000000000154
52,6993.00000000012
53,6858.00000000012
54,6960.0000000000755
55,6727.000000000106
56,6956.000000000076
57,7351.000000000073
58,7510.000000000078
59,7751.000000000083
60,7841.000000000104
61,8001.000000000084
62,7920.000000000073
63,7852.000000000068
64,7654.000000000078
65,7770.000000000068
66,8118.00000000005
67,8126.00000000004
68,7820.000000000042
69,7368.000000000053
70,6983.000000000062
71,7154.000000000092
72,7233.000000000187
73,7904.0000000000855
74,7829.000000000097
75,7819.000000000097
76,7735.000000000088
77,7631.0000000001055
78,7789.000000000069
79,7470.000000000058
80,7280.000000000072
81,7690.000000000064
82,7926.000000000068
83,8124.000000000072
84,8179.000000000069
85,8143.000000000068
86,7990.000000000071
87,7793.000000000072
88,7774.000000000074
89,7973.000000000062
90,8100.000000000051
91,8062.000000000049
92,7753.000000000056
93,7343.000000000069
94,7177.000000000094
95,7444.000000000098
96,7660.00000000007
97,7204.000000000117
98,7352.000000000088
99,7209.000000000113
100,7334.000000000093
101,7239.000000000126
102,7438.000000000062
103,6772.000000000085
104,7059.000000000071
105,7448.0000000000555
106,7556.0000000000555
107,7574.00000000005
108,7622.000000000052
109,7646.0000000000555
110,7532.000000000052
111,7418.000000000055
112,7294.000000000059
113,7379.000000000054
114,7803.000000000042
115,7858.000000000039
116,7743.000000000047
117,7357.000000000057
118,7116.000000000062
119,7065.000000000057
120,6984.000000000075
121,7294.000000000063
122,7207.000000000064
123,7072.000000000062
124,6954.000000000065
125,6815.000000000097
126,6940.000000000077
127,6964.000000000064
128,6978.000000000056
129,6966.000000000046
130,6884.000000000038
131,6820.000000000038
132,6878.000000000039
133,6959.000000000037
134,6928.000000000039
135,6807.0000000000455
136,6801.000000000051
137,6925.000000000064
138,7201.000000000048
139,7263.00000000005
140,7070.000000000052
141,6755.000000000057
142,6542.000000000067
143,6585.000000000073
144,6765.000000000074
145,6993.000000000072
146,7208.000000000064
147,7163.000000000066
148,7042.000000000072
149,6917.000000000084
150,6753.000000000112
151,6733.000000000099
152,6716.000000000085
153,6738.000000000085
154,7014.000000000077
155,7371.00000000006
156,7431.0000000000555
157,7400.000000000062
158,7552.000000000047
159,7444.00000000006
160,7309.000000000066
161,7304.000000000063
162,7245.000000000057
163,7206.000000000054
164,7064.000000000056
165,6733.00000000006
166,6491.000000000071
167,6428.000000000089
168,6735.000000000077
169,6809.0000000000755
170,6929.000000000092
171,7186.00000000007
172,7070.00000000009
173,7112.000000000081
174,7079.000000000068
175,7394.00000000006
176,7882.000000000055
177,8315.000000000044
178,8356.000000000051
179,8412.00000000005
180,8478.000000000044
181,8125.000000000047
182,8066.000000000057
183,7973.000000000068
184,8017.000000000062
185,8166.000000000057
186,8418.000000000045
187,8435.000000000038
188,8057.000000000047
189,7577.000000000061
190,7166.000000000097
191,7377.00000000004
192,6572.0000000001955
193,7524.000000000073
194,7496.000000000077
195,7456.000000000081
196,7401.000000000072
197,7305.000000000094
198,7481.000000000067
199,7429.000000000069
200,8138.000000000056
201,8404.000000000047
202,8378.00000000005
203,8470.000000000058
204,8555.000000000045
205,8234.000000000044
206,8235.000000000047
207,8092.000000000058
208,8029.000000000063
209,8153.000000000054
210,8435.000000000044
211,8483.000000000038
212,8153.000000000043
213,7696.000000000054
214,7305.000000000071
215,7455.000000000062
216,7223.000000000059
217,6840.000000000105
218,7204.0000000000855
219,7174.000000000084
220,7070.0000000000955
221,7063.000000000099
222,7210.000000000078
223,7537.0000000000755
224,8330.000000000045
225,8692.000000000035
226,8662.000000000035
227,8677.000000000038
228,8700.000000000042
229,8434.000000000051
230,8400.000000000051
231,8251.000000000056
232,8209.000000000053
233,8290.000000000047
234,8520.00000000004
235,8532.000000000036
236,8254.000000000047
237,7780.000000000059
