,demand
0,5520.000000019063
1,5706.014874292926
2,5983.000376762522
3,6359.963809461906
4,6340.046667306166
5,6339.177395157939
6,6358.96937000131
7,6091.99089294942
8,5627.027396899092
9,5967.0232947330915
10,6379.01766169221
11,6405.021253093001
12,6600.010602051779
13,6581.01286463836
14,6482.000000014439
15,6643.013979159397
16,6814.000000011651
17,6811.000000006097
18,6806.000000007039
19,6849.000000006811
20,6731.000000005545
21,6417.0000000033015
22,6280.00000000358
23,5947.000000005249
24,6520.557928514263
25,6892.952302448977
26,6833.9513696337135
27,6712.948492140307
28,6708.9618830135205
29,6969.465748669478
30,7418.999626328333
31,8078.000000004122
32,8389.000000005772
33,8703.000000004558
34,8797.000000004342
35,8881.000000006501
36,9097.336483560675
37,9123.237921934355
38,8933.000000006134
39,8918.000000007009
40,9002.000000005326
41,9055.00000000449
42,8863.000000004311
43,8826.00000000611
44,8504.000000004487
45,8014.0000000068285
46,7637.000000007994
47,7524.9928425119015
48,7893.390069146011
49,8039.761981258038
50,8016.409927404708
51,7944.965328000506
52,8078.966518988776
53,8111.990134656951
54,8564.007763091786
55,9072.000000019752
56,9207.004947832322
57,9409.001711555351
58,9471.003181477145
59,9481.000000023125
60,9533.000000020083
61,9560.000000080665
62,9456.000000009239
63,9540.000000015965
64,9563.00000002021
65,9505.000000013368
66,9246.000000010623
67,9122.000000080545
68,8836.000000017368
69,8337.00000003711
70,7858.000000009928
71,7987.983503445814
72,8146.184715482639
73,8200.277353029032
74,8114.9783800083205
75,8027.982552483859
76,8113.981415153225
77,8314.985215017889
78,8646.001364605003
79,9141.000000004005
80,9193.000000005952
81,9276.000000005371
82,9217.000000003565
83,9189.000000004839
84,9337.000000008116
85,9375.935233460285
86,9274.000000006861
87,9347.00000001074
88,9410.000000004995
89,9387.000000006456
90,9162.000000006605
91,9029.00000000504
92,8733.000000005228
93,8216.000000005093
94,7734.000000008993
95,7458.008355055547
96,8103.7758618267135
97,8199.31378757742
98,8102.497360890593
99,8004.985289254268
100,8133.987690694996
101,8112.0037645081375
102,8632.013056006812
103,9099.000000019367
104,9111.000000008553
105,9195.00000000575
106,9121.000000003629
107,9079.000000004808
108,9222.00000000443
109,9225.000000004593
110,9120.000000003552
111,9076.000000003645
112,9119.000000004737
113,9091.000000004111
114,8827.00000000304
115,8675.000000002447
116,8376.000000003221
117,7848.0000000028585
118,7358.000000002922
119,6979.0000000041455
120,6860.107057054535
121,7289.567790703437
122,7400.742116415358
123,7406.4551285833395
124,7418.277038976547
125,7454.379963700628
126,7135.986640420502
127,6971.000000006748
128,7177.00000000311
129,7553.00000000222
130,7809.000000002043
131,7948.000000001722
132,7803.0000000014825
133,7711.000000001555
134,7657.000000001608
135,7667.000000001934
136,7837.000000002065
137,7816.000000001645
138,7710.000000001355
139,7526.000000001562
140,7343.000000001745
141,6930.00000000188
142,6718.000000001866
143,6418.000000002056
144,5994.000000004702
145,6184.010168363657
146,6893.96782115101
147,6795.9797170375605
148,6950.384498097939
149,6974.968554315445
150,7189.84454105828
151,7072.9794014762865
152,6650.0000000072905
153,7247.000000012242
154,7729.000000006595
155,7926.000000004741
156,7839.000000005833
157,7793.000000006411
158,7782.000000008135
159,7882.000000005097
160,8004.000000009336
161,7932.000000005239
162,7943.000000002796
163,7790.000000003031
164,7695.000000002643
165,7324.000000002803
166,7278.000000003167
167,6986.000000004909
168,7415.979880295404
169,7779.683944742878
170,7695.971228463829
171,7621.976139119485
172,7840.969992674354
173,8213.970189461716
174,8575.000000004
175,9168.00000000363
176,9364.000000003402
177,9528.000000004207
178,9487.000000005592
179,9445.00000000432
180,9645.000000004022
181,9691.000000004511
182,9564.000000004577
183,9507.000000007327
184,9569.000000006132
185,9505.000000006017
186,9258.000000008507
187,9163.00000000428
188,8899.000000005874
189,8325.000000008988
190,7849.0000000055925
191,8015.987447045197
192,8201.9640666192
193,8244.339761353986
194,8102.968454374993
195,7985.967562319665
196,8113.967964020102
197,8242.985344074548
198,8665.000000004737
199,9212.000000008315
200,9275.000000008788
201,9335.000000010526
202,9228.000000014144
203,9134.00000001089
204,9232.00000000604
205,9280.000000004437
206,9181.000000004435
207,9195.000000005863
208,9320.000000013702
209,9367.0000000048
210,9115.000000003327
211,8989.000000002852
212,8717.00000000338
213,8143.000000002319
214,7682.000000001785
215,7283.000000002463
216,7856.367087514171
217,7956.182558899597
218,7839.587222035834
219,7742.714251027861
220,7897.891351563246
221,8130.441764479449
222,8505.000000002763
223,9063.000000002627
224,9228.000000001712
225,9366.00000000226
226,9308.000000002836
227,9315.000000002492
228,9470.000000002146
229,9522.00000000191
230,9456.000000002043
231,9424.000000001788
232,9461.00000000155
233,9460.000000001846
234,9234.00000000162
235,9133.000000001797
236,8799.000000002188
237,8249.000000002385
238,7780.000000002048
239,7397.000000005223
240,7582.321285131132
241,7930.596075258269
242,7797.837537308171
243,7763.336023851722
244,7838.492837280375
245,8035.517279557483
246,8639.00000000443
247,9225.000000001502
248,9316.000000001684
249,9496.00000000156
250,9446.000000001617
251,9370.00000000177
252,9459.000000001626
253,9516.000000001795
254,9409.000000001932
255,9376.000000001819
256,9439.000000001426
257,9502.000000001755
258,9268.000000001724
259,9157.000000002101
260,8870.000000002408
261,8376.000000001857
262,7875.000000002309
263,7455.00000000273
264,7960.700766318625
265,8095.744021937132
266,7949.102065047375
267,7831.87367756152
268,7969.7930774001325
269,8367.38041154277
270,8687.000000002052
271,9267.00000000239
272,9415.000000001708
273,9532.000000001986
274,9548.000000002583
275,9500.000000001977
276,9542.000000002046
277,9544.000000002288
278,9374.000000002696
279,9334.00000000272
280,9301.000000002676
281,9252.000000001955
282,8993.000000002114
283,8858.000000001884
284,8572.000000002108
285,8062.000000001663
286,7525.000000001579
287,7155.000000001663
288,6689.000000002035
289,6574.000000002791
290,7017.635089982166
291,7316.696038372106
292,7371.871569200735
293,7391.89277690047
294,7200.689570676656
295,7437.000000003609
296,7743.000000003075
297,8210.00000000309
298,8526.000000002947
299,8669.000000002596
300,8611.000000003338
301,8551.000000003065
302,8444.000000004515
303,8426.000000004928
304,8455.000000007285
305,8399.000000004487
306,8242.000000002554
307,8028.000000002447
308,7880.000000002038
309,7474.000000002569
310,7227.000000002835
