,demand
0,44877.75000000028
1,43816.500000000364
2,42820.000000000604
3,42051.75000000173
4,42061.50000000152
5,42643.60413448838
6,42209.992171906226
7,42642.656195118536
8,43109.466527830205
9,44937.56327646238
10,47193.00000000392
11,49723.00000000096
12,51115.00000000048
13,50223.500000000335
14,49221.50000000053
15,49279.50000000035
16,51371.25000000023
17,54922.00000000025
18,55675.00000000027
19,54250.5000000003
20,51727.500000000306
21,49930.50000000029
22,49141.000000000284
23,46071.75000000086
24,43196.716901560554
25,42322.939357113515
26,42037.96326716531
27,41705.95807443824
28,43375.28782478617
29,46066.00000000079
30,52544.75000000035
31,58794.00000000023
32,62635.50000000027
33,64417.5000000003
34,66225.5000000003
35,67790.50000000029
36,68454.25000000026
37,67799.75000000023
38,66470.50000000023
39,65754.75000000028
40,66905.25000000025
41,69481.50000000028
42,69399.00000000023
43,68037.00000000028
44,63941.250000000306
45,60742.500000000284
46,58653.25000000029
47,54672.25000000031
48,51742.250000001004
49,49928.250000029446
50,49551.163351348754
51,50621.82172949393
52,52657.512337419335
53,55065.50000000104
54,61385.25000000038
55,66611.75000000025
56,70133.50000000025
57,71484.00000000029
58,72778.75000000032
59,74231.50000000028
60,73780.25000000029
61,72709.2500000003
62,71072.25000000032
63,70610.5000000003
64,72048.25000000029
65,74820.50000000033
66,74241.25000000038
67,72197.50000000028
68,68309.25000000029
69,64816.50000000064
70,62351.2500000007
71,58188.500000001266
72,55283.93730348435
73,53006.53421202041
74,51638.449862141846
75,52243.34661180466
76,52590.997241556746
77,54885.25000000122
78,60675.50000000051
79,66166.50000000026
80,69200.00000000026
81,69556.5000000003
82,70684.0000000003
83,71695.00000000033
84,71242.75000000042
85,70280.75000000038
86,68854.75000000035
87,68469.25000000032
88,69531.25000000035
89,71475.75000000032
90,70892.50000000028
91,69106.25000000029
92,65981.75000000028
93,63258.000000000335
94,61166.25000000045
95,57216.000000000655
96,53560.492923259466
97,52652.12076304348
98,51598.16699750855
99,51840.05474953198
100,53267.84915653336
101,55344.338688423086
102,60390.00000000109
103,66348.25000000047
104,69154.00000000033
105,69907.75000000033
106,70832.2500000003
107,71998.50000000028
108,71721.00000000029
109,69963.00000000028
110,68087.00000000028
111,66717.00000000029
112,67206.50000000036
113,69402.25000000035
114,68900.00000000033
115,66529.00000000029
116,62357.250000000284
117,58834.250000000306
118,56987.00000000042
119,53621.75000000047
120,50116.250000000684
121,47771.569839674085
122,46660.4974739453
123,46685.19284794406
124,47230.40456091249
125,46516.002613043456
126,46643.50000000085
127,49498.75000000031
128,52199.50000000028
129,55023.250000000255
130,56933.25000000025
131,58668.75000000026
132,58718.25000000027
133,57322.25000000023
134,55575.750000000306
135,55287.000000000255
136,57226.25000000027
137,60680.0000000003
