,demand
0,25381.90136791581
1,24418.748402023713
2,22857.29461994443
3,21853.1663174065
4,21603.850290098886
5,21391.953202640314
6,21565.83243164777
7,21776.62297595615
8,21327.919610805962
9,21956.227803064485
10,23142.535767381763
11,23702.10397022857
12,24172.99719599325
13,24760.89110042865
14,25070.000505660235
15,24072.805395747317
16,23467.14244624456
17,23804.578254706183
18,25942.238725034025
19,27134.932767422248
20,27991.25136797645
21,28190.29928701406
22,27723.26194388157
23,25580.738185266244
24,24414.510611897407
25,23251.319946756536
26,22410.19655607736
27,22173.1865430213
28,22403.633594132607
29,22940.407917487526
30,24168.405938386186
31,27226.577756400507
32,30024.99734280897
33,32408.996335548632
34,33994.9956638476
35,34277.99566759162
36,34070.9956758453
37,34203.99501732207
38,33374.49647017436
39,32503.236848216715
40,32320.00172546375
41,32297.17958384527
42,34104.09880410265
43,34558.52200904249
44,34710.64127660867
45,34471.9264787391
46,32354.744771105747
47,30061.379013439135
48,28117.000000037562
49,27256.373407631134
50,26410.889397746574
51,25838.533339942052
52,25229.87495144133
53,25757.69894167242
54,27274.37716136587
55,28914.000000076787
56,31015.998452049793
57,33169.996898553356
58,34256.9964195877
59,34532.42658764965
60,34307.90085389353
61,34390.942082463946
62,33291.26853191044
63,32474.484716987383
64,31931.201594381142
65,32086.927420294505
66,33888.06322315166
67,34422.48896834767
68,34565.69382165047
69,34256.455642451736
70,32348.27501489284
71,30428.842838489476
72,29170.406094733575
73,28332.195255666244
74,27753.99573949388
75,27455.00091461982
76,27177.97442486179
77,27080.041139471537
78,28080.441862872296
79,29800.36199690563
80,31481.996663274178
81,33208.66814584722
82,34024.81765631761
83,34214.08377542232
84,34211.58301792051
85,34571.30921215132
86,34098.907273265795
87,33403.13203148594
88,32372.961134070294
89,32045.273088712405
90,33537.85685647486
91,34078.27790397149
92,34255.36724476643
93,33935.37315704719
94,32151.995545194466
95,29976.089210184135
96,28994.381838489226
97,28511.06407797543
98,27736.869923524147
99,27172.368602642302
100,26952.184456005205
101,27060.37271483073
102,27666.110490314233
103,29381.64720150076
104,31273.996207914486
105,32702.995396420672
106,33599.9953582956
107,33760.0040047198
108,33480.86324015125
109,33311.995686692535
110,32027.446407430336
111,30915.99492304025
112,30383.994101463304
113,30340.994451569368
114,31363.994532977944
115,31361.994831848457
116,31578.99405478258
117,31356.993364551232
118,29830.993570989245
119,27952.13028925685
120,26700.993557846457
121,24833.966895066467
122,23339.188506817733
123,22499.276703276624
124,22369.47934547716
125,22367.164843497307
126,22650.923628016313
127,22998.73522371021
128,23703.922072661568
129,24941.994284127384
130,27265.99469973789
131,28390.994709538933
132,28355.995546783524
133,27976.995243216366
134,27492.994802278
135,25958.61507711323
136,25449.784699350508
137,25686.995473325755
138,27991.994158412675
139,29307.59906108307
140,29954.901732078742
141,30315.6648526029
142,29738.483920199345
143,27983.16471789578
144,26301.872718182738
145,24881.124462566713
146,23969.019975686362
147,23552.037321831827
148,23301.76790906854
149,23283.348400096966
150,23577.561288577195
151,23998.000000009804
152,24381.000000003514
153,25334.00000000955
154,27188.522811595674
155,28304.9971134866
156,29020.99634518566
157,29958.995606152115
158,30319.99473068142
159,29046.99555916628
160,28460.996342721333
161,28738.996020077866
162,31305.994192045102
163,32722.99364490488
164,33842.99382586033
165,33718.994159474496
166,32289.9943115562
167,29610.99458770551
168,26763.995058089444
169,24850.996670795124
170,23670.998342602394
171,23352.961563503897
172,23304.000000022963
