,demand
0,9715.000000000475
1,9410.000000000507
2,9242.000000000531
3,9260.000000000524
4,9364.000000000518
5,9586.000000000522
6,9597.00000000032
7,9813.000000000315
8,9827.000000000313
9,9864.000000000304
10,10047.000000000304
11,10071.000000000306
12,10070.000000000304
13,10173.000000000302
14,10488.000000000317
15,10650.000000000326
16,10667.000000000322
17,10754.000000000326
18,10742.00000000033
19,10550.000000000335
20,10184.000000000322
21,10458.000000000324
22,10289.000000000333
23,9856.000000000324
24,9562.000000000233
25,9367.000000000218
26,9271.000000000215
27,9304.000000000216
28,9584.000000000213
29,10326.000000000227
30,10758.00000000026
31,11049.000000000253
32,11113.000000000242
33,11070.000000000247
34,11095.000000000247
35,11166.000000000244
36,11126.000000000247
37,11154.00000000025
38,11322.00000000026
39,11514.00000000026
40,11507.000000000258
41,11489.000000000256
42,11451.000000000256
43,11262.000000000256
44,10711.000000000236
45,10851.000000000238
46,10678.00000000024
47,10094.000000000222
48,9669.000000000207
49,9379.0000000002
50,9338.000000000196
51,9328.000000000195
52,9579.0000000002
53,10330.000000000218
54,10799.000000000235
55,11165.000000000246
56,11199.00000000025
57,11008.000000000242
58,11110.00000000024
59,11131.000000000238
60,11071.000000000236
61,11179.000000000238
62,11467.00000000024
63,11576.00000000025
64,11573.000000000253
65,11512.000000000247
66,11497.000000000244
67,11321.00000000024
68,10811.000000000233
69,10886.00000000023
70,10638.00000000022
71,10222.000000000215
72,9799.000000000198
73,9632.000000000202
74,9553.0000000002
75,9598.000000000206
76,9835.000000000211
77,10690.00000000023
78,11088.000000000238
79,11392.000000000238
80,11430.00000000026
81,11314.000000000266
82,11351.000000000258
83,11398.000000000255
84,11351.000000000255
85,11439.000000000256
86,11618.000000000264
87,11702.000000000264
88,11680.000000000262
89,11570.00000000026
90,11569.000000000264
91,11470.000000000255
92,10972.000000000247
93,11071.000000000244
94,10818.00000000023
95,10325.000000000224
96,9997.000000000213
97,9778.000000000216
98,9671.000000000218
99,9680.000000000216
100,9975.000000000211
101,10707.000000000227
102,11166.000000000242
103,11543.000000000251
104,11577.000000000267
105,11447.000000000262
106,11434.00000000026
107,11328.000000000256
108,11353.000000000256
109,11370.000000000258
110,11525.000000000262
111,11641.000000000262
112,11587.000000000258
113,11599.000000000258
114,11559.000000000256
115,11231.00000000025
116,10759.000000000242
117,10820.000000000235
118,10587.000000000226
119,10070.000000000213
120,9751.000000000207
121,9464.000000000204
122,9351.000000000198
123,9298.000000000195
124,9377.000000000198
125,9551.000000000202
126,9645.00000000021
127,9985.000000000215
128,10018.000000000216
129,10092.000000000222
130,10336.000000000235
131,10444.00000000024
132,10386.000000000238
133,10459.00000000024
134,10726.00000000025
135,11019.000000000256
136,11063.000000000267
137,11217.00000000027
138,11251.000000000271
139,11041.000000000266
140,10641.000000000253
141,10850.000000000251
142,10641.000000000235
143,10187.000000000231
144,9822.00000000023
145,9570.00000000023
146,9518.000000000231
147,9491.000000000235
148,9577.000000000235
149,9812.000000000231
150,9900.000000000235
151,10160.00000000024
152,10256.000000000235
153,10421.000000000238
154,10631.000000000242
155,10711.000000000236
156,10608.00000000024
157,10577.000000000238
158,10831.000000000242
159,11189.000000000251
160,11381.000000000256
161,11478.000000000258
162,11476.00000000026
163,11273.000000000253
164,10859.00000000024
165,11060.000000000246
166,10930.00000000024
167,10558.000000000231
168,10216.000000000218
169,9981.000000000224
170,9976.000000000227
171,10031.00000000023
172,10388.000000000231
173,11344.000000000244
174,11931.00000000026
175,12183.00000000027
176,12116.000000000275
177,12032.000000000271
178,12009.00000000027
179,11924.00000000027
180,11809.000000000267
