,demand
0,5141.000000000149
1,5043.000000000171
2,4768.000000000153
3,4510.000000000177
4,4445.000000000259
5,4516.000000000254
6,4572.000000000206
7,4728.000000000203
8,5134.000000000171
9,5551.000000000242
10,5899.0000000002565
11,5945.000000000255
12,5670.000000000331
13,5123.0000000006385
14,5121.000000000336
15,5173.000000000191
16,5502.000000000144
17,6104.00000000009
18,6199.000000000087
19,6160.000000000104
20,6013.000000000124
21,5693.00000000019
22,5391.000000000213
23,4939.000000000185
24,4513.000000000177
25,4447.000000000188
26,4245.000000000219
27,4094.0000000003415
28,4157.000000000327
29,4476.000000000178
30,4878.000000000175
31,5335.000000000177
32,5890.000000000142
33,6115.000000000164
34,6279.000000000166
35,6357.00000000018
36,6333.000000000189
37,6137.000000000216
38,6212.000000000201
39,6169.000000000193
40,6435.000000000143
41,6921.0000000001155
42,7017.000000000113
43,6915.000000000117
44,6689.000000000142
45,6205.000000000192
46,5894.000000000199
47,5419.000000000191
48,4901.000000000181
49,4842.000000000173
50,4659.000000000167
51,4475.000000000159
52,4476.000000000165
53,4806.000000000164
54,5354.000000000164
55,5969.000000000139
56,6575.0000000001455
57,6774.000000000164
58,6808.000000000192
59,6827.000000000211
60,6781.000000000217
61,6499.0000000002065
62,6565.000000000208
63,6507.000000000178
64,6854.000000000144
65,7424.00000000012
66,7447.000000000125
67,7368.000000000127
68,6981.000000000174
69,6431.0000000002
70,6044.000000000182
71,5438.0000000001755
72,4908.000000000175
73,4789.000000000265
74,4660.000000000391
75,4574.000000000379
76,4664.00000000029
77,5088.000000000172
78,5640.000000000165
79,6327.000000000122
80,7089.000000000117
81,7460.000000000119
82,7625.000000000158
83,7741.000000000164
84,7666.000000000172
85,7316.000000000203
86,7378.000000000216
87,7205.00000000021
88,7424.000000000192
89,7868.000000000139
90,7884.0000000001455
91,7710.00000000014
92,7261.000000000175
93,6673.00000000022
94,6324.000000000234
95,5736.000000000221
96,5246.000000000252
97,5175.000000000268
98,5016.00000000027
99,4892.000000000257
100,4957.000000000228
101,5374.000000000164
102,5996.000000000152
103,6568.000000000143
104,7046.000000000157
105,7128.000000000182
106,7096.000000000184
107,6990.000000000188
108,6870.000000000182
109,6684.000000000198
110,6784.000000000216
111,6755.000000000197
112,7163.00000000014
113,7836.000000000101
114,7880.000000000105
115,7745.000000000113
116,7361.000000000151
117,6747.000000000204
118,6419.000000000226
119,5823.000000000206
120,5242.000000000162
121,5170.00000000018
122,4969.000000000175
123,4808.000000000165
124,4812.000000000163
125,4909.000000000151
126,5056.000000000143
127,5313.000000000147
128,5603.000000000166
129,5800.000000000188
130,6122.000000000188
131,6329.000000000214
132,6268.000000000216
133,5873.000000000285
134,5886.000000000313
135,5888.000000000237
136,6226.0000000002
137,6883.00000000012
138,6982.000000000107
139,6873.000000000109
140,6601.000000000165
141,6181.000000000215
142,5872.000000000223
143,5440.000000000164
144,5002.000000000177
145,4915.000000000192
146,4711.000000000179
147,4564.00000000017
148,4559.000000000171
149,4685.000000000154
150,4810.000000000158
151,4975.0000000001755
152,5411.000000000157
153,5886.000000000153
154,6265.000000000177
155,6361.0000000001755
156,6206.000000000172
157,5831.000000000201
