,demand
0,23071.000000000047
1,22305.000000000186
2,20971.000000000036
3,19875.000000000156
4,19074.000000000273
5,19346.000000000204
6,20168.000000000175
7,20810.000000000156
8,21102.00000000016
9,22429.000000000167
10,24334.000000000164
11,26221.00000000014
12,26951.000000000156
13,25704.000000000153
14,24619.000000000382
15,24462.000000000426
16,25641.000000000626
17,28437.000000000204
18,29306.000000000327
19,30026.000000000266
20,29421.00000000015
21,28143.00000000004
22,26158.00000000016
23,23894.000000000236
24,22324.06793811937
25,20898.326290970803
26,20511.84407234718
27,20524.662309440017
28,20923.96009445635
29,22380.22264600487
30,25364.84379920154
31,29381.240414338074
32,33469.91574054617
33,36427.91769247964
34,36814.126586047976
35,36669.525289145706
36,35771.000000027154
37,34421.000000029904
38,34686.00000001303
39,34955.651525688656
40,36393.91711027571
41,39985.900831684994
42,39963.89632518101
43,39276.89977826923
44,37102.90356672786
45,34768.85866183249
46,31177.006248918417
47,28048.13844839974
48,24875.662177933493
49,23409.688216984425
50,22618.77245423373
51,22282.677806519245
52,22083.361750273078
53,23312.20204664897
54,27068.829919687418
55,31636.076784200162
56,35857.269915766425
57,38190.12211491486
58,38243.5188016614
59,37698.00000002336
60,35842.21884250057
61,35463.00000000159
62,36567.00000000205
63,37512.00000008692
64,38800.314241964275
65,41464.98170412533
66,41292.94698543128
67,40353.5818214816
68,38071.22864101539
69,34899.00000011556
70,31691.003759781393
71,28341.811932983506
72,25326.89344623276
73,24342.96154038424
74,23605.907300119638
75,23328.49062182056
76,23656.17045432065
77,23596.690624204006
78,27157.059112420477
79,31718.835806054423
80,35856.859760490515
81,37830.8632540551
82,37884.00000001745
83,36922.000000018736
84,35708.00000004202
85,34851.00000000926
86,34863.000000007334
87,36040.000000012464
88,37805.9107725166
89,40803.89567851345
90,40570.891043569216
91,39983.89703326535
92,37495.88832237203
93,34741.066610026675
94,31432.75680679932
95,28342.545026931406
96,25297.01444437843
97,23649.44416697452
98,23751.847741276735
99,23778.647620969496
100,23750.311904704224
101,24475.650235574525
102,28207.400008771747
103,32181.28307469153
104,36153.263759494635
105,38294.50455417303
106,38687.51473027383
107,37561.00000000558
108,36337.00000000611
109,35495.00000000544
110,36226.0000000037
111,36492.00000000365
112,37672.000000004
113,40232.04372557942
114,40585.69180258785
115,39804.6902168196
116,37031.00000000386
117,34077.000000004264
118,30771.834073642287
119,27871.81270439227
120,25364.76048120035
121,24042.209596421726
122,22743.66053991079
123,22363.098999869137
124,22330.37997289499
125,22813.484330907104
126,23052.44316858708
127,24533.581475279465
128,26088.17753654163
129,27895.15962897669
130,29037.216115119143
131,29502.00000000904
132,29438.467989014498
133,27674.777017286397
134,26889.000000007498
135,27158.000000007978
136,28766.000000134238
137,32281.762552854423
138,32472.76168740869
139,33090.00000002639
140,31895.00000000352
141,29827.000000002816
142,27601.188088390492
143,25300.554429054573
144,22832.46346397696
145,21592.985581460496
146,21251.206129667848
147,21371.542922450375
148,21395.56051645015
149,22022.734205108653
150,22812.50617849119
151,22983.297040119138
152,23941.73946080318
153,26079.989726685923
154,27353.663653813157
155,27996.317304722877
156,28056.56809997881
157,26886.9540117817
158,26339.000000005803
159,26480.00000001008
160,27822.62471416764
161,30980.762117128448
162,32205.770102391212
163,32628.000000136308
164,31629.00000000717
165,29771.00000000707
166,27139.758766343683
167,24758.048119975218
168,23875.229818025826
169,22418.33614000558
170,22616.098312255013
171,22526.129428148513
172,23028.52972923581
173,25109.092763769804
174,29638.754826377466
175,35803.77706685072
176,40410.85492296061
177,42548.85408988413
178,42563.85320195162
179,42276.38173642968
180,40032.68364616679
181,39914.60355388575
182,41140.000000015745
183,41702.568841191605
184,41898.815141580344
185,43265.828127218316
186,42315.81990663034
187,41086.82040781403
188,38678.76520907997
189,36039.21129180451
190,32251.807863152317
191,29116.88772716702
192,26626.0333770681
193,25231.313532817905
194,24658.83716800807
195,24823.404331806545
196,25121.56653070261
197,26461.138101217915
198,30784.409915881228
199,37178.68534199702
200,41357.883059010244
201,42711.879287969845
202,42516.88873155779
203,42416.57102331768
204,40287.007698475274
205,39774.74855060479
206,40733.53754041364
207,41427.69441178732
208,42527.77041356445
209,44073.86811363396
210,43092.86533204341
211,41769.865555144286
212,39294.349261064875
213,36552.19820207945
214,32555.67105732313
215,29279.201383616433
216,27866.443872495744
217,26658.57923481734
218,26309.211408701613
219,26313.080202468074
220,26573.56479557597
221,27134.923148441685
222,31195.55190837246
223,37798.24230498272
224,41826.51224488744
225,43124.62210364661
226,42953.000000047716
227,42743.98097967435
228,40724.679669808334
229,40230.49502590224
230,41118.027301775204
231,41813.25002882717
232,42563.40629544905
233,44579.814336479256
234,43857.03099674436
235,42805.77398321715
236,40279.377219550384
237,37204.07390300555
238,33128.427749660885
239,29705.585178676334
240,26899.295655607188
241,25514.64402763636
242,24816.46458793261
243,24817.01403789451
244,25257.072510345406
245,26829.416463991063
246,31655.7337817243
247,38283.480989113246
248,42252.204575516684
249,43430.06364907558
250,43418.49730310179
251,43132.6519181915
252,40886.570547864416
253,40371.76511712693
254,41719.02456620336
255,42491.92472698817
256,43422.98335799982
257,45074.28321509089
258,44189.22210710547
259,43075.83400986951
260,40640.85606238425
261,37550.24187808291
262,33493.445597564874
263,30109.022419644265
264,27962.841146683048
265,26516.245674866033
266,25905.7155090665
267,26392.349192580976
268,26534.555533462946
269,27869.198090025417
270,32533.967599203083
