,demand
0,262.25345215902075
1,231.50262218785684
2,0.6252929209570158
3,0.5831347512510693
4,0.6048562257760308
5,0.8017391451142277
6,5.0424603603731795
7,0.8042179670565149
8,0.7995028206164045
9,0.8080127241544117
10,243.75734482667988
11,256.50679466963163
12,249.7565269751247
13,246.50622466118014
14,235.7556346897557
15,260.7560644667722
16,9.21863471541551
17,0.22470170339865156
18,0.21473559058245167
19,0.19817422326532505
20,0.1781921363525092
21,0.1544067991277668
22,0.11495407035867289
23,1.1171886035370386
24,1.405579515931838
25,1.5439726945678212
26,2.117664048700737
27,0.8926244005703787
28,8.983421470023444
29,220.50420074731025
30,8.022012506812237
31,1517.0000000000236
32,1581.0000000000261
33,1626.0000000000211
34,1642.0000000000218
35,1636.0000000000225
36,1651.0000000000207
37,1645.000000000023
38,1648.00000000002
39,1701.0000000000234
40,1719.0000000000289
41,1681.000000000031
42,1627.0000000000189
43,1569.0000000000182
44,1479.0000000000216
45,1346.000000000023
46,1219.0000000000152
47,1141.0000000000143
48,1078.000000000017
49,1039.0000000000293
50,1022.000000000036
51,1031.0000000000368
52,1092.0000000000275
53,1285.000000000024
54,1503.0000000000348
55,1651.0000000000346
56,1702.0000000000318
57,1713.0000000000302
58,1725.0000000000282
59,1715.000000000034
60,1731.0000000000316
61,1725.0000000000352
62,1728.0000000000332
63,1767.0000000000305
64,1770.000000000028
65,1742.0000000000339
66,1691.0000000000368
67,1628.0000000000343
68,1531.000000000029
69,1374.000000000028
70,1232.0000000000289
71,1144.0000000000296
72,1097.0000000000348
73,1068.0000000000637
74,1064.0000000000803
75,1074.0000000000935
76,1142.0000000000339
77,1350.0000000000348
78,1554.0000000000352
79,1691.000000000031
80,1739.0000000000182
81,1747.0000000000216
82,1746.0000000000232
83,1727.000000000007
84,1738.0000000000093
85,1733.0000000000082
86,1728.000000000007
87,1768.0000000000075
88,1763.0000000000364
89,1737.0000000000337
90,1674.0000000000284
91,1605.0000000000266
92,1511.0000000000252
93,1362.0000000000418
94,1279.3772084957018
95,1179.4784934187562
96,1087.0000000003186
97,1063.0000000001278
98,1085.6322657399298
99,1079.0000000010002
100,1140.0000000000937
101,1350.0000000000412
102,1546.0000000000432
103,1680.00000000003
104,1722.000000000024
105,1728.0000000000239
106,1737.0000000000232
107,1728.0000000000216
108,1742.0000000000198
109,1730.0000000000196
110,1719.00000000002
111,1755.000000000021
112,1772.000000000022
113,1720.0000000000246
114,1662.0000000000246
115,1583.0000000000273
116,1489.000000000027
117,1362.0000000000346
118,1248.0000000000218
119,1162.0000000000216
120,1101.000000000022
121,1068.000000000029
122,1053.000000000032
123,1050.0000000000362
124,1072.0000000000507
125,1140.0000000000568
126,1224.00000000006
127,1310.000000000049
128,1383.0000000000516
129,1458.0000000000334
130,1504.000000000026
131,1522.000000000029
132,1517.000000000027
133,1497.0000000000275
134,1492.0000000000298
135,1568.0000000000396
136,1611.0000000000334
137,1574.0000000000298
138,1534.0000000000248
139,1486.0000000000207
140,1420.000000000021
141,1323.000000000021
142,1218.0000000000134
143,1141.0000000000168
144,1091.000000000019
145,1056.000000000023
146,1024.0000000000803
147,1026.0000000000803
148,1046.0000000000246
149,1103.0000000000243
150,1173.000000000027
151,90147.66013469132
152,1307.0000000000268
153,1390.0000000000298
154,1427.0000000000389
155,1430.0000000000405
156,1428.000000000038
157,1424.0000000000407
158,1421.0000000000387
159,1500.000000000033
160,1611.000000000033
161,1607.0000000000366
162,1587.0000000000323
163,1550.0000000000375
164,1468.0000000000348
165,1350.0000000000318
166,1227.0000000000266
167,1150.0000000000289
168,1094.000000000052
169,1072.0000000000668
170,1060.0000000000987
171,1077.0000000000362
172,1140.0000000000375
173,1380.0000000000282
174,1608.0000000000234
175,1753.0000000000225
176,1797.0000000000289
177,1794.0000000000273
178,1772.0000000000236
179,1734.0000000000246
180,1737.0000000000232
181,1718.0000000000205
182,1712.0000000000211
183,1749.0000000000214
184,1808.000000000025
185,1780.000000000025
186,1717.0000000000205
187,1661.0000000000196
188,1561.0000000000227
189,1412.0000000000202
190,1283.0000000000596
191,1198.0000000000732
192,1146.0000000000498
193,1212.283110089734
194,1258.9421833288077
195,1191.9608319679971
196,1170.0000000000607
197,1417.9817660278247
198,1752.961943543743
199,1756.9809762996738
200,1801.000000000139
201,1802.0000000002628
202,1799.000000000123
203,1772.0000000001198
204,1782.0000000000987
205,1771.000000000085
206,1762.0000000002449
207,1789.8753875141551
208,1843.980816234855
209,1783.000000000955
210,1728.7668691193783
211,1673.0000000000516
212,1566.0000000000384
213,1398.0000000000273
214,1262.0000000000312
215,1185.0000000000305
216,1138.0000000000607
217,1158.6867472897281
218,1226.5482169256907
219,1360.0498801282288
220,1489.8840463607555
221,1670.3003979492594
222,1936.9121990076926
223,2014.2202695795331
224,1935.685195858018
225,1930.2553113773788
226,1839.0000000014136
227,1841.440835900402
228,1820.0000000017878
229,1812.2249522708314
230,1799.3774599721553
231,1866.8597943273637
232,1867.0000000011914
233,1835.000000000862
234,1780.0000000002967
235,1708.000000000047
236,1597.0000000000318
237,1441.0000000000266
238,1309.0000000000207
239,1236.0000000000205
240,1185.0000000022396
241,1256.135834171239
242,1307.197987275332
243,1381.5015745658277
244,1522.8069464483524
245,1621.2599658295057
246,1808.4568269872505
247,1822.805075942315
248,1846.0000000001626
249,1852.0000000001123
250,1865.0000000000562
251,1848.0000000000498
252,1857.0000000000496
253,1849.000000000114
254,1844.0000000000673
255,1860.000000000146
256,1877.0000000001119
257,1877.0000000000518
258,1770.000000000048
259,1707.0000000000293
260,1607.000000000031
261,1446.0000000000289
262,1315.0000000000218
263,1238.0000000000346
264,1294.6334679068939
265,1244.6993227315445
266,1263.0428942407873
267,1239.9860420955983
268,1398.8559725014456
269,1594.2329041062178
270,1853.4460182392106
271,1851.7869668793671
272,1937.6243955049515
273,1869.000000005014
274,1863.0000000003033
275,1827.0000000001348
276,1834.000000000085
277,1811.0000000001146
278,1790.0000000002062
279,1798.000000000207
280,1842.0000000002647
281,1800.0000000004322
282,1750.000000000217
283,1676.0000000000734
284,1572.000000000042
285,1437.0000000000368
286,1318.0000000000302
287,1237.000000000039
288,1166.000000000036
289,1135.0000000000446
290,1121.0000000000502
291,1125.0000000000662
292,1151.0000000001585
293,1273.9522354246976
294,1334.0000000000605
295,1428.910255827459
296,1529.0000000000832
297,1586.000000000082
298,1594.0000000000891
299,1575.0000000000857
300,1544.0000000001016
301,1528.000000000101
302,1519.0000000001487
303,1562.000000000441
304,1742.658841889528
305,1674.0000000001362
306,1631.0000000001312
307,1579.0000000001867
308,1507.0000000001005
309,1399.00000000009
310,1270.0000000000389
311,1194.000000000041
312,1143.0000000001398
313,1113.000000000123
314,1104.0000000001855
315,1172.3351734879525
316,1184.2231010484093
317,1306.8531484364478
318,1264.0000000001903
319,1338.0000000015082
320,1431.0000000001412
321,1531.0000000000593
322,1565.0000000000523
323,1577.00000000004
324,1565.0000000000439
325,1549.000000000044
326,1545.0000000000439
327,1601.0000000000364
328,1700.0000000000423
329,1700.0000000000425
330,1675.00000000004
331,1620.0000000000427
332,1536.0000000000393
333,1420.0000000000289
334,1295.0000000000214
335,1192.0000000000257
336,1152.0000000012694
337,1374.874099653673
338,1346.8930281108107
339,1216.4261789435975
340,1265.4898867759257
341,1481.0000000011564
342,1774.6569675855496
343,1898.3742687760798
344,1918.0000000001805
345,1932.000000000104
346,1913.0000000000568
347,1850.0000000000607
348,1860.0000000000582
349,1847.000000000068
350,1839.0000000000719
351,1851.0000000000784
352,1909.000000000061
353,1881.0000000000707
354,1828.0000000000719
355,1762.000000000042
356,1653.0000000000407
357,1499.000000000052
358,1366.0000000000557
359,1273.000000000046
360,1232.0000000000616
361,1211.000000000078
362,1208.0000000001285
363,1214.000000000126
364,1276.000000000873
365,1524.3345257878204
366,1735.0000000000844
367,1877.0000000019709
368,1916.0000000000855
369,1895.0000000001005
370,1871.0000000000719
371,1832.0000000000657
372,1835.0000000000648
373,1809.000000000061
374,1813.0000000000668
375,1833.000000000076
376,1903.0000000000693
377,1890.0000000000684
378,1835.0000000000525
379,1768.000000000034
380,1661.00000000003
381,1503.0000000000275
382,1376.0000000000205
383,1285.0000000000234
384,1240.0000000000844
385,1250.82976729709
386,1231.3621834703326
387,1219.0000000002449
388,1293.0000000000973
389,1520.0000000000691
390,1733.0000000000755
391,1868.0000000000564
392,1910.0000000000814
393,1905.0000000000432
394,1897.000000000043
395,1868.000000000042
396,1878.0000000000364
397,1861.000000000037
398,1859.0000000000434
399,1868.0000000000475
400,1909.0000000000496
401,1876.0000000000418
402,1828.000000000036
403,1771.0000000000218
404,1673.0000000000196
405,1516.0000000000157
406,1370.0000000000116
407,1277.0000000000243
408,1221.0000000000177
409,1190.0000000000223
410,1177.0000000000216
411,1188.0000000000284
412,1260.0000000000325
413,1494.0000000000616
414,1712.0000000000548
415,1835.0000000000643
416,1866.0000000000489
417,1856.000000000048
418,1837.000000000048
419,1798.000000000039
420,1808.0000000000387
421,1795.000000000039
422,1782.0000000000477
423,1793.0000000000678
424,1843.0000000000612
425,1815.0000000000605
426,1762.000000000088
427,1702.000000000038
428,1601.0000000000305
429,1452.000000000019
430,1312.0000000000146
431,1227.000000000022
432,1183.0000000001537
433,1176.6874978637702
434,1191.8878096674944
435,1317.226272769855
436,1368.1611613575442
437,1472.000000000134
438,1688.000000000072
439,1821.0000000001473
440,1860.000000000158
441,1860.0000000001476
442,1851.000000000142
443,1818.0000000001276
444,1822.0000000000703
445,1798.0000000000516
446,1763.0000000000734
447,1762.0000000002192
448,1838.0000000002497
449,1814.0000000001246
450,1748.000000000093
451,1684.0000000000227
452,1593.0000000000182
453,1457.000000000018
454,1339.0000000000173
455,1263.0000000000164
456,1213.0000000000223
457,1178.0000000000205
458,1165.0000000000355
459,1167.000000000033
460,1191.0000000000387
461,1274.0000000000375
462,1368.000000000029
463,1447.0000000000275
464,1535.000000000029
465,1596.000000000026
466,1607.0000000000225
467,1596.0000000000202
468,1577.0000000000193
469,1546.00000000002
470,1519.000000000026
471,1557.0000000000146
472,1667.0000000000152
473,1663.0000000000211
474,1623.0000000000202
475,1562.000000000018
476,1486.0000000000177
477,1378.0000000000164
478,1277.0000000000136
479,1201.0000000000118
480,1147.00000000002
481,1125.0000000000566
482,1117.0000000000666
483,1115.0000000000905
484,1136.0000000001319
485,1238.933194132389
486,1270.0000000000673
487,1330.0000000000466
488,1422.0000000000448
489,1491.0000000000268
490,1519.000000000031
491,1518.0000000000298
492,1504.0000000000273
493,1490.0000000000236
494,1482.000000000025
495,1523.0000000000257
496,1655.0000000000257
497,1668.0000000000248
498,1643.000000000022
499,1590.00000000002
500,1511.0000000000177
501,1386.0000000000166
502,1274.000000000011
503,1203.0000000000134
504,1163.0000000001885
505,1282.9484732398826
506,1313.9387404468962
507,1422.9139268923118
508,1294.9672821765569
509,1498.0000000000628
510,1721.0000000001116
511,1850.0000000001846
512,1901.000000000121
513,1895.0000000000841
514,1889.0000000000714
515,1854.0000000000719
516,1854.0000000000687
517,1835.0000000000557
518,1817.000000000063
519,1808.0000000000755
520,1866.0000000000932
521,1847.000000000069
522,1793.0000000000605
523,1726.0000000000305
524,1623.0000000000248
525,1465.0000000000186
526,1340.0000000000214
527,1267.0000000000214
528,1229.0000000000423
529,1211.0000000000464
530,1210.0000000000546
531,1221.0000000002196
532,1436.9396720656978
533,1689.9511603196763
534,1751.000000000385
535,1883.000000000208
536,1923.0000000001562
537,1921.0000000001673
538,1903.0000000001626
539,1862.0000000001648
540,1860.0000000000705
541,1840.0000000000693
542,1827.0000000000764
543,1817.0000000000928
544,1892.0000000001028
545,1892.0000000001041
546,1844.0000000001012
547,1783.000000000039
548,1684.0000000000232
549,1506.0000000000182
550,1372.0000000000366
551,1295.7953553240704
552,1239.0000000000557
553,1336.790885865092
554,1333.9373349034843
555,1422.9370901437476
556,1358.9681776354366
557,1791.935390898844
558,1862.9635005638352
559,1903.0000000001962
560,1949.0000000001055
561,1964.000000000086
562,1955.0000000000737
563,1901.000000000054
564,1909.0000000000537
565,1887.0000000000516
566,1872.0000000000566
567,1876.000000000087
568,1913.0000000001169
569,1897.0000000001125
570,1842.0000000000987
571,1768.0000000000355
572,1658.00000000004
573,1486.000000000069
574,1343.0000000009363
575,1649.5421766711365
576,1811.83776499139
577,1906.8266901359384
578,1896.6852315429476
579,1894.8127744735707
580,2007.8098675527358
581,2165.8455158112697
582,1788.9699057757691
583,1822.0000000001546
584,1876.0000000000803
585,1875.0000000000782
586,1871.0000000000566
587,1846.000000000051
588,1852.000000000042
589,1831.0000000000414
590,1817.0000000000439
591,1810.000000000045
592,1852.000000000053
593,1829.000000000064
594,353.7487212323398
595,285.4482052364992
596,1608.0000000000273
597,1450.0000000000202
598,1320.0000000000186
599,1236.000000000027
600,1189.0000000000591
601,1301.1140872001592
602,1369.8775807484735
603,1223.351893105318
604,1273.6123028891298
605,1690.92969575698
606,1688.9750912025622
607,1777.0000000004127
608,1815.0000000000844
609,1821.0000000000607
610,1813.0000000000484
611,1789.0000000000514
612,1807.0000000000578
613,1776.000000000072
614,1743.0000000000825
615,1739.000000000224
616,1804.0000000001771
617,1781.0000000000948
618,1698.000000000094
619,1646.000000000031
620,1553.0000000000227
621,1430.0000000000205
622,1320.0000000000189
623,1238.0000000000193
624,1189.0000000000223
625,1138.0000000000261
626,1125.0000000000261
627,1125.0000000000273
628,1154.000000000032
629,1239.0000000000443
630,1360.0000000000325
631,1438.0000000000416
632,1527.0000000000384
633,1576.0000000000362
634,1581.000000000034
635,1574.000000000034
636,1571.0000000000357
637,1544.000000000034
638,1526.0000000000368
639,1548.0000000000364
640,1636.0000000000387
641,1640.0000000000398
642,1595.000000000032
643,1536.0000000000273
644,1457.000000000026
645,1336.0000000000284
646,1231.000000000026
647,1160.0000000000498
648,1112.0000000000691
649,1215.9630435054391
650,1457.5167365509471
651,1449.0559104050312
652,1498.3287288535366
653,1448.300416149201
654,1518.6605242222965
655,1572.2702030796352
656,1579.0067841495286
657,1487.000000000073
658,1533.000000000063
659,1549.0000000000637
660,1533.0000000000584
661,1516.000000000055
662,1502.0000000000614
663,1520.0000000000696
664,1637.000000000049
665,1647.000000000059
666,1623.0000000000489
667,1573.0000000000387
668,1466.000000000053
669,1342.0000000000612
670,1226.0000000000537
671,1139.0000000001855
672,1341.7552440115007
673,1307.4337396955498
674,1282.0596937650796
675,1351.2459619056235
676,1427.9439120717384
677,1607.290860222257
678,1783.2868920360695
679,1915.3870637355483
680,1879.617712107152
681,1789.207990807363
682,1787.000000001117
683,1774.0000000001867
684,1800.0000000001494
685,1786.0000000001908
686,1785.0000000008474
687,1837.2737043767315
688,1887.2321671002956
689,1825.8864736270023
690,1844.4443245631546
691,1690.0000000000593
692,1560.000000000056
693,1394.0000000000355
694,1256.0000000000268
695,1179.0000000000716
696,1442.7476904435382
697,1422.4077389908243
698,1461.4089726891464
699,1495.8674216897202
700,1506.2705039194282
701,1587.393518892136
702,1743.4658138437824
703,1859.6834098933778
704,1806.0000000003154
705,1802.0000000002065
706,1794.0000000001858
707,1771.0000000003402
708,1785.0000000005423
709,1768.0000000016892
710,1812.3256807723517
711,1809.4305054090803
712,1862.1782722206024
713,1844.639513662612
714,1802.0553384040593
715,1673.0000000000787
716,1577.000000000037
717,1415.0000000000316
718,1280.0000000000227
719,1187.0000000000318
720,1170.2583682110376
721,1286.2910062684753
722,1345.9800505425035
723,1344.3924568015698
724,1409.4025381972372
725,1695.3210961157497
726,1727.7981112444252
727,1837.438898619367
728,1789.0000000007753
729,1796.0000000002487
730,1782.0000000002976
731,1759.0000000001385
732,1775.000000000108
733,1752.000000000087
734,1742.0000000023651
735,1786.7825405911697
736,1805.3235833109795
737,1783.0000000007744
738,1737.0000000003447
739,1679.0000000000568
740,1577.000000000048
741,1404.0000000000546
742,1269.0000000000566
743,1191.0000000001821
744,1231.6366898104807
745,1411.3375186141043
746,1418.6419993279912
747,1392.476353938826
748,1214.0000000004459
749,1445.00000000025
750,1653.0000000002012
751,1781.0000000000673
752,1830.0000000000616
753,1840.000000000057
754,1835.0000000000532
755,1804.000000000041
756,1814.000000000034
757,1792.0000000000368
758,1774.0000000000468
759,1756.0000000000548
760,1797.0000000000693
761,1797.0000000000769
762,1741.0000000000757
763,1682.000000000046
764,1578.0000000000423
765,1425.0000000000257
766,1293.0000000000196
767,1200.000000000021
768,1143.0000000000223
769,1114.0000000000393
770,1116.0000000002058
771,1133.000000000643
772,1207.0000000000475
773,1446.0000000001128
774,1657.0000000001191
775,1757.0000000000887
776,1821.0000000000541
777,1814.0000000000534
778,1799.0000000000528
779,1761.0000000000332
780,1762.0000000000286
781,1737.000000000031
782,1722.000000000063
783,1707.000000000078
784,1756.0000000000719
785,1757.0000000000864
786,1703.0000000000862
787,1632.0000000000364
788,1534.000000000028
789,1395.000000000021
790,1277.0000000000184
791,1183.0000000000177
792,1132.0000000000239
793,1102.0000000000214
794,1089.0000000000264
795,1093.000000000032
796,1120.00000000004
797,1198.000000000061
798,1288.0000000000584
799,1373.0000000000405
800,1468.0000000000323
801,1530.0000000000312
802,1553.0000000000312
803,1554.00000000003
804,1544.0000000000296
805,1512.000000000031
806,1489.000000000032
807,1496.0000000000316
808,1579.0000000000314
809,1599.0000000000334
810,1563.0000000000293
811,1515.0000000000284
812,1445.0000000000284
813,1343.0000000000298
814,1242.0000000000207
815,1157.0000000000184
816,1097.000000000102
817,1080.3627988027822
818,1161.0957847129926
819,1250.2342106938017
820,1358.3408278652712
821,1426.5016906839487
822,1209.0000000000891
823,1268.0000000001764
824,1380.0000000000753
825,1459.0000000000389
826,1491.0000000000366
827,1505.0000000000375
828,1497.0000000000382
829,1476.0000000000389
830,1471.0000000000427
831,1494.0000000000462
832,1598.0000000000432
833,1648.000000000049
834,1622.0000000000616
835,1578.000000000042
836,1494.0000000000357
837,1356.0000000000398
838,1235.0000000000177
839,1169.0000000000134
840,1150.0000000000155
841,1110.000000000015
842,1109.0000000000248
843,1131.0000000000227
844,1195.0000000000384
845,1458.0000000003722
846,1784.8094822872577
847,1843.6898244032036
848,1841.000000000207
849,1834.0000000001414
850,1825.0000000001776
851,1788.0000000000646
852,1817.000000000018
853,1792.0000000001014
854,1767.0000000002492
855,1741.0000000004081
856,1786.0000000002804
857,1829.0000000000896
858,1777.0000000000884
859,1724.0000000000368
860,1623.0000000000257
861,1478.0000000000227
862,1325.0000000000164
863,1257.0000000000127
864,1219.0000000000146
865,1188.0000000000198
866,1181.000000000026
867,1195.0000000000332
868,1270.0000000000314
869,1499.00000000016
870,1708.000000000474
871,1818.00000000014
872,1864.000000000091
873,1848.000000000071
874,1839.000000000069
875,1807.0000000000412
876,1828.0000000000164
877,1801.0000000000432
878,1786.0000000000625
879,1759.0000000000628
