,demand
0,418.0000000000065
1,403.00000000000676
2,377.0000000000071
3,351.0000000000073
4,333.0000000000075
5,326.0000000000073
6,332.0000000000064
7,339.0000000000065
8,368.0000000000062
9,404.00000000000585
10,436.0000000000055
11,450.0000000000056
12,451.0000000000057
13,445.0000000000057
14,440.00000000000534
15,440.00000000000495
16,461.0000000000051
17,472.00000000000585
18,473.0000000000072
19,470.0000000000077
20,469.0000000000097
21,457.0000000000102
22,440.0000000000101
23,429.0000000000094
24,399.0000000000116
25,363.0000000000148
26,338.0000000000189
27,318.00000000002564
28,308.000000000024
29,310.0000000000345
30,323.0000000000276
31,342.00000000002166
32,379.00000000006116
33,415.00000000005826
34,439.0000000000508
35,450.0000000000484
36,451.00000000014336
37,441.0000000003071
38,433.0000000002785
39,434.0000000001907
40,458.0000000000637
41,475.00000000005156
42,477.0000000000565
43,478.0000000000489
44,470.00000000004155
45,461.00000000001796
46,444.00000000001006
47,435.0000000000085
48,406.0000000000085
49,366.00000000001006
50,335.00000000001125
51,316.0000000000117
52,308.00000000001296
53,314.0000000000136
54,341.00000000001125
55,378.0000000000086
56,422.0000000000125
57,449.0000000000245
58,454.00000000002177
59,445.00000000002404
60,436.0000000000234
61,427.0000000000226
62,424.0000000000223
63,431.0000000000285
64,464.0000000000256
65,494.00000000002734
66,498.00000000002655
67,495.0000000000311
68,482.00000000000875
69,474.0000000000086
70,462.00000000000705
71,455.0000000000069
72,427.00000000000944
73,383.0000000000103
74,348.00000000001
75,327.00000000001086
76,317.00000000001165
77,324.00000000001364
78,350.00000000001063
79,383.00000000001796
80,423.00000000002416
81,446.0000000000256
82,452.00000000002854
83,444.0000000000421
84,432.0000000000483
85,428.00000000005014
86,428.00000000005565
87,432.00000000005093
88,463.0000000000385
89,497.00000000003644
90,498.00000000004013
91,494.00000000004525
92,483.00000000002876
93,471.0000000000161
94,453.0000000000098
95,442.0000000000096
96,409.0000000000086
97,368.00000000000887
98,339.0000000000095
99,316.00000000000944
100,308.0000000000094
101,315.0000000000097
102,340.00000000001177
103,377.00000000001205
104,422.00000000002825
105,447.0000000000299
106,458.00000000003376
107,456.00000000003826
108,449.0000000000364
109,442.00000000003973
110,438.0000000000366
111,437.00000000003763
112,465.0000000000326
113,496.000000000043
114,501.00000000005423
115,499.00000000004565
116,486.00000000001194
117,474.00000000001177
118,453.00000000001086
119,444.0000000000112
120,407.00000000001177
121,369.0000000000141
122,334.00000000001387
123,313.000000000014
124,305.000000000014
125,315.0000000000134
126,338.0000000000142
127,365.00000000001586
128,402.0000000000136
129,432.0000000000133
130,448.00000000001353
131,449.00000000001313
132,449.0000000000129
133,443.00000000001404
134,445.00000000001415
135,446.000000000014
136,469.00000000001097
137,476.0000000000113
138,469.00000000001074
139,467.000000000016
140,464.0000000000178
141,454.0000000000162
142,433.00000000001455
143,425.0000000000141
144,396.000000000015
145,354.00000000001785
146,321.00000000001995
147,302.0000000000248
148,296.000000000025
149,308.00000000001677
150,332.000000000017
151,356.0000000000136
152,385.0000000000106
153,403.0000000000097
154,409.0000000000088
155,403.00000000000864
156,389.0000000000097
157,376.0000000000122
158,366.00000000001324
159,366.0000000000129
160,389.0000000000105
161,419.0000000000097
162,425.00000000001046
163,426.0000000000103
164,423.0000000000095
165,419.00000000001006
166,403.0000000000089
167,382.00000000001006
168,352.0000000000096
169,322.00000000001023
170,300.0000000000116
171,287.00000000001194
172,282.00000000001137
173,284.0000000000105
174,302.00000000001273
175,330.00000000001137
176,371.00000000003155
177,400.0000000000316
178,410.00000000002586
179,407.0000000000257
180,399.0000000000264
181,391.0000000000192
182,390.000000000019
183,399.00000000001785
184,424.00000000001336
185,449.0000000000153
186,453.0000000000158
187,452.0000000000169
188,445.00000000000966
189,437.00000000001074
190,420.0000000000099
191,407.0000000000105
