,demand
0,10823.000000000111
1,10689.750000000116
2,10353.750000000122
3,10032.250000000133
4,9766.250000000135
5,9768.250000000136
6,10069.750000000138
7,10408.750000000126
8,10693.250000000118
9,11050.250000000111
10,11539.000000000118
11,11890.000000000124
12,12210.500000000124
13,12392.500000000122
14,12500.500000000102
15,12611.75000000011
16,13131.500000000106
17,14098.000000000107
18,14021.250000000104
19,13745.500000000104
20,13284.000000000104
21,12653.000000000102
22,11940.750000000102
23,11158.500000000111
24,10606.000000000116
25,10243.25000000014
26,9989.750000000142
27,9884.750000000136
28,9994.000000000142
29,10533.500000000122
30,11886.000000000106
31,13487.250000000098
32,14972.750000000102
33,15804.500000000104
34,16054.000000000104
35,16092.250000000104
36,16077.000000000104
37,16179.250000000102
38,16267.7500000001
39,16298.000000000102
40,16772.750000000102
41,17634.250000000102
42,16820.250000000106
43,16149.25000000011
44,15354.000000000106
45,14405.000000000104
46,13417.250000000104
47,12517.750000000106
48,11718.250000000111
49,11192.500000000116
50,10925.75000000012
51,10867.500000000122
52,10926.50000000011
53,11368.000000000107
54,12723.000000000102
55,14432.250000000102
56,15881.250000000104
57,16529.000000000106
58,16964.25000000011
59,17218.500000000106
60,17129.750000000106
61,17143.000000000106
62,17012.750000000106
63,16929.500000000106
64,17216.250000000106
65,17911.75000000011
66,17037.000000000113
67,16354.500000000111
68,15553.25000000011
69,14600.250000000111
70,13585.000000000116
71,12719.750000000126
72,11899.500000000133
73,11354.000000000136
74,10971.000000000135
75,10871.75000000013
76,10914.250000000118
77,11374.000000000102
78,12762.750000000106
79,14512.5000000001
80,16009.750000000104
81,16640.500000000106
82,16874.750000000106
83,16932.000000000102
84,16781.2500000001
85,16858.250000000106
86,16861.500000000106
87,16808.500000000095
88,16996.500000000106
89,17690.000000000106
90,16919.75000000011
91,16272.250000000111
92,15476.500000000107
93,14570.500000000106
94,13495.500000000115
95,12671.500000000122
96,11852.750000000127
97,11295.000000000136
98,10957.750000000136
99,10823.500000000131
100,10846.500000000118
101,11331.000000000124
102,12683.250000000111
103,14226.750000000111
104,15751.500000000113
105,16428.000000000113
106,16658.00000000011
107,16685.000000000102
108,16548.00000000011
109,16557.750000000106
110,16488.000000000106
111,16442.750000000106
112,16677.750000000102
113,17403.500000000102
114,16728.750000000113
115,15967.250000000116
116,15150.25000000012
117,14176.750000000118
118,13244.250000000122
119,12473.000000000124
120,11766.75000000012
121,11135.500000000122
122,10743.00000000012
123,10519.500000000124
124,10464.500000000127
125,10619.250000000122
126,11195.750000000111
127,12176.5000000001
128,13250.2500000001
129,14092.250000000102
130,14638.250000000102
131,14752.250000000102
132,14664.750000000104
133,14486.500000000102
134,14372.250000000104
135,14281.000000000102
136,14682.750000000102
137,15683.750000000104
138,15272.500000000107
139,14728.000000000111
140,14062.75000000011
141,13282.250000000106
142,12606.500000000107
143,11940.750000000102
144,11368.750000000095
145,10896.250000000106
146,10461.500000000118
147,10281.500000000133
148,10244.000000000138
149,10363.250000000136
150,10685.500000000135
151,11223.000000000124
152,11982.750000000116
153,12597.7500000001
154,12995.2500000001
155,13109.500000000102
156,13210.2500000001
157,13115.7500000001
158,13121.750000000106
159,13338.000000000107
160,13884.750000000106
161,15428.000000000102
162,15282.250000000104
163,14916.000000000106
164,14255.000000000104
165,13541.0000000001
166,12711.250000000106
167,11769.00000000011
168,11238.000000000111
169,10871.75000000012
170,10684.000000000122
171,10664.250000000127
172,10843.750000000126
173,11418.750000000107
174,13086.250000000106
175,15507.000000000113
176,17094.750000000116
177,17339.750000000116
178,17169.250000000113
179,16943.75000000012
180,16702.25000000012
181,16770.75000000012
182,16854.50000000012
183,16962.00000000012
184,17339.500000000116
185,18414.750000000116
186,17711.25000000012
187,17081.250000000116
188,16081.50000000012
189,15019.750000000124
190,13870.500000000126
191,12845.750000000126
192,12024.250000000135
193,11519.750000000133
194,11259.250000000138
195,11173.500000000135
196,11260.250000000126
197,11760.250000000126
198,13212.000000000122
199,15666.500000000113
200,17129.500000000116
201,17496.750000000113
202,17480.50000000011
203,17289.00000000011
204,17000.50000000011
205,17050.25000000011
206,17071.000000000106
207,17158.00000000011
208,17489.750000000113
209,18230.250000000113
210,17439.500000000113
211,16789.500000000116
212,15824.500000000113
213,14748.750000000113
214,13571.250000000118
215,12527.25000000013
216,11745.750000000118
217,11231.000000000122
218,10972.750000000122
219,10829.250000000127
220,10866.000000000122
221,11452.750000000111
222,12953.750000000102
223,15228.250000000098
224,16773.5000000001
225,17273.000000000095
226,17415.2500000001
227,17445.2500000001
228,17196.0000000001
229,17198.750000000095
230,17064.2500000001
231,17116.7500000001
232,17419.5000000001
233,18163.2500000001
234,17275.000000000102
235,16580.250000000106
236,15677.500000000102
237,14669.000000000107
238,13498.00000000011
239,12568.000000000118
240,11833.50000000012
