,demand
0,16999.284024575325
1,16762.000000028638
2,16599.846844472977
3,16227.396458932788
4,16251.831706516241
5,16325.779466814489
6,16663.901679045593
7,16959.71101783695
8,17297.376365740925
9,17548.48682773761
10,17813.602472720093
11,18131.902713146905
12,18285.243573757747
13,18408.000000006417
14,18453.00000000807
15,18638.00000000871
16,18820.000000009033
17,18723.000000012547
18,18550.00000000878
19,18317.00000001633
20,18121.000000005093
21,17774.0000000047
22,17208.1742750916
23,16740.054422070294
24,16311.796335545809
25,16009.69087596264
26,15904.674937393544
27,15963.073653881036
28,16134.475574648388
29,16524.665579259152
30,17890.000000004085
31,19451.0000000056
32,20062.1924576912
33,20099.99450291062
34,20416.273142422913
35,20454.737200684292
36,20484.597018880228
37,20498.109422669222
38,20199.991134148513
39,20480.008486911414
40,20719.524840636976
41,20669.251137562656
42,20339.3242346063
43,20119.00000000458
44,19746.000000007745
45,19355.00000001445
46,18504.247441307893
47,17875.000000008127
48,17288.415188945462
49,16983.665433135135
50,16945.482411766166
51,16987.557540553138
52,17096.632688950234
53,17543.10968587546
54,18860.784911060895
55,20429.000000012584
56,20925.000000009368
57,20865.00000000766
58,20939.000000006283
59,20870.000000003853
60,20777.00000000359
61,20744.00000000323
62,20982.000000002317
63,21167.00000000254
64,21342.00000000445
65,21219.000000002874
66,20855.000000002576
67,20614.000000002277
68,20192.00000000341
69,19765.000000003427
70,19062.000000004376
71,18237.000000004406
72,17576.00000000607
73,17055.000000005388
74,16928.000000004176
75,16906.000000004544
76,17002.0000000172
77,17471.00000004721
78,18901.000000005508
79,20513.000000003187
80,20985.00000000782
81,20904.840441276046
82,20650.527615607818
83,20507.00000000765
84,20554.000000004016
85,20602.657460618233
86,20682.128510693667
87,20870.000000040356
88,21002.000000009582
89,20730.00000000553
90,20503.00000000465
91,20131.000000006
92,19733.000000004682
93,19362.00000001764
94,18784.665863386046
95,17759.00000000977
96,17172.219576201165
97,16950.732310221036
98,16798.10420910674
99,16880.46025686331
100,17005.465227575
101,17307.000000013635
102,18954.43732733701
103,20476.000000004417
104,21174.034578992465
105,21144.84325850072
106,21171.000000024145
107,20872.580115969107
108,20751.62851115479
109,20787.026660242445
110,20781.000000012064
111,20999.00000000674
112,21247.00000004778
113,21112.000000023378
114,20951.000000004522
115,20688.000000008462
116,20304.000000011805
117,19739.00000000531
118,19235.000000003565
119,18651.000000012533
120,18150.000000002878
121,17842.377340214643
122,17565.609068458398
123,17440.000000004202
124,17481.00000000327
125,17517.00000002728
126,17996.04597099171
127,18416.991053947353
128,19174.000000008815
129,19730.749326054083
130,20133.000000010627
131,20233.000000005926
132,20121.000000005075
133,20068.000000006035
134,19984.000000004497
135,20217.000000012853
136,20972.00000001635
137,21216.67867137481
138,21064.000000009815
139,20772.0000001697
140,20259.00000000972
141,19754.000000023083
142,19504.74315585119
143,19091.718281062007
144,18618.00000009845
145,18370.95254509671
146,18292.61104591477
147,18176.679633382733
148,18245.424966107257
149,18472.0939496121
150,18656.849749765577
151,19945.848974617667
152,19554.104998233222
153,19903.240641807268
154,20367.00000000451
155,20414.000000009855
156,20343.000000007505
157,20401.0000000073
158,20317.784343497893
159,20540.00000000834
160,20920.00000000396
161,20826.000000045275
162,20721.000000009142
163,20485.000000018365
164,20083.00000000799
165,19598.00000000354
166,19092.00000000646
167,18091.00000004144
168,17814.95098265833
169,17607.956761764883
170,17460.959861919488
171,17528.960953244525
172,17622.420373502966
173,18360.674885623146
174,20011.70580006283
175,21132.000000057113
176,21829.000000027856
177,21475.000000055075
178,21264.00000001433
179,21001.000000010772
180,20878.00000001097
181,20726.000000016687
182,20895.28591557628
183,21053.00000003183
184,21435.00000001727
185,21457.5829230818
186,21166.000000014556
187,20898.000000013824
188,20588.000000008116
189,20101.000000005457
190,19435.000000005675
191,18537.00000004808
192,17975.00000000627
193,17652.000000005683
194,17478.000000007345
195,17556.000000014013
196,17789.000000005497
197,18482.00000000491
198,19846.000000007727
199,21325.000000007672
200,21793.000000005297
201,21674.000000050928
202,21629.000000011616
203,21489.00000000244
204,21254.000000005974
205,21214.000000006843
206,21218.00000000452
207,21517.00000000516
208,21868.000000003263
209,21789.00000000794
210,21618.000000020747
211,21354.5605245009
212,21051.000000011732
213,20822.83161060489
214,19887.00000000407
215,19219.000000004075
216,18483.604227380278
217,18196.251853945876
218,18019.836752227344
219,18011.673002795385
220,18197.579205597238
221,18714.82054495513
222,20283.151577145676
223,21776.63571201028
224,22156.368097983104
225,22076.139633489183
226,21935.50864326013
227,21579.16174210702
228,21387.00000004993
229,21258.707343334147
230,21323.92248477594
231,21488.00000000582
232,21774.000000002943
233,21702.00000000393
234,21486.123216005948
235,21270.746934901035
236,20787.542040863376
237,20282.09799433216
238,19602.598900713463
239,18729.00776107981
240,18123.59221438987
241,17669.17516944257
242,17380.30118899919
243,17456.372872862754
244,17557.667330205688
245,17947.470088050624
246,19289.657931961003
247,20712.628901699973
248,21336.00000003825
249,21288.081968886167
250,21163.646794579174
251,21101.000000026364
252,20902.000000033888
253,20851.00000001746
254,21002.000000034226
255,21058.00000055763
256,21320.000000034473
257,21179.00000001426
258,20967.000000029195
259,20771.000000005002
260,20491.00000000567
261,20068.000000005282
262,19313.000000002685
263,18629.000000009444
264,17979.32204144875
265,17628.056354893408
266,17507.46257918881
267,17522.14126308246
268,17482.075655346267
269,18073.751435201444
270,19454.54220581798
271,21213.36962239976
272,21628.000000011554
273,21559.473625567665
274,21435.000000080337
275,21393.646032430683
276,21081.000000005944
277,20902.000000006432
278,20871.000000003674
279,20895.000000004806
280,21070.000000079246
281,21094.8915189522
282,20975.00000002683
283,20659.000000014537
284,20033.000000010154
285,19459.000000010536
286,18958.000000009026
287,18451.00000007911
288,18000.746453242282
289,17645.712069290646
290,17292.071786040324
291,17207.262340791727
292,17076.507031125104
293,17316.89944375975
294,17734.323606159585
295,18401.538142827
296,19048.093804339955
297,19754.000000015807
298,20228.000000007418
299,20333.000000026594
300,20326.327407803135
301,20127.000000020755
302,20012.99824623306
303,20075.000000007643
304,20488.580932447312
305,20695.571096089046
306,20552.000000022137
307,20143.00000001114
308,19568.000000004
309,19057.00000000568
310,18623.00000000744
311,18101.000000019452
312,17620.000000055563
313,17372.000000011543
314,17205.000000016862
315,17210.000000033357
316,17176.000000007134
317,17238.000000006366
318,17444.00000001077
319,17825.000000009186
320,18310.00000000708
321,18925.000000007698
322,19415.000000011667
323,19699.0000000169
324,19746.000000004027
325,19767.000000005854
326,19971.04221288847
327,20161.228583562657
328,20439.84862770331
329,20412.000000003572
330,20247.00000000482
331,20024.000000027132
332,19904.00000000413
333,19544.00000000605
334,19057.00000000537
335,18518.000000008014
336,18147.000000005934
337,17794.000000007127
338,17850.000000008924
339,17848.000000011427
340,18087.000000007592
341,18629.00000000735
342,19987.00000000789
343,21694.000000006563
344,22190.000000005042
345,22065.000000005166
346,21927.00000000468
347,21868.00000000433
348,21492.00000000326
349,21370.00000000365
350,21324.000000004136
351,21605.000000003856
352,21773.000000005162
353,21674.00000000487
354,21296.000000006083
355,20996.0000000053
356,20577.000000004035
357,20058.000000004173
358,19329.00000000464
359,18593.000000012777
360,18101.000000032887
361,17571.461106242292
362,17556.829662423082
363,17412.000000054944
364,17410.00000002524
