,demand
0,5108.251358121741
1,4817.409011538856
2,4829.060532100343
3,4941.995649852254
4,4826.995224990442
5,4814.99119270109
6,5195.978126515723
7,5528.968792852843
8,5666.9598076946495
9,5496.9630107758785
10,5734.96595381587
11,6391.960416233804
12,6454.971166077862
13,6458.976077376957
14,6295.974701050483
15,5990.976029942354
16,5878.976475050575
17,5761.9792160921115
18,6134.981761815
19,6046.9948464874
20,6162.995324252619
21,5891.433260699817
22,5769.070691939461
23,5918.994357297902
24,6173.985209204928
25,5907.9835949556955
26,5426.986476125921
27,5345.984554417735
28,5305.984456711661
29,5086.986942630999
30,4992.983296078628
31,4648.997786521822
32,5076.362140246951
33,5629.001101570165
34,6213.0022339572
35,6536.002309595946
36,6768.002402041387
37,6812.002852425897
38,6752.772641872279
39,6853.972073466756
40,6751.41006103388
41,6729.8093944437605
42,7041.573317135138
43,7439.5575603593215
44,7535.316941434157
45,7374.976614658
46,7049.18166395477
47,6752.405048845732
48,5887.000000000182
49,6504.989087000155
50,6260.988068038901
51,6200.982951241543
52,6100.980537225349
53,5809.985057480386
54,5435.99164573367
55,5616.989842875621
56,5724.048202341011
57,6396.000954539774
58,6918.001188934692
59,7028.565901568735
60,7221.054655606324
61,7104.03992873736
62,7027.627607727109
63,7228.2216699167
64,7160.436011676187
65,7107.436088947724
66,7322.012848112905
67,7653.017212058868
68,7729.640760090869
69,7530.488011655403
70,7214.843058533182
71,6779.099560439366
72,6499.448486097356
73,5961.703118876253
74,5782.661889455027
75,5601.41638033271
76,5540.882306784355
77,5412.998918691494
78,5814.986867198651
79,6142.9822723023335
80,5815.000717100517
81,6531.269970966216
82,7120.06817479901
83,7222.855658525067
84,7385.700141092672
85,7228.607518671272
86,7118.138061363813
87,7372.067755946538
88,7192.632192821461
89,7144.764266534214
90,7324.0910029505685
91,7661.878089147455
92,7758.223046458177
93,7597.093842437375
94,7202.003083635137
95,7096.078580017788
96,7064.993859689322
97,6614.995502567996
98,6634.989469115349
99,6771.981374119995
100,6910.9742448853485
101,6810.977082592282
102,6244.985163336708
103,6302.986280993398
104,5987.003637546353
105,6658.003034014349
106,7173.002604042621
107,7363.138970503082
108,7539.036493467379
109,7411.00192503157
110,7310.471921115754
111,7497.002460168872
112,7406.002672474193
113,7273.002307436662
114,7365.002541464774
115,7668.002494710711
116,7729.002660052606
117,7546.002894511119
118,7195.002879096094
119,6852.9591339896515
120,6273.004083483067
121,5650.934513611884
122,5644.996721716457
123,5632.99182913836
124,5640.989749837997
125,5728.986127485092
126,5578.988691011942
127,5810.984247826906
128,5476.994979490166
129,5578.210602898785
130,5824.002385522943
131,6099.002496518186
132,6239.0021280781575
133,6272.002231400643
134,6187.002225133469
135,6448.996182191247
136,6316.997323516961
137,6051.001523388054
138,6508.002483383127
139,7147.37473871463
140,7305.978231255566
141,7245.9047008402795
142,7274.995446644797
143,7201.991518793507
144,6428.996224562934
145,6078.993817755279
146,5986.988974777237
147,5917.986276733887
148,6107.977965551889
149,6065.97653220211
150,6002.9762575838995
151,5628.983152679812
152,5683.980391551903
153,5226.4199837123315
154,5458.545745004788
155,5693.00030833917
156,5974.000936817714
157,6196.001419075998
158,6045.001744548383
159,5869.001506571459
160,5775.001850032849
161,5719.001972264287
162,6226.002208718573
163,6907.002696434089
164,7126.002559783991
165,7141.0023005424155
166,6862.002310181436
167,6474.002199227797
168,5822.001935716498
169,5657.43022409731
170,5932.247820008647
171,6126.973333797315
172,5881.975593946261
173,5497.9826014050195
174,4757.000638233414
175,5244.000994066775
176,5991.000967399186
177,6860.00141945574
178,7416.002124297531
179,7534.002057817634
180,7605.0020265044395
181,7411.002051040984
182,7283.0020941853245
183,7374.0020424641825
184,7267.001886028166
185,7177.0019244724
186,7490.001932723597
187,8061.002065462178
188,8276.001903720571
189,8194.002384477577
190,7888.00217095052
191,7376.768349849168
192,6583.144038990875
193,6255.99462380303
194,6738.979629596057
195,7106.967525473822
196,7034.966600698289
197,6885.968379874268
198,6431.977541901891
199,5646.499678859748
200,6263.001322091578
201,7124.001672307527
202,7772.001706512769
203,7993.001687290003
204,8280.00180544489
205,8148.001870857023
206,8048.001696248678
207,8240.001856948935
208,8144.001850341804
209,7992.001911050684
210,8006.0019194974175
211,8320.002017011697
212,8447.001992382538
213,8306.00227541862
214,7954.00209333693
215,7451.630847608654
216,6739.1766410663995
217,6311.266634277611
218,5889.506499835453
219,5651.997598439895
220,6149.984342555905
221,6344.978475278555
222,5886.902784540759
223,5755.176414959074
224,6292.446573552499
225,7134.095971330453
226,7611.6435484395315
227,7781.822959825441
228,7902.9116538124135
229,7734.249515094943
230,7581.139216226718
231,7885.205590637798
232,7678.232807297566
233,7625.679674489512
234,7612.9779811059625
235,8071.041072587656
236,8252.52905963476
237,8198.706608297103
238,8458.571770429433
239,8434.435508597453
240,8155.141629407952
241,7533.721233079379
242,7178.322082483654
243,6937.985043144805
244,6851.984277451553
245,6839.980539732626
246,5963.837568011529
247,5770.490232893089
248,6424.401155309852
249,7050.212090331559
250,7485.656951255413
251,7586.120152655422
252,7670.404838634565
253,7469.121613051727
254,7353.689583707279
255,7432.093546661988
256,7325.367714445761
257,7261.345103474542
258,7435.131083166437
259,7954.481207493638
260,8161.39671691881
261,8066.0451233610365
262,7767.985681313541
263,7333.251543965501
264,6540.427192677253
265,5863.289909517303
266,5540.452101843109
267,5456.997472423163
268,5431.997147357853
269,5611.99132506004
270,5149.502619473581
271,5458.507507436926
272,6251.991444967975
273,7092.473951246271
274,7635.8580055142975
275,7767.183180269612
276,7883.696992023015
277,7675.267504734425
278,7565.205307370198
279,7680.295674114664
280,7638.97841263834
281,7530.879783595201
282,7661.582548109228
283,8109.949988486322
284,8217.853834071828
285,8072.664281555538
286,7685.241169191076
287,7296.393215462254
288,6575.343052262775
289,5976.546713109634
290,5640.619663791949
291,6248.984338548957
292,6368.9780415409305
293,5943.454685349414
294,5068.8779414968785
295,5101.0011759407635
296,5124.404008319219
297,5413.427397946587
298,5974.951832086916
299,6313.1802534221515
300,6554.084209470709
301,6604.3156211162295
302,6444.430368241058
303,6349.225270798435
304,6301.634246503728
305,6166.134107910853
306,6417.235382748072
307,7125.865900678557
308,7352.927752763472
309,7216.802128725002
310,6844.909676676575
311,6528.866353752702
312,6075.075925826723
313,5558.868664497732
314,5103.229927754008
315,4863.658541604747
316,4691.036041501849
317,4595.028835187628
318,4618.5053933934605
319,4786.689680990166
320,4631.662995016233
321,4768.001676554226
322,5335.405083565468
323,5754.067573066679
324,6121.601312440446
325,6300.608262607513
326,6089.7662276477395
327,5886.538719661089
328,5800.660485642428
329,5746.2496398332405
330,6137.002461304546
331,6932.467461413432
332,7237.13940581326
333,7247.685240864449
334,6955.047756187075
335,6561.247228189471
336,5933.368888382325
337,5351.98611728867
338,5405.775454430596
339,5263.992571258902
340,5268.991164697178
341,5346.73958900256
342,4803.317057211946
343,5266.028850492859
344,6084.332403127703
345,6999.0019009097905
346,7580.671177525458
347,7718.7374326922745
348,7810.768249369082
349,7636.601817957899
350,7472.473667058097
351,7541.60574080375
352,7506.099886046618
353,7631.8494781814
354,7616.884218213923
355,8159.872470066662
356,8399.539840345753
357,8295.92098225432
358,7967.229572619826
359,7523.3383173656175
360,6729.731487842032
361,6153.2937423551075
362,5852.149456571252
363,5981.998562580995
364,5990.996395126359
365,5987.315592364152
366,5223.541406632815
367,5471.679057567133
368,6216.978334075126
369,7144.268733417534
370,7648.8115459800765
371,7723.115024963798
372,7878.0222387252725
373,7727.072315869068
374,7619.584891840004
375,7738.130190973164
376,7640.796875191818
377,7552.521053930664
378,7626.051328045734
379,8129.702951928641
380,8321.50407769626
381,8196.659718349585
382,7844.575136658241
383,7371.025979634709
384,6559.487689942672
385,5969.749919668841
386,6000.667010812751
387,6388.992261045762
388,6641.984209280136
389,6608.036970306167
390,5457.3040737917245
391,5650.93994367849
392,6266.688576025015
393,6956.47845432957
394,7382.690672808002
395,7647.697373884511
396,7910.2473650685
397,7622.743510396145
398,7551.066855970824
399,7465.9279649660475
400,7260.099032805909
401,7062.888831382636
402,7105.994477999762
403,7781.540185566296
404,8064.191847716586
405,7940.936007309036
406,7619.495734980789
407,7159.550297629485
408,6425.8117863426405
409,5757.757627795068
410,5451.8163804156275
411,5314.433532715573
412,5109.022162827432
413,5096.804290870551
414,5159.771761567944
415,5485.400146171971
416,6098.001541013044
417,6990.372025548037
418,7381.090021699328
419,7408.174873307284
420,7459.0100094372165
421,7209.079841080681
422,7035.993037546687
423,7164.980964330704
424,7063.129812208595
425,6960.754038552695
426,7121.89354342013
427,7785.210297064902
428,8024.84347852589
429,7929.842162421341
430,7620.443402287123
431,7166.789761426237
432,6415.573901871539
433,5897.566565900582
434,5687.811618069655
435,5798.987386453813
436,6126.9806406216185
437,6050.220940808505
438,5305.327425366874
439,5488.951649105212
440,6179.001827401336
441,6968.532242263156
442,7357.492328680704
443,7388.287263439539
444,7714.551796852889
445,7367.189854794705
446,7362.742177500781
447,7457.275151372709
448,7555.22635361034
449,7622.339074643996
450,7280.330193343274
451,7492.594961258513
452,7686.422946177876
453,7581.697397452922
454,7275.19964105378
455,6927.074819799419
456,6443.483869393096
457,6218.132034486813
458,5828.706368883234
459,5690.989511640173
460,5849.9850013808045
461,5788.232663978371
462,5725.23755213571
463,5471.760328553989
464,5460.344710281565
465,5548.667120055536
466,5968.438850937956
467,6239.792934727624
468,6353.435411489231
469,6405.92590887506
470,6244.45992474405
471,6301.3009064501075
472,6268.252419662382
473,6007.614371309089
474,6539.598068494721
475,7250.523231288632
476,7218.274078735906
477,7108.500461487543
478,6929.913077399327
479,6650.301552955336
480,6165.231240804461
481,5490.200171800363
482,5089.593485102894
483,4789.866865631559
484,4632.068743096453
485,4613.024500911429
486,4559.692576010357
487,4504.969730804877
488,4614.472787587652
489,4973.370997053061
490,5641.628731307948
491,5803.551349469474
492,5890.123224760011
493,6060.68186782284
494,5874.409992589738
495,5701.654662725389
496,5611.550444066361
497,5690.7015263909025
498,5727.692866984968
499,6439.847773730089
500,6750.330103390999
501,6797.833624160706
502,6504.9175638204315
503,6131.893133478287
504,5621.70304064691
505,5313.822431665041
506,5267.9361784035245
507,5053.11075643449
