,demand
0,5095.000000000193
1,5142.00000000023
2,4908.000000000389
3,4654.808632152826
4,4683.463939101745
5,4528.57216157378
6,4444.474949601485
7,4341.3279547207685
8,4497.678619923007
9,4669.159621781918
10,4903.502391905977
11,4938.373164063353
12,4922.41573341779
13,4814.068736850179
14,4756.97043169077
15,4780.196078045803
16,5061.000000000249
17,5228.000000000237
18,5205.000000000247
19,5186.000000000241
20,5142.000000000243
21,5053.0000000002265
22,5047.000000000256
23,5028.000000000388
24,5004.000000000402
25,4698.000000002563
26,4472.448759300254
27,4215.442882647094
28,4115.003805351684
29,4048.328284175276
30,4091.0222341619474
31,4247.000000000988
32,4598.669623767956
33,4922.000000000391
34,5112.000000000284
35,5219.000000000293
36,5233.000000000406
37,5172.000000000187
38,5046.0000000002065
39,5072.000000000156
40,5326.000000000132
41,5470.0000000001255
42,5445.000000000129
43,5429.000000000122
44,5383.000000000142
45,5279.000000000095
46,5331.000000000105
47,5324.000000000141
48,5184.000000000161
49,4772.000000000162
50,4410.000000000159
51,4130.000000000171
52,4023.000000000146
53,4134.000000000144
54,4506.000000000115
55,4829.000000000112
56,5109.000000000116
57,5337.000000000129
58,5383.00000000017
59,5322.000000000169
60,5271.000000000199
61,5197.000000000222
62,5073.000000000219
63,5195.000000000238
64,5553.000000000233
65,5813.000000000156
66,5746.00000000016
67,5690.000000000165
68,5606.000000000138
69,5519.000000000104
70,5509.000000000113
71,5450.000000000153
72,5328.000000000191
73,4891.00000000021
74,4557.033172142039
75,4252.260781062
76,4122.000000002275
77,4235.000000000428
78,4548.000000000365
79,4884.000000000519
80,5169.0000000005775
81,5356.000000000329
82,5410.000000000303
83,5373.000000000317
84,5287.000000000336
85,5201.0000000004775
86,5089.000000000493
87,5164.000000000484
88,5611.000000000449
89,5841.000000000275
90,5804.0000000002665
91,5771.000000000182
92,5673.000000000122
93,5575.00000000019
94,5545.0000000002465
95,5452.00000000035
96,5319.0000000004675
97,4867.00000000084
98,4704.737044575912
99,4456.849413737896
100,4378.469578722407
101,4406.945108353406
102,4514.000000000353
103,4885.000000003636
104,5199.588862646751
105,5349.000000002382
106,5395.000000001223
107,5316.000000004394
108,5242.0000000013815
109,5241.0000000022565
110,5114.000000004624
111,5192.000000002886
112,5616.00000000176
113,5901.0000000012515
114,5920.000000002471
115,5829.000000003261
