,demand
0,15563.00000000078
1,15229.000000005693
2,15791.4910120561
3,15609.914488024358
4,15361.561989460708
5,15576.566418981683
6,15780.443184931035
7,16117.509667157463
8,16391.881853389732
9,16782.123366309923
10,16602.00000027077
11,16815.00000001954
12,17066.000000008797
13,17160.00000000353
14,17423.00000000338
15,17940.000000010066
16,18351.00000000114
17,18432.000000001022
18,18196.00000000104
19,17920.000000001673
20,17445.000000001255
21,16800.00000000099
22,16320.000000001299
23,15638.179583933304
24,15524.860952671632
25,15153.609579728887
26,15046.890660799658
27,14875.038974687961
28,15629.000000000346
29,16426.000000000276
30,17630.901928864583
31,18792.000000052703
32,19328.913527243138
33,19374.000000006836
34,19799.000000001764
35,19915.000000001222
36,19881.0000000009
37,19743.00000000109
38,19846.000000001346
39,20361.00000000239
40,20540.000000003198
41,20741.00000000137
42,20642.000000000895
43,19918.00000000164
44,18988.000000001488
45,18278.00000000134
46,17329.49844211321
47,16755.65407837709
48,15756.000000002394
49,15387.000000023787
50,15396.672618125685
51,15286.556744663829
52,15405.071147961042
53,15869.000000001311
54,17475.892040728362
55,18696.32510692612
56,19286.000000002135
57,19485.000000001324
58,20175.000000000713
59,20147.000000000575
60,20369.000000000564
61,20484.000000000502
62,20884.000000000317
63,21123.000000000382
64,21419.00000000053
65,21465.0000000005
66,21104.000000000426
67,20550.000000000357
68,19776.000000000564
69,18875.00000000049
70,18172.00000000064
71,17205.00000000062
72,16231.000000000478
73,16075.00000000036
74,15853.00000000046
75,15679.000000001135
76,16015.467110311702
77,16708.000000002274
78,18192.00000000073
79,20388.000000000302
80,20864.00000000057
81,20568.00000000135
82,21098.000000001026
83,21118.000000000535
84,21528.000000000524
85,21410.000000000513
86,21313.000000000746
87,21881.000000000662
88,21900.000000000808
89,22056.000000000866
90,21441.00000000099
91,21001.000000000622
92,20313.00000000066
93,19375.000000000848
94,18614.0000000005
95,17505.000000039166
96,16816.000000001506
97,16439.000000000946
98,16310.000000000959
99,16276.00000000165
100,16478.00000000323
101,16810.000000003216
102,18070.000000007647
103,19825.00000000309
104,20508.000000008677
105,20682.000000002765
106,21172.000000001113
107,21095.000000001237
108,21049.0000000011
109,20824.000000001222
110,20684.000000001102
111,21183.00000000071
112,21502.000000000793
113,21495.00000000082
114,21050.000000000895
115,20281.000000000913
116,19368.00000000156
117,18755.00000000103
118,17890.000000001073
119,17286.000000001684
120,16476.000000002394
121,16211.000000004895
122,16066.000000009135
123,16130.000000001985
124,16257.000000002687
125,16385.27065241658
126,16926.458555470123
127,17754.83422152235
128,18381.000000008964
129,18760.000000003165
130,19124.000000019212
131,19403.00000000373
132,19613.000000003958
133,19663.0000000019
134,19679.000000001895
135,20185.00000000341
136,20860.000000004376
137,20877.0000000941
138,20663.07022292062
139,20264.000000008593
140,19811.000000008436
141,19170.0000000047
142,18597.718634832094
143,17960.007442555678
144,17449.00000000175
145,17240.000000001808
146,17179.00000000137
147,17139.00000000181
148,17242.000000001797
149,17438.000000003256
150,18041.000000004904
151,28240.81363603456
152,19119.546361860743
153,19579.0000000225
154,19758.000000011307
155,19861.0000000018
156,19854.000000001248
157,19538.000000003387
158,19394.000000013366
159,20098.000000001113
160,20906.000000000706
161,21231.000000000506
162,21035.00000000052
163,20544.00000000085
164,19936.000000001448
165,19176.000000004013
166,18280.000000002667
167,17659.01666639076
168,16868.000000008236
169,16652.00000011516
170,16633.000000002357
171,16869.000000002463
172,17345.47676472604
173,18017.23511161518
174,20035.000000014228
175,21992.00000000216
176,22142.24420362894
177,22053.333645587903
178,22184.515128546693
179,22160.104789415145
180,22202.150315760355
181,21884.716275104292
182,21746.969034703845
183,22023.0000000693
184,22381.000000009273
185,22475.000000003158
186,22284.000000002383
187,21783.000000004242
188,20840.806801512193
189,20118.000000008866
190,19027.00000000517
191,18231.17860020611
192,17202.0000000019
193,16916.000000002583
194,16861.000000003267
195,16917.00000000199
196,17075.00000000157
197,17738.000000001623
198,19638.000000001553
199,21393.00000000138
200,22016.00000000268
201,21584.000000027212
202,21666.00000000322
203,21518.000000021068
204,21250.441153208518
205,21077.000000014315
206,21234.1906754319
207,21692.43779998353
208,22255.000000003078
209,22493.000000001797
210,22039.00000000161
211,21676.000000000717
212,21239.000000000484
213,20596.000000000466
214,19131.000000000644
215,18371.00000000095
216,17253.000000000888
217,17330.00000000062
218,17157.000000001266
219,17245.000000001543
220,17627.000000001077
221,18406.000000000677
222,20944.000000000524
223,23086.000000000546
224,23139.000000000775
225,22827.000000000968
226,22667.000000002823
227,22389.000000002376
228,22304.75852769737
229,22490.12095506843
230,22609.000000001917
231,23038.00000000077
232,23172.00000000153
233,23077.00000000301
234,22671.57750443303
235,22280.00000000139
236,21525.000000000717
237,20253.000000000466
238,19464.000000000662
239,18442.00000000055
240,17512.000000000713
241,17127.000000001073
242,16834.000000004646
243,16737.472733268038
244,17155.099749019984
245,18014.84631833142
246,20030.869671689237
247,21683.94631019716
248,22107.43643105438
249,21729.4049832307
250,21755.000000004715
251,21739.000000002274
252,21910.00000000215
253,21977.000000001837
254,22009.000000001368
255,22440.000000002172
256,22721.000000002605
257,22804.00000000177
258,22310.000000002197
259,21879.000000001477
260,20993.00000000118
261,20139.000000001044
262,19257.000000000648
263,18245.000000000593
264,17313.00000000099
265,17035.00000000087
266,16838.000000001124
267,16890.00000000092
268,17241.000000001663
269,18235.00000000134
270,20151.00000000208
271,22400.00000000071
272,22609.00000000092
273,22383.00000000197
274,22662.00000000072
275,22516.00000000071
276,22263.00000000064
277,22162.000000000633
278,21865.000000000568
279,21740.00000000089
280,21940.000000002026
281,22095.00000000157
282,21803.00000000112
283,20873.000000000877
284,19840.000000000906
285,19217.00000000051
286,18206.000000000968
287,17768.000000000746
288,16915.000000000837
289,16640.000000001233
290,16497.000000001357
291,16494.000000000986
292,16456.000000002095
293,16690.000000001506
294,17244.00000000643
295,18181.000000001473
296,18957.00000000194
297,19566.000000001353
298,20198.00000000058
299,20372.00000000066
