,demand
0,3443.6619304154124
1,3337.8999898562743
2,3397.7186278106606
3,3352.2026579283743
4,3357.750187149748
5,3391.7945043813925
6,3367.163337765574
7,3384.719331102756
8,3549.848073742798
9,3454.3477632588183
10,3420.429802376432
11,3550.8894077515197
12,3470.259571862945
13,3471.176156522657
14,3399.210565721685
15,3394.1553247755514
16,3465.205142170368
17,3327.4734292429807
18,3407.912937242737
19,3352.775250319365
20,3401.563615593173
21,3294.8999127213483
22,3217.954830251866
23,3045.722215576895
24,2889.2358261720674
25,2748.1987201885768
26,2696.8352530576963
27,2673.041214685015
28,2737.913727204101
29,2961.9340408975986
30,3256.298861969334
31,3479.5631490040346
32,3551.4426345463353
33,3607.000000000991
34,3732.475277557774
35,3897.7502062933945
36,3849.5115387918
37,3804.98664007896
38,3816.8497979732438
39,3617.0000000012024
40,3801.668131653254
41,3948.489990098948
42,3894.5083084951284
43,3977.8868216965134
44,3765.963208697466
45,3647.116736181254
46,3582.5390391070214
47,3440.36969525083
48,3431.6128316866275
49,3234.579698944914
50,3352.0257433847246
51,3392.140774797935
52,3422.651847710138
53,3611.385507712733
54,3715.7377278480008
55,3772.099520575453
56,3989.0108355344337
57,4110.075159082289
58,4146.515096928607
59,4174.575665586871
60,4207.862446711984
61,4222.747584839061
62,4276.1747148522245
63,4263.813542268359
64,4457.671497399541
65,4282.983769626089
66,4425.49720406
67,4297.878004566313
68,4344.936594294435
69,4003.647677443351
70,3849.86181828844
71,3674.976424647315
72,3764.405063739461
73,3773.071092546523
74,3729.6908466253158
75,3731.4992645593748
76,3764.683161841879
77,3693.4311500353488
78,3824.7928174752274
79,3937.1344076566083
80,4056.330286176296
81,4191.830690218042
82,4161.157988331332
83,4107.900289666641
84,4189.339924296766
85,4102.299855258769
86,4080.7131006069712
87,3987.9024626321907
88,4014.352011765809
89,4103.928287341185
90,4142.62797229173
91,4206.344489733672
92,4247.258109500239
93,3837.2409304652374
94,3806.313358416946
95,3697.170963364342
96,3846.4200885199134
97,3869.2397725367646
98,3848.7967546480377
99,3872.0164774094474
100,3908.353662091641
101,3829.303243164336
102,3942.6958457609476
103,3983.3136300356514
104,4136.303128622811
105,4156.905399142107
106,4205.207122382931
107,4302.789112293209
108,4186.865080561726
109,4167.750860926367
110,4107.85895122379
111,4025.2262429456064
112,4100.334742985921
113,4062.9975930956834
114,3926.6586750985934
115,3999.740482306483
116,3964.9431603514013
117,3781.7881702576033
118,3737.36929301533
119,3535.745788143042
120,3293.581667686908
121,3137.732997283483
122,3148.4357496927764
123,3251.0696446260363
124,3298.345303070556
125,3383.728023350111
126,3393.860055095408
127,3399.731764681589
128,3541.7859031487765
129,3633.2992716630233
130,3720.545121397776
131,3807.3011352605618
132,3759.007185968991
133,3685.1446751134276
