,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
0,9.053264984135523e-10,9.06089000436381e-10,9.108873996577337e-10,9.05304896476434e-10,1.0098966718910303e-09,9.064280773870848e-10,9.060769578621124e-10,9.067947831962893e-10,1.0098966718910303e-09,9.053158601861563e-10,9.065714039150791e-10
1,3.202342363888753e-10,3.204899589107531e-10,3.1997546175044074e-10,3.201761811743731e-10,3.3262656742512586e-10,3.2055243029117e-10,3.2048400061978177e-10,3.2061406710245903e-10,3.3262656742512586e-10,3.202105968747171e-10,3.2057856522374766e-10
2,2.5533114497462026e-10,2.5550782639922544e-10,2.550399025849034e-10,2.552908423123597e-10,2.6242059184287067e-10,2.555500452965733e-10,2.5548380598983526e-10,2.555910021203566e-10,2.6242059184287067e-10,2.5531412140706004e-10,2.555679441897183e-10
3,2.2919894660199216e-10,2.2934785073936627e-10,2.2891014170112256e-10,2.2916425327531942e-10,2.345472551930909e-10,2.293824939474395e-10,2.2931683930525243e-10,2.2941672695016805e-10,2.345472551930909e-10,2.2918262027182222e-10,2.293971880262132e-10
4,1.5488213805035412e-10,1.5496243360078826e-10,1.5464148558547605e-10,1.5486402856547896e-10,1.5677918106143818e-10,1.5497843351008225e-10,1.549238571022204e-10,1.549956262424648e-10,1.5677918106143818e-10,1.5487346073113916e-10,1.549857784289548e-10
5,1.172432986417098e-10,1.1729306866634698e-10,1.1705841794115966e-10,1.1723197468431503e-10,1.18158285705947e-10,1.173021357517981e-10,1.1725951935653847e-10,1.1731205899888373e-10,1.18158285705947e-10,1.1723723999747876e-10,1.173064519880529e-10
6,1.04079847199735e-10,1.0411997773298969e-10,1.0392565805365206e-10,1.0407043993610229e-10,1.0473505794519889e-10,1.041271980514471e-10,1.041031755436943e-10,1.041348905062428e-10,1.0473505794519889e-10,1.040745630154959e-10,1.0413039152037907e-10
7,1.1052808974858032e-10,1.1057300017419605e-10,1.1036189647067262e-10,1.1051766750410111e-10,1.1130726711607919e-10,1.1058061062570575e-10,1.1055730234210591e-10,1.1058904880903883e-10,1.1130726711607919e-10,1.1052273797344033e-10,1.105840548981687e-10
8,1.1320382058342356e-10,1.1325118111239423e-10,1.1302682167643813e-10,1.1319278716852511e-10,1.1403577527556865e-10,1.1325924904971139e-10,1.1324251248772184e-10,1.1326829063678969e-10,1.1316234365243288e-10,1.1319838314249534e-10,1.1326271200903224e-10
9,1.2570646805712827e-10,1.2576350948078443e-10,1.255114774998101e-10,1.2569325816511741e-10,1.2680842004647152e-10,1.2577396053368445e-10,1.2575076334569595e-10,1.2578449926536326e-10,1.2572506783399148e-10,1.2570006197860894e-10,1.257774969856192e-10
10,1.1048113376553903e-10,1.1052682950094578e-10,1.1031413349394783e-10,1.1047040043182928e-10,1.1125813156243998e-10,1.1053474938245352e-10,1.1050731326727333e-10,1.1054275917373715e-10,1.1051493946101195e-10,1.1047584489331419e-10,1.105374391010903e-10
11,1.1019417493582308e-10,1.1024056520450506e-10,1.1002714873765952e-10,1.1018356355915165e-10,1.1096462050503978e-10,1.1024865793310595e-10,1.1022348895469423e-10,1.1025661471054356e-10,1.1023429072427358e-10,1.1018947173968276e-10,1.1025135413236927e-10
