,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Solar,Waste,Wind Onshore
0,0.6355502607511486,13.46211006602964,1.6755415963142852,0.0057777297715377466,0.0057777297715377466,10.97768631996219,40.27077560498999,0.0057777297715377466,0.5777729643309732,0.057777296549427364
1,1.300173355056077e-10,1.3006070461087377e-10,1.3003664925365547e-10,1.3030032632260902e-10,1.3030032632260902e-10,1.3005045789279064e-10,1.3006928880708488e-10,1.3030032632260902e-10,1.300173355056077e-10,1.3003033090003376e-10
2,1.6523823045012703e-09,1.647521083771137e-09,1.649638822865554e-09,1.7211047783589398e-09,1.7211047783589398e-09,1.648490607436076e-09,1.6472506823256288e-09,1.7211047783589398e-09,1.6527297852564468e-09,1.6683716490892036e-09
3,5.635685120765415e-11,5.6369547725831043e-11,5.6362107819293195e-11,5.636778561259284e-11,5.636778561259284e-11,5.63689503854623e-11,5.637115041132966e-11,5.636778561259284e-11,5.635632961355806e-11,5.633732504848096e-11
4,8.065767708361646e-12,8.066088837450572e-12,8.065963222627849e-12,8.062774235026305e-12,8.062774235026305e-12,8.066070231110693e-12,8.066114221048687e-12,8.062774235026305e-12,8.065767708361646e-12,8.06467178445447e-12
5,8.362198362203804e-12,8.362545462787222e-12,8.362397201163221e-12,8.359031266576892e-12,8.359031266576892e-12,8.362525545277267e-12,8.362572526706643e-12,8.359031266576892e-12,8.362198362203804e-12,8.361024782458647e-12
6,8.727357390949414e-12,8.727738145227872e-12,8.727599237855083e-12,8.723969597338818e-12,8.723969597338818e-12,8.727717116175164e-12,8.727768231099952e-12,8.723969597338818e-12,8.72730045633967e-12,8.723969597338818e-12
7,1.1121106198712269e-11,1.112172952183213e-11,1.1121481369395292e-11,1.1116146191888422e-11,1.1116146191888422e-11,1.1121666997601327e-11,1.1121785456894374e-11,1.1116146191888422e-11,1.1121063555670916e-11,1.1116146191888422e-11
8,1.1252601203304589e-11,1.1253243140623216e-11,1.1252991882275741e-11,1.124754978868912e-11,1.124754978868912e-11,1.1253229345800538e-11,1.1253296930995789e-11,1.1250619489419906e-11,1.1252557530025654e-11,1.1250619489419906e-11
9,1.3241777465966203e-11,1.3242681284254298e-11,1.3242319684750294e-11,1.3235278819361661e-11,1.3235278819361661e-11,1.3242682488651681e-11,1.3242752559084251e-11,1.324115313529623e-11,1.3241644088422418e-11,1.323922527768131e-11
