,demand
0,3.1811035430980565e-11
1,3.046948948259713e-11
2,4.174832601062908e-11
3,4.421737042323125e-11
4,1.9861283691882163e-11
5,2.8016534866594424e-11
6,4.1157567597363253e-11
7,3.6332048234046165e-11
8,4.08577348651482e-11
9,4.508390448863295e-11
10,3.5450799620977327e-11
11,2.9370297700565454e-11
12,3.363142108259029e-11
13,2.3390304962219583e-11
14,2.0082654338104896e-11
15,2.5138465669257528e-11
16,3.366325101529551e-11
17,3.443616657860742e-11
18,1.8426724503665936e-11
19,3.178377968270174e-11
20,2.5711116027328657e-11
21,5.354950339689063e-11
22,5.828033616917613e-11
23,5.3914310650143945e-11
24,4.7583219378796695e-11
25,5.32025461690085e-11
26,5.027804393786632e-11
27,4.474986140564949e-11
28,4.918873527996193e-11
29,3.933210854899389e-11
30,3.727150206920831e-11
31,4.0908569762305366e-11
32,4.668221805070055e-11
33,4.481633727110499e-11
34,3.940187407455836e-11
35,3.3788917747307286e-11
36,3.108608776241978e-11
37,2.9157447967914135e-11
38,2.555755472621395e-11
39,3.597827709663421e-11
40,4.590398003188695e-11
41,4.670969528795855e-11
42,3.383961000120063e-11
43,3.746713493152468e-11
44,4.4741822262541256e-11
45,5.988912066380737e-11
46,7.752075847239865e-11
47,7.293981987403692e-11
48,7.760333157293643e-11
49,7.041653786210285e-11
50,7.906322965120528e-11
51,8.988821345947764e-11
52,7.136373871961247e-11
53,7.07792857441642e-11
54,4.442848762980134e-11
55,6.28064967599497e-11
56,4.449113134043345e-11
57,4.246645073738971e-11
58,4.555682600486316e-11
59,4.8128792662752196e-11
60,6.016603249940016e-11
61,4.875329221264355e-11
62,4.314058163808729e-11
63,4.056114314391832e-11
64,4.7202469625392693e-11
65,4.067119097714107e-11
66,2.923858670022544e-11
67,2.3062462199865094e-11
68,2.4251195996994943e-11
69,3.092708119526754e-11
70,3.637923317429869e-11
71,5.354280793357525e-11
72,1.1087786526127744e-10
73,5.033517723564303e-11
74,5.698496134578544e-11
75,5.690796534682773e-11
76,5.186813397201407e-11
77,6.251202313719934e-11
78,4.0587653643533354e-11
79,3.441376441464658e-11
80,4.1510701437034316e-11
81,3.695243449089582e-11
82,3.943368547653256e-11
83,4.158545598975332e-11
84,4.029293495293065e-11
85,3.944827077670786e-11
86,4.1021257593732174e-11
87,4.1495313915306924e-11
88,4.2960203888429324e-11
89,3.564356544637463e-11
90,2.960362351013899e-11
91,2.875532150203948e-11
92,3.364040089544806e-11
93,4.14719979354372e-11
94,5.5913545654511146e-11
95,5.80819882496107e-11
96,4.118818188674345e-11
97,6.948513327241476e-11
98,5.17016202268026e-11
99,6.540358989264805e-11
100,5.4830594662134325e-11
101,7.627365267630763e-11
102,3.6727817240355537e-11
103,4.898280318445183e-11
104,4.096746027975969e-11
105,3.238800847329291e-11
106,3.2293658224558887e-11
107,2.925117845929506e-11
108,2.99300476962037e-11
109,3.223061038372426e-11
110,3.0231241793716705e-11
111,3.173255692853759e-11
112,3.415324527753906e-11
113,3.089015692776634e-11
114,2.4142008382534536e-11
115,2.2876785982147603e-11
116,2.729628177646846e-11
117,3.3197288822652765e-11
118,3.587310757877276e-11
119,3.3368909217164606e-11
120,4.3637138260836885e-11
121,3.701827370727677e-11
122,3.747102484388702e-11
123,3.585202909651961e-11
124,3.857773971875192e-11
125,5.977387496524186e-11
126,4.6384525336308573e-11
127,3.7705730263400746e-11
128,3.247109492520262e-11
129,2.6931153678566155e-11
130,2.2200574934260765e-11
131,2.2295584677710007e-11
132,2.2441222582738373e-11
133,2.1818009190579844e-11
134,2.290899700094359e-11
135,2.6246512440581354e-11
136,2.976336601002481e-11
137,3.6927952136503673e-11
138,2.8103481696969794e-11
139,2.924221045930875e-11
140,3.0348322034604175e-11
141,3.306177137769636e-11
142,3.920143830880704e-11
143,4.265296420022825e-11
144,4.3492446527086414e-11
145,4.302384820758472e-11
146,3.78774602587686e-11
147,3.873317329506062e-11
148,4.449261592575685e-11
149,5.330974967373465e-11
150,7.410551594545073e-11
151,6.455811710652515e-11
152,5.3041990134130054e-11
153,5.257861102356792e-11
154,4.6594782904209453e-11
155,3.599144943832259e-11
156,3.214857955809491e-11
157,3.638911437576888e-11
158,2.8359564340270076e-11
159,3.568612591887194e-11
160,3.968802133036871e-11
161,3.7082538545835284e-11
162,3.331474855348127e-11
163,3.1616212042443413e-11
164,3.3533429746289866e-11
165,3.562957890675085e-11
166,4.2147365647200744e-11
167,5.291674241870022e-11
168,4.6101924359526635e-11
169,4.4892053452196275e-11
170,5.527496138910883e-11
171,4.112860402450873e-11
172,5.640444342711863e-11
173,5.04995221745318e-11
174,4.138002614276917e-11
175,3.481697586650939e-11
176,3.1696058722355726e-11
177,2.5381485200685356e-11
178,2.927735623043197e-11
179,2.870640643307305e-11
180,2.5421836049370018e-11
181,2.7617399259583657e-11
182,3.366864922559892e-11
183,3.961668984405945e-11
184,3.606268204474221e-11
185,3.3259389145026655e-11
186,2.6279641303699806e-11
187,2.2118205927379005e-11
188,2.744491833265246e-11
189,3.61186695764752e-11
190,5.822058176910889e-11
191,2.3572023193110833e-11
192,1.1449165345080643e-10
193,4.2537757869055345e-11
194,4.511765958335126e-11
195,4.709015708717196e-11
196,4.284970096248215e-11
197,5.626231489659306e-11
198,3.949704135714186e-11
199,4.016087791803891e-11
200,3.263124371754604e-11
201,2.734638357941479e-11
202,2.8959223758291092e-11
203,3.391704035991153e-11
204,2.6242760964667486e-11
205,2.5414933013627016e-11
206,2.7120338866092462e-11
207,3.4017674520309314e-11
208,3.6665567776430414e-11
209,3.090980048050838e-11
210,2.508121805211646e-11
211,2.1660318881375104e-11
212,2.4708439262651553e-11
213,3.115877139882117e-11
214,4.152337146614899e-11
215,3.602112461531003e-11
216,3.8833668558058726e-11
217,7.243498824520729e-11
218,5.884710175291262e-11
219,5.74567082555874e-11
220,7.223940058272761e-11
221,6.997294409899445e-11
222,5.205633883185715e-11
223,5.0047577194081065e-11
224,3.05557947706762e-11
225,2.3017732755326998e-11
226,2.385807417171191e-11
227,2.6414564069262612e-11
228,2.954641687384985e-11
229,3.712773034590747e-11
230,3.632672938874747e-11
231,3.983623549416516e-11
