,demand
0,2.879684613702784e-11
1,3.3360420432526214e-11
2,2.941459201002907e-11
3,3.5207581189083814e-11
4,5.1599424798996487e-11
5,4.9521119756533114e-11
6,3.9836345475161694e-11
7,3.9187736900722896e-11
8,3.309471964023834e-11
9,4.694544600699893e-11
10,4.945218524154644e-11
11,4.923280111136969e-11
12,6.415275764957955e-11
13,1.2314658075496568e-10
14,6.512211891573756e-11
15,3.69040688084096e-11
16,2.7794812236222647e-11
17,1.7377939649047088e-11
18,1.684693371186978e-11
19,1.9941192460875673e-11
20,2.3953002349996008e-11
21,3.666149782186565e-11
22,4.157346751431827e-11
23,3.569770703308039e-11
24,3.448972889585501e-11
25,3.670873476007701e-11
26,4.226391342098457e-11
27,6.590149872547144e-11
28,6.400165391783074e-11
29,3.459356543988363e-11
30,3.397540590458344e-11
31,3.4245915000594806e-11
32,2.7314733222747427e-11
33,3.1504700950488317e-11
34,3.2135355262883006e-11
35,3.4809861115882883e-11
36,3.652370360097015e-11
37,4.156948029079488e-11
38,3.870329851541201e-11
39,3.727672785812945e-11
40,2.7586819769123918e-11
41,2.2208109078473727e-11
42,2.1683390291041613e-11
43,2.2694119976933036e-11
44,2.7407678600074585e-11
45,3.694886467756538e-11
46,3.834510919630295e-11
47,3.678098379589055e-11
48,3.49322677016072e-11
49,3.375093422807778e-11
50,3.267975042278794e-11
51,3.1132860030327747e-11
52,3.213460429897706e-11
53,3.178835248069392e-11
54,3.1706890684249994e-11
55,2.687394014561719e-11
56,2.8014392811445405e-11
57,3.161014567118043e-11
58,3.697907685059269e-11
59,4.0811262087122905e-11
60,4.18998801379877e-11
61,3.989346040084496e-11
62,4.020146868036419e-11
63,3.448470297528348e-11
64,2.7773625141291822e-11
65,2.3250971984960786e-11
66,2.406545984283924e-11
67,2.4600079164404833e-11
68,3.3458184912065776e-11
69,3.858053574744225e-11
70,3.50686403193733e-11
71,3.3874830448329635e-11
72,3.372289625764048e-11
73,5.24253483659485e-11
74,7.859455824210087e-11
75,7.615952192014574e-11
76,5.758383153266561e-11
77,3.322350965562857e-11
78,3.184895773857239e-11
79,2.35145580548166e-11
80,2.2577745539401038e-11
81,2.307115607105846e-11
82,3.0593200943011935e-11
83,3.157655601674504e-11
84,3.309460360667767e-11
85,3.9123624716782336e-11
86,4.158639776662718e-11
87,4.0604934874749455e-11
88,3.7010258114394727e-11
89,2.678994822534707e-11
90,2.804305849618572e-11
91,2.706850276819014e-11
92,3.361474061769487e-11
93,4.253903304670685e-11
94,4.507943344605972e-11
95,4.261479961439239e-11
96,4.8749904767284577e-11
97,5.2035882443717255e-11
98,5.329503242744981e-11
99,5.1008348807960156e-11
100,4.5123048160705473e-11
101,3.1885613377985144e-11
102,2.937498070182333e-11
103,2.7501175905302362e-11
104,3.039986648306782e-11
105,3.504098674121887e-11
106,3.549630601977009e-11
107,3.630160940010391e-11
108,3.5155437023509747e-11
109,3.825441791898924e-11
110,4.156512713547955e-11
111,3.8137427996158546e-11
112,2.7001143348696596e-11
113,1.946025943077517e-11
114,2.0245814812208988e-11
115,2.1838863141541222e-11
116,2.9173376788628876e-11
117,3.927517740636219e-11
118,4.3596223207421724e-11
119,3.968208660933809e-11
120,3.146305843382698e-11
121,3.522410577845243e-11
122,3.417289349948948e-11
123,3.241891245372823e-11
124,3.206470114060156e-11
125,2.96572909834386e-11
126,2.770392160081173e-11
127,2.840294831670057e-11
128,3.2074008701980635e-11
129,3.634589349792924e-11
130,3.6389699984413976e-11
131,4.123339242936047e-11
132,4.155087492104664e-11
133,5.500619913557985e-11
134,6.033734739868841e-11
135,4.584856176469998e-11
136,3.864308124742068e-11
137,2.323353628627848e-11
138,2.0773795046643703e-11
139,2.110058516380211e-11
140,3.1681853902216535e-11
141,4.13821691274608e-11
142,4.2929342209394486e-11
143,3.1611142546107853e-11
144,3.428244148450798e-11
145,3.7271297091698125e-11
146,3.5093277081931235e-11
147,3.3733184060172555e-11
148,3.396372101965818e-11
149,3.038967773383005e-11
150,3.1245679271096467e-11
151,3.405005353734847e-11
152,3.042339754282973e-11
153,2.9564815662707994e-11
154,3.423776464372809e-11
155,3.395050665978127e-11
156,3.3153798516124996e-11
157,3.8876375793480196e-11
158,3.482580075695792e-11
159,3.440451081200685e-11
160,3.123493591121117e-11
161,1.923232515246496e-11
162,2.1445173007250897e-11
163,2.4825145177795896e-11
164,3.279933598384993e-11
165,4.347961704998215e-11
166,4.031014677849318e-11
167,3.951508657288994e-11
168,3.127002843081203e-11
169,3.592519722956608e-11
170,3.65351300299343e-11
171,3.2658777429448113e-11
172,3.2952064084005234e-11
173,3.2247873593702653e-11
174,2.735257577466856e-11
175,2.4609633830172338e-11
176,2.2536768527799498e-11
177,2.913973799964184e-11
178,3.4707926104636674e-11
179,4.15073020192106e-11
180,3.895454200205327e-11
181,4.100846949605547e-11
182,4.2457145314652966e-11
183,3.7177928324660494e-11
184,3.191711184748115e-11
185,2.7242289483935475e-11
186,2.535624656660659e-11
187,2.663300383655877e-11
188,3.495096314106856e-11
189,4.695643799371465e-11
190,4.329198321615452e-11
191,3.6249552575676144e-11
192,3.150915900127196e-11
193,3.275071662447193e-11
194,3.2338581092310917e-11
195,3.478776292872973e-11
196,3.3010005027082715e-11
197,3.291835642752373e-11
198,3.595035987692071e-11
199,3.4894369603743675e-11
200,3.751628981221843e-11
201,4.175912942491945e-11
202,4.36765055964167e-11
203,4.4503252789089144e-11
