,demand
0,1.065753344554439e-10
1,1.23209824411419e-10
2,1.8556060500043307e-10
3,5.004988516798497e-10
4,1.500452723696385e-10
5,1.642502346401471e-10
6,2.2703899355564612e-10
7,2.639892378669609e-10
8,3.6426238538355074e-10
9,1.885820312652616e-10
10,2.8580422993699035e-10
11,1.8704271474900694e-10
12,1.7060910107184225e-10
13,2.3102447504061506e-10
14,1.815927673939738e-10
15,1.7871367110965422e-10
16,1.5030569675520367e-10
17,8.910098393646967e-11
18,6.082185472294981e-11
19,7.190549675993605e-11
20,5.6507521436734824e-11
21,4.2961831071984103e-11
22,3.855208997860202e-11
23,3.6759449869476085e-11
24,3.757000948152169e-11
25,6.598642390333531e-11
26,1.0316379915189963e-10
27,1.4764220455688786e-09
28,83.16753392539225
29,45.97836832860658
30,57.81174999340471
31,1.5351296388651408e-10
32,9.371012713691536e-11
33,6.827923945469775e-11
34,6.494361102545926e-11
35,7.173764882949133e-11
36,7.550351350688196e-11
37,7.6119452798949e-11
38,9.491376069643607e-11
39,1.636373591134699e-10
40,1.8687645069862453e-10
41,1.7893562497723357e-10
42,6.77167792700228e-11
43,4.6912857283330644e-11
44,4.631971881380542e-11
45,9.41721624299663e-11
46,8.228986089167747e-11
47,6.589949101398659e-11
48,9.20167297501604e-11
49,1.0661927314366005e-10
50,2.575111477014055e-10
51,4.768089131940686e-10
52,3.8166794987529565e-10
53,2.508189727320865e-10
54,3.3076424864723453e-10
55,3.8850438282568343e-10
56,1.8843408895047547e-10
57,1.300336922968528e-10
58,1.0339008232224168e-10
59,1.2949123113408864e-10
60,8.475464708000857e-11
61,1.2355385081572007e-10
62,1.0502249691987707e-10
63,1.0614520052263754e-10
64,9.990446871160322e-11
65,9.168250251003863e-11
66,7.700478224141196e-11
67,6.784657230923738e-11
68,7.022603217380063e-11
69,7.237062014928284e-11
70,6.334613283524191e-11
71,4.6275615811287244e-11
72,4.4172189380279696e-11
73,7.077703497527181e-11
74,1.6467479773531627e-10
75,1.8668826189745348e-10
76,3.737052572941416e-10
77,3.0500970516334645e-10
78,2.4599078516036755e-10
79,8.684617951794129e-10
80,21.637608819168985
81,1.1070192907578982e-08
82,1.980203654353873e-09
83,5.644394379431738e-10
84,4.498692400709561e-10
85,7.157619778355084e-10
86,2.935614861168488e-10
87,3.067540593867869e-10
88,2.47190015894825e-10
89,6.975214116523311e-11
90,7.58524703428845e-11
91,7.432202131014957e-11
92,7.403681821944657e-11
93,7.053135283967235e-11
94,7.158748723362466e-11
95,1.716080218266173e-10
96,3.808813006852913e-08
97,140.43261184289327
98,98.81761628217232
99,105.41660599518836
100,101.93653883319426
101,124.1034777114518
102,108.22132105439567
103,47.415734012903485
104,32.32467910142561
105,6.757663326018867e-10
106,2.420293353350051e-10
107,1.603502166543025e-10
108,1.2605986319512333e-10
109,2.466659851284679e-10
110,2.286981025884215e-10
111,1.142178164489172e-10
112,1.0177040797663445e-10
113,9.270264015570297e-11
114,9.36933298601263e-11
115,8.657146435109879e-11
116,1.0323480172660154e-10
117,1.0327427544092047e-10
118,1.4814967101526176e-10
119,1.3367000908145735e-10
120,1.16755357163963e-10
121,5.607457795945878e-11
122,5.254061162048346e-11
123,1.5256049540639505e-10
124,6.283070849584429e-10
125,3.9935392768377993e-10
126,2.669913161623417e-10
127,3.559570379983227e-10
128,1.3007666338885996e-10
129,1.5537846189878617e-10
130,2.311007173666069e-10
131,2.0030025007582837e-10
132,1.5845899322484855e-10
133,1.4788763145999527e-10
134,1.1967916810872201e-10
135,1.295192515264898e-10
136,8.676001552486324e-11
137,7.905431798265379e-11
138,7.104355702616734e-11
139,6.80966564762104e-11
140,6.712442654967349e-11
141,6.247522571231687e-11
142,5.892080944784353e-11
143,6.771821317316217e-11
144,6.442812248824743e-11
145,5.5779831564781344e-11
146,7.320329418907474e-11
147,1.361366445235648e-10
148,2.3670168413845105e-10
149,5.182601695612303e-10
150,3.0856033555060736e-10
151,2.2398382137631226e-10
152,8.40343133395756e-11
153,1.1095072131473908e-10
154,2.377923671708937e-10
155,1.9840742562157365e-10
156,2.4272848725274887e-10
157,2.0886798062815684e-10
158,2.633315168925392e-10
159,1.9060926912836906e-10
160,2.994813897254708e-10
161,4.5183285914264467e-10
162,5.537801369268287e-10
163,1.42542418349461e-10
164,2.8904268739413277e-10
165,6.013987909163339e-10
166,1.9527518262245516e-10
167,4.5276657315839034e-10
168,1.2906922316287716e-10
169,5.301152562439629e-10
170,20.314123498403344
171,18.28431926407308
172,22.479446130837847
173,24.324788737064743
174,22.043479208648144
175,3.852728478966285e-10
176,2.239719789774374e-10
177,3.0737215382374186e-10
178,2.2505841526972924e-10
179,1.0788952183796416e-10
180,1.146868141432143e-10
181,1.8835176745772067e-10
182,3.0519470908982003e-10
183,1.3946117093176632e-10
184,2.1991589783088153e-10
185,1.6203698014821069e-10
186,1.2752892179245698e-10
187,1.1759818459858038e-10
188,9.618317478004808e-11
189,1.6043436831655413e-10
190,1.0651239370048778e-10
191,1.1338557072082697e-10
192,7.26770142068577e-11
193,7.554711022959221e-11
194,1.384659551537097e-10
195,3.789263980704376e-10
196,2.543412688027374e-10
197,5.458746696875861e-10
198,4.1918631717883747e-10
199,3.5069507257746935e-10
200,1.9623050148135724e-10
201,2.0234150993145635e-10
202,1.4905519282535592e-10
203,2.8150141277123557e-10
204,4.5157338181541627e-10
205,6.279991118347514e-10
206,4.392765442398148e-10
207,1.6673865591539704e-10
208,6.183840842800023e-11
209,7.151162866628781e-11
210,7.667038233696467e-11
211,5.536195406167364e-11
212,4.666358826159049e-11
213,4.903479364705651e-11
214,5.1538466299560606e-11
215,4.624843061054093e-11
216,5.0107326891547326e-11
217,9.713950344039925e-11
218,3.5775379651994105e-10
219,1.4743432988969835e-09
220,3.513252672425381e-10
221,2.5612689298074867e-10
222,3.009898213587412e-10
223,1.92151380395896
224,1.6264029742741438e-10
225,6.482118054943236e-11
226,5.969212477135113e-11
227,7.020750784329445e-11
228,6.05782586816197e-11
229,7.633531870633688e-11
230,8.80096472452864e-11
231,7.409458166012712e-11
232,5.846328157611413e-11
233,5.096307704107979e-11
234,4.981474224780973e-11
235,5.829841084026748e-11
236,7.685853855882989e-11
237,9.635142792037524e-11
238,1.0140598457681043e-10
239,2.158954729859805e-10
240,1.5454854975262792e-10
241,4.1663351675536337e-10
242,2.2815062129899425e-10
243,4.82029418876049e-10
244,5.21768495217716e-10
245,4.781491668112066e-10
246,2.813479757911741e-10
247,1.6262330434833816e-10
248,5.339714861637092e-11
249,3.9531042139562054e-11
250,4.0660703946978276e-11
251,4.000301494147558e-11
252,4.592750290973167e-11
253,5.212955289569811e-11
254,5.5009118557376444e-11
255,6.113364252239283e-11
256,5.5444393280479485e-11
257,5.323277005578802e-11
258,5.199808892956273e-11
259,5.320041410706222e-11
260,7.764882267017288e-11
261,8.026096891810594e-11
262,1.590814468601782e-10
263,1.2626423972929956e-10
264,9.153137094613259e-11
265,1.0393166659869688e-10
266,1.6030703348040863e-09
267,37.56119945516017
268,40.67611823266106
269,3.5067270200147485e-08
270,8.485477722420682e-10
271,2.0812360428644478e-10
272,1.3103906414394816e-10
273,1.523363672491667e-10
274,1.1514427284371178e-10
275,1.9798324517076446e-10
276,1.4940622513292073e-10
277,1.4762531995977966e-10
278,1.3353801878864652e-10
279,1.0944109788527939e-10
280,9.287300575978458e-11
281,9.255821966851985e-11
282,7.148463445327799e-11
283,6.458046931300502e-11
284,8.436735151732694e-11
285,1.1997366314161658e-10
286,1.5358846479867724e-10
287,1.1446483702944169e-10
288,7.017651288546884e-11
289,8.620074619375344e-11
290,1.3591571078447472e-10
291,1.3560252113890268e-10
292,1.043632227422182e-10
293,1.0803009535786066e-10
294,1.1176711587678517e-10
295,9.156587618988737e-11
296,5.560334787808499e-11
297,5.7187721637802996e-11
298,5.167207330905643e-11
299,5.283372863933637e-11
300,1.0279439233212565e-10
301,2.1463525413223258e-10
302,1.6298371118509088e-10
303,1.912717609655252e-10
304,2.715587587740874e-10
305,1.6190567885417173e-10
306,1.6978943835577637e-10
307,1.4065164494401405e-10
308,1.1954267000203144e-10
309,8.671138142389645e-11
310,5.865281526297553e-11
311,5.6217698645593934e-11
312,8.276636408982273e-11
313,6.953467982511275e-11
314,1.465827872392768e-10
315,6.285871512814526e-11
316,1.2318440017563292e-10
317,6.505024429800082e-11
318,8.95218747844418e-11
319,1.0724917977932153e-10
320,5.882678970284856e-11
321,3.9858651462927735e-11
322,5.0035337046222806e-11
323,4.9103032496348805e-11
324,4.838956279867945e-11
325,5.811306706177283e-11
326,7.189640281249372e-11
327,9.415777915826664e-11
328,9.109000872573756e-11
329,9.422366662004688e-11
330,8.65190589564498e-11
331,8.929772591901564e-11
332,1.211192649734957e-10
333,1.5837985027312137e-10
334,1.2457807442735114e-10
335,1.3993255629175736e-10
336,1.1369541819345388e-10
337,1.269048128492267e-10
338,18.349246486365836
339,76.65436525952177
340,109.12688668861024
341,146.60869123833052
342,154.25909281891836
343,5.975146896361819e-10
344,1.7809172256646678e-10
345,1.504856723015919e-10
346,2.7453478389067304e-10
347,1.484814102200211e-10
348,1.1299504110055032e-10
349,1.1291949559968235e-10
350,9.20229359239624e-11
351,9.702035235592769e-11
352,1.4539283561147917e-10
353,1.4857477662550866e-10
354,2.2196253322020733e-10
355,7.085256309324092e-11
356,6.865926728962289e-11
357,8.330362391153416e-11
358,1.5042106663857208e-10
359,2.1531913119397327e-10
360,1.9934479110280494e-10
361,3.8582756665526483e-10
362,106.92976255375385
363,152.5035574003383
364,158.36095878762413
365,132.88669441264327
366,91.88056619327514
367,5.402344509722347e-10
368,1.426924963200414e-10
369,2.2199370111355004e-10
370,4.2911927473597764e-10
371,1.9781187871351025e-10
372,9.211113676771309e-11
373,1.0135023733397983e-10
