,demand
0,3.600943492409657e-10
1,2.628515173883957e-09
2,532.4885312098087
3,583.9095619007201
4,517.556454587937
5,543.5631766538522
6,482.4368990309959
7,578.5030885690953
8,625.8739463908283
9,700.1148729762655
10,1.281828189333719e-07
11,8.990242453867551e-09
12,4.059464729768276e-09
13,1.629593736190333e-09
14,1.5612328746710974e-09
15,4.647445988262868e-09
16,5.25259463953377e-10
17,4.723581722774728e-10
18,4.801516208232515e-10
19,7.733666561332398e-10
20,5.805403886819965e-10
21,4.563812047323896e-10
22,5.995481038676636e-10
23,142.16537873910366
24,590.8449435224119
25,525.6089680816518
26,522.8929292599253
27,3.0638775613055225e-10
28,8.383489686934288e-11
29,1.0422857883147363e-10
30,2.7319142641253142e-08
31,2.3902724522473245e-08
32,44.70030332587029
33,3.1464563920679207e-09
34,8.140556558682346e-10
35,5.639365241509646e-10
36,4.1457538520607183e-10
37,5.041071394416575e-10
38,6.205733723622256e-10
39,1.1042711594506947e-09
40,1.4762435253714022e-09
41,6.332518792224347e-10
42,4.130558249448694e-10
43,7.572195924962429e-10
44,6.872058978527525e-10
45,6.18317011481675e-10
46,76.47650914998158
47,275.5845348689015
48,1.105748203228697e-09
49,1.0945624358926198e-08
50,34.69795529132653
51,66.56696867467988
52,40.09281959489293
53,6.052265463226376e-10
54,132.67715785068668
55,135.0989606470443
56,9.852700595791761e-10
57,6.114255098806489e-10
58,3.294273238948182e-10
59,2.662003776372378e-10
60,2.6071783723852887e-10
61,2.3196790921029974e-10
62,1.4622091679124016e-10
63,1.7670003863180666e-10
64,2.445824515595791e-10
65,2.305658303422251e-10
66,1.960444649869591e-10
67,1.649974524113247e-10
68,2.6105488073442044e-10
69,2.2712206436240953e-10
70,2.956077054335514e-10
71,2.8637758356818416e-10
72,2.2102578719904906e-10
73,1.6648849074434468e-10
74,2.1223796533259817e-10
75,5.240171468893566e-10
76,217.45196817892173
77,1.0497954960881542e-09
78,3.386465991761732e-10
79,1.4002788854624899e-10
80,2.646583322921154e-10
81,6.239257432852073e-10
82,4.74273062239119e-10
83,4.221867264259245e-10
84,3.2196541049660605e-10
85,3.006545523570838e-10
86,4.581807465179952e-10
87,3.059261429613498e-10
88,3.738906569330958e-10
89,3.998462022578888e-10
90,4.567257652617212e-10
91,2.871198654902843e-10
92,3.038547329245716e-10
93,3.9152788584414917e-10
94,2.3007666947270457e-10
95,1.797695176042008e-08
96,6.956991604347752e-10
97,4.372657698678174e-10
98,4.4266307476682435e-10
99,7.623047314479907e-10
100,1.492661205572868e-09
101,1.4874894580822925e-09
102,3.5286747217943813e-09
103,1.4267230680203831e-09
104,4.002645172539131e-09
105,1.2774456910607388e-09
106,5.138212534468192e-10
107,5.718603618946134e-10
108,5.07692682528234e-10
109,5.646377329143197e-10
110,5.08406721791826e-10
111,3.2710456329391704e-10
112,3.6568897481858553e-10
113,3.7893194914600163e-10
114,4.1367613980068745e-10
115,4.2131432698827315e-10
116,7.212716171860198e-10
117,4.747174506814845e-10
118,4.962958793883689e-10
119,7.779496150747836e-10
120,1.1055564838243534e-09
121,2.2606706231372215e-09
122,4.216710690993475e-09
123,9.169787099894755e-10
124,1.246000549907246e-09
125,78.38390268714969
126,32.64496268341347
127,135.41053465036674
128,4.12960544592808e-09
129,1.4608236478810874e-09
130,8.80755271523274e-09
131,1.7199024453033059e-09
132,1.8252698196540345e-09
133,8.76669647857167e-10
134,8.756007067294691e-10
135,1.573146332291436e-09
136,2.0188049502241622e-09
137,4.252638280718111e-08
138,4.907625633113316
139,3.9550202059666005e-09
140,3.889623855761833e-09
141,2.1672128384148405e-09
142,44.70988709064948
143,196.10994411336756
144,8.089372603013747e-10
145,8.350427277632825e-10
146,6.35199256548172e-10
147,8.46411533974414e-10
148,8.428200174384333e-10
149,1.549982784290482e-09
150,2.4099489969949984e-09
151,9760.81783742008
152,66.71578065130727
153,1.0509724750291631e-08
154,5.236989279462555e-09
155,8.329267196356048e-10
156,5.757855520948382e-10
157,1.5652560191634454e-09
158,6.173424267080527e-09
159,5.150437659827729e-10
160,3.2532784119029723e-10
161,2.338173031940776e-10
162,2.4090744128157276e-10
163,3.9486425270873126e-10
164,6.803935310476848e-10
165,1.8696964310535567e-09
166,1.2650623432541445e-09
167,45.68135799424759
168,3.802557111360691e-09
169,6.173285807958653e-07
170,1.1115947439174425e-09
171,1.1607663848922025e-09
172,121.47874990021103
173,223.22962349986497
174,6.5818692026452346e-09
175,1.002283911356787e-09
176,81.7833254303057
177,271.81770283520143
178,236.9597277732159
179,170.98250001986102
180,353.97833007640816
181,222.38168873376281
182,148.38729345993224
183,3.733064507572013e-08
184,4.324779968665833e-09
185,1.4686598968268729e-09
186,1.102621715138312e-09
187,1.963407349507714e-09
188,63.82314739217206
189,4.1056975489200885e-09
190,2.391355211829191e-09
191,162.18059998766924
192,8.767104985744623e-10
193,1.1931276051070731e-09
194,1.5085355782777554e-09
195,9.1994483664178e-10
196,7.25617315056515e-10
197,7.488002279504525e-10
198,7.183930781127826e-10
199,6.373429950609835e-10
200,1.237956579980863e-09
201,1.2446741260174527e-08
202,1.4866132976876723e-09
203,9.659843063584071e-09
204,10.355892206476254
205,6.572051999511915e-09
206,172.22696459869164
207,209.5053624749369
208,1.422372906961978e-09
209,8.303169610785912e-10
210,7.444632460551239e-10
211,3.3113053465579306e-10
212,2.2408013352214815e-10
213,2.1473130206435634e-10
214,2.9737374301000467e-10
215,4.3864094947072305e-10
216,3.88697453993588e-10
217,2.635133222933735e-10
218,4.3684540866057644e-10
219,4.6395544987199537e-10
220,3.559420017339283e-10
221,3.220501155518481e-10
222,2.7264266342833717e-10
223,2.871413695469106e-10
224,3.779857441739417e-10
225,4.839132652615419e-10
226,1.3453906814006887e-09
227,1.146561022806421e-09
228,79.8586551518054
229,254.06106266000987
230,9.127578971158563e-10
231,3.919048494418431e-10
232,7.772325005781535e-10
233,1.6091114396441236e-09
234,124.16802778549314
235,7.871026577563762e-10
236,3.500447168184918e-10
237,2.3713171549821117e-10
238,3.323108120463015e-10
239,2.5488043644703526e-10
240,3.0158305109458024e-10
241,4.2031554530485696e-10
242,9.963268609754925e-10
243,1.3203965010287714e-09
244,1.6572203017651954e-09
245,2.244502498035982e-09
246,30.750482021477364
247,81.95973202536328
248,228.14626455077894
249,239.62672450229522
250,3.3079806456020397e-09
251,1.3260254705962286e-09
252,9.802967717140625e-10
253,7.586118915863166e-10
254,6.114147963906085e-10
255,9.388810097423623e-10
256,1.1558438276587529e-09
257,8.914459770913994e-10
258,1.1842578279675972e-09
259,7.176104329363965e-10
260,5.070886107626646e-10
261,4.6083281636244523e-10
262,3.012588710191684e-10
263,2.5454348095190004e-10
264,3.397917498660264e-10
265,3.17809908046821e-10
266,3.8493764183720366e-10
267,3.3812717875090744e-10
268,5.092535177280898e-10
269,5.345265664853307e-10
270,7.911398828184414e-10
271,3.4182018698345737e-10
272,4.418463115356918e-10
273,8.714941888349199e-10
274,3.4602894562111963e-10
275,3.353072008985701e-10
276,3.0052633361414936e-10
277,2.965338978400242e-10
278,2.6296095122897737e-10
279,3.980485604489565e-10
280,8.37996584996543e-10
281,6.78489870316078e-10
282,4.95328142519613e-10
283,3.6192056150342924e-10
284,3.476442381544973e-10
285,2.0759852474953543e-10
286,4.048133088572649e-10
287,3.1314184639619553e-10
288,3.0513249292654214e-10
289,4.2272092557699637e-10
290,4.3780601297192467e-10
291,3.4648731481263185e-10
292,6.79960284613366e-10
293,6.26507674034769e-10
294,34.1342697097584
295,5.825503355682948e-10
296,5.933157289697531e-10
297,4.64579994430581e-10
298,2.318373259246873e-10
299,2.6221135822589976e-10
300,2.753698075545549e-10
301,3.0175887474523463e-10
302,3.207910382894854e-10
303,4.813466111229885e-10
304,1.3408651263226145e-09
305,67.60280634979152
306,5.873984324080813e-09
307,73.27033146511204
308,166.04305607851265
309,187.62945440596022
310,7.700160362897404e-09
311,166.2074636659313
312,144.42290226021984
313,2.335864064764508e-09
314,9.559384288262759e-09
315,3.0027378973075847e-09
316,1.5809939257025555e-09
317,4.536599983615117
318,217.10691202699067
319,242.69663941942937
320,138.2459762341036
321,2.5396973766432793e-09
322,3.93927211959022e-09
323,3.246596969024612e-10
324,2.655617551865484e-10
325,3.611287881280139e-10
326,2.818346070153451e-10
327,2.562077068865346e-10
328,3.42590031296506e-10
329,5.348089279678101e-10
330,30.61126705753318
331,1.7163642045145274e-09
332,4.4686935328849806e-09
333,26.553713182715303
334,6.420786583805197
335,224.75260505549593
336,2.5728071899886582e-08
337,8.35841153419534e-09
338,3.1333899047184617
339,2.7196430187238577e-09
340,1.7213401786260254e-09
341,8.566257099861867e-09
342,92.71714240017755
343,3.618682673455487e-09
344,1.2351164205048427e-09
345,1.5225831917246065e-09
