,demand
0,8545.750000000397
1,8222.988877237069
2,8098.782241261888
3,7848.911678876248
4,8099.445328570441
5,8117.228643832781
6,8197.047765104287
7,7660.984286695216
8,7686.984412674149
9,7726.988361464729
10,7835.493110878648
11,8195.250000001006
12,8599.250000000246
13,8860.750000000276
14,8866.208718729835
15,8925.500000000939
16,8994.000000001794
17,9303.500000007083
18,9312.250000000377
19,9147.500000002992
20,8917.500000000826
21,8728.750000001091
22,8993.250000001493
23,9118.250000001432
24,8633.998921509288
25,8772.368415833622
26,8439.585992951254
27,8376.116161566875
28,8600.814083786616
29,8747.91167828717
30,8984.75554647261
31,10066.81952753132
32,10820.92403572898
33,10645.000000000353
34,10828.250000000447
35,11091.750000000395
36,11154.750000000598
37,10995.750000001273
38,10981.485750706572
39,11045.500000001171
40,10964.500000003569
41,11300.250000000926
42,11305.000000002194
43,10908.75000000593
44,10416.250000001633
45,9945.250000001091
46,10012.25000000092
47,9853.250000004864
48,9419.8502036926
49,9670.44507023043
50,9042.855691891482
51,9056.669723351653
52,9449.59894096809
53,9470.093702134172
54,9821.44844501973
55,10118.25000000121
56,10753.500000000711
57,10999.000000000544
58,11181.750000000951
59,11369.00000000095
60,11241.986844948742
61,11322.500000001153
62,11278.469460493565
63,11652.883105048522
64,11823.559133067167
65,11763.000000001159
66,11772.250000000991
67,11295.250000000911
68,10710.500000000888
69,10233.500000001
70,10298.750000000906
71,10247.250000001046
72,10342.092702943708
73,10287.493483102615
74,10049.4903538583
75,9855.73172272488
76,9981.629969275975
77,10207.470260309081
78,10019.750000000722
79,10754.750000001022
80,11544.250000003432
81,12010.250000000542
82,12110.250000001066
83,12108.750000000688
84,11893.750000001208
85,11834.500000000393
86,11547.750000000313
87,11548.750000000278
88,11462.750000000302
89,11942.250000000347
90,11971.750000000617
91,11492.00000000085
92,10865.25000000098
93,10492.000000001784
94,10603.750000000842
95,10482.500000001126
96,10396.092213313283
97,10302.410147330955
98,9919.865027207888
99,9761.972336344066
100,10106.395597592124
101,10467.837450590647
102,10082.750000001048
103,10820.750000000728
104,11628.000000000507
105,11858.250000000417
106,12077.250000000331
107,11915.500000001173
108,11988.250000000318
109,11667.750000001619
110,11624.000000000384
111,11333.250000009764
112,11730.248996866634
113,11972.500000000631
114,11906.750000000451
115,11484.000000000324
116,11252.952629803513
117,10590.386698942862
118,10730.066035271138
119,10769.25000000033
120,10191.86251323051
121,9946.301456634026
122,10277.922903097635
123,9991.804468806326
124,9814.281317806435
125,9521.805822170221
126,9786.57270953455
127,9783.446508463214
128,10261.121477660447
129,10604.000000000644
130,11031.500000000671
131,11197.250000000418
132,11226.000000000355
133,11040.250000000651
134,10723.000000001004
135,10781.552399748587
136,10647.000000193413
137,11166.000000003276
138,11174.000000000593
139,10729.50000000039
140,10224.500000000575
141,9864.352637366565
142,9860.750000000893
143,9930.250000000906
144,9574.606241139845
145,9128.861930399247
146,8807.336057882678
147,8875.719284159397
148,9049.604885276123
149,8950.041831340151
150,9022.439942657391
151,8948.868193475077
152,9349.552109600792
153,9403.250000002186
154,9939.750000000668
155,10375.000000000826
156,10590.500000000531
157,10404.75000000049
158,10231.872756089128
159,10253.067653398599
160,10067.250000000842
161,10802.500000000562
162,11019.250000000544
163,10871.250000000462
164,10419.750000000504
165,9989.50000000057
166,9989.75000000706
167,10006.250000000373
168,9444.250000010486
169,9849.991103843982
170,9609.225936125162
171,9747.030918883569
172,9911.570039087821
173,10127.799141789237
174,11027.494955856542
175,11689.000000000331
176,12385.250000000293
177,12592.250000000355
178,12642.750000000382
179,12692.250000000391
180,12497.750000000435
181,12769.654711852008
182,12450.694783914396
183,12678.42304409796
184,12182.250000000346
185,12786.25000000056
186,12580.000000000562
187,12220.000000000548
188,11890.750000000482
189,11472.036585026399
190,11340.250000000373
191,11682.170223642539
192,11224.390668542019
193,10903.830226651082
194,10562.72482383383
195,10687.97230222583
196,10776.305668967192
197,11164.885192678645
198,11540.611489055169
199,12251.25000000091
200,12587.750000001359
201,12564.500000001406
202,12573.750000001013
203,12596.000000001635
204,12357.250000001499
205,12352.500000000817
206,12267.250000001222
207,12196.750000004102
208,12233.75000001613
209,12908.250000001226
210,12888.000000000584
211,12297.250000000831
212,11698.000000000713
213,11133.500000000471
214,11122.500000000333
215,10985.000000000458
216,10527.50358870105
217,10932.398448690263
218,10716.978184665926
219,10274.585734034892
220,10361.970414624566
221,10864.069391739493
222,11306.104202292825
223,12144.398399567255
224,12224.500000000735
225,12388.7500000006
226,12316.250000000728
227,12344.500000000953
228,12283.000000000637
229,12326.750000001146
230,12365.750000002296
231,12446.750000002468
232,12403.62156839062
233,12938.986319585198
234,12884.000000000828
235,12385.250000000635
236,11844.500000000438
237,11294.000000000335
238,11262.500000000331
239,11168.750000000282
240,10530.750000000731
241,10868.393514565843
242,10782.622158658483
243,10629.971803886281
244,10931.581374143221
245,11461.910148154648
246,11869.45988986031
247,12518.35068016726
248,12976.232236418911
249,13152.34374703714
250,13110.828561868339
251,13130.93035735495
252,12800.229200271007
253,12814.951023262038
254,12649.18083054226
255,12560.413060875864
256,12458.828916316816
257,12972.500000001273
258,13040.750000000648
259,12537.250000000526
260,11972.750000000595
261,11351.250000000415
262,11441.250000000337
263,11265.250000000311
264,10661.582176251572
265,10763.173476670221
266,10587.78330868885
267,10554.974381446946
268,10575.72679935517
269,10963.631344845797
270,11312.340804943322
271,12254.250000000327
272,12679.500000000491
273,12688.250000000626
274,12675.000000002892
275,12684.743719976745
276,12439.00000000217
277,12351.000000005142
278,12100.568006174384
279,12009.250000001271
280,12109.000000000802
281,12644.500000001515
282,12572.750000000487
283,12039.50000000052
284,11552.000000000415
285,11011.750000000517
286,11052.250000000484
287,10981.750000000542
288,10456.500000000406
289,9980.750000000407
290,9610.774457199892
291,9631.985749696625
292,10072.13030853522
293,10109.638781287702
294,9861.665553444422
295,9804.000000000537
296,10461.500000000438
297,10972.750000000366
298,11217.250000000335
299,11354.25000000032
300,11357.250000000473
301,11228.000000000502
302,10997.250000000578
303,10813.750000000511
304,10858.000000000417
305,11589.250000000644
306,11669.000000000713
307,11247.000000000404
308,10667.250000000364
309,10134.500000000557
310,10443.933375342061
311,10370.500000003967
312,9925.000000000868
313,9465.174333030556
314,9552.40413433688
315,9682.63145609648
316,9693.595329766194
317,9848.862076987703
318,9902.289214313792
319,9401.001675229163
320,9656.269151636707
321,9949.750000000282
322,10377.00000000028
323,10542.750000000286
324,10606.000000000317
325,10250.500000000324
326,9936.500000000324
327,9996.75000000029
328,10089.105172758624
329,10814.00000000035
330,11259.250000000424
331,11094.000000000451
332,10806.000000000357
333,10325.750000000478
334,10302.500000000522
335,10256.165192648834
336,9855.08456556078
337,9428.338441552818
338,9559.697903305972
339,9645.502113455783
340,10016.904946600709
341,10326.067061530359
342,11230.414046999926
343,11652.750000001373
344,12129.935079062185
345,12236.000000005608
346,12185.192015909315
347,12404.951354401595
348,12181.335215916857
349,12178.727355805884
350,12153.974494021053
351,12130.004412830345
352,12238.300821832581
353,12763.099850068771
354,12802.935296619324
355,12217.979246524596
356,11586.356893656099
357,11605.794372640954
358,11530.434128346662
359,11015.168394673341
360,10589.103073739092
361,10457.978522862557
362,10345.598677928014
363,10206.9698938373
364,10451.142900762738
365,10882.725311313709
366,11467.862004307846
367,11858.250000000502
368,12127.750000000418
369,12154.000000000633
370,12076.750000000731
371,12216.250000000626
372,11829.50000000077
373,11765.27291507066
374,12023.901315972755
375,12624.80458054667
376,11870.500000000779
377,12602.000000000942
378,12809.000000000473
379,12239.500000000382
380,11619.750000000351
381,10995.750000000407
382,11092.250000000446
383,10890.75000000043
384,10314.525713207542
385,10599.86320887177
386,10411.898698350886
387,10224.921220716105
388,10514.482730083393
389,11069.690415546347
390,11435.34665391304
391,11995.000000000427
392,12500.250000000566
393,12648.000000000526
394,12624.000000000533
395,12737.500000000708
396,12444.000000000693
397,12385.000000000691
398,12131.25000000088
399,12163.500000004038
400,12256.750000000791
401,12843.500000000522
402,12989.000000000411
403,12383.250000000351
404,11715.75000000039
405,11065.25000000071
406,11366.664657344209
407,11062.816026261518
408,10716.079312372212
409,10847.640313340567
410,10428.24378616181
411,10343.833825391379
412,10599.131355485035
413,11218.350587492147
414,10970.409142251676
415,12024.000000000371
416,12466.000000000326
417,12417.750000000815
418,12150.987209526244
419,12890.712385712486
420,12383.176313080947
421,11960.250000003547
422,11973.284989284592
423,12032.309079492898
424,12069.500000000393
425,12695.000000000493
426,12716.500000000648
427,12092.500000000286
428,11435.500000000435
429,11695.965892432849
430,11369.91291577026
431,10926.250000000544
432,10608.27435930187
433,10471.642526390124
434,10313.951149666991
435,10187.757308216067
436,10601.866860768605
437,11325.619483398164
438,11739.988995117852
439,12124.500000000418
440,12414.000000000584
441,12366.00000000054
442,12240.000000000571
443,12160.750000000455
444,11817.75000000056
445,11743.000000001131
446,11564.750000002343
447,11610.584618028019
448,11574.750000002421
449,12109.500000000635
450,12226.750000000366
451,11762.000000000427
452,11366.500000000435
453,10852.000000000424
454,10928.22098222011
455,10855.750000000478
456,10352.500000000624
457,9881.250000000764
458,9876.650263642176
459,9937.978256023203
460,10156.22285726261
461,10216.010075263657
462,10236.43728583618
463,9891.896824122723
464,10509.495882895988
465,11067.644712006148
466,11586.90784404223
467,11651.50000000031
468,11766.250000000467
469,11565.000000000457
470,11425.500000001473
471,11286.987431293432
472,11300.460908872303
473,11916.36034887814
474,12034.485580555805
475,11380.500000125285
476,10923.471136701048
477,10572.201158068301
478,10811.230267067185
479,10682.021567911963
480,10161.651035711371
481,9920.182618406361
482,9853.80990587436
483,9464.226164232396
484,9733.502456658316
485,9874.06611512917
486,9976.45588225143
487,9760.903791104332
488,9812.206359535348
489,10354.816330436212
490,10800.395961991451
491,10928.750000001293
492,11007.000000007074
493,10908.65150772622
494,10733.36827951963
495,11057.953651502185
496,10483.59920386186
497,10989.75000000592
498,11363.500000003663
499,11088.577171701932
500,10759.836435609408
501,10499.87762511345
502,10398.66074008258
503,10371.250000044069
504,9888.020274723922
505,9991.690858430002
506,9982.545435550555
507,9792.044544482302
508,10108.763715016375
509,10285.833949612268
510,11625.027377435918
511,11966.982828327946
512,12258.986656559382
513,12434.986829467793
514,12467.986560534662
515,12660.985324800145
516,12384.985942357089
517,12359.491107349411
518,12339.206749237062
519,12488.149583605818
520,11747.228295284624
521,12455.07533490742
522,12657.750000003503
523,12178.500000001146
524,11569.250000000719
525,10927.63045166902
526,11001.000000000458
527,10853.750000000777
528,10320.000000001457
529,10148.581309253665
530,10056.979889973845
531,10158.382528158729
532,10304.520218906158
533,10635.647402714974
534,11007.500000001566
535,11844.250000002754
536,12217.250000001663
537,12221.000000001124
538,12030.000000001204
539,11882.2500000015
540,11852.228107042323
541,11935.801575770063
542,12078.271114812575
543,12383.173713243783
544,11557.500000000968
545,12114.750000000968
546,12403.500000000966
547,11917.000000000895
548,11232.250000000851
549,10691.250000000824
550,10695.500000000855
551,10591.500000000893
552,10516.439186182064
553,10360.799602874313
554,10138.970934562185
555,9936.279466997015
556,10151.474307180042
557,10245.768933366726
558,10443.447010289772
559,11300.750000001199
560,11677.000000001142
561,11810.250000001533
562,11802.750000002536
563,11930.987388910322
564,11874.98730790678
565,11984.830983158583
566,11745.811582355738
567,11973.992732735765
568,11581.257978370388
569,11956.310780957518
570,12271.000000000427
571,11582.987491077984
572,10976.99081362923
573,10509.75000000257
574,10652.250000000744
575,10630.878021240027
576,10562.80448679255
577,10122.86819970215
578,9993.221384038563
579,9921.967653797405
580,10082.043629755086
581,10365.437091846516
582,10835.095686926057
583,11699.50000000057
584,11955.750000001246
585,12095.50000000091
586,12043.500000001137
587,12198.500000000613
588,11907.750000001111
589,12020.000000000695
590,11864.750000001884
591,11992.250000000842
592,12065.000000002474
593,12467.750000000666
594,12581.500000000464
595,12154.250000000497
596,11566.25000000042
597,11379.28080590756
598,11170.046554468707
599,10913.437937291148
600,10612.343021883655
601,10522.324469749656
602,10345.639707129973
603,10148.691206916577
604,10098.614585287385
605,10448.88589903652
606,11434.250858319763
607,11982.250000002758
608,12243.00000000662
609,12297.250000001784
610,12233.500000007723
611,12288.000000005499
612,11982.000000002854
613,12116.9511123111
614,11989.533652204518
615,11895.477658143285
616,12097.959535404589
617,12233.846321268138
618,12326.000000001672
619,11754.250000001992
620,11235.50000000166
621,10691.750000009943
622,10895.250000002097
623,10870.500000000478
624,10401.108681780514
625,9816.250000000686
626,9563.33038121824
627,9275.423929408984
628,9280.301628366777
629,9400.973423674197
630,9638.355961554924
631,9887.998061975844
632,10370.935706906068
633,10791.255794163193
634,10870.000000000497
635,11002.750000000702
636,10842.750000000497
637,10538.670320632913
638,10401.715033473169
639,10258.277957356595
640,10264.06471177088
641,10692.250000006145
642,11014.000000000526
643,10585.500000000562
644,10175.750000001563
645,9944.639775044623
646,10156.120117080101
647,10168.155839167717
648,9729.41462820989
649,9240.148385679846
650,9374.08292109637
651,9315.66832691063
652,9350.857277872889
653,9343.152982214988
654,9245.808329463163
655,8961.98802865255
656,9066.000000000728
657,9575.250000001888
658,9973.144032191547
659,10325.776460885445
660,10365.194243815362
661,10121.028328233613
662,9863.94610885036
663,9753.750000001713
664,9693.250000001586
665,10150.250000003925
666,10674.500000001948
667,10583.000000000788
668,10270.750000001359
669,9782.00000000187
670,9811.000000005051
671,9718.250000002783
672,9431.942607003006
673,9668.582285617182
674,9282.755101160707
675,9100.15214526103
676,9258.269944427231
677,9846.082806440128
678,10262.991272160227
679,11281.500000000597
680,11762.750000000706
681,11847.000000000957
682,11910.500000001597
683,12157.750000001219
684,11961.0000000015
685,11972.25000000353
686,11804.25000000124
687,11710.25000000086
688,11688.020270136933
689,11978.250000000442
690,12223.750000000335
691,11915.250000000604
692,11508.000000000378
693,11003.500000001213
694,11440.01286904435
695,11156.62731575477
696,10307.500000001488
697,10273.106798522425
698,10139.732994160517
699,10257.977859848868
700,10429.898947573105
701,11043.341745926038
702,11470.91379468784
703,12147.750000000398
704,12311.250000000384
705,12368.00000000043
706,12134.000000000415
707,12052.750000000484
708,11649.250000001333
709,11653.724422524025
710,11820.243104281137
711,11983.773454258402
712,11730.250000001153
713,12214.987758127212
714,12601.000000001337
715,12073.250000000862
716,11524.988772570257
717,11043.482597480712
718,10988.230933642302
719,10541.798663109124
720,10332.813600093701
721,10336.158776066442
722,9744.762541984399
723,9700.955951280193
724,9914.78534500312
725,10273.938293608699
726,10849.427606499265
727,11424.750000000553
728,11757.00000000045
729,12044.000000000515
730,12122.750000000538
731,12421.750000000513
732,12267.750000000551
733,12276.25000000061
734,12085.750000000551
735,12219.250000000577
736,12253.250000001319
737,12696.250000000558
738,12932.500000000407
739,12076.250000000518
740,11531.750000000786
741,10992.000000000473
742,10996.750000000358
743,10815.500000000575
744,10317.992685677496
745,10558.261367810115
746,10509.839883607567
747,10289.47174363467
748,10544.968254138472
749,10963.16642041369
750,11420.889444140461
751,11826.000000000444
752,11978.00000000083
753,12182.500000000677
754,12211.250000000568
755,12218.500000000948
756,11992.750000000522
757,11820.750000000602
758,11932.913421128549
759,11990.221242681595
760,11719.75000000071
761,12190.250000000546
762,12704.000000000475
763,12220.000000000486
764,11600.50000000042
765,11129.657002585453
766,11021.500000000378
767,10962.750000001291
768,10646.00000000073
769,10255.962505449392
770,10010.08289868666
771,10263.542429131532
772,10554.926039876016
773,10978.935330635748
774,11380.388927152646
775,12069.500000000315
776,12361.500000000447
777,12433.000000000591
778,12516.500000000591
779,12697.500000000648
780,12581.500000000719
