,demand
0,5520.0000000085465
1,5706.013574632955
2,5982.99846007843
3,6359.962998462389
4,6340.037525726475
5,6339.171338341064
6,6358.969369158986
7,6091.990892180336
8,5627.027396420072
9,5967.023294285854
10,6379.017669439661
11,6405.021252086659
12,6600.0106010118425
13,6581.012863250989
14,6482.000000006444
15,6643.013998491044
16,6814.00000000527
17,6811.0000000028185
18,6806.000000003237
19,6849.0000000031305
20,6731.000000002557
21,6417.000000001552
22,6280.000000001665
23,5947.000000002419
24,6521.924327029311
25,6892.952333726357
26,6833.9514398477595
27,6712.948476189229
28,6708.961842155513
29,6970.091335124321
30,7419.000000065978
31,8078.0000000019
32,8389.00000000266
33,8703.000000002101
34,8797.000000002003
35,8881.000000002994
36,9097.33382614053
37,9123.23510624545
38,8933.000000002825
39,8918.000000003225
40,9002.000000002454
41,9055.00000000207
42,8863.000000001988
43,8826.000000002814
44,8504.00000000207
45,8014.000000003185
46,7637.00000000367
47,7524.992891889568
48,7893.474284520446
49,8039.832022395329
50,8016.496661969393
51,7944.965350191455
52,8078.966588028184
53,8111.990871131188
54,8564.00894496295
55,9072.000000008822
56,9207.003763567154
57,9409.00172688622
58,9471.00318448042
59,9481.000000010315
60,9533.00000000894
61,9560.000000035796
62,9456.00000000426
63,9540.000000007203
64,9563.00000000901
65,9505.000000006088
66,9246.00000000487
67,9122.000000036303
68,8836.000000007813
69,8337.00000001634
70,7858.00000000455
71,7987.9835191821485
72,8146.289807453028
73,8200.377418362872
74,8114.978515358144
75,8027.98260267387
76,8113.981469295433
77,8314.985680166057
78,8646.002088770625
79,9141.000000001855
80,9193.000000002741
81,9276.000000002476
82,9217.000000001646
83,9189.00000000223
84,9337.000000003727
85,9375.932041969407
86,9274.000000003158
87,9347.000000004919
88,9410.000000002303
89,9387.000000002974
90,9162.000000003041
91,9029.000000002323
92,8733.000000002436
93,8216.000000002385
94,7734.000000004125
95,7458.008388645197
96,8103.925165647901
97,8199.501210647923
98,8102.70491309312
99,8004.985308326377
100,8133.987764813332
101,8112.004757184495
102,8632.013530992508
103,9099.000000008698
104,9111.000000003922
105,9195.000000002648
106,9121.000000001675
107,9079.000000002216
108,9222.00000000204
109,9225.000000002125
110,9120.00000000164
111,9076.000000001683
112,9119.000000002183
113,9091.000000001897
114,8827.000000001402
115,8675.00000000113
116,8376.000000001486
117,7848.00000000132
118,7358.000000001349
119,6979.000000001912
120,6860.24469968749
121,7289.76138015821
122,7400.913232577364
123,7406.4687802200315
124,7418.808130734193
125,7455.032697272588
126,7135.9882295745
127,6971.000000003105
128,7177.000000001435
129,7553.000000001025
130,7809.000000000943
131,7948.000000000795
132,7803.000000000685
133,7711.0000000007185
134,7657.000000000743
135,7667.000000000893
136,7837.000000000953
137,7816.00000000076
138,7710.000000000626
139,7526.000000000721
140,7343.000000000807
141,6930.000000000869
142,6718.000000000862
143,6418.000000001006
144,5994.000000002243
145,6184.010980596258
146,6893.968694105455
147,6795.98055911524
148,6950.555486131338
149,6974.970066366221
150,7189.969594337752
151,7072.982529506262
152,6650.0000000033515
153,7247.000000005587
154,7729.000000003036
155,7926.0000000021855
156,7839.0000000026885
157,7793.000000002952
158,7782.000000003735
159,7882.000000002349
160,8004.000000004281
161,7932.000000002444
162,7943.000000001295
163,7790.000000001407
164,7695.000000001233
165,7324.0000000013115
166,7278.000000001489
167,6986.000000002263
168,7415.980556269514
169,7779.945457894966
170,7695.972043091505
171,7621.976979199751
172,7840.971119653213
173,8213.971747130372
174,8575.000000001884
175,9168.000000001679
176,9364.000000001573
177,9528.000000001946
178,9487.000000002587
179,9445.000000001999
180,9645.00000000186
181,9691.000000002086
182,9564.000000002115
183,9507.000000003387
184,9569.000000002834
185,9505.00000000278
186,9258.000000003918
187,9163.000000001979
188,8899.000000002718
189,8325.000000004124
190,7849.0000000025775
191,8015.987465210631
192,8201.964408818
193,8244.383046903382
194,8102.968536162071
195,7985.967698349588
196,8113.968354579044
197,8242.986874411397
198,8665.000000002205
199,9212.000000003833
200,9275.000000004033
201,9335.000000004822
202,9228.000000006436
203,9134.000000004988
204,9232.000000002787
205,9280.000000002046
206,9181.00000000205
207,9195.00000000271
208,9320.000000006292
209,9367.000000002214
210,9115.000000001537
211,8989.000000001317
212,8717.000000001563
213,8143.000000001073
214,7682.000000000825
215,7283.00000000114
216,7791.699358693167
217,7871.997368611084
218,7755.800582792157
219,7658.924109426836
220,7789.797419955523
221,8071.236313890932
222,8505.000000001346
223,9063.000000001486
224,9228.000000000864
225,9366.000000000955
226,9308.000000001446
227,9315.000000001417
228,9470.000000001504
229,9522.0000000014
230,9456.000000001399
231,9424.000000001199
232,9461.000000001119
233,9460.000000001017
234,9234.000000000764
235,9133.000000001002
236,8799.00000000095
237,8249.000000001039
238,7780.000000001039
239,7397.000000002499
240,7534.610106487622
241,7878.295969855657
242,7748.1293216436825
243,7711.043317903072
244,7789.530008342061
245,8027.738829578391
246,8639.000000002188
247,9225.000000000871
248,9316.00000000088
249,9496.000000000851
250,9446.000000000826
251,9370.000000000937
252,9459.00000000111
253,9516.000000001268
254,9409.000000001277
255,9376.00000000115
256,9439.000000001
257,9502.000000000873
258,9268.00000000078
259,9157.000000000817
260,8870.000000001042
261,8376.000000000904
262,7875.000000000908
263,7455.0000000010195
264,7920.177301383828
265,8043.343416191859
266,7896.9091078834335
267,7788.221158401782
268,7939.3782405600905
269,8353.787893258544
270,8687.000000001597
271,9267.000000001035
272,9415.000000000855
273,9532.0000000011
274,9548.000000001359
275,9500.000000001153
276,9542.000000001024
277,9544.00000000126
278,9374.000000001484
279,9334.000000001359
280,9301.000000001519
281,9252.000000001046
282,8993.000000001091
283,8858.000000000975
284,8572.000000001033
285,8062.000000000827
286,7525.000000000752
287,7155.000000000753
288,6689.000000000699
289,6574.000000000904
290,6975.459463601032
291,7289.323475423961
292,7339.336963256089
293,7365.90266465009
294,7178.716840493986
295,7437.000000001482
296,7743.0000000012815
297,8210.000000001506
298,8526.00000000141
299,8669.000000001332
300,8611.000000001688
301,8551.000000001417
302,8444.00000000217
303,8426.000000003223
304,8455.000000004673
305,8399.00000000324
306,8242.0000000016
307,8028.000000001346
308,7880.000000000939
309,7474.000000001502
310,7227.000000002196
311,6912.000000002226
312,6502.000000001895
313,6377.00000000185
314,6498.34284404469
315,7459.429139265275
316,7488.41721775539
317,7502.396703153195
318,7642.903760389315
319,7008.000000028996
320,7239.000000003788
321,7787.000000003595
322,8199.000000023272
323,8323.000000003023
324,8226.000000001704
325,8186.000000001763
326,8195.000000001473
327,8299.000000002232
328,8432.000000002661
329,8498.000000002023
330,8471.00000000189
331,8330.000000001628
332,8221.000000001532
333,7841.0000000013
334,7744.000000001348
