,demand
0,5141.000000000024
1,5043.000000000027
2,4768.000000000025
3,4510.000000000029
4,4445.000000000043
5,4516.000000000041
6,4572.000000000033
7,4728.000000000033
8,5134.000000000027
9,5551.000000000039
10,5899.000000000041
11,5945.000000000041
12,5670.000000000053
13,5123.000000000102
14,5121.000000000054
15,5173.000000000031
16,5502.000000000023
17,6104.000000000015
18,6199.000000000014
19,6160.000000000016
20,6013.00000000002
21,5693.00000000003
22,5391.000000000035
23,4939.000000000029
24,4513.000000000028
25,4447.00000000003
26,4245.000000000035
27,4094.0000000000546
28,4157.000000000053
29,4476.000000000028
30,4878.000000000028
31,5335.000000000028
32,5890.000000000023
33,6115.000000000026
34,6279.000000000026
35,6357.000000000029
36,6333.00000000003
37,6137.000000000035
38,6212.000000000032
39,6169.000000000031
40,6435.000000000023
41,6921.000000000018
42,7017.000000000018
43,6915.000000000019
44,6689.000000000023
45,6205.000000000031
46,5894.000000000032
47,5419.00000000003
48,4901.000000000029
49,4842.000000000028
50,4659.000000000027
51,4475.0000000000255
52,4476.000000000026
53,4806.000000000026
54,5354.000000000026
55,5969.000000000022
56,6575.000000000023
57,6774.000000000026
58,6808.000000000031
59,6827.000000000034
60,6781.000000000035
61,6499.000000000033
62,6565.000000000034
63,6507.000000000028
64,6854.000000000023
65,7424.000000000019
66,7447.00000000002
67,7368.00000000002
68,6981.000000000027
69,6431.000000000032
70,6044.000000000029
71,5438.000000000028
72,4908.000000000028
73,4789.000000000044
74,4660.000000000065
75,4574.000000000063
76,4664.000000000047
77,5088.000000000027
78,5640.000000000026
79,6327.000000000019
80,7089.000000000019
81,7460.000000000019
82,7625.0000000000255
83,7741.000000000026
84,7666.000000000027
85,7316.000000000033
86,7378.000000000035
87,7205.000000000034
88,7424.000000000031
89,7868.000000000022
90,7884.000000000023
91,7710.000000000023
92,7261.000000000028
93,6673.0000000000355
94,6324.000000000037
95,5736.0000000000355
96,5246.00000000004
97,5175.000000000043
98,5016.000000000044
99,4892.000000000042
100,4957.000000000037
101,5374.000000000026
102,5996.000000000025
103,6568.000000000023
104,7046.0000000000255
105,7128.000000000029
106,7096.000000000029
107,6990.00000000003
108,6870.000000000029
109,6684.000000000032
110,6784.000000000035
111,6755.000000000032
112,7163.000000000023
113,7836.000000000016
114,7880.000000000016
115,7745.000000000018
