,demand
0,4633.343750873473
1,4604.595518429259
2,4476.6226083465945
3,4305.977937036222
4,4216.266850983194
5,4260.107539150348
6,4349.8153681095555
7,4412.900095396464
8,4516.891962891903
9,4509.789916436893
10,4628.477742548848
11,4744.268215377566
12,4747.01829908615
13,4647.613828318798
14,4552.037291815726
15,4610.6623637317625
16,4653.264529848112
17,4607.750000000477
18,4587.250000000707
19,4585.750000002026
20,4622.373942199227
21,4484.697938005514
22,4229.868104012182
23,4038.8759275333928
24,3715.0461243305167
25,3539.181586089465
26,3421.3600647985722
27,3362.7419690841616
28,3518.38120272467
29,3936.173208851684
30,4449.0520733078765
31,4824.2500000008495
32,5033.000000000168
33,5250.000000000098
34,5384.50000000009
35,5498.250000000099
36,5573.750000000066
37,5508.500000000066
38,5487.750000000073
39,5529.000000000057
40,5662.500000000063
41,5648.500000000055
42,5575.000000000071
43,5497.7500000000755
44,5317.750000000121
45,5147.000000000718
46,5087.964856873187
47,4887.974912080287
48,4683.974670894433
49,4399.6390768404535
50,4201.559505089787
51,4245.771910342022
52,4312.615126219022
53,4769.608408227135
54,5298.578380805434
55,5587.388701235666
56,5670.135606832532
57,5625.092201672719
58,5562.951195234329
59,5508.061250332715
60,5632.387206386413
61,5698.074722889211
62,5787.285200846672
63,6004.396178671719
64,6214.028948104208
65,6145.976157968703
66,6190.946979029409
67,6043.322988821842
68,5861.918095177625
69,5732.659827661108
70,5557.151483817187
71,5330.638153809459
72,5072.297277014656
73,4935.835826257062
74,4832.196928028407
75,4825.968681769033
76,4864.562594888381
77,5181.800999382863
78,5729.20663788309
79,5776.441814073897
80,5790.378726737779
81,5807.931677289612
82,5738.299068374035
83,5690.8153246660795
84,5629.123733509485
85,5547.668077747925
86,5573.75000000054
87,5679.000000000999
88,5894.25000000025
89,5954.500000000555
90,5881.0869896398835
91,5835.1087943932935
92,5720.5153507207315
93,5520.951813359941
94,5429.410018090425
95,5345.728670348545
96,5157.01154840257
97,5044.847239837395
98,4861.917684616151
99,4827.1316758560015
100,4934.641203895485
101,5179.798769564438
102,5654.523126022487
103,5698.715126067677
104,5738.662349426866
105,5700.565776836824
106,5614.000000000846
107,5657.250000000328
108,5690.0000000001455
109,5630.000000000145
110,5613.250000000098
111,5675.750000000096
112,5890.0000000000755
113,5900.75000000006
114,5784.250000000051
115,5651.500000000053
116,5434.250000000058
117,5273.250000000127
118,5061.500000001083
119,4904.055321381957
120,4525.40559046171
121,4292.500000001149
122,4099.6250878306755
123,4064.511281327938
124,4139.036870799765
125,4415.514225925637
126,4652.544525026466
127,4865.184664449778
128,4996.338367279309
129,5178.250000000175
130,5312.750000000101
131,5386.75000000008
132,5363.5000000001055
133,5159.7500000001
134,5040.2500000000755
135,5055.750000000073
136,5292.750000000077
137,5387.750000000071
138,5312.50000000004
139,5237.500000000064
140,5094.5000000000655
141,4903.500000000077
142,4665.0000000002265
143,4424.25000000125
