,demand
0,262.2534519945739
1,231.5026218988159
2,0.625292848104866
3,0.5831346601479371
4,0.6048561326315928
5,0.8017391013872623
6,5.042460224229488
7,0.804217908327555
8,0.7995027622254891
9,0.8080126700613135
10,243.7573447879942
11,256.50679456687766
12,249.75652685982968
13,246.50622447847954
14,235.7556344327792
15,260.75606453610783
16,9.2186346537196
17,0.22470164082696126
18,0.21473551085018447
19,0.19817408126492425
20,0.17819194798443408
21,0.15440662792329357
22,0.11495375693407245
23,1.1171884905092409
24,1.4055794088688336
25,1.5439726929985913
26,2.117664068970812
27,1164.2200511004448
28,1290.4448974518407
29,1372.2887256878573
30,1487.2276911127647
31,1517.0000000000136
32,1581.0000000000152
33,1626.0000000000123
34,1642.0000000000127
35,1636.0000000000132
36,1651.000000000012
37,1645.0000000000134
38,1648.0000000000116
39,1701.0000000000136
40,1719.0000000000168
41,1681.000000000018
42,1627.000000000011
43,1569.0000000000105
44,1479.0000000000125
45,1346.0000000000134
46,1219.0000000000089
47,1141.0000000000082
48,1078.0000000000098
49,1039.0000000000168
50,1022.0000000000209
51,1031.0000000000214
52,1092.000000000016
53,1285.000000000014
54,1503.0000000000202
55,1651.00000000002
56,1702.0000000000184
57,1713.0000000000175
58,1725.0000000000164
59,1715.0000000000198
60,1731.0000000000184
61,1725.0000000000205
62,1728.0000000000193
63,1767.0000000000177
64,1770.0000000000161
65,1742.0000000000196
66,1691.0000000000214
67,1628.00000000002
68,1531.0000000000168
69,1374.0000000000161
70,1232.0000000000168
71,1144.0000000000173
72,1097.00000000002
73,1068.0000000000368
74,1064.0000000000466
75,1074.0000000000543
76,1142.0000000000196
77,1350.0000000000202
78,1554.0000000000205
79,1691.000000000018
80,1739.0000000000107
81,1747.0000000000125
82,1746.0000000000134
83,1727.000000000016
84,1738.00000000002
85,1733.0000000000168
86,1728.0000000000152
87,1768.0000000000148
88,1763.0000000000211
89,1737.0000000000196
90,1674.0000000000166
91,1605.0000000000155
92,1511.0000000000146
93,1362.0000000000243
94,1279.3834810930111
95,1179.479471852808
96,1087.0000000001844
97,1063.0000000000741
98,1085.6322443777392
99,1079.0000000005787
100,1140.0000000000543
101,1350.0000000000239
102,1546.000000000025
103,1680.0000000000173
104,1722.0000000000139
105,1728.0000000000139
106,1737.0000000000134
107,1728.0000000000125
108,1742.0000000000116
109,1730.0000000000114
110,1719.0000000000116
111,1755.0000000000123
112,1772.0000000000127
113,1720.0000000000143
114,1662.0000000000143
115,1583.000000000016
116,1489.0000000000157
117,1362.00000000002
118,1248.0000000000127
119,1162.0000000000125
120,1101.0000000000127
121,1068.0000000000168
122,1053.0000000000186
123,1050.000000000021
124,1072.0000000000293
125,1140.000000000033
126,1224.0000000000348
127,1310.0000000000284
128,1383.00000000003
129,1458.0000000000193
130,1504.000000000015
131,1522.0000000000168
132,1517.0000000000157
133,1497.000000000016
134,1492.0000000000173
135,1568.000000000023
136,1611.0000000000193
137,1574.0000000000173
138,1534.0000000000143
139,1486.000000000012
140,1420.000000000012
141,1323.000000000012
142,1218.0000000000077
143,1141.0000000000098
144,1091.0000000000111
145,1056.0000000000132
146,1024.0000000000466
147,1026.0000000000466
148,1046.0000000000143
149,1103.000000000014
150,1173.0000000000157
151,90147.66021135684
152,1307.0000000000155
153,1390.0000000000173
154,1427.0000000000225
155,1430.0000000000234
156,1428.000000000022
157,1424.0000000000236
158,1421.0000000000225
159,1500.000000000019
160,1611.000000000019
161,1607.0000000000211
162,1587.0000000000186
163,1550.0000000000218
164,1468.0000000000202
165,1350.0000000000184
166,1227.0000000000155
167,1150.0000000000168
168,1094.0000000000302
169,1072.0000000000389
170,1060.0000000000573
171,1077.000000000021
172,1140.0000000000216
173,1380.0000000000164
174,1608.0000000000136
175,1753.000000000013
176,1797.0000000000166
177,1794.0000000000157
178,1772.0000000000139
179,1734.0000000000143
180,1737.0000000000134
181,1718.0000000000118
182,1712.0000000000123
183,1749.0000000000123
184,1808.0000000000146
185,1780.0000000000146
186,1717.0000000000118
187,1661.0000000000114
188,1561.0000000000132
189,1412.0000000000116
190,1283.0000000000346
191,1198.0000000000423
192,1146.0000000000289
193,1212.2830754645997
194,1258.9421776030306
195,1191.960824843304
196,1170.0000000000352
197,1417.9817598617226
198,1752.9619401259877
199,1756.9809681150211
200,1801.0000000000805
201,1802.0000000001523
202,1799.0000000000714
203,1772.0000000000696
204,1782.000000000057
205,1771.0000000000493
206,1762.000000000142
207,1789.8770676947888
208,1843.9812363081048
209,1783.0000000005539
210,1728.766092244271
211,1673.00000000003
212,1566.0000000000223
213,1398.000000000016
214,1262.0000000000182
215,1185.0000000000177
216,1138.000000000029
217,1173.9645840011337
218,1249.9439926441478
219,1410.9063644927444
220,1547.8955319910094
221,1705.9287048811723
222,1970.9276255325879
223,2031.9648328884189
224,1963.1007323766173
225,1931.747278799892
226,1839.0000000012624
227,1840.0329038153109
228,1820.0000000013486
229,1812.687188835904
230,1799.000000001887
231,1863.0858967835738
232,1867.0000000006573
233,1835.0000000006858
234,1780.0000000002503
235,1708.0000000000316
236,1597.000000000019
237,1441.0000000000155
238,1309.0000000000116
239,1236.0000000000125
240,1185.000000000245
241,1227.8393710556766
242,1284.0706901104465
243,1384.9334305761254
244,1569.9005568826547
245,1643.9476078176388
246,1827.962694046264
247,1834.9814448140014
248,1846.0000000001164
249,1852.0000000000696
250,1865.0000000000368
251,1848.000000000033
252,1857.0000000000334
253,1849.0000000000791
254,1844.0000000000493
255,1860.0000000001044
256,1877.0000000000791
257,1877.000000000033
258,1770.0000000000307
259,1707.0000000000161
260,1607.0000000000177
261,1446.0000000000173
262,1315.0000000000132
263,1238.0000000000218
264,1305.473507285035
265,1221.6499353946983
266,1232.8894380774939
267,1215.289492053165
268,1413.4415395802678
269,1585.0177924764066
270,1852.065683576582
271,1832.0000000007733
272,1914.4086150572766
273,1869.0000000005844
274,1863.0000000002044
275,1827.000000000089
276,1834.0000000000543
277,1811.0000000000728
278,1790.000000000123
279,1798.0000000001232
280,1842.0000000001653
281,1800.0000000002601
282,1750.0000000001344
283,1676.0000000000489
284,1572.0000000000266
285,1437.0000000000232
286,1318.0000000000166
287,1237.000000000022
288,1166.0000000000157
289,1135.0000000000193
290,1121.000000000022
291,1125.0000000000307
292,1151.0000000000969
293,1283.9661759471003
294,1455.9950133040045
295,1438.65838914039
296,1529.0000000000512
297,1586.00000000005
298,1594.0000000000528
299,1575.00000000005
300,1544.0000000000593
301,1528.0000000000598
302,1519.0000000000855
303,1562.0000000003317
304,1795.9585517569776
305,1674.000000000083
306,1631.0000000000864
307,1579.000000000134
308,1507.000000000086
309,1399.0000000000732
310,1270.0000000000193
311,1194.0000000000173
312,1143.0000000001373
313,1113.0000000000814
314,1104.0000000001437
315,1188.9612563790156
316,1192.962049588453
317,1321.9515040679005
318,1264.0000000001212
319,1338.0000000000798
320,1431.000000000083
321,1531.000000000035
322,1565.0000000000305
323,1577.0000000000216
324,1565.0000000000243
325,1549.000000000024
326,1545.000000000024
327,1601.0000000000186
328,1700.0000000000227
329,1700.0000000000225
330,1675.000000000022
331,1620.000000000027
332,1536.0000000000261
333,1420.00000000002
334,1295.0000000000155
335,1192.0000000000123
336,1159.9749574775983
337,1425.896965336604
338,1379.9101755654972
339,1230.9460636320246
340,1270.9561906861127
341,1481.0000000018642
342,1782.9628208391005
343,1881.2100839858292
344,1918.0000000001417
345,1932.0000000000825
346,1913.0000000000384
347,1850.0000000000307
348,1860.0000000000307
349,1847.0000000000362
350,1839.0000000000377
351,1851.0000000000416
352,1909.0000000000302
353,1881.000000000036
354,1828.0000000000375
355,1762.0000000000214
356,1653.000000000021
357,1499.000000000029
358,1366.000000000035
359,1273.000000000029
360,1232.0000000000393
361,1211.000000000051
362,1208.0000000001055
363,1214.0000000001075
364,1276.0000000011369
365,1527.9847326215204
366,1735.0000000000546
367,1877.0000000001453
368,1916.000000000047
369,1895.0000000000532
370,1871.0000000000366
371,1832.000000000033
372,1835.0000000000327
373,1809.00000000003
374,1813.0000000000334
375,1833.0000000000377
376,1903.0000000000334
377,1890.000000000036
378,1835.0000000000266
379,1768.000000000018
380,1661.0000000000166
381,1503.0000000000155
382,1376.0000000000127
383,1285.000000000014
384,1240.0000000000555
385,1262.964775097078
386,1237.9737488325907
387,1219.000000000143
388,1293.0000000000607
389,1520.000000000035
390,1733.0000000000366
391,1868.0000000000257
392,1910.0000000000402
393,1905.000000000018
394,1897.0000000000186
395,1868.0000000000186
396,1878.0000000000157
397,1861.0000000000157
398,1859.0000000000189
399,1868.00000000002
400,1909.0000000000216
401,1876.0000000000168
402,1828.000000000014
403,1771.000000000008
404,1673.0000000000073
405,1516.0000000000057
406,1370.0000000000039
407,1277.0000000000111
408,1221.000000000005
409,1190.000000000007
410,1177.0000000000066
411,1188.0000000000107
412,1260.000000000013
413,1494.0000000000275
414,1712.0000000000239
415,1835.0000000000293
416,1866.0000000000211
417,1856.00000000002
418,1837.000000000021
419,1798.0000000000161
420,1808.0000000000161
421,1795.000000000016
422,1782.0000000000205
423,1793.0000000000318
424,1843.0000000000284
425,1815.000000000028
426,1762.0000000000423
427,1702.0000000000175
428,1601.0000000000134
429,1452.0000000000082
430,1312.0000000000066
431,1227.0000000000102
432,1183.0000000000937
433,1180.97733243703
434,1195.9739663640883
435,1324.9416331728676
436,1368.9468759284227
437,1472.0000000000653
438,1688.000000000035
439,1821.0000000000675
440,1860.0000000000703
441,1860.0000000000673
442,1851.0000000000653
443,1818.0000000000605
444,1822.0000000000348
445,1798.0000000000227
446,1763.0000000000325
447,1762.0000000001112
448,1838.000000000142
449,1814.0000000000593
450,1748.0000000000434
451,1684.0000000000089
452,1593.000000000007
453,1457.000000000007
454,1339.0000000000073
455,1263.0000000000077
456,1213.0000000000084
457,1178.0000000000061
458,1165.0000000000152
459,1167.0000000000134
460,1191.0000000000161
461,1274.0000000000132
462,1368.0000000000086
463,1447.0000000000073
464,1535.0000000000082
465,1596.0000000000073
466,1607.0000000000064
467,1596.0000000000064
468,1577.0000000000061
469,1546.0000000000061
470,1519.0000000000077
471,1557.0000000000075
472,1667.0000000000082
473,1663.000000000007
474,1623.000000000007
475,1562.0000000000057
476,1486.000000000006
477,1378.000000000005
478,1277.000000000004
479,1201.0000000000036
480,1147.0000000000075
481,1125.0000000000275
482,1117.0000000000316
483,1115.0000000000418
484,1136.0000000000587
485,1240.9712882484566
486,1270.000000000027
487,1330.0000000000157
488,1422.0000000000152
489,1491.0000000000075
490,1519.0000000000105
491,1518.000000000011
492,1504.0000000000095
493,1490.0000000000077
494,1482.000000000008
495,1523.0000000000089
496,1655.0000000000095
497,1668.0000000000086
498,1643.0000000000075
499,1590.000000000007
500,1511.0000000000064
501,1386.0000000000061
