,demand
0,807.1951821801601
1,745.4496950463872
2,615.000000000021
3,595.0000000000196
4,599.0000000000208
5,613.0000000000524
6,628.0000000000684
7,640.0000000000564
8,640.0000000000996
9,684.0000000006866
10,938.6797095549709
11,973.4284902448469
12,984.6735524228036
13,995.8160695001488
14,991.7452050423271
15,1066.8043961769547
16,840.0000000013077
17,843.0000000002968
18,833.0000000004266
19,817.000000000318
20,795.0000000002334
21,735.0000000001304
22,669.0000000000781
23,614.0000000001212
24,595.8949172297442
25,565.8809442756481
26,552.1017481233179
27,557.0000000000409
28,600.0000000000474
29,700.0000000000354
30,827.0000000000231
31,917.0000000000324
32,961.000000000033
33,992.0000000000247
34,997.0000000000257
35,973.0000000000267
36,992.0000000000248
37,993.0000000000276
38,1001.0000000000246
39,1055.0000000000289
40,1055.0000000000355
41,1042.000000000038
42,1005.0000000000235
43,969.0000000000235
44,915.0000000000284
45,828.000000000029
46,751.0000000000176
47,681.0000000000165
48,644.0000000000202
49,621.000000000033
50,613.0000000000409
51,619.0000000000412
52,661.0000000000331
53,764.0000000000301
54,904.00000000004
55,1022.0000000000407
56,1063.0000000000346
57,1081.000000000035
58,1090.0000000000334
59,1069.0000000000416
60,1087.00000000004
61,1083.0000000000462
62,1083.0000000000498
63,1120.000000000042
64,1099.0000000000364
65,1076.0000000000443
66,1034.0000000000484
67,993.0000000000445
68,938.0000000000356
69,853.0000000000343
70,766.0000000000372
71,695.0000000000368
72,648.0000000000473
73,637.0000000000642
74,628.0000000000825
75,637.0000000000803
76,678.0000000000397
77,780.0000000000433
78,920.0000000000389
79,1047.0000000000352
80,1098.0000000000243
81,1107.0000000000223
82,1099.0000000000268
83,1071.0000000000289
84,1089.0000000000312
85,1095.0000000000298
86,1099.0000000000277
87,1141.0000000000387
88,1113.000000000037
89,1092.0000000000327
90,1048.0000000000282
91,1011.0000000000279
92,957.0000000000257
93,864.0000000000396
94,785.0000000000688
95,708.0000000000985
96,659.0000000001396
97,640.000000000087
98,632.0000000001028
99,646.000000000091
100,681.0000000000665
101,788.000000000038
102,920.0000000000392
103,1036.0000000000293
104,1078.0000000000239
105,1091.0000000000243
106,1091.0000000000243
107,1063.0000000000232
108,1091.0000000000216
109,1088.0000000000216
110,1102.0000000000227
111,1135.0000000000234
112,1131.0000000000234
113,1116.000000000025
114,1042.000000000024
115,998.0000000000267
116,935.0000000000252
117,851.00000000003
118,777.0000000000215
119,704.0000000000229
120,654.0000000000238
121,627.0000000000302
122,613.000000000032
123,613.0000000000335
124,638.000000000042
125,678.000000000045
126,745.0000000000418
127,806.0000000000362
128,844.0000000000388
129,893.0000000000283
130,918.0000000000234
131,924.0000000000257
132,923.0000000000247
133,919.000000000025
134,920.0000000000265
135,966.0000000000335
136,1007.0000000000304
137,990.000000000029
138,954.0000000000256
139,942.0000000000217
140,901.0000000000216
141,820.000000000022
142,748.0000000000158
143,685.0000000000186
144,642.0000000000216
145,622.0000000000256
146,608.0000000000597
147,612.0000000000575
148,637.0000000000258
149,674.0000000000261
150,720.0000000000296
151,761.0000000000874
152,805.0000000000299
153,858.0000000000346
154,879.0000000000437
155,875.0000000000463
156,870.0000000000448
157,868.0000000000497
158,870.0000000000489
159,934.0000000000405
160,985.0000000000396
161,976.0000000000425
162,963.0000000000367
163,939.0000000000435
164,892.0000000000399
165,814.0000000000375
