,demand
0,16999.301065877236
1,16762.00000001657
2,16599.858626225072
3,16227.40482123473
4,16251.83455560699
5,16325.782033650172
6,16663.90284390313
7,16959.712416597955
8,17297.384630723485
9,17548.500400105975
10,17813.617046574742
11,18131.91588259745
12,18285.253740488675
13,18408.00000000372
14,18453.00000000468
15,18638.000000005057
16,18820.000000005308
17,18723.00000000737
18,18550.00000000509
19,18317.00000000945
20,18121.000000002954
21,17774.000000002743
22,17208.237068061713
23,16740.063414054697
24,16311.801887186404
25,16009.801837958743
26,15904.808016877185
27,15932.799097999326
28,16130.293721179023
29,16524.598665603116
30,17890.000000001888
31,19451.000000003267
32,20062.182684344087
33,20099.989119601134
34,20416.26469394285
35,20454.72229079497
36,20484.58059507854
37,20498.09475587799
38,20199.973122668365
39,20480.005980146074
40,20719.530310620543
41,20669.255475574362
42,20339.31906059566
43,20119.000000002656
44,19746.00000000449
45,19355.000000008375
46,18504.260531119682
47,17875.000000004715
48,17288.451257089928
49,16983.6785109801
50,16945.49637826436
51,16987.566332064813
52,17096.639929114637
53,17543.111532553903
54,18860.828094748827
55,20429.00000000731
56,20925.000000005428
57,20865.000000004442
58,20939.000000003645
59,20870.000000002237
60,20777.000000002085
61,20744.000000001874
62,20982.000000001346
63,21167.000000001473
64,21342.000000002583
65,21219.00000000167
66,20855.000000001495
67,20614.00000000132
68,20192.00000000198
69,19765.00000000199
70,19062.00000000254
71,18237.000000002557
72,17576.00000000352
73,17055.00000000313
74,16928.000000002427
75,16906.000000002638
76,17002.000000009964
77,17471.000000027572
78,18901.0000000032
79,20513.00000000185
80,20985.000000004537
81,20904.84042490087
82,20650.52210920847
83,20507.000000013337
84,20554.00000000296
85,20617.34681778113
86,20693.959107199174
87,20870.00000002356
88,21002.00000000556
89,20730.00000000321
90,20503.000000002696
91,20131.000000003478
92,19733.00000000272
93,19362.000000010274
94,18784.7126888623
95,17759.000000005668
96,17172.238287671
97,16950.74087288167
98,16798.13648051613
99,16880.46658048698
100,17005.551047635545
101,17307.000000007894
102,18954.461644112704
103,20476.000000002565
104,21174.040527618083
105,21144.843522252715
106,21171.000000014017
107,20872.580016742144
108,20751.627940839135
109,20787.14687726281
110,20781.000000007007
111,20999.00000000391
112,21247.0000000295
113,21112.000000013577
114,20951.000000002623
115,20688.000000004908
116,20304.000000006843
117,19739.00000000308
118,19235.00000000207
119,18651.00000000726
120,18150.00000000167
121,17842.409321959596
122,17565.621772027
123,17440.00000000244
124,17481.000000001914
125,17517.00000001699
126,17996.267506123364
127,18417.3224701777
128,19174.00000000511
129,19730.75403067656
130,20133.000000006166
131,20233.000000003438
132,20121.000000002943
133,20068.0000000035
134,19984.00000000261
135,20217.000000007465
136,20972.00000000948
137,21216.67989313052
138,21064.000000005693
139,20772.000000102475
140,20259.000000005643
141,19754.000000013373
142,19504.750025231606
143,19092.715466773603
144,18618.00000005973
145,18370.968783972152
146,18292.622243078662
147,18179.416655563648
148,18249.174268351857
149,18474.86952581044
150,18658.32791051383
151,19945.862050188844
152,19554.172668746178
153,19903.258670774103
154,20367.000000002634
155,20414.000000005806
156,20343.000000004387
157,20401.000000004253
158,20318.64725009413
159,20540.000000005246
160,20920.000000002314
161,20826.000000029962
162,20721.000000005566
163,20485.000000012024
164,20083.000000004915
165,19598.000000002077
166,19092.000000003824
167,18091.000000024556
168,17814.96709381327
169,17607.968674929496
170,17460.96859644747
171,17528.969017157222
172,17622.427302577245
173,18360.680634978275
174,20011.71937860288
175,21132.000000035783
176,21829.000000017408
177,21475.000000040614
178,21264.00000000871
179,21001.000000006537
180,20878.00000000669
181,20726.000000010354
182,20896.334839406605
183,21053.00000002046
184,21435.00000001017
185,21458.33168207149
186,21166.000000008782
187,20898.000000008124
188,20588.000000004744
189,20101.000000003187
190,19435.000000003318
191,18537.000000028263
192,17975.000000003634
193,17652.000000003296
194,17478.000000004256
195,17556.000000008105
196,17789.00000000319
197,18482.00000000285
198,19846.000000004482
199,21325.000000004453
200,21793.000000003074
201,21674.000000029868
202,21629.000000006734
203,21489.000000001415
204,21254.000000003467
205,21214.000000003973
206,21218.000000002623
207,21517.000000002994
208,21868.00000000189
209,21789.000000004606
210,21618.000000012024
211,21354.549696756127
212,21051.000000006803
213,20822.844944609376
214,19887.00000000236
215,19219.000000002365
216,18459.000000003587
217,18158.000000005253
218,17982.00000000998
219,17994.540069257033
220,18168.00000000319
221,18630.000000013057
222,20169.00000099956
223,21734.56281754204
224,22129.00000006476
225,22054.696601504103
226,21929.000000097858
227,21574.000000051834
228,21387.000000015953
229,21247.069544490536
230,21306.182664231375
231,21488.000000004773
232,21774.000000004195
233,21702.000000008866
234,21524.71951580222
235,21260.394457584916
236,20772.000000023214
237,20278.00000000589
238,19551.000000217246
239,18724.000000002874
240,18046.000000047894
241,17600.612890957433
242,17319.80167312609
243,17393.742618762568
244,17498.90554077151
245,17914.000000007243
246,19240.302963791368
247,20738.11837139302
248,21336.000000011067
249,21274.00000234942
250,21155.00000008078
251,21101.000000007985
252,20902.000000007592
253,20851.00000000535
254,21002.000000007287
255,21070.924040275586
256,21355.65084377834
257,21198.000667475873
258,20967.000000184857
259,20771.000000002776
260,20491.000000002725
261,20068.000000002332
262,19313.00000000132
263,18629.000000002263
264,17922.60050500565
265,17573.557551482183
266,17451.3622564758
267,17461.650638685893
268,17424.921101352946
269,18007.081182308222
270,19403.219021847784
271,21172.38196352745
272,21628.000000004988
273,21549.240685493834
274,21435.000000011627
275,21381.696141600507
276,21081.00000000287
277,20902.000000002972
278,20871.000000001968
279,20895.000000002365
280,21070.00000000835
281,21078.00000006224
282,20975.000000007607
283,20659.000000005624
284,20033.000000003503
285,19459.00000000257
286,18958.00000000332
287,18451.00000000408
288,17952.631822436375
289,17592.666823538726
290,17235.868605471238
291,17150.962947654247
292,17033.00000009707
293,17281.000000014024
294,17696.302574943522
295,18368.000000022945
296,19020.000000070188
297,19754.000000003554
298,20228.00000000256
299,20333.000000005104
300,20305.408333515636
301,20127.000000005046
302,19998.964482252915
303,20075.000000003165
304,20477.000000015898
305,20673.934037068768
306,20552.000000006763
307,20143.000000005235
308,19568.000000002015
309,19057.000000002605
310,18623.000000003867
311,18101.000000008607
312,17620.00000000874
313,17372.000000003325
314,17205.00000000392
315,17210.00000000682
316,17180.961689852345
317,17238.00000000792
318,17444.00000001316
319,17825.000000007458
320,18310.000000004206
321,18925.000000002732
322,19415.000000003864
323,19699.000000015123
324,19746.000000002525
325,19767.00000000438
326,20000.635530948923
327,20169.10794632612
328,20428.657600894887
329,20412.000000001735
330,20247.000000002237
331,20024.00000001419
332,19904.00000000222
333,19544.000000003387
334,19057.000000002863
335,18518.000000010245
336,18147.000000004067
337,17794.000000004242
338,17850.000000004857
339,17848.000000003896
340,18087.000000003376
341,18629.000000004264
342,19987.00000000397
343,21694.000000002896
344,22190.000000003027
345,22065.000000003325
346,21927.000000002918
347,21868.000000005144
348,21492.00000000821
349,21370.0000000195
350,21324.000000009488
351,21605.000000022974
352,21773.000000010445
353,21674.00000000749
354,21296.000000025342
355,20996.241389736606
356,20577.00000000853
357,20058.000000025633
358,19343.151314537972
359,18618.125426633338
360,18127.4043236787
361,17591.558394947064
362,17572.6178102874
363,17467.032932042403
364,17469.952144714156
365,17936.892788055575
366,19275.000000006312
367,20997.000000002932
368,21234.00000000527
369,21107.90478242086
370,21002.65424743553
371,20998.73537379829
372,20670.00000001628
373,20766.502232811217
374,20599.000000003263
375,20611.000000007123
376,20989.26136782229
377,20783.539410067908
378,20848.490547758724
379,20426.00000000665
380,20119.00000000821
381,19606.00000000698
382,18966.00000000372
383,18092.00000000516
384,17420.00000000311
385,16965.00000000238
386,16936.579212166558
387,16930.538490686267
388,17108.38743122022
389,17596.34415699906
390,18973.00000000545
391,20894.00000000682
392,21179.778884482635
393,20969.67257559988
394,20905.00000000696
395,21034.139051597842
396,20961.668777330382
397,20382.00000000197
398,20510.000000014523
399,20683.000000003616
400,21154.00000000212
401,21242.00000000278
402,21010.000000004704
403,20676.000000006832
404,20327.000000001914
405,19879.00000000319
406,19232.00000000303
407,18509.000000004155
408,17828.0000000028
409,17571.000000003354
410,17432.000000004216
411,17427.22206893386
412,17582.393788180107
413,18171.402319069002
414,19662.000000004256
415,21460.516742403535
416,21899.000000019387
417,21695.00364199434
418,21590.00000005166
419,21472.000000087486
420,21367.545988344384
421,21344.657628069654
422,21344.00352906008
423,21433.000000005915
424,21783.00000000793
425,21772.707353939084
426,21441.000000018485
427,21270.00000001088
428,21035.0000000129
429,20320.000000005828
430,19602.00000001026
431,18763.00000000397
432,18214.034705985036
433,17762.00000008387
434,17668.818841766293
435,17576.80415051318
436,17720.42610967807
437,18485.684557364013
438,19884.487370316983
439,21493.00000009511
440,22148.158628191908
441,21992.030559566618
442,21832.073667158416
443,21549.88484560305
444,21484.000000006305
445,21548.83292400561
446,21525.7540894246
447,21754.285531763093
448,21969.98140255469
449,21620.717454239868
450,21431.402379882402
451,21059.00000000453
452,20501.703472792422
453,19847.000000011452
454,19285.80749452757
455,18679.196016583825
456,18130.00000000381
457,17743.000000002918
458,17533.00000000761
459,17434.000000003518
460,17524.000000006392
461,17695.000000004227
462,17961.00000000246
463,18507.00000000251
464,19371.0000000022
465,19881.00000000263
466,20338.000000003092
467,20348.00000000332
468,20277.000000003995
469,20185.000000003256
470,20079.00000000337
471,20241.000000003143
472,20653.000000003667
473,20856.000000003307
474,20843.000000003325
475,20463.000000003525
476,20048.000000002907
477,19569.00000000275
478,19127.000000002627
479,18718.00000000275
480,18297.000000002467
481,17896.000000002612
482,17424.00000000856
483,17258.00000014303
484,17257.000000008004
485,17419.00000001394
486,17887.677519954923
487,18254.000000005788
488,18887.000000005166
489,19458.00000000262
490,19787.000000002412
491,19823.000000002634
492,19764.000000002896
493,19547.000000005803
494,19634.00000000502
495,19854.000000005442
496,20481.000000002423
497,20643.000000002226
498,20643.000000002685
499,20463.000000002834
500,20326.000000003347
501,20022.0000000015
