,demand
0,14979.000000000106
1,14398.00000000011
2,13789.000000000096
3,13434.0000000001
4,13285.000000000111
5,13193.000000000156
6,13237.000000000271
7,13214.00000000028
8,13025.00000000167
9,13706.000000000628
10,14330.000000000626
11,14824.000000000133
12,15319.000000000111
13,15834.000000000106
14,15945.000000000096
15,16059.0000000001
16,17307.0000000007
17,17699.00000000066
18,17697.000000000524
19,17836.00000000029
20,17464.00000000022
21,16551.00000000026
22,15860.000000000146
23,14856.000000000193
24,14040.000000000078
25,13541.000000000091
26,13407.000000000098
27,13468.000000000096
28,13797.000000000095
29,14760.000000000084
30,17559.00000000006
31,19505.00000000006
32,20485.000000000062
33,21277.000000000062
34,21515.000000000062
35,21658.000000000062
36,21774.00000000006
37,22256.00000000006
38,22073.00000000006
39,22230.00000000006
40,23158.00000000006
41,23082.00000000006
42,22747.00000000006
43,22642.00000000006
44,21972.000000000062
45,20681.00000000006
46,19244.00000000006
47,17862.000000000062
48,16710.000000000062
49,16198.000000000062
50,15878.000000000062
51,15840.000000000067
52,16161.00000000007
53,16890.00000000007
54,19564.00000000007
55,21727.000000000065
56,22419.000000000065
57,22749.00000000007
58,22748.000000000073
59,23178.000000000073
60,23317.000000000073
61,23538.000000000073
62,23317.000000000073
63,23473.00000000007
64,24282.00000000007
65,24188.000000000073
66,23922.000000000073
67,23829.00000000007
68,23012.000000000073
69,21403.00000000007
70,19851.000000000076
71,18520.00000000007
72,17371.000000000076
73,16813.00000000012
74,16475.00000000024
75,16548.00000000027
76,16739.000000000284
77,17455.000000000153
78,19951.00000000008
79,21894.00000000007
80,22638.00000000007
81,22886.000000000073
82,22893.000000000073
83,23075.00000000007
84,23171.000000000073
85,23423.00000000007
86,23132.00000000007
87,23158.000000000065
88,24183.000000000065
89,24057.000000000065
90,23745.00000000007
91,23656.00000000007
92,23030.000000000065
93,21602.000000000065
94,20029.00000000007
95,18718.00000000007
96,17468.00000000007
97,16855.000000000095
98,16594.000000000153
99,16718.00000000017
100,16845.000000000204
101,17663.000000000142
102,20093.00000000008
103,21965.000000000073
104,22564.000000000073
105,22860.000000000076
106,22807.000000000076
107,23014.000000000073
108,23075.000000000073
109,23360.000000000076
110,23088.000000000073
111,23188.00000000007
112,24072.000000000065
113,24062.00000000007
114,23710.00000000007
115,23504.00000000007
116,22733.00000000007
117,21331.00000000007
118,19870.000000000062
119,18516.000000000065
120,17261.000000000065
121,16546.000000000065
122,15997.00000000007
123,15879.000000000076
124,15774.000000000082
125,15547.000000000085
126,15620.000000000082
127,15803.00000000007
128,16351.000000000062
129,17285.000000000065
130,17955.000000000065
131,18333.000000000062
132,18548.00000000006
133,18597.000000000062
134,18256.00000000006
135,18225.00000000006
136,19327.00000000006
137,19451.000000000062
138,19213.000000000062
139,19134.000000000065
140,18818.000000000062
141,18092.00000000006
142,17390.00000000006
143,16358.000000000058
144,15330.000000000064
145,14662.000000000085
146,14368.00000000012
147,14296.000000000135
148,14253.00000000014
149,14437.000000000153
150,15029.00000000008
151,15406.000000000062
152,15793.000000000062
153,16873.000000000065
154,17689.000000000062
155,18015.000000000062
156,18448.00000000006
157,18755.000000000062
158,18661.00000000006
159,18635.00000000006
160,19687.00000000006
161,20049.00000000006
162,20172.00000000006
163,20386.00000000006
164,19827.00000000006
165,18737.00000000006
166,17887.00000000006
167,16836.000000000062
168,15993.000000000058
169,15634.00000000007
170,15463.000000000075
171,15446.000000000082
172,15892.000000000084
173,16939.000000000076
174,20231.000000000062
175,22551.000000000062
176,23598.00000000006
177,23969.00000000006
178,23929.000000000062
179,24129.00000000006
180,24188.00000000006
181,24276.00000000006
182,23909.00000000006
183,23782.00000000006
184,24752.000000000062
185,25003.000000000062
186,24548.000000000062
187,24530.00000000006
188,23937.00000000006
189,22274.000000000062
190,20676.00000000006
191,19270.000000000062
192,18228.000000000062
193,17728.000000000065
194,17473.000000000073
195,17431.00000000008
196,17764.00000000008
197,18542.00000000008
198,21319.000000000065
199,23334.000000000065
200,23889.000000000065
201,24056.00000000007
202,23885.000000000065
203,23934.000000000065
204,23885.00000000007
205,23895.000000000073
206,23694.00000000007
207,23739.000000000073
208,24977.00000000007
209,25021.000000000073
210,24673.000000000073
211,24535.000000000073
212,23881.00000000007
213,22343.000000000065
214,20671.000000000065
215,19320.00000000007
216,18169.00000000008
217,17606.000000000124
218,17369.00000000015
219,17435.000000000142
220,17658.00000000017
221,18424.000000000113
222,21096.000000000073
223,23172.000000000062
224,23732.000000000062
225,24036.000000000065
226,23958.000000000065
227,24233.000000000065
228,24362.000000000065
229,24462.000000000062
230,24256.00000000006
231,24074.000000000062
232,24938.000000000062
233,25001.000000000062
234,24718.000000000062
235,24496.000000000062
236,23893.00000000006
237,22305.00000000006
238,20643.000000000062
239,19365.00000000006
240,18278.00000000006
241,17704.00000000006
242,17413.000000000055
243,17359.00000000006
244,17544.00000000006
245,18350.00000000006
246,21001.00000000006
247,23112.00000000006
248,23750.00000000006
249,24211.00000000006
250,24148.000000000062
251,24485.00000000006
252,24684.00000000006
253,24864.00000000006
254,24431.00000000006
255,24322.00000000006
256,25010.00000000006
257,25068.00000000006
258,24648.00000000006
259,24501.00000000006
260,23886.00000000006
261,22267.00000000006
262,20793.000000000055
263,19406.000000000055
264,18303.00000000006
265,17577.00000000006
266,17310.000000000055
267,17316.00000000006
268,17610.00000000006
269,18348.00000000006
270,21037.000000000065
271,23121.00000000006
272,23894.000000000062
273,24305.000000000062
274,24464.000000000062
275,24812.000000000062
276,24937.00000000006
277,24959.000000000062
278,24606.000000000062
279,24485.000000000062
280,25014.000000000062
281,25059.000000000062
282,24615.000000000062
283,24429.000000000062
284,23649.000000000062
285,22221.000000000062
286,20758.00000000006
287,19482.000000000062
288,18308.000000000062
289,17634.000000000062
290,17213.000000000062
291,17134.000000000062
292,17237.00000000006
293,17302.000000000062
294,18388.000000000073
295,19330.00000000007
296,20272.000000000065
297,21382.000000000062
298,21918.000000000065
299,22228.000000000065
300,22178.000000000065
301,22060.000000000062
302,21426.000000000062
303,21234.000000000065
304,22177.000000000065
305,22361.000000000065
306,22012.000000000065
307,21690.00000000007
308,21137.000000000065
309,19904.00000000007
310,18848.000000000065
311,17847.000000000062
312,16810.000000000062
313,16078.000000000067
314,15737.000000000073
315,15590.00000000008
316,15552.00000000008
317,15736.000000000078
318,16167.000000000067
319,16591.000000000065
320,17175.000000000065
321,18156.000000000065
322,18980.000000000062
323,19298.000000000062
324,19416.000000000062
325,19612.000000000062
326,19363.000000000062
327,19090.000000000062
328,20114.000000000062
329,20743.000000000065
330,20885.000000000062
331,20888.000000000062
332,20285.000000000062
333,19442.000000000065
334,18740.000000000065
335,17713.000000000062
336,16779.000000000062
337,16365.000000000078
338,16137.000000000093
339,16231.000000000095
340,16696.00000000009
341,17692.000000000084
342,20905.000000000065
343,23207.000000000065
344,24102.00000000007
345,24672.000000000065
346,24627.000000000065
347,24739.000000000073
348,24787.000000000073
349,24812.00000000007
350,24344.00000000007
351,24245.00000000007
352,25082.00000000007
353,25615.00000000007
354,25186.00000000007
355,25087.000000000073
356,24437.000000000073
357,22757.000000000076
358,21277.00000000007
359,19912.000000000076
360,18730.00000000009
361,18192.00000000015
362,17898.000000000186
363,17856.0000000002
364,18213.00000000018
365,19034.000000000124
366,21563.00000000008
367,23522.00000000007
368,24235.00000000007
369,24788.00000000007
370,24681.000000000076
371,24978.000000000073
372,25160.00000000007
373,25226.00000000007
374,24788.00000000007
375,24631.000000000065
376,25333.000000000065
377,25495.00000000007
378,25211.000000000065
379,25005.000000000065
380,24481.000000000062
381,22793.000000000062
382,21275.000000000065
383,19920.000000000062
384,18741.00000000007
385,18213.00000000009
386,17812.000000000116
387,17806.00000000011
388,18019.00000000011
389,18740.000000000116
390,21292.000000000073
391,23195.000000000062
392,23989.00000000006
393,24395.000000000062
394,24329.000000000062
395,24513.000000000062
396,24601.00000000006
397,24635.00000000006
398,24335.00000000006
399,24214.00000000006
400,24880.000000000062
401,25240.000000000062
402,24753.000000000062
403,24625.000000000065
404,23901.000000000065
405,22344.000000000065
406,20856.000000000065
407,19579.000000000062
408,18534.00000000007
409,17956.00000000009
410,17646.000000000116
411,17652.0000000001
412,17924.000000000084
413,18700.00000000008
414,21332.000000000065
415,23208.000000000062
416,23922.000000000062
417,24183.000000000062
418,24186.000000000062
419,24414.000000000062
420,24384.000000000065
421,24543.000000000065
422,24186.000000000065
423,24007.000000000065
424,24688.000000000065
425,24945.000000000065
426,24552.00000000007
427,24528.000000000065
428,23898.000000000062
429,22212.00000000007
430,20653.000000000065
431,19326.00000000007
432,18323.000000000102
433,17831.00000000016
434,17527.000000000175
435,17590.000000000175
436,18042.000000000142
437,18707.000000000106
438,21148.00000000007
439,22986.000000000062
440,23866.000000000062
441,24358.000000000062
442,24399.000000000062
443,24780.000000000062
444,24729.000000000062
445,24805.00000000006
446,24424.00000000006
447,24149.000000000062
448,24858.000000000062
449,25274.000000000062
450,24923.000000000062
451,24502.000000000062
452,23744.00000000006
453,22224.000000000062
454,20796.00000000006
455,19513.00000000006
456,18313.000000000055
457,17728.000000000055
458,17319.000000000055
459,17167.000000000055
460,17250.00000000006
461,17354.00000000006
462,18471.00000000006
463,19294.000000000062
464,20550.000000000055
465,21566.00000000006
466,21912.00000000006
467,22222.00000000006
468,22018.00000000006
469,21826.00000000006
470,21221.000000000055
471,20857.00000000006
472,21727.00000000006
473,22221.00000000006
474,22024.000000000055
475,21777.00000000006
476,21126.00000000006
477,20000.000000000055
478,18916.000000000055
479,17790.00000000006
480,16779.000000000047
481,16126.000000000053
482,15698.000000000053
483,15654.000000000053
484,15571.000000000056
485,15812.000000000056
486,16363.000000000055
487,16726.000000000055
488,17525.00000000005
489,18579.000000000055
490,19271.000000000055
491,19456.000000000055
492,19443.000000000055
493,19525.000000000055
494,19132.000000000055
495,18836.000000000055
496,19773.00000000005
497,20516.000000000055
498,20773.000000000055
499,20878.000000000055
500,20248.00000000006
501,19429.00000000005
502,18624.000000000055
503,17543.00000000006
504,16603.00000000006
505,16234.000000000056
506,16058.000000000062
507,16151.00000000007
508,16586.000000000073
509,17568.00000000007
510,20760.00000000006
511,22860.00000000006
512,23905.00000000006
513,24548.00000000006
514,24510.00000000006
515,24744.00000000006
516,24621.00000000006
517,24847.00000000006
518,24362.00000000006
519,24096.00000000006
520,24721.000000000062
521,25224.000000000062
522,24846.000000000062
523,24769.000000000062
524,24039.000000000065
525,22550.000000000065
526,21124.00000000006
527,19776.000000000062
528,18706.000000000062
529,18064.00000000007
530,17825.000000000073
531,17874.00000000008
532,18234.00000000008
533,19092.00000000008
534,21662.000000000062
535,23568.000000000062
536,24541.00000000006
537,24908.000000000062
538,24801.000000000062
539,25035.000000000062
540,25046.00000000006
541,25168.00000000006
542,24815.000000000062
543,24441.000000000062
544,25070.000000000062
545,25555.000000000065
546,25160.000000000065
547,25093.000000000065
548,24319.000000000065
549,22582.00000000007
550,21067.000000000065
551,19768.000000000073
552,18708.000000000084
553,18114.000000000142
554,17827.000000000313
555,17871.000000000386
556,18222.00000000029
557,18818.000000000127
558,21365.000000000076
559,23180.00000000007
560,24012.000000000073
561,24332.00000000007
562,24314.00000000007
563,24506.00000000007
564,24520.00000000007
565,24667.00000000007
566,24260.00000000007
567,23853.000000000073
568,24339.000000000076
569,24907.000000000073
570,24569.000000000076
571,24436.000000000073
572,23684.000000000073
573,22083.000000000076
574,20618.000000000076
575,19357.000000000087
576,18289.000000000135
577,17779.00000000036
578,17489.33328419332
579,17472.990126296012
580,17594.00000000082
581,18365.000000000146
582,20921.000000000084
583,22636.000000000076
584,23462.000000000076
585,23718.000000000073
586,23593.000000000073
587,23855.00000000007
588,23840.00000000007
589,24079.00000000007
590,23677.000000000073
591,23482.000000000065
592,24067.00000000007
593,24813.00000000007
594,24438.00000000007
595,24361.00000000007
596,23749.000000000065
597,22162.000000000065
598,20590.000000000065
599,19375.000000000065
600,18278.00000000007
601,17729.00000000008
602,17367.00000000008
603,17350.000000000084
604,17730.00000000008
605,18549.000000000084
606,21097.000000000062
607,22806.00000000006
608,23675.000000000065
609,24080.000000000062
610,24031.00000000006
611,24109.000000000062
612,24199.00000000006
613,24288.000000000062
614,23982.00000000006
615,23761.00000000006
616,24291.00000000006
617,24867.00000000006
618,24484.00000000006
619,24245.00000000006
620,23484.00000000006
621,21973.00000000006
622,20539.00000000006
623,19238.00000000006
624,18228.000000000055
625,17513.00000000006
626,17059.00000000006
627,16945.00000000006
