,demand
0,8683.0
1,8640.0
2,8469.0
3,8391.0
4,8353.0
5,8177.0
6,8081.0
7,7963.0
8,7914.0
9,7847.0
10,7744.0
11,7651.0
12,7606.0
13,7462.0
14,7388.0
15,7427.0
16,7407.0
17,7349.0
18,7377.0
19,7285.0
20,7335.0
21,7357.0
22,7389.0
23,7416.0
24,7453.0
25,7474.0
26,7458.0
27,7458.0
28,7283.0
29,7254.0
30,7242.0
31,7255.0
32,7262.0
33,7326.0
34,7324.0
35,7349.0
36,7441.0
37,7546.0
38,7530.0
39,7639.0
40,7633.0
41,7735.0
42,7804.0
43,7931.0
44,8027.0
45,8103.0
46,8277.0
47,8374.0
48,8497.0
49,8539.0
50,8645.0
51,8716.0
52,8829.0
53,8888.0
54,8877.0
55,8849.0
56,8772.0
57,8763.0
58,8776.0
59,8804.0
60,8905.0
61,8923.0
62,8957.0
63,8917.0
64,8940.0
65,8969.0
66,9006.0
67,9061.0
68,9160.0
69,9259.0
70,9346.0
71,9449.0
72,9372.0
73,9330.0
74,9290.0
75,9257.0
76,9225.0
77,9357.0
78,9215.0
79,8793.0
80,8915.0
81,8951.0
82,8928.0
83,8876.0
84,8875.0
85,8808.0
86,8685.0
87,8547.0
88,8821.0
89,8978.0
90,9081.0
91,9093.0
92,9272.0
93,9212.0
94,9054.0
95,8935.0
96,8826.0
97,8657.0
98,8519.0
99,8316.0
100,8278.0
101,8115.0
102,7963.0
103,7845.0
104,7718.0
105,7664.0
106,7597.0
107,7513.0
108,7520.0
109,7426.0
110,7519.0
111,7458.0
112,7527.0
113,7609.0
114,7665.0
115,7733.0
116,7878.0
117,7986.0
118,8074.0
119,8226.0
120,8468.0
121,8674.0
122,8933.0
123,9158.0
124,9278.0
125,9524.0
126,9726.0
127,9816.0
128,9939.0
129,10190.0
130,10295.0
131,10405.0
132,10607.0
133,10612.0
134,10663.0
135,10698.0
136,10690.0
137,10704.0
138,10859.0
139,11060.0
140,11030.0
141,11048.0
142,11103.0
143,11186.0
144,11180.0
