,demand
0,45462.0
1,44920.0
2,44668.0
3,44461.0
4,44354.0
5,44038.0
6,43512.0
7,43362.0
8,43244.0
9,42820.0
10,42781.0
11,42435.0
12,42245.0
13,42078.0
14,41955.0
15,41929.0
16,42096.0
17,42001.0
18,42104.0
19,42045.0
20,42173.0
21,41945.0
22,41794.0
23,41394.0
24,40880.0
25,40728.0
26,40713.0
27,40907.0
28,41095.0
29,41206.0
30,41473.0
31,41718.0
32,42033.0
33,42021.0
34,42415.0
35,42884.0
36,43876.0
37,44348.0
38,45015.0
39,45641.0
40,46399.0
41,46879.0
42,47511.0
43,47983.0
44,48869.0
45,49472.0
46,50142.0
47,50409.0
48,50822.0
49,51045.0
50,51317.0
51,51276.0
52,50783.0
53,50269.0
54,50188.0
55,49654.0
56,49292.0
57,49088.0
58,49402.0
59,49104.0
60,49228.0
61,49288.0
62,49317.0
63,49285.0
64,49926.0
65,50646.0
66,51773.0
67,53140.0
68,54244.0
69,54768.0
70,55217.0
71,55459.0
72,55733.0
73,55735.0
74,55823.0
75,55409.0
76,54990.0
77,54465.0
78,53999.0
79,53548.0
80,52776.0
81,52177.0
82,51359.0
83,50598.0
84,50419.0
85,49991.0
86,49693.0
87,49619.0
88,50066.0
89,49578.0
90,48683.0
91,48237.0
92,47326.0
93,46567.0
94,45734.0
95,44660.0
96,44143.0
97,43324.0
98,42953.0
99,42316.0
100,41772.0
101,41234.0
102,41119.0
103,40986.0
104,40701.0
105,40812.0
106,40808.0
107,40805.0
108,40996.0
109,41059.0
110,41276.0
111,41508.0
112,41966.0
113,42208.0
114,42859.0
115,43376.0
116,44606.0
117,45281.0
118,46405.0
119,47972.0
120,49996.0
121,51849.0
122,53381.0
123,54953.0
124,57100.0
125,58207.0
126,59398.0
127,60471.0
128,61710.0
129,62371.0
130,63017.0
131,63444.0
132,63750.0
133,64158.0
134,64652.0
135,65110.0
136,65460.0
137,65810.0
138,66588.0
139,67044.0
140,67026.0
141,67514.0
142,68195.0
